"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"1343","0.019559s","0.000000s","192.168.0.41","192.168.0.42","TCP","74","0","","","29200","60973 > 49204 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=158629 TSecr=0 WS=128"
"1346","0.019582s","0.000023s","192.168.0.42","192.168.0.41","TCP","74","0","1","","28960","49204 > 60973 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=180573 TSecr=158629 WS=128"
"1386","0.019974s","0.000392s","192.168.0.41","192.168.0.42","TCP","66","1","1","","29312","60973 > 49204 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=158629 TSecr=180573"
"1404","0.020038s","0.000064s","192.168.0.42","192.168.0.41","TCP","66","1","1","","29056","49204 > 60973 [FIN, ACK] Seq=1 Ack=1 Win=29056 Len=0 TSval=180573 TSecr=158629"
"1419","0.020217s","0.000179s","192.168.0.41","192.168.0.42","TCP","1514","1","1","1448","29312","60973 > 49204 [ACK] Seq=1 Ack=1 Win=29312 Len=1448 TSval=158629 TSecr=180573"
"1420","0.020223s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","1449","","31872","49204 > 60973 [ACK] Seq=2 Ack=1449 Win=31872 Len=0 TSval=180573 TSecr=158629"
"1421","0.020224s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","1449","1","1448","29312","60973 > 49204 [ACK] Seq=1449 Ack=1 Win=29312 Len=1448 TSval=158629 TSecr=180573"
"1422","0.020235s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","2897","","34816","49204 > 60973 [ACK] Seq=2 Ack=2897 Win=34816 Len=0 TSval=180573 TSecr=158629"
"1423","0.020236s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","2897","1","1448","29312","60973 > 49204 [ACK] Seq=2897 Ack=1 Win=29312 Len=1448 TSval=158629 TSecr=180573"
"1424","0.020240s","0.000004s","192.168.0.42","192.168.0.41","TCP","66","2","4345","","37760","49204 > 60973 [ACK] Seq=2 Ack=4345 Win=37760 Len=0 TSval=180573 TSecr=158629"
"1425","0.020241s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","4345","1","1448","29312","60973 > 49204 [ACK] Seq=4345 Ack=1 Win=29312 Len=1448 TSval=158629 TSecr=180573"
"1426","0.020245s","0.000004s","192.168.0.42","192.168.0.41","TCP","66","2","5793","","40576","49204 > 60973 [ACK] Seq=2 Ack=5793 Win=40576 Len=0 TSval=180573 TSecr=158629"
"1427","0.020246s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","5793","1","1448","29312","60973 > 49204 [ACK] Seq=5793 Ack=1 Win=29312 Len=1448 TSval=158629 TSecr=180573"
"1428","0.020249s","0.000003s","192.168.0.42","192.168.0.41","TCP","66","2","7241","","43520","49204 > 60973 [ACK] Seq=2 Ack=7241 Win=43520 Len=0 TSval=180573 TSecr=158629"
"1429","0.020250s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","7241","1","1448","29312","60973 > 49204 [ACK] Seq=7241 Ack=1 Win=29312 Len=1448 TSval=158629 TSecr=180573"
"1430","0.020253s","0.000003s","192.168.0.42","192.168.0.41","TCP","66","2","8689","","46336","49204 > 60973 [ACK] Seq=2 Ack=8689 Win=46336 Len=0 TSval=180573 TSecr=158629"
"1431","0.020254s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","8689","1","1448","29312","60973 > 49204 [ACK] Seq=8689 Ack=1 Win=29312 Len=1448 TSval=158629 TSecr=180573"
"1432","0.020258s","0.000004s","192.168.0.42","192.168.0.41","TCP","66","2","10137","","49280","49204 > 60973 [ACK] Seq=2 Ack=10137 Win=49280 Len=0 TSval=180573 TSecr=158629"
"1433","0.020451s","0.000193s","192.168.0.41","192.168.0.42","TCP","1514","10137","1","1448","29312","60973 > 49204 [ACK] Seq=10137 Ack=1 Win=29312 Len=1448 TSval=158629 TSecr=180573"
"1434","0.020462s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","11585","","52224","49204 > 60973 [ACK] Seq=2 Ack=11585 Win=52224 Len=0 TSval=180573 TSecr=158629"
"1435","0.020464s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","11585","1","1448","29312","60973 > 49204 [ACK] Seq=11585 Ack=1 Win=29312 Len=1448 TSval=158629 TSecr=180573"
"1436","0.020470s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","13033","","55040","49204 > 60973 [ACK] Seq=2 Ack=13033 Win=55040 Len=0 TSval=180573 TSecr=158629"
"1437","0.020471s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","13033","1","1448","29312","60973 > 49204 [ACK] Seq=13033 Ack=1 Win=29312 Len=1448 TSval=158629 TSecr=180573"
"1438","0.020477s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","14481","","57984","49204 > 60973 [ACK] Seq=2 Ack=14481 Win=57984 Len=0 TSval=180573 TSecr=158629"
"1450","0.020521s","0.000044s","192.168.0.41","192.168.0.42","TCP","66","14481","2","","29312","60973 > 49204 [ACK] Seq=14481 Ack=2 Win=29312 Len=0 TSval=158630 TSecr=180573"
"1451","0.020524s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","14481","2","1448","29312","60973 > 49204 [PSH, ACK] Seq=14481 Ack=2 Win=29312 Len=1448 TSval=158630 TSecr=180573"
