"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"2712","1.347852s","0.000000s","192.168.0.41","192.168.0.42","TCP","74","0","","","29200","46745 > 49203 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=166826 TSecr=0 WS=128"
"2713","1.347897s","0.000045s","192.168.0.42","192.168.0.41","TCP","74","0","1","","28960","49203 > 46745 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=188769 TSecr=166826 WS=128"
"2729","1.348139s","0.000242s","192.168.0.41","192.168.0.42","TCP","66","1","1","","29312","46745 > 49203 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=166826 TSecr=188769"
"2730","1.348160s","0.000021s","192.168.0.41","192.168.0.42","TCP","1514","1","1","1448","29312","46745 > 49203 [ACK] Seq=1 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2731","1.348177s","0.000017s","192.168.0.42","192.168.0.41","TCP","66","1","1449","","31872","49203 > 46745 [ACK] Seq=1 Ack=1449 Win=31872 Len=0 TSval=188769 TSecr=166826"
"2732","1.348180s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","1449","1","1448","29312","46745 > 49203 [ACK] Seq=1449 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2733","1.348195s","0.000015s","192.168.0.42","192.168.0.41","TCP","66","1","2897","","34816","49203 > 46745 [ACK] Seq=1 Ack=2897 Win=34816 Len=0 TSval=188769 TSecr=166826"
"2734","1.348198s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","2897","1","1448","29312","46745 > 49203 [ACK] Seq=2897 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2735","1.348209s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","1","4345","","37760","49203 > 46745 [ACK] Seq=1 Ack=4345 Win=37760 Len=0 TSval=188769 TSecr=166826"
"2736","1.348214s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","4345","1","1448","29312","46745 > 49203 [ACK] Seq=4345 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2737","1.348226s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","1","5793","","40576","49203 > 46745 [ACK] Seq=1 Ack=5793 Win=40576 Len=0 TSval=188769 TSecr=166826"
"2738","1.348229s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","5793","1","1448","29312","46745 > 49203 [ACK] Seq=5793 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2739","1.348244s","0.000015s","192.168.0.42","192.168.0.41","TCP","66","1","7241","","43520","49203 > 46745 [ACK] Seq=1 Ack=7241 Win=43520 Len=0 TSval=188769 TSecr=166826"
"2740","1.348247s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","7241","1","1448","29312","46745 > 49203 [ACK] Seq=7241 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2741","1.348258s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","1","8689","","46336","49203 > 46745 [ACK] Seq=1 Ack=8689 Win=46336 Len=0 TSval=188769 TSecr=166826"
"2742","1.348263s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","8689","1","1448","29312","46745 > 49203 [ACK] Seq=8689 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2743","1.348274s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","1","10137","","49280","49203 > 46745 [ACK] Seq=1 Ack=10137 Win=49280 Len=0 TSval=188769 TSecr=166826"
"2744","1.348277s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","10137","1","1448","29312","46745 > 49203 [ACK] Seq=10137 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2745","1.348287s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","1","11585","","52224","49203 > 46745 [ACK] Seq=1 Ack=11585 Win=52224 Len=0 TSval=188769 TSecr=166826"
"2746","1.348293s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","11585","1","1448","29312","46745 > 49203 [ACK] Seq=11585 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2747","1.348303s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","1","13033","","55040","49203 > 46745 [ACK] Seq=1 Ack=13033 Win=55040 Len=0 TSval=188769 TSecr=166826"
"2748","1.348314s","0.000011s","192.168.0.41","192.168.0.42","TCP","1514","13033","1","1448","29312","46745 > 49203 [ACK] Seq=13033 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2749","1.348323s","0.000009s","192.168.0.42","192.168.0.41","TCP","66","1","14481","","57984","49203 > 46745 [ACK] Seq=1 Ack=14481 Win=57984 Len=0 TSval=188769 TSecr=166826"
"2752","1.348340s","0.000017s","192.168.0.41","192.168.0.42","TCP","1514","14481","1","1448","29312","46745 > 49203 [PSH, ACK] Seq=14481 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2753","1.348349s","0.000009s","192.168.0.42","192.168.0.41","TCP","66","1","15929","","60928","49203 > 46745 [ACK] Seq=1 Ack=15929 Win=60928 Len=0 TSval=188769 TSecr=166826"
"2754","1.348351s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","15929","1","1448","29312","46745 > 49203 [ACK] Seq=15929 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2755","1.348359s","0.000008s","192.168.0.42","192.168.0.41","TCP","66","1","17377","","63744","49203 > 46745 [ACK] Seq=1 Ack=17377 Win=63744 Len=0 TSval=188769 TSecr=166826"
"2756","1.348413s","0.000054s","192.168.0.41","192.168.0.42","TCP","1514","17377","1","1448","29312","46745 > 49203 [ACK] Seq=17377 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2757","1.348433s","0.000020s","192.168.0.42","192.168.0.41","TCP","66","1","18825","","66688","49203 > 46745 [ACK] Seq=1 Ack=18825 Win=66688 Len=0 TSval=188769 TSecr=166826"
"2758","1.348439s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","18825","1","1448","29312","46745 > 49203 [ACK] Seq=18825 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2759","1.348449s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","1","20273","","69504","49203 > 46745 [ACK] Seq=1 Ack=20273 Win=69504 Len=0 TSval=188769 TSecr=166826"
"2760","1.348455s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","20273","1","1448","29312","46745 > 49203 [ACK] Seq=20273 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2762","1.348466s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","1","21721","","72448","49203 > 46745 [ACK] Seq=1 Ack=21721 Win=72448 Len=0 TSval=188769 TSecr=166826"
"2763","1.348468s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","21721","1","1448","29312","46745 > 49203 [ACK] Seq=21721 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2764","1.348479s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","1","23169","","75392","49203 > 46745 [ACK] Seq=1 Ack=23169 Win=75392 Len=0 TSval=188769 TSecr=166826"
"2765","1.348483s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","23169","1","1448","29312","46745 > 49203 [ACK] Seq=23169 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2766","1.348494s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","1","24617","","78208","49203 > 46745 [ACK] Seq=1 Ack=24617 Win=78208 Len=0 TSval=188769 TSecr=166826"
"2767","1.348497s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","24617","1","1448","29312","46745 > 49203 [ACK] Seq=24617 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2768","1.348511s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","1","26065","","81152","49203 > 46745 [ACK] Seq=1 Ack=26065 Win=81152 Len=0 TSval=188769 TSecr=166826"
"2769","1.348514s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","26065","1","1448","29312","46745 > 49203 [ACK] Seq=26065 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2770","1.348520s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","27513","1","2896","29312","46745 > 49203 [PSH, ACK] Seq=27513 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
"2771","1.348525s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","28961","1","4344","29312","46745 > 49203 [ACK] Seq=28961 Ack=1 Win=29312 Len=1448 TSval=166826 TSecr=188769"
