"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"1","0.000000s","0.000000s","192.168.0.41","192.168.0.42","TCP","74","0","","","29200","51213 > 49200 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=29524288 TSecr=0 WS=128"
"2","0.000062s","0.000062s","192.168.0.42","192.168.0.41","TCP","74","0","1","","28960","49200 > 51213 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=29546158 TSecr=29524288 WS=128"
"3","0.000228s","0.000166s","192.168.0.41","192.168.0.42","TCP","66","1","1","","29312","51213 > 49200 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=29524288 TSecr=29546158"
"4","0.000402s","0.000174s","192.168.0.42","192.168.0.41","TCP","66","1","1","","29056","49200 > 51213 [FIN, ACK] Seq=1 Ack=1 Win=29056 Len=0 TSval=29546159 TSecr=29524288"
"5","0.002029s","0.001627s","192.168.0.41","192.168.0.42","TCP","66","1","2","","29312","51213 > 49200 [ACK] Seq=1 Ack=2 Win=29312 Len=0 TSval=29524289 TSecr=29546159"
"6","0.013791s","0.011762s","192.168.0.41","192.168.0.42","TCP","74","0","","","29200","36354 > 49201 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=29524291 TSecr=0 WS=128"
"7","0.013832s","0.000041s","192.168.0.42","192.168.0.41","TCP","74","0","1","","28960","49201 > 36354 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=29546162 TSecr=29524291 WS=128"
"8","0.014002s","0.000170s","192.168.0.41","192.168.0.42","TCP","66","1","1","","29312","36354 > 49201 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=29524291 TSecr=29546162"
"9","0.014126s","0.000124s","192.168.0.41","192.168.0.42","TCP","1514","1","2","1448","29312","51213 > 49200 [ACK] Seq=1 Ack=2 Win=29312 Len=1448 TSval=29524292 TSecr=29546159"
"10","0.014159s","0.000033s","192.168.0.42","192.168.0.41","TCP","66","1","1","","29056","49201 > 36354 [FIN, ACK] Seq=1 Ack=1 Win=29056 Len=0 TSval=29546162 TSecr=29524291"
"11","0.014165s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","1449","","31872","49200 > 51213 [ACK] Seq=2 Ack=1449 Win=31872 Len=0 TSval=29546162 TSecr=29524292"
"12","0.014165s","0.000000s","192.168.0.41","192.168.0.42","TCP","1514","1449","2","1448","29312","51213 > 49200 [ACK] Seq=1449 Ack=2 Win=29312 Len=1448 TSval=29524292 TSecr=29546159"
"13","0.014173s","0.000008s","192.168.0.41","192.168.0.42","TCP","1514","2897","2","2896","29312","51213 > 49200 [ACK] Seq=2897 Ack=2 Win=29312 Len=1448 TSval=29524292 TSecr=29546159"
