src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
51858,192.168.0.41,192.168.0.42,1113133,0.0,0.010911942,0.010911942,10.911942000000002,0.0
36999,192.168.0.41,192.168.0.42,1119535,0.018843889,0.034271002,0.015427113000000003,15.427113000000002,0.0
46656,192.168.0.41,192.168.0.42,1104421,0.040920019,0.091342926,0.050422907,50.422907,0.0
47474,192.168.0.41,192.168.0.42,1111879,0.083576918,0.101950884,0.018373966000000005,18.373966000000006,0.0
33476,192.168.0.41,192.168.0.42,1105081,0.109951019,0.169698954,0.059747935000000016,59.74793500000001,0.0
50736,192.168.0.41,192.168.0.42,1108381,0.177619934,0.21665287,0.03903293599999999,39.03293599999999,0.0
42166,192.168.0.41,192.168.0.42,1110559,0.224138975,0.271420956,0.047281981,47.281981,0.0
56112,192.168.0.41,192.168.0.42,1107061,0.278928041,0.305654049,0.026726007999999968,26.72600799999997,0.0
40881,192.168.0.41,192.168.0.42,1110229,0.312991858,0.334583044,0.021591185999999984,21.591185999999986,0.0
41958,192.168.0.41,192.168.0.42,1106599,0.341807842,0.39862895,0.05682110800000001,56.82110800000001,0.0
44933,192.168.0.41,192.168.0.42,1105543,0.404716969,0.482543945,0.07782697599999999,77.82697599999999,0.0
34019,192.168.0.41,192.168.0.42,1107985,0.488133907,0.533653021,0.04551911400000003,45.51911400000003,0.0
56321,192.168.0.41,192.168.0.42,1104355,0.541097879,0.590240955,0.04914307600000001,49.14307600000001,0.0
35485,192.168.0.41,192.168.0.42,1110031,0.597787857,0.635023832,0.03723597499999998,37.235974999999975,0.0
59300,192.168.0.41,192.168.0.42,1107325,0.642930031,0.696738005,0.053807974000000036,53.80797400000004,0.0
43154,192.168.0.41,192.168.0.42,1112539,0.704838037,0.746896982,0.04205894499999996,42.05894499999996,0.0
58087,192.168.0.41,192.168.0.42,1107193,0.754511833,0.779868841,0.02535700799999996,25.357007999999958,0.0
38519,192.168.0.41,192.168.0.42,1107985,0.787215948,0.816930056,0.02971410799999996,29.71410799999996,0.0
46265,192.168.0.41,192.168.0.42,1105609,0.824786901,0.878445864,0.05365896300000006,53.65896300000006,0.0
41069,192.168.0.41,192.168.0.42,1105807,0.87281394,0.921495914,0.04868197399999996,48.68197399999996,0.0
