"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"2","12.242105s","0.000000s","192.168.0.41","192.168.0.42","TCP","74","0","","","29200","33947 > 49200 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=127201307 TSecr=0 WS=128"
"3","12.242169s","0.000064s","192.168.0.42","192.168.0.41","TCP","74","0","1","","28960","49200 > 33947 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=4226904 TSecr=127201307 WS=128"
"4","12.242331s","0.000162s","192.168.0.41","192.168.0.42","TCP","66","1","1","","29312","33947 > 49200 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=127201307 TSecr=4226904"
"5","12.242375s","0.000044s","192.168.0.41","192.168.0.42","TCP","1514","1","1","1448","29312","33947 > 49200 [ACK] Seq=1 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"6","12.242397s","0.000022s","192.168.0.42","192.168.0.41","TCP","66","1","1449","","31872","49200 > 33947 [ACK] Seq=1 Ack=1449 Win=31872 Len=0 TSval=4226904 TSecr=127201307"
"7","12.242402s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","1449","1","1448","29312","33947 > 49200 [ACK] Seq=1449 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"8","12.242418s","0.000016s","192.168.0.42","192.168.0.41","TCP","66","1","2897","","34816","49200 > 33947 [ACK] Seq=1 Ack=2897 Win=34816 Len=0 TSval=4226904 TSecr=127201307"
"9","12.242420s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","2897","1","1448","29312","33947 > 49200 [ACK] Seq=2897 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"10","12.242431s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","1","4345","","37760","49200 > 33947 [ACK] Seq=1 Ack=4345 Win=37760 Len=0 TSval=4226904 TSecr=127201307"
"11","12.242434s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","4345","1","1448","29312","33947 > 49200 [ACK] Seq=4345 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"12","12.242444s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","1","5793","","40576","49200 > 33947 [ACK] Seq=1 Ack=5793 Win=40576 Len=0 TSval=4226904 TSecr=127201307"
"13","12.242447s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","5793","1","1448","29312","33947 > 49200 [ACK] Seq=5793 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"14","12.242461s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","1","7241","","43520","49200 > 33947 [ACK] Seq=1 Ack=7241 Win=43520 Len=0 TSval=4226904 TSecr=127201307"
"15","12.242465s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","7241","1","1448","29312","33947 > 49200 [ACK] Seq=7241 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"16","12.242475s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","1","8689","","46336","49200 > 33947 [ACK] Seq=1 Ack=8689 Win=46336 Len=0 TSval=4226904 TSecr=127201307"
"17","12.242477s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","8689","1","1448","29312","33947 > 49200 [ACK] Seq=8689 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"18","12.242483s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","10137","1","2896","29312","33947 > 49200 [ACK] Seq=10137 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"19","12.242488s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","11585","1","4344","29312","33947 > 49200 [ACK] Seq=11585 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"20","12.242492s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","13033","1","5792","29312","33947 > 49200 [ACK] Seq=13033 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"21","12.242494s","0.000002s","192.168.0.42","192.168.0.41","TCP","66","1","10137","","49280","49200 > 33947 [ACK] Seq=1 Ack=10137 Win=49280 Len=0 TSval=4226904 TSecr=127201307"
"22","12.242503s","0.000009s","192.168.0.42","192.168.0.41","TCP","66","1","11585","","52224","49200 > 33947 [ACK] Seq=1 Ack=11585 Win=52224 Len=0 TSval=4226904 TSecr=127201307"
"23","12.242511s","0.000008s","192.168.0.42","192.168.0.41","TCP","66","1","13033","","55040","49200 > 33947 [ACK] Seq=1 Ack=13033 Win=55040 Len=0 TSval=4226904 TSecr=127201307"
"24","12.242519s","0.000008s","192.168.0.42","192.168.0.41","TCP","66","1","14481","","57984","49200 > 33947 [ACK] Seq=1 Ack=14481 Win=57984 Len=0 TSval=4226904 TSecr=127201307"
"25","12.242575s","0.000056s","192.168.0.42","192.168.0.41","TCP","66","1","14481","","57984","49200 > 33947 [FIN, ACK] Seq=1 Ack=14481 Win=57984 Len=0 TSval=4226904 TSecr=127201307"
"26","12.242602s","0.000027s","192.168.0.41","192.168.0.42","TCP","1514","14481","1","1448","29312","33947 > 49200 [PSH, ACK] Seq=14481 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"27","12.242625s","0.000023s","192.168.0.42","192.168.0.41","TCP","66","2","15929","","60928","49200 > 33947 [ACK] Seq=2 Ack=15929 Win=60928 Len=0 TSval=4226904 TSecr=127201307"
