src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
51715,10.1.0.2,10.2.4.2,537426,1.5,1.748617,0.248617,248.617
33315,10.1.0.2,10.2.5.2,537426,1.500005,1.740617,0.240612,240.612
34256,10.1.0.2,10.2.6.2,537426,1.500011,1.744617,0.244606,244.606
60032,10.1.0.2,10.2.7.2,537426,1.500017,1.748622,0.248605,248.605
51719,10.1.0.2,10.2.4.2,537958,2,2.236622,0.236622,236.622
33319,10.1.0.2,10.2.5.2,538168,2.000005,2.252617,0.252612,252.612
34260,10.1.0.2,10.2.6.2,537958,2.000011,2.240617,0.240606,240.606
60036,10.1.0.2,10.2.7.2,537958,2.000017,2.236617,0.2366,236.6
51723,10.1.0.2,10.2.4.2,538754,2.5,2.736617,0.236617,236.617
33323,10.1.0.2,10.2.5.2,538798,2.500005,2.748617,0.248612,248.612
34264,10.1.0.2,10.2.6.2,537760,2.500011,2.740617,0.240606,240.606
60040,10.1.0.2,10.2.7.2,537760,2.500017,2.740622,0.240605,240.605
51715,10.1.0.2,10.2.4.2,537426,1.5,1.748617,0.248617,248.617
34256,10.1.0.2,10.2.6.2,537426,1.500011,1.744617,0.244606,244.606
51719,10.1.0.2,10.2.4.2,537958,2,2.236622,0.236622,236.622
34260,10.1.0.2,10.2.6.2,537958,2.000011,2.240617,0.240606,240.606
51723,10.1.0.2,10.2.4.2,538754,2.5,2.736617,0.236617,236.617
34264,10.1.0.2,10.2.6.2,537760,2.500011,2.740617,0.240606,240.606
51715,10.1.0.2,10.2.4.2,537426,1.5,1.748617,0.248617,248.617
34256,10.1.0.2,10.2.6.2,537426,1.500011,1.744617,0.244606,244.606
51719,10.1.0.2,10.2.4.2,537958,2,2.236622,0.236622,236.622
34260,10.1.0.2,10.2.6.2,537958,2.000011,2.240617,0.240606,240.606
51723,10.1.0.2,10.2.4.2,538754,2.5,2.736617,0.236617,236.617
34264,10.1.0.2,10.2.6.2,537760,2.500011,2.740617,0.240606,240.606
51715,10.1.0.2,10.2.4.2,537426,1.5,1.748617,0.248617,248.617
34256,10.1.0.2,10.2.6.2,537426,1.500011,1.744617,0.244606,244.606
51719,10.1.0.2,10.2.4.2,537958,2,2.236622,0.236622,236.622
34260,10.1.0.2,10.2.6.2,537958,2.000011,2.240617,0.240606,240.606
51723,10.1.0.2,10.2.4.2,538754,2.5,2.736617,0.236617,236.617
34264,10.1.0.2,10.2.6.2,537760,2.500011,2.740617,0.240606,240.606
51715,10.1.0.2,10.2.4.2,537426,1.5,1.748617,0.248617,248.617
34256,10.1.0.2,10.2.6.2,537426,1.500011,1.744617,0.244606,244.606
51719,10.1.0.2,10.2.4.2,537958,2,2.236622,0.236622,236.622
34260,10.1.0.2,10.2.6.2,537958,2.000011,2.240617,0.240606,240.606
51723,10.1.0.2,10.2.4.2,538754,2.5,2.736617,0.236617,236.617
34264,10.1.0.2,10.2.6.2,537760,2.500011,2.740617,0.240606,240.606
