src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
55434,10.1.0.2,10.1.4.2,53546,1.02,1.120617,0.10061699999999996,100.61699999999996
37080,10.1.0.2,10.3.5.2,53546,1.020005,1.116622,0.09661699999999995,96.61699999999995
35343,10.1.0.2,10.1.6.2,53546,1.020011,1.116617,0.09660599999999997,96.60599999999997
53456,10.1.0.2,10.3.7.2,53546,1.020017,1.112617,0.09260000000000002,92.60000000000002
55438,10.1.0.2,10.1.4.2,53546,1.439999,1.544632,0.10463299999999998,104.63299999999998
37084,10.1.0.2,10.3.5.2,53546,1.440005,1.544622,0.10461699999999996,104.61699999999996
35347,10.1.0.2,10.1.6.2,53546,1.440011,1.544627,0.10461600000000004,104.61600000000004
53460,10.1.0.2,10.3.7.2,53546,1.440017,1.5446170000000001,0.10460000000000003,104.60000000000002
55442,10.1.0.2,10.1.4.2,53546,1.489999,1.588617,0.09861799999999987,98.61799999999987
37088,10.1.0.2,10.3.5.2,53546,1.490005,1.588622,0.09861699999999995,98.61699999999996
35351,10.1.0.2,10.1.6.2,53546,1.490011,1.5846170000000002,0.09460600000000019,94.6060000000002
53464,10.1.0.2,10.3.7.2,53546,1.490017,1.584622,0.09460500000000005,94.60500000000005
55446,10.1.0.2,10.1.4.2,53546,1.989999,2.088622,0.0986229999999999,98.6229999999999
37092,10.1.0.2,10.3.5.2,53546,1.990005,2.084622,0.09461699999999995,94.61699999999995
35355,10.1.0.2,10.1.6.2,53546,1.990011,2.088617,0.0986060000000002,98.6060000000002
53468,10.1.0.2,10.3.7.2,53546,1.990017,2.084617,0.09460000000000024,94.60000000000024
55450,10.1.0.2,10.1.4.2,53546,2.149999,2.248617,0.09861799999999965,98.61799999999965
37096,10.1.0.2,10.3.5.2,53546,2.150005,2.248622,0.09861699999999995,98.61699999999996
35359,10.1.0.2,10.1.6.2,53546,2.150011,2.244622,0.094611,94.611
53472,10.1.0.2,10.3.7.2,53546,2.150017,2.244617,0.0945999999999998,94.5999999999998
55454,10.1.0.2,10.1.4.2,53608,2.209999,2.265861,0.0558620000000003,55.8620000000003
37100,10.1.0.2,10.3.5.2,1584,2.2100049999999998,2.428617,0.21861200000000025,218.61200000000025
