"No.","Time","Delta time","Source","Destination","Protocol","Length","Window size value","Info"
"1298","1.530005","0.000005","10.1.2.2","10.3.8.2","TCP","74","14600","44187 > 50000 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=382 TSecr=0 WS=8"
"1303","1.531019","0.000442","10.3.8.2","10.1.2.2","TCP","74","14280","50000 > 44187 [SYN, ACK] Seq=0 Ack=1 Win=14280 Len=0 MSS=1460 SACK_PERM=1 TSval=382 TSecr=382 WS=8"
"1304","1.531019","0.000000","10.1.2.2","10.3.8.2","TCP","74","1825","44187 > 50000 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=382 TSecr=382"
"1306","1.531024","0.000000","10.1.2.2","10.3.8.2","TCP","586","1825","44187 > 50000 [PSH, ACK] Seq=1 Ack=1 Win=14600 Len=512 TSval=382 TSecr=382"
"1307","1.531071","0.000047","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=513 Ack=1 Win=14600 Len=1428 TSval=382 TSecr=382"
"1308","1.531192","0.000121","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=1941 Ack=1 Win=14600 Len=1428 TSval=382 TSecr=382"
"1309","1.531312","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=3369 Ack=1 Win=14600 Len=1428 TSval=382 TSecr=382"
"1310","1.531432","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=4797 Ack=1 Win=14600 Len=1428 TSval=382 TSecr=382"
"1311","1.531552","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=6225 Ack=1 Win=14600 Len=1428 TSval=382 TSecr=382"
"1312","1.531672","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=7653 Ack=1 Win=14600 Len=1428 TSval=382 TSecr=382"
"1313","1.531792","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=9081 Ack=1 Win=14600 Len=1428 TSval=382 TSecr=382"
"1314","1.531912","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=10509 Ack=1 Win=14600 Len=1428 TSval=382 TSecr=382"
