"No.","Time","Delta time","Source","Destination","Protocol","Length","Window size value","Info"
"1298","1.530005","0.000005","10.2.4.2","10.4.14.2","TCP","74","14600","46629 > 50000 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=382 TSecr=0 WS=8"
"1306","1.531031","0.000012","10.4.14.2","10.2.4.2","TCP","74","14280","50000 > 46629 [SYN, ACK] Seq=0 Ack=1 Win=14280 Len=0 MSS=1460 SACK_PERM=1 TSval=382 TSecr=382 WS=8"
"1316","1.532147","0.000120","10.2.4.2","10.4.14.2","TCP","74","1825","46629 > 50000 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=382 TSecr=382"
"1317","1.532153","0.000006","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=1 Ack=1 Win=14600 Len=512 TSval=382 TSecr=382"
"1753","1.732000","0.055498","10.2.4.2","10.4.14.2","TCP","586","1825","[TCP Retransmission] 46629 > 50000 [PSH, ACK] Seq=1 Ack=1 Win=14600 Len=512 TSval=433 TSecr=382"
"1758","1.733164","0.000403","10.4.14.2","10.2.4.2","TCP","62","1721","50000 > 46629 [ACK] Seq=1 Ack=513 Win=13768 Len=0 TSval=433 TSecr=433"
"1759","1.733164","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=513 Ack=1 Win=14600 Len=512 TSval=433 TSecr=433"
"1766","1.734407","0.000005","10.4.14.2","10.2.4.2","TCP","62","1657","50000 > 46629 [ACK] Seq=1 Ack=1025 Win=13256 Len=0 TSval=433 TSecr=433"
"1767","1.734407","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=1025 Ack=1 Win=14600 Len=512 TSval=433 TSecr=433"
"1770","1.735654","0.000005","10.4.14.2","10.2.4.2","TCP","62","1593","50000 > 46629 [ACK] Seq=1 Ack=1537 Win=12744 Len=0 TSval=433 TSecr=433"
"1771","1.735654","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=1537 Ack=1 Win=14600 Len=512 TSval=433 TSecr=433"
"1780","1.736894","0.000595","10.4.14.2","10.2.4.2","TCP","62","1529","50000 > 46629 [ACK] Seq=1 Ack=2049 Win=12232 Len=0 TSval=434 TSecr=433"
"1781","1.736894","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=2049 Ack=1 Win=14600 Len=512 TSval=434 TSecr=434"
"1790","1.738157","0.000558","10.4.14.2","10.2.4.2","TCP","62","1465","50000 > 46629 [ACK] Seq=1 Ack=2561 Win=11720 Len=0 TSval=434 TSecr=434"
"1791","1.738157","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=2561 Ack=1 Win=14600 Len=512 TSval=434 TSecr=434"
"1801","1.739425","0.000005","10.4.14.2","10.2.4.2","TCP","62","1401","50000 > 46629 [ACK] Seq=1 Ack=3073 Win=11208 Len=0 TSval=434 TSecr=434"
"1802","1.739425","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=3073 Ack=1 Win=14600 Len=512 TSval=434 TSecr=434"
"1810","1.740702","0.000005","10.4.14.2","10.2.4.2","TCP","62","1337","50000 > 46629 [ACK] Seq=1 Ack=3585 Win=10696 Len=0 TSval=435 TSecr=434"
"1811","1.740702","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=3585 Ack=1 Win=14600 Len=512 TSval=435 TSecr=435"
"1815","1.741975","0.000005","10.4.14.2","10.2.4.2","TCP","62","1273","50000 > 46629 [ACK] Seq=1 Ack=4097 Win=10184 Len=0 TSval=435 TSecr=435"
"1816","1.741975","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=4097 Ack=1 Win=14600 Len=512 TSval=435 TSecr=435"
"1824","1.743154","0.000772","10.4.14.2","10.2.4.2","TCP","62","1209","50000 > 46629 [ACK] Seq=1 Ack=4609 Win=9672 Len=0 TSval=435 TSecr=435"
