"No.","Time","New Column","Source","Destination","Protocol","Length","Window size value","Info"
"6","1.180583","0.000572","10.4.14.2","10.1.2.2","TCP","74","14600","55981 > 50000 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=294 TSecr=0 WS=8"
"7","1.180583","0.000000","10.1.2.2","10.4.14.2","TCP","74","14280","50000 > 55981 [SYN, ACK] Seq=0 Ack=1 Win=14280 Len=0 MSS=1460 SACK_PERM=1 TSval=295 TSecr=294 WS=8"
"25","1.181683","0.000077","10.4.14.2","10.1.2.2","TCP","74","1825","55981 > 50000 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=295 TSecr=295"
"27","1.181807","0.000080","10.4.14.2","10.1.2.2","TCP","586","1825","55981 > 50000 [PSH, ACK] Seq=1 Ack=1 Win=14600 Len=512 TSval=295 TSecr=295"
"32","1.182121","0.000101","10.4.14.2","10.1.2.2","TCP","1502","1825","55981 > 50000 [PSH, ACK] Seq=513 Ack=1 Win=14600 Len=1428 TSval=295 TSecr=295"
"35","1.182301","0.000041","10.4.14.2","10.1.2.2","TCP","1502","1825","55981 > 50000 [PSH, ACK] Seq=1941 Ack=1 Win=14600 Len=1428 TSval=295 TSecr=295"
"37","1.182481","0.000101","10.4.14.2","10.1.2.2","TCP","1502","1825","55981 > 50000 [PSH, ACK] Seq=3369 Ack=1 Win=14600 Len=1428 TSval=295 TSecr=295"
"40","1.182661","0.000041","10.4.14.2","10.1.2.2","TCP","1502","1825","55981 > 50000 [PSH, ACK] Seq=4797 Ack=1 Win=14600 Len=1428 TSval=295 TSecr=295"
"42","1.182842","0.000101","10.4.14.2","10.1.2.2","TCP","1502","1825","55981 > 50000 [PSH, ACK] Seq=6225 Ack=1 Win=14600 Len=1428 TSval=295 TSecr=295"
"46","1.183022","0.000035","10.4.14.2","10.1.2.2","TCP","1502","1825","55981 > 50000 [PSH, ACK] Seq=7653 Ack=1 Win=14600 Len=1428 TSval=295 TSecr=295"
"49","1.183202","0.000048","10.4.14.2","10.1.2.2","TCP","1502","1825","55981 > 50000 [PSH, ACK] Seq=9081 Ack=1 Win=14600 Len=1428 TSval=295 TSecr=295"
"51","1.183382","0.000108","10.4.14.2","10.1.2.2","TCP","1502","1825","55981 > 50000 [PSH, ACK] Seq=10509 Ack=1 Win=14600 Len=1428 TSval=295 TSecr=295"
"53","1.183502","0.000108","10.4.14.2","10.1.2.2","TCP","1502","1825","55981 > 50000 [PSH, ACK] Seq=11937 Ack=1 Win=14600 Len=1428 TSval=295 TSecr=295"
"64","1.184115","0.000105","10.1.2.2","10.4.14.2","TCP","62","1919","50000 > 55981 [ACK] Seq=1 Ack=513 Win=15352 Len=0 TSval=295 TSecr=295"
"65","1.184120","0.000005","10.1.2.2","10.4.14.2","TCP","62","2284","50000 > 55981 [ACK] Seq=1 Ack=1941 Win=18272 Len=0 TSval=295 TSecr=295"
"66","1.184125","0.000005","10.1.2.2","10.4.14.2","TCP","62","2649","50000 > 55981 [ACK] Seq=1 Ack=3369 Win=21192 Len=0 TSval=295 TSecr=295"
"68","1.184130","0.000000","10.1.2.2","10.4.14.2","TCP","62","3014","50000 > 55981 [ACK] Seq=1 Ack=4797 Win=24112 Len=0 TSval=295 TSecr=295"
"69","1.184135","0.000005","10.1.2.2","10.4.14.2","TCP","62","3379","50000 > 55981 [ACK] Seq=1 Ack=6225 Win=27032 Len=0 TSval=295 TSecr=295"
