"No.","Time","New Column","Source","Destination","Protocol","Length","Window size value","Info"
"961","1.500000","0.079503","10.1.2.2","10.4.14.2","TCP","74","14600","49834 > 50000 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=375 TSecr=0 WS=8"
"967","1.501116","0.000595","10.4.14.2","10.1.2.2","TCP","74","14280","50000 > 49834 [SYN, ACK] Seq=0 Ack=1 Win=14280 Len=0 MSS=1460 SACK_PERM=1 TSval=375 TSecr=375 WS=8"
"968","1.501116","0.000000","10.1.2.2","10.4.14.2","TCP","74","1825","49834 > 50000 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=375 TSecr=375"
"970","1.501122","0.000000","10.1.2.2","10.4.14.2","TCP","586","1825","49834 > 50000 [PSH, ACK] Seq=1 Ack=1 Win=14600 Len=512 TSval=375 TSecr=375"
"971","1.501169","0.000047","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=513 Ack=1 Win=14600 Len=1428 TSval=375 TSecr=375"
"972","1.501289","0.000120","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=1941 Ack=1 Win=14600 Len=1428 TSval=375 TSecr=375"
"973","1.501409","0.000120","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=3369 Ack=1 Win=14600 Len=1428 TSval=375 TSecr=375"
"974","1.501529","0.000120","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=4797 Ack=1 Win=14600 Len=1428 TSval=375 TSecr=375"
"975","1.501649","0.000120","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=6225 Ack=1 Win=14600 Len=1428 TSval=375 TSecr=375"
"976","1.501770","0.000121","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=7653 Ack=1 Win=14600 Len=1428 TSval=375 TSecr=375"
"977","1.501890","0.000120","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=9081 Ack=1 Win=14600 Len=1428 TSval=375 TSecr=375"
