src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
55434,10.1.0.2,10.1.4.2,80018,1.5,1.720622,0.2206220000000001,220.6220000000001
37080,10.1.0.2,10.3.5.2,67630,1.500005,1.7366169999999999,0.23661199999999982,236.61199999999982
35343,10.1.0.2,10.1.6.2,202658,1.500011,1.7326169999999999,0.23260599999999987,232.60599999999988
53456,10.1.0.2,10.3.7.2,486694,1.5000170000000002,1.713861,0.21384399999999992,213.84399999999994
47727,10.1.0.2,10.3.6.2,504564,1.50597,1.712622,0.20665200000000006,206.65200000000004
47466,10.1.0.2,10.1.7.2,332466,1.508139,1.7526220000000001,0.24448300000000023,244.48300000000023
52730,10.1.0.2,10.3.4.2,372498,1.510548,1.6847569999999998,0.17420899999999984,174.20899999999983
39947,10.1.0.2,10.1.5.2,126800,1.512957,1.736622,0.223665,223.665
55438,10.1.0.2,10.1.4.2,99000,2.0,2.228622,0.2286220000000001,228.6220000000001
37084,10.1.0.2,10.3.5.2,65522,2.000005,2.260622,0.2606170000000003,260.6170000000003
35347,10.1.0.2,10.1.6.2,51384,2.000011,2.264622,0.26461099999999993,264.61099999999993
53460,10.1.0.2,10.3.7.2,134228,2.000017,2.260627,0.2606099999999998,260.6099999999998
38764,10.1.0.2,10.1.5.2,492368,2.005906,2.260632,0.25472600000000023,254.72600000000023
60832,10.1.0.2,10.1.7.2,519838,2.008242,2.260637,0.2523949999999999,252.39499999999992
47333,10.1.0.2,10.3.4.2,397648,2.00945,2.228617,0.21916699999999967,219.16699999999966
59729,10.1.0.2,10.3.6.2,408226,2.012553,2.264627,0.2520739999999999,252.0739999999999
55442,10.1.0.2,10.1.4.2,71282,2.5,2.768632,0.2686320000000002,268.6320000000002
37088,10.1.0.2,10.3.5.2,348402,2.500005,2.756627,0.25662200000000013,256.6220000000001
35351,10.1.0.2,10.1.6.2,274632,2.5000109999999998,2.768637,0.26862600000000025,268.62600000000026
53464,10.1.0.2,10.3.7.2,93578,2.500017,2.756622,0.25660499999999997,256.60499999999996
44341,10.1.0.2,10.1.7.2,519954,2.505961,2.7566319999999997,0.25067099999999964,250.67099999999965
