src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
55434,10.1.0.2,10.1.4.2,63124,1.5,1.748627,0.24862699999999993,248.62699999999992
37080,10.1.0.2,10.3.5.2,365448,1.500005,1.7166169999999998,0.2166119999999998,216.6119999999998
35343,10.1.0.2,10.1.6.2,120000,1.500011,1.756627,0.25661599999999996,256.61599999999993
53456,10.1.0.2,10.3.7.2,50922,1.5000170000000002,1.720622,0.22060499999999994,220.60499999999993
47727,10.1.0.2,10.3.4.2,434134,1.5059010000000002,1.7486220000000001,0.24272099999999996,242.72099999999998
47466,10.1.0.2,10.1.5.2,367260,1.507829,1.716622,0.208793,208.793
52730,10.1.0.2,10.3.6.2,399484,1.510238,1.7566220000000001,0.24638400000000016,246.38400000000016
39947,10.1.0.2,10.1.7.2,353218,1.5126469999999999,1.681339,0.16869200000000006,168.69200000000006
55438,10.1.0.2,10.1.4.2,333250,2.0,2.240627,0.24062699999999992,240.62699999999992
37084,10.1.0.2,10.3.5.2,141808,2.000005,2.260627,0.26062200000000013,260.6220000000001
35347,10.1.0.2,10.1.6.2,59452,2.000011,2.244622,0.2446109999999999,244.6109999999999
53460,10.1.0.2,10.3.7.2,54698,2.000017,2.256627,0.2566099999999998,256.6099999999998
38764,10.1.0.2,10.3.4.2,350634,2.005901,2.240622,0.23472099999999996,234.72099999999995
60832,10.1.0.2,10.1.5.2,81078,2.007829,2.260622,0.25279300000000005,252.79300000000003
47333,10.1.0.2,10.3.6.2,599512,2.010165,2.205857,0.19569199999999976,195.69199999999975
59729,10.1.0.2,10.1.7.2,516462,2.012381,2.256622,0.24424100000000015,244.24100000000016
55442,10.1.0.2,10.1.4.2,238612,2.5,2.764627,0.26462699999999995,264.62699999999995
37088,10.1.0.2,10.3.5.2,328140,2.500005,2.744627,0.24462200000000012,244.62200000000013
35351,10.1.0.2,10.1.6.2,131286,2.5000109999999998,2.756627,0.2566160000000002,256.61600000000016
53464,10.1.0.2,10.3.7.2,322380,2.500017,2.768627,0.2686099999999998,268.6099999999998
44341,10.1.0.2,10.3.4.2,150874,2.505901,2.764622,0.258721,258.721
57695,10.1.0.2,10.1.5.2,152926,2.507756,2.744622,0.23686600000000002,236.866
55263,10.1.0.2,10.3.6.2,626658,2.509971,2.756622,0.24665099999999995,246.65099999999995
48145,10.1.0.2,10.1.7.2,75132,2.512187,2.768622,0.2564350000000002,256.4350000000002
49866,10.3.0.2,10.1.4.2,91964,1.502631,1.7486220000000001,0.24599100000000007,245.99100000000007
53406,10.3.0.2,10.3.5.2,264812,1.5037660000000002,1.716622,0.21285599999999993,212.85599999999994
36681,10.3.0.2,10.1.6.2,366412,1.504901,1.7566220000000001,0.2517210000000001,251.7210000000001
54206,10.3.0.2,10.3.7.2,178922,1.506036,1.720622,0.21458600000000017,214.58600000000015
39587,10.3.0.2,10.1.4.2,227042,2.002631,2.240622,0.23799100000000006,237.99100000000007
40422,10.3.0.2,10.3.5.2,556880,2.003766,2.260622,0.256856,256.856
48901,10.3.0.2,10.1.6.2,86480,2.004901,2.244622,0.2397210000000003,239.7210000000003
50011,10.3.0.2,10.3.7.2,80596,2.006036,2.256622,0.2505860000000002,250.58600000000018
59880,10.3.0.2,10.1.4.2,185950,2.502631,2.764622,0.2619910000000001,261.9910000000001
49144,10.3.0.2,10.3.5.2,174540,2.503766,2.744622,0.24085599999999996,240.85599999999997
55560,10.3.0.2,10.1.6.2,99978,2.5049010000000003,2.756622,0.25172099999999986,251.72099999999986
38860,10.3.0.2,10.3.7.2,83414,2.506036,2.768622,0.2625860000000002,262.5860000000002
55434,10.1.0.2,10.1.4.2,63124,1.5,1.748627,0.24862699999999993,248.62699999999992
35343,10.1.0.2,10.1.6.2,120000,1.500011,1.756627,0.25661599999999996,256.61599999999993
47727,10.1.0.2,10.3.4.2,434134,1.5059010000000002,1.7486220000000001,0.24272099999999996,242.72099999999998
52730,10.1.0.2,10.3.6.2,399484,1.510238,1.7566220000000001,0.24638400000000016,246.38400000000016
55438,10.1.0.2,10.1.4.2,333250,2.0,2.240627,0.24062699999999992,240.62699999999992
35347,10.1.0.2,10.1.6.2,59452,2.000011,2.244622,0.2446109999999999,244.6109999999999
38764,10.1.0.2,10.3.4.2,350634,2.005901,2.240622,0.23472099999999996,234.72099999999995
47333,10.1.0.2,10.3.6.2,599512,2.010165,2.205857,0.19569199999999976,195.69199999999975
55442,10.1.0.2,10.1.4.2,238612,2.5,2.764627,0.26462699999999995,264.62699999999995
35351,10.1.0.2,10.1.6.2,131286,2.5000109999999998,2.756627,0.2566160000000002,256.61600000000016
44341,10.1.0.2,10.3.4.2,150874,2.505901,2.764622,0.258721,258.721
55263,10.1.0.2,10.3.6.2,626658,2.509971,2.756622,0.24665099999999995,246.65099999999995
49866,10.3.0.2,10.1.4.2,91964,1.502631,1.7486220000000001,0.24599100000000007,245.99100000000007
53406,10.3.0.2,10.3.5.2,264812,1.5037660000000002,1.716622,0.21285599999999993,212.85599999999994
36681,10.3.0.2,10.1.6.2,366412,1.504901,1.7566220000000001,0.2517210000000001,251.7210000000001
54206,10.3.0.2,10.3.7.2,178922,1.506036,1.720622,0.21458600000000017,214.58600000000015
39587,10.3.0.2,10.1.4.2,227042,2.002631,2.240622,0.23799100000000006,237.99100000000007
40422,10.3.0.2,10.3.5.2,556880,2.003766,2.260622,0.256856,256.856
48901,10.3.0.2,10.1.6.2,86480,2.004901,2.244622,0.2397210000000003,239.7210000000003
50011,10.3.0.2,10.3.7.2,80596,2.006036,2.256622,0.2505860000000002,250.58600000000018
59880,10.3.0.2,10.1.4.2,185950,2.502631,2.764622,0.2619910000000001,261.9910000000001
49144,10.3.0.2,10.3.5.2,174540,2.503766,2.744622,0.24085599999999996,240.85599999999997
55560,10.3.0.2,10.1.6.2,99978,2.5049010000000003,2.756622,0.25172099999999986,251.72099999999986
38860,10.3.0.2,10.3.7.2,83414,2.506036,2.768622,0.2625860000000002,262.5860000000002
55434,10.1.0.2,10.1.4.2,63124,1.5,1.748627,0.24862699999999993,248.62699999999992
35343,10.1.0.2,10.1.6.2,120000,1.500011,1.756627,0.25661599999999996,256.61599999999993
47727,10.1.0.2,10.3.4.2,434134,1.5059010000000002,1.7486220000000001,0.24272099999999996,242.72099999999998
52730,10.1.0.2,10.3.6.2,399484,1.510238,1.7566220000000001,0.24638400000000016,246.38400000000016
55438,10.1.0.2,10.1.4.2,333250,2.0,2.240627,0.24062699999999992,240.62699999999992
35347,10.1.0.2,10.1.6.2,59452,2.000011,2.244622,0.2446109999999999,244.6109999999999
38764,10.1.0.2,10.3.4.2,350634,2.005901,2.240622,0.23472099999999996,234.72099999999995
47333,10.1.0.2,10.3.6.2,599512,2.010165,2.205857,0.19569199999999976,195.69199999999975
55442,10.1.0.2,10.1.4.2,238612,2.5,2.764627,0.26462699999999995,264.62699999999995
35351,10.1.0.2,10.1.6.2,131286,2.5000109999999998,2.756627,0.2566160000000002,256.61600000000016
44341,10.1.0.2,10.3.4.2,150874,2.505901,2.764622,0.258721,258.721
55263,10.1.0.2,10.3.6.2,626658,2.509971,2.756622,0.24665099999999995,246.65099999999995
49866,10.3.0.2,10.1.4.2,91964,1.502631,1.7486220000000001,0.24599100000000007,245.99100000000007
53406,10.3.0.2,10.3.5.2,264812,1.5037660000000002,1.716622,0.21285599999999993,212.85599999999994
36681,10.3.0.2,10.1.6.2,366412,1.504901,1.7566220000000001,0.2517210000000001,251.7210000000001
54206,10.3.0.2,10.3.7.2,178922,1.506036,1.720622,0.21458600000000017,214.58600000000015
39587,10.3.0.2,10.1.4.2,227042,2.002631,2.240622,0.23799100000000006,237.99100000000007
40422,10.3.0.2,10.3.5.2,556880,2.003766,2.260622,0.256856,256.856
48901,10.3.0.2,10.1.6.2,86480,2.004901,2.244622,0.2397210000000003,239.7210000000003
50011,10.3.0.2,10.3.7.2,80596,2.006036,2.256622,0.2505860000000002,250.58600000000018
59880,10.3.0.2,10.1.4.2,185950,2.502631,2.764622,0.2619910000000001,261.9910000000001
49144,10.3.0.2,10.3.5.2,174540,2.503766,2.744622,0.24085599999999996,240.85599999999997
55560,10.3.0.2,10.1.6.2,99978,2.5049010000000003,2.756622,0.25172099999999986,251.72099999999986
38860,10.3.0.2,10.3.7.2,83414,2.506036,2.768622,0.2625860000000002,262.5860000000002
55434,10.1.0.2,10.1.4.2,63124,1.5,1.748627,0.24862699999999993,248.62699999999992
35343,10.1.0.2,10.1.6.2,120000,1.500011,1.756627,0.25661599999999996,256.61599999999993
47727,10.1.0.2,10.3.4.2,434134,1.5059010000000002,1.7486220000000001,0.24272099999999996,242.72099999999998
52730,10.1.0.2,10.3.6.2,399484,1.510238,1.7566220000000001,0.24638400000000016,246.38400000000016
55438,10.1.0.2,10.1.4.2,333250,2.0,2.240627,0.24062699999999992,240.62699999999992
35347,10.1.0.2,10.1.6.2,59452,2.000011,2.244622,0.2446109999999999,244.6109999999999
38764,10.1.0.2,10.3.4.2,350634,2.005901,2.240622,0.23472099999999996,234.72099999999995
47333,10.1.0.2,10.3.6.2,599512,2.010165,2.205857,0.19569199999999976,195.69199999999975
55442,10.1.0.2,10.1.4.2,238612,2.5,2.764627,0.26462699999999995,264.62699999999995
35351,10.1.0.2,10.1.6.2,131286,2.5000109999999998,2.756627,0.2566160000000002,256.61600000000016
44341,10.1.0.2,10.3.4.2,150874,2.505901,2.764622,0.258721,258.721
55263,10.1.0.2,10.3.6.2,626658,2.509971,2.756622,0.24665099999999995,246.65099999999995
49866,10.3.0.2,10.1.4.2,91964,1.502631,1.7486220000000001,0.24599100000000007,245.99100000000007
53406,10.3.0.2,10.3.5.2,264812,1.5037660000000002,1.716622,0.21285599999999993,212.85599999999994
