src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
33617,10.1.4.2,10.1.7.2,108306,1.169999,1.230014,0.06001499999999993,60.01499999999993
34639,10.1.4.2,10.3.8.2,108306,1.8599999999999999,1.927018,0.06701800000000002,67.01800000000003
41590,10.1.5.2,10.1.0.2,108306,1.169999,1.239019,0.06902000000000008,69.02000000000008
49226,10.1.5.2,10.3.12.2,108306,1.8599999999999999,1.9270209999999999,0.067021,67.021
35616,10.1.5.2,10.3.11.2,108306,2.49,2.559017,0.06901699999999966,69.01699999999965
46585,10.1.6.2,10.3.12.2,108306,1.169999,1.239019,0.06902000000000008,69.02000000000008
60104,10.1.6.2,10.3.15.2,108306,1.8599999999999999,1.927019,0.06701900000000016,67.01900000000016
37407,10.1.6.2,10.3.14.2,108306,2.49,2.559021,0.06902099999999978,69.02099999999977
48712,10.1.7.2,10.1.3.2,108306,1.169999,1.239017,0.06901800000000002,69.01800000000003
51256,10.1.7.2,10.1.2.2,108306,1.8599999999999999,1.931017,0.07101700000000011,71.01700000000011
56660,10.1.7.2,10.3.8.2,108306,2.49,2.559023,0.06902299999999961,69.02299999999961
42946,10.1.0.2,10.1.1.2,108306,1.169999,1.221009,0.05101,51.01
35342,10.1.0.2,10.1.6.2,108306,2.49,2.559017,0.06901699999999966,69.01699999999965
40765,10.1.1.2,10.1.2.2,108306,1.169999,1.230014,0.06001499999999993,60.01499999999993
42219,10.1.1.2,10.3.9.2,108306,1.8599999999999999,1.9270209999999999,0.067021,67.021
39225,10.1.1.2,10.3.15.2,108306,2.49,2.559019,0.06901899999999994,69.01899999999995
40751,10.1.2.2,10.3.9.2,108306,1.169999,1.239018,0.06901899999999994,69.01899999999995
50047,10.1.2.2,10.1.1.2,108306,1.8599999999999999,1.922014,0.062014000000000014,62.01400000000001
47879,10.1.3.2,10.1.5.2,108306,1.169999,1.239021,0.06902199999999992,69.02199999999992
49117,10.1.3.2,10.3.12.2,108306,2.49,2.559019,0.06901899999999994,69.01899999999995
38166,10.1.13.2,10.1.6.2,108306,1.169999,1.239018,0.06901899999999994,69.01899999999995
52834,10.1.13.2,10.1.5.2,108306,2.49,2.559022,0.06902199999999992,69.02199999999992
44309,10.1.12.2,10.1.4.2,108306,1.169999,1.239021,0.06902199999999992,69.02199999999992
57039,10.1.12.2,10.1.0.2,108306,2.49,2.559019,0.06901899999999994,69.01899999999995
