src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
59143,10.1.4.2,10.1.6.2,243522,1.7299989999999998,1.903462,0.17346300000000014,173.46300000000014
50075,10.1.4.2,10.3.6.2,45078,1.739457,1.903457,0.16399999999999992,163.99999999999991
44209,10.3.4.2,10.1.6.2,665788,1.739217,1.903462,0.16424499999999997,164.24499999999998
38501,10.1.5.2,10.3.14.2,401190,1.7299989999999998,1.995023,0.26502400000000015,265.02400000000017
53081,10.1.5.2,10.1.14.2,385390,1.742471,1.995018,0.25254699999999985,252.54699999999985
44677,10.3.5.2,10.3.14.2,46952,1.7422309999999999,1.995023,0.2527920000000001,252.79200000000012
46585,10.1.6.2,10.3.12.2,174816,1.7299989999999998,1.995022,0.26502300000000023,265.02300000000025
57207,10.1.6.2,10.1.12.2,83620,1.742672,1.995017,0.25234500000000004,252.34500000000003
42460,10.3.6.2,10.3.12.2,63784,1.742432,1.995022,0.2525900000000001,252.5900000000001
56658,10.1.7.2,10.3.8.2,197904,1.7299989999999998,1.999022,0.26902300000000023,269.02300000000025
53134,10.1.7.2,10.1.8.2,204634,1.7425570000000001,1.999017,0.2564599999999999,256.4599999999999
33830,10.3.7.2,10.3.8.2,652056,1.742317,1.999022,0.2567050000000002,256.70500000000015
55434,10.1.0.2,10.1.4.2,226686,1.7299989999999998,1.951022,0.2210230000000002,221.0230000000002
41507,10.1.0.2,10.3.4.2,184922,1.742471,1.951017,0.2085459999999999,208.5459999999999
55252,10.3.0.2,10.1.4.2,96008,1.7422309999999999,1.951022,0.20879100000000017,208.79100000000017
56675,10.1.1.2,10.3.10.2,143970,1.7299989999999998,1.995022,0.26502300000000023,265.02300000000025
33347,10.1.1.2,10.1.10.2,763500,1.742511,1.995017,0.2525060000000001,252.5060000000001
38867,10.3.1.2,10.3.10.2,131670,1.7422710000000001,1.995022,0.25275099999999995,252.75099999999995
40751,10.1.2.2,10.3.9.2,173066,1.7299989999999998,1.999022,0.26902300000000023,269.02300000000025
37350,10.1.2.2,10.1.9.2,341460,1.742474,1.999017,0.25654299999999997,256.54299999999995
51661,10.3.2.2,10.3.9.2,487822,1.7422339999999998,1.999022,0.25678800000000024,256.78800000000024
36660,10.1.3.2,10.3.13.2,752388,1.7299989999999998,1.967022,0.2370230000000002,237.0230000000002
46867,10.1.3.2,10.1.13.2,106460,1.742518,1.967017,0.224499,224.499
39282,10.3.3.2,10.3.13.2,188050,1.742278,1.967022,0.22474400000000005,224.74400000000006
52154,10.1.13.2,10.1.7.2,105800,1.7299989999999998,1.999022,0.26902300000000023,269.02300000000025
53087,10.3.13.2,10.1.7.2,122162,1.742243,1.999022,0.2567790000000001,256.7790000000001
45682,10.1.12.2,10.3.11.2,98104,1.7299989999999998,1.963022,0.2330230000000002,233.0230000000002
49132,10.3.12.2,10.3.11.2,385576,1.742246,1.963022,0.22077600000000008,220.7760000000001
34405,10.1.11.2,10.1.2.2,364722,1.7299989999999998,1.963126,0.23312700000000008,233.1270000000001
47879,10.3.11.2,10.1.2.2,504392,1.7422659999999999,1.963126,0.22086000000000006,220.86000000000007
60028,10.1.10.2,10.1.3.2,187390,1.7299989999999998,1.995022,0.26502300000000023,265.02300000000025
41212,10.3.10.2,10.1.3.2,108148,1.742243,1.995022,0.2527790000000001,252.77900000000008
35015,10.1.8.2,10.1.1.2,105862,1.7299989999999998,1.9587400000000001,0.2287410000000003,228.7410000000003
47587,10.3.8.2,10.1.1.2,685658,1.7422309999999999,1.9587400000000001,0.21650900000000028,216.5090000000003
39302,10.1.9.2,10.3.15.2,184882,1.7299989999999998,1.991022,0.2610230000000002,261.02300000000025
43980,10.3.9.2,10.3.15.2,94320,1.742256,1.991022,0.24876600000000004,248.76600000000005
42630,10.1.15.2,10.1.0.2,163606,1.7299989999999998,1.971022,0.2410230000000002,241.0230000000002
45089,10.3.15.2,10.1.0.2,153256,1.7422680000000001,1.971022,0.2287539999999999,228.7539999999999
53670,10.1.14.2,10.1.5.2,152100,1.7299989999999998,1.9950269999999999,0.26502800000000004,265.028
49998,10.3.14.2,10.1.5.2,94258,1.742255,1.9950269999999999,0.2527719999999998,252.77199999999976
41254,10.1.4.2,10.1.0.2,243198,1.52,1.748198,0.2281979999999999,228.1979999999999
50075,10.1.4.2,10.3.0.2,118786,1.5324710000000001,1.748193,0.21572199999999997,215.72199999999998
44209,10.3.4.2,10.1.0.2,99012,1.532231,1.748198,0.21596700000000002,215.967
35614,10.1.5.2,10.3.11.2,185826,1.52,1.75157,0.23157000000000005,231.57000000000005
53081,10.1.5.2,10.1.11.2,89690,1.532498,1.751565,0.21906700000000012,219.06700000000012
44677,10.3.5.2,10.3.11.2,88064,1.532257,1.751387,0.21913000000000005,219.13000000000005
60481,10.3.5.2,10.1.4.2,8162,1.694135,1.905014,0.21087900000000004,210.87900000000005
37405,10.1.6.2,10.3.14.2,716292,1.52,1.749793,0.22979299999999991,229.79299999999992
53297,10.1.6.2,10.1.14.2,71356,1.532483,1.7497880000000001,0.21730500000000008,217.3050000000001
46110,10.1.6.2,10.1.7.2,60210,1.690166,1.905014,0.21484799999999993,214.84799999999993
52700,10.1.6.2,10.3.7.2,533794,1.6949290000000001,1.905009,0.21007999999999982,210.0799999999998
39138,10.3.6.2,10.3.14.2,266822,1.532243,1.749829,0.21758600000000006,217.58600000000007
35468,10.3.6.2,10.1.7.2,3470,1.694522,1.905014,0.2104919999999999,210.4919999999999
49533,10.1.7.2,10.1.1.2,158232,1.52,1.791528,0.271528,271.528
53134,10.1.7.2,10.3.1.2,82242,1.532496,1.791523,0.2590269999999999,259.0269999999999
33830,10.3.7.2,10.1.1.2,152698,1.5322559999999998,1.791118,0.25886200000000015,258.86200000000014
55434,10.1.0.2,10.1.4.2,180948,1.52,1.7910249999999999,0.27102499999999985,271.02499999999986
41507,10.1.0.2,10.3.4.2,128232,1.5324710000000001,1.79102,0.2585489999999999,258.5489999999999
55252,10.3.0.2,10.1.4.2,103580,1.532231,1.791381,0.25915,259.15
56806,10.1.1.2,10.1.5.2,134958,1.52,1.750706,0.23070600000000008,230.70600000000007
33347,10.1.1.2,10.3.5.2,80492,1.5325069999999998,1.7507009999999998,0.218194,218.194
38867,10.3.1.2,10.1.5.2,164962,1.532266,1.750568,0.218302,218.302
45953,10.1.2.2,10.3.10.2,225498,1.52,1.7910249999999999,0.27102499999999985,271.02499999999986
37350,10.1.2.2,10.1.10.2,66664,1.532473,1.79102,0.2585470000000001,258.5470000000001
52154,10.1.13.2,10.1.7.2,184386,1.52,1.791022,0.2710219999999999,271.0219999999999
53087,10.3.13.2,10.1.7.2,97448,1.532268,1.791022,0.25875399999999993,258.7539999999999
57724,10.1.12.2,10.1.3.2,188892,1.52,1.7870219999999999,0.26702199999999987,267.0219999999999
49132,10.3.12.2,10.1.3.2,800292,1.532278,1.7874919999999999,0.25521399999999983,255.21399999999983
55618,10.1.11.2,10.1.6.2,151790,1.52,1.7596,0.23960000000000004,239.60000000000002
47879,10.3.11.2,10.1.6.2,217084,1.532243,1.7596,0.22735700000000003,227.35700000000003
36113,10.1.10.2,10.3.15.2,188830,1.52,1.751025,0.23102500000000004,231.02500000000003
41212,10.3.10.2,10.3.15.2,112778,1.532268,1.751025,0.2187570000000001,218.7570000000001
33369,10.1.8.2,10.3.12.2,170124,1.52,1.791022,0.2710219999999999,271.0219999999999
47587,10.3.8.2,10.3.12.2,120536,1.532231,1.791022,0.258791,258.791
38105,10.3.8.2,10.3.11.2,55276,1.6987100000000002,2.010019,0.3113089999999996,311.3089999999996
41638,10.1.9.2,10.1.2.2,195272,1.52,1.750223,0.23022300000000007,230.22300000000007
43980,10.3.9.2,10.1.2.2,91254,1.5322550000000001,1.750076,0.21782099999999982,217.82099999999983
33290,10.1.15.2,10.3.9.2,183008,1.52,1.7873890000000001,0.2673890000000001,267.3890000000001
45089,10.3.15.2,10.3.9.2,89690,1.5322689999999999,1.7873890000000001,0.25512000000000024,255.12000000000023
52873,10.1.14.2,10.3.8.2,163992,1.52,1.7634859999999999,0.24348599999999987,243.48599999999988
49998,10.3.14.2,10.3.8.2,772884,1.532244,1.7634859999999999,0.23124199999999995,231.24199999999996
58622,10.1.4.2,10.3.9.2,604910,2.169999,2.387134,0.2171350000000003,217.1350000000003
50075,10.1.4.2,10.1.9.2,149508,2.182471,2.387129,0.20465799999999978,204.6579999999998
44209,10.3.4.2,10.3.9.2,66602,2.182231,2.387134,0.20490300000000028,204.90300000000028
51919,10.1.5.2,10.1.2.2,104174,2.169999,2.397773,0.22777400000000014,227.77400000000014
53081,10.1.5.2,10.3.2.2,587250,2.182486,2.397768,0.2152820000000002,215.2820000000002
44677,10.3.5.2,10.1.2.2,80554,2.182246,2.397773,0.2155269999999998,215.52699999999982
37405,10.1.6.2,10.3.14.2,776854,2.169999,2.435262,0.265263,265.26300000000003
53297,10.1.6.2,10.1.14.2,146566,2.182495,2.435257,0.25276200000000015,252.76200000000014
43318,10.1.6.2,10.1.4.2,223562,2.41,2.58356,0.17355999999999971,173.55999999999972
39138,10.3.6.2,10.3.14.2,155888,2.182255,2.435262,0.25300699999999976,253.00699999999975
54329,10.1.7.2,10.3.10.2,726110,2.169999,2.435022,0.26502300000000023,265.02300000000025
53134,10.1.7.2,10.1.10.2,103580,2.182498,2.435017,0.2525190000000004,252.51900000000037
33830,10.3.7.2,10.3.10.2,105392,2.182258,2.435022,0.252764,252.76399999999998
60702,10.1.0.2,10.3.15.2,796118,2.169999,2.431173,0.261174,261.17400000000004
41507,10.1.0.2,10.1.15.2,130988,2.182471,2.431168,0.24869699999999995,248.69699999999995
55252,10.3.0.2,10.3.15.2,136114,2.182231,2.431022,0.2487910000000002,248.7910000000002
49487,10.1.1.2,10.3.13.2,323486,2.169999,2.398745,0.22874600000000012,228.74600000000012
33347,10.1.1.2,10.1.13.2,138808,2.182507,2.39874,0.2162329999999999,216.2329999999999
38867,10.3.1.2,10.3.13.2,566022,2.182266,2.398745,0.2164790000000001,216.4790000000001
44179,10.1.2.2,10.3.8.2,230004,2.169999,2.411022,0.2410230000000002,241.0230000000002
37350,10.1.2.2,10.1.8.2,152760,2.182495,2.411017,0.22852200000000034,228.52200000000033
51661,10.3.2.2,10.3.8.2,663886,2.182255,2.411022,0.22876699999999994,228.76699999999994
47879,10.1.3.2,10.1.5.2,635942,2.169999,2.407022,0.2370230000000002,237.0230000000002
46867,10.1.3.2,10.3.5.2,336658,2.182473,2.407017,0.2245440000000003,224.5440000000003
39282,10.3.3.2,10.1.5.2,53084,2.182233,2.407022,0.2247889999999999,224.7889999999999
59804,10.1.13.2,10.1.3.2,146092,2.169999,2.435022,0.26502300000000023,265.02300000000025
53087,10.3.13.2,10.1.3.2,173974,2.182271,2.435022,0.25275099999999995,252.75099999999995
48669,10.1.12.2,10.1.6.2,748206,2.169999,2.40904,0.23904100000000028,239.04100000000028
49132,10.3.12.2,10.1.6.2,195746,2.182244,2.40904,0.22679600000000022,226.79600000000022
56967,10.1.11.2,10.3.12.2,130204,2.169999,2.397316,0.2273170000000002,227.3170000000002
55586,10.1.11.2,10.1.12.2,384336,2.182483,2.397311,0.21482800000000024,214.82800000000023
44358,10.3.11.2,10.3.12.2,501574,2.182243,2.397316,0.21507299999999985,215.07299999999984
50744,10.1.10.2,10.1.7.2,778418,2.169999,2.439022,0.26902300000000023,269.02300000000025
41212,10.3.10.2,10.1.7.2,151258,2.182268,2.439022,0.2567539999999999,256.7539999999999
35015,10.1.8.2,10.1.1.2,646642,2.169999,2.435023,0.26502400000000037,265.02400000000034
47587,10.3.8.2,10.1.1.2,239986,2.1822340000000002,2.435023,0.25278899999999993,252.78899999999993
33948,10.1.9.2,10.3.11.2,104050,2.169999,2.382019,0.21202000000000032,212.02000000000032
48277,10.3.9.2,10.3.11.2,319516,2.178199,2.382019,0.2038199999999999,203.81999999999988
41021,10.1.15.2,10.1.4.2,262150,2.169999,2.372357,0.20235800000000026,202.35800000000026
