src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
59312,10.2.4.2,10.4.13.2,1072704,1.8,2.123799,0.32379899999999995,323.7989999999999
38710,10.2.4.2,10.4.12.2,1076674,1.909999,2.275105,0.36510599999999993,365.10599999999994
38711,10.2.4.2,10.4.12.2,1077834,2.020674,2.487381,0.466707,466.707
51530,10.2.4.2,10.1.2.2,1083680,2.029999,2.7072599999999998,0.6772609999999997,677.2609999999996
34410,10.2.5.2,10.1.0.2,1077230,1.8,2.060529,0.2605289999999998,260.52899999999977
60818,10.2.5.2,10.4.13.2,1076674,1.909999,2.30368,0.39368099999999995,393.6809999999999
59431,10.2.5.2,10.1.1.2,1077958,2.02,2.5271369999999997,0.5071369999999997,507.1369999999997
42277,10.2.5.2,10.4.12.2,1083060,2.029999,2.669883,0.6398839999999999,639.8839999999999
37941,10.2.5.2,10.2.7.2,1072704,2.569999,2.7940139999999998,0.22401499999999963,224.01499999999965
43793,10.2.6.2,10.4.12.2,1072704,1.8,2.103107,0.303107,303.107
52382,10.2.6.2,10.4.14.2,1076674,1.909999,2.275137,0.36513799999999996,365.138
37200,10.2.6.2,10.1.0.2,1078640,2.02,2.52359,0.50359,503.59
51427,10.2.6.2,10.4.13.2,1081002,2.029999,2.70732,0.6773210000000001,677.321
46210,10.2.6.2,10.3.10.2,1077650,2.570414,2.815017,0.24460300000000013,244.60300000000012
36348,10.2.7.2,10.3.10.2,1072704,1.8,2.107442,0.30744199999999977,307.4419999999998
39772,10.2.7.2,10.3.11.2,1076674,1.909999,2.275154,0.3651550000000001,365.15500000000014
49442,10.2.7.2,10.3.9.2,1078082,2.020784,2.53159,0.5108060000000001,510.8060000000001
42220,10.2.7.2,10.3.8.2,1082812,2.030061,2.677065,0.6470039999999999,647.0039999999999
39776,10.2.7.2,10.3.11.2,1077502,2.569999,2.819214,0.24921499999999996,249.21499999999997
34254,10.1.0.2,10.2.6.2,1072704,1.8,2.091526,0.29152599999999995,291.52599999999995
38675,10.1.0.2,10.3.8.2,1072704,2.02,2.331459,0.31145900000000015,311.4590000000002
34256,10.1.0.2,10.2.6.2,1077958,2.030289,2.531017,0.5007280000000001,500.72800000000007
49597,10.1.0.2,10.3.9.2,1084734,2.35,3.015017,0.6650169999999997,665.0169999999997
55249,10.1.0.2,10.4.14.2,1074874,2.569999,2.859017,0.289018,289.018
59081,10.1.1.2,10.3.8.2,1072704,1.8,2.111573,0.3115729999999999,311.57299999999987
49749,10.1.1.2,10.2.5.2,1076674,1.909999,2.283329,0.37333000000000016,373.33000000000015
56677,10.1.1.2,10.3.10.2,1077958,2.02,2.527017,0.5070169999999998,507.0169999999998
44351,10.1.1.2,10.2.4.2,1084796,2.030497,2.715051,0.6845539999999999,684.5539999999999
36723,10.1.1.2,10.1.3.2,1072704,2.569999,2.740658,0.17065899999999967,170.65899999999968
49829,10.1.2.2,10.4.14.2,1072704,1.8,2.099137,0.29913699999999976,299.1369999999998
41466,10.1.2.2,10.4.15.2,1076674,1.909999,2.275698,0.3656990000000002,365.69900000000024
49831,10.1.2.2,10.4.14.2,1077834,2.020115,2.486245,0.4661299999999997,466.1299999999997
45956,10.1.2.2,10.3.10.2,1083308,2.030251,2.682379,0.6521280000000003,652.1280000000003
44183,10.1.2.2,10.3.8.2,1086230,2.35,3.143017,0.7930169999999999,793.0169999999998
44184,10.1.2.2,10.3.8.2,1075866,2.569999,2.859018,0.2890189999999997,289.01899999999966
54032,10.1.3.2,10.1.1.2,1072704,1.8,2.018014,0.21801399999999993,218.01399999999992
33453,10.1.3.2,10.4.15.2,1072704,2.02,2.331191,0.311191,311.191
44945,10.1.3.2,10.3.9.2,1078082,2.029999,2.535328,0.5053289999999997,505.3289999999997
44886,10.1.3.2,10.2.4.2,1084734,2.350159,3.01108,0.6609210000000001,660.921
52673,10.1.3.2,10.4.12.2,1077502,2.569999,2.839017,0.269018,269.018
53725,10.4.13.2,10.1.3.2,1084080,1.8,2.217534,0.41753400000000007,417.53400000000005
47096,10.4.13.2,10.2.6.2,1076674,1.910047,2.29116,0.38111300000000004,381.11300000000006
38741,10.4.13.2,10.3.11.2,1078330,2.02,2.52728,0.5072800000000002,507.2800000000002
52961,10.4.13.2,10.2.5.2,1084672,2.029999,2.680967,0.6509679999999998,650.9679999999997
53009,10.4.13.2,10.3.10.2,1086428,2.35,3.143017,0.7930169999999999,793.0169999999998
55653,10.4.12.2,10.3.9.2,1072704,1.8,2.116118,0.3161180000000001,316.1180000000001
45819,10.4.12.2,10.3.8.2,1076674,1.909999,2.279017,0.36901800000000007,369.0180000000001
50847,10.4.12.2,10.1.3.2,1082682,2.020648,2.5351,0.5144519999999999,514.4519999999999
48867,10.4.12.2,10.3.11.2,1083556,2.030475,2.7156219999999998,0.6851469999999997,685.1469999999997
58857,10.4.12.2,10.1.1.2,1077638,2.569999,2.811109,0.24110999999999994,241.10999999999993
50517,10.3.11.2,10.2.7.2,1072704,1.8,2.099713,0.2997129999999999,299.7129999999999
50518,10.3.11.2,10.2.7.2,1076674,1.909999,2.275766,0.36576699999999995,365.76699999999994
50222,10.3.11.2,10.1.2.2,1078268,2.02,2.523069,0.503069,503.06899999999996
33078,10.3.11.2,10.1.3.2,1084796,2.030001,2.711291,0.6812900000000002,681.2900000000002
60550,10.3.11.2,10.3.9.2,1072704,2.569999,2.7957039999999997,0.2257049999999996,225.7049999999996
45649,10.3.10.2,10.2.4.2,1072704,1.8,2.112341,0.31234099999999976,312.3409999999998
32860,10.3.10.2,10.1.1.2,1076674,1.909999,2.275809,0.3658100000000002,365.8100000000002
49150,10.3.10.2,10.2.6.2,1077834,2.02,2.488696,0.468696,468.696
42899,10.3.10.2,10.4.14.2,1083184,2.030537,2.68709,0.6565530000000002,656.5530000000001
36001,10.3.10.2,10.4.13.2,1077984,2.569999,2.759402,0.189403,189.403
45257,10.3.8.2,10.4.15.2,1072704,1.8,2.11119,0.3111900000000001,311.19000000000005
48442,10.3.8.2,10.3.9.2,1076674,1.909999,2.113827,0.20382800000000012,203.82800000000012
48880,10.3.8.2,10.4.13.2,1077834,2.021362,2.491591,0.47022900000000023,470.2290000000002
49595,10.3.8.2,10.1.0.2,1083990,2.030819,2.672251,0.641432,641.432
51232,10.3.8.2,10.2.6.2,1077440,2.569999,2.843017,0.273018,273.018
56094,10.3.9.2,10.1.2.2,1072704,1.8,2.112512,0.3125120000000001,312.5120000000001
