src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
42298,10.2.4.2,10.2.7.2,536698,1.919999,2.054014,0.134015,134.015
59313,10.2.4.2,10.4.13.2,535954,2.14,2.307019,0.1670189999999998,167.0189999999998
59584,10.2.4.2,10.3.9.2,543336,2.33,2.603017,0.27301699999999984,273.0169999999998
41248,10.2.5.2,10.3.11.2,540480,1.919999,2.067017,0.14701799999999987,147.01799999999986
56750,10.2.5.2,10.3.9.2,535954,2.14,2.307017,0.16701699999999997,167.01699999999997
42276,10.2.5.2,10.4.12.2,543336,2.33,2.599017,0.26901699999999984,269.0169999999998
35898,10.2.6.2,10.1.2.2,540480,1.919999,2.067018,0.147019,147.019
43794,10.2.6.2,10.4.12.2,535954,2.14,2.307019,0.1670189999999998,167.0189999999998
52383,10.2.6.2,10.4.14.2,538414,2.33,2.591017,0.26101699999999983,261.0169999999998
42241,10.2.7.2,10.4.13.2,540480,1.919999,2.071017,0.15101799999999987,151.0179999999999
43457,10.2.7.2,10.1.3.2,535954,2.14,2.319017,0.17901699999999998,179.017
42243,10.2.7.2,10.4.13.2,543336,2.33,2.603018,0.273018,273.018
38674,10.1.0.2,10.3.8.2,540480,2.14,2.283017,0.14301699999999995,143.01699999999994
59531,10.1.0.2,10.1.2.2,535954,2.33,2.4581720000000002,0.12817200000000017,128.17200000000017
45827,10.1.1.2,10.4.14.2,540480,1.919999,2.067017,0.14701799999999987,147.01799999999986
56676,10.1.1.2,10.3.10.2,535954,2.14,2.311018,0.17101799999999967,171.01799999999966
36720,10.1.1.2,10.1.3.2,541278,2.33,2.530014,0.20001399999999991,200.01399999999992
53570,10.1.2.2,10.2.6.2,540480,1.919999,2.067018,0.147019,147.019
49830,10.1.2.2,10.4.14.2,535954,2.14,2.311017,0.17101699999999997,171.01699999999997
60415,10.1.2.2,10.2.7.2,543336,2.33,2.563028,0.233028,233.02800000000002
33452,10.1.3.2,10.4.15.2,540480,1.919999,2.067021,0.14702199999999999,147.022
58443,10.1.3.2,10.1.2.2,537340,2.14,2.187712,0.047711999999999755,47.711999999999755
34767,10.1.3.2,10.3.10.2,543274,2.33,2.603017,0.27301699999999984,273.0169999999998
34348,10.4.13.2,10.2.4.2,540418,1.919999,2.008712,0.08871300000000004,88.71300000000004
52959,10.4.13.2,10.2.5.2,535954,2.14,2.307017,0.16701699999999997,167.01699999999997
34350,10.4.13.2,10.2.4.2,543336,2.33,2.599017,0.26901699999999984,269.0169999999998
39098,10.4.12.2,10.3.10.2,540480,1.919999,2.067017,0.14701799999999987,147.01799999999986
58853,10.4.12.2,10.1.1.2,535954,2.14,2.307019,0.1670189999999998,167.0189999999998
45820,10.4.12.2,10.3.8.2,543150,2.33,2.599019,0.2690190000000001,269.0190000000001
60498,10.3.11.2,10.2.5.2,540480,1.919999,2.067019,0.14702000000000015,147.02000000000015
50518,10.3.11.2,10.2.7.2,535954,2.14,2.311019,0.1710189999999998,171.0189999999998
47966,10.3.11.2,10.1.0.2,538414,2.33,2.595017,0.26501699999999984,265.0169999999998
59257,10.3.10.2,10.4.12.2,540480,1.919999,2.067017,0.14701799999999987,147.01799999999986
37738,10.3.10.2,10.4.15.2,535954,2.14,2.311017,0.17101699999999997,171.01699999999997
32861,10.3.10.2,10.1.1.2,543336,2.33,2.603017,0.27301699999999984,273.0169999999998
34635,10.3.8.2,10.1.1.2,539674,1.919999,2.079017,0.15901799999999988,159.0179999999999
33807,10.3.8.2,10.3.11.2,535954,2.14,2.2700139999999998,0.13001399999999963,130.01399999999964
45259,10.3.8.2,10.4.15.2,536636,2.33,2.495089,0.16508900000000004,165.08900000000006
46217,10.3.9.2,10.3.8.2,536450,1.919999,2.005063,0.0850639999999998,85.06399999999981
40564,10.3.9.2,10.2.6.2,535954,2.14,2.307017,0.16701699999999997,167.01699999999997
42420,10.3.9.2,10.2.5.2,543336,2.33,2.599019,0.2690190000000001,269.0190000000001
58766,10.4.15.2,10.1.3.2,540480,1.919999,2.067018,0.147019,147.019
40006,10.4.15.2,10.1.0.2,541024,2.14,2.299017,0.15901699999999996,159.01699999999997
39602,10.4.15.2,10.2.6.2,543336,2.33,2.6030189999999997,0.2730189999999997,273.01899999999966
49815,10.4.14.2,10.3.9.2,543836,1.919999,2.239812,0.3198130000000001,319.8130000000001
54045,10.4.14.2,10.2.4.2,535954,2.14,2.307019,0.1670189999999998,167.0189999999998
57522,10.4.14.2,10.3.11.2,543336,2.33,2.603017,0.27301699999999984,273.0169999999998
59312,10.2.4.2,10.4.13.2,540480,2.189999,2.335019,0.14502000000000015,145.02000000000015
59313,10.2.4.2,10.4.13.2,535954,2.37,2.547017,0.17701699999999976,177.01699999999977
38286,10.2.4.2,10.3.10.2,538414,2.439999,2.703019,0.26302000000000003,263.02000000000004
36190,10.2.5.2,10.3.8.2,540480,2.189999,2.335017,0.1450180000000003,145.0180000000003
43336,10.2.5.2,10.4.15.2,535954,2.37,2.543019,0.17301900000000003,173.01900000000003
