src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
55434,10.1.0.2,10.1.4.2,7634,1.199999,1.288617,0.08861799999999986,88.61799999999987
37080,10.1.0.2,10.3.5.2,7634,1.200005,1.284617,0.08461199999999991,84.61199999999991
35343,10.1.0.2,10.1.6.2,7634,1.200011,1.280622,0.08061099999999999,80.61099999999999
53456,10.1.0.2,10.3.7.2,7634,1.200017,1.280617,0.0806,80.60000000000001
55438,10.1.0.2,10.1.4.2,7634,1.25,1.344617,0.09461699999999995,94.61699999999995
37084,10.1.0.2,10.3.5.2,7634,1.250005,1.332622,0.08261699999999994,82.61699999999993
35347,10.1.0.2,10.1.6.2,7634,1.250011,1.332617,0.08260599999999996,82.60599999999995
53460,10.1.0.2,10.3.7.2,7634,1.250017,1.332627,0.08261000000000007,82.61000000000007
55442,10.1.0.2,10.1.4.2,7634,1.429999,1.520617,0.09061800000000009,90.61800000000008
37088,10.1.0.2,10.3.5.2,7634,1.430005,1.516617,0.08661200000000013,86.61200000000014
35351,10.1.0.2,10.1.6.2,7634,1.430011,1.512617,0.08260600000000018,82.60600000000018
53464,10.1.0.2,10.3.7.2,7634,1.4300169999999999,1.512622,0.08260500000000004,82.60500000000005
55446,10.1.0.2,10.1.4.2,7634,2.319999,2.412617,0.09261799999999987,92.61799999999987
37092,10.1.0.2,10.3.5.2,7634,2.320005,2.400617,0.0806119999999999,80.61199999999991
35355,10.1.0.2,10.1.6.2,7634,2.320011,2.404617,0.08460599999999996,84.60599999999997
53468,10.1.0.2,10.3.7.2,7634,2.320017,2.400622,0.08060499999999982,80.60499999999982
55434,10.1.0.2,10.1.4.2,7634,1.85,1.944617,0.09461699999999995,94.61699999999995
35343,10.1.0.2,10.1.6.2,7634,1.8500109999999999,1.936617,0.08660600000000018,86.60600000000018
55438,10.1.0.2,10.1.4.2,7634,2.27,2.368617,0.09861699999999995,98.61699999999996
35347,10.1.0.2,10.1.6.2,7634,2.2700110000000002,2.352627,0.0826159999999998,82.6159999999998
37088,10.1.0.2,10.3.5.2,7634,2.790005,2.872617,0.08261200000000013,82.61200000000014
53464,10.1.0.2,10.3.7.2,7634,2.7900169999999997,2.872622,0.08260500000000004,82.60500000000005
55434,10.1.0.2,10.1.4.2,7634,1.459999,1.5526170000000001,0.09261800000000009,92.6180000000001
35343,10.1.0.2,10.1.6.2,7634,1.460011,1.540627,0.08061600000000002,80.61600000000001
