src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
58766,10.4.15.2,10.1.3.2,16266,1.07,1.152489,0.08248900000000003,82.48900000000003
58767,10.4.15.2,10.1.3.2,16266,1.11,1.192487,0.08248699999999998,82.48699999999998
58768,10.4.15.2,10.1.3.2,16266,1.27,1.352487,0.08248699999999998,82.48699999999998
58769,10.4.15.2,10.1.3.2,16266,1.35,1.432487,0.08248699999999998,82.48699999999998
58770,10.4.15.2,10.1.3.2,16266,1.469999,1.552487,0.0824879999999999,82.4879999999999
58771,10.4.15.2,10.1.3.2,16266,1.56,1.640486,0.08048600000000006,80.48600000000006
58772,10.4.15.2,10.1.3.2,16266,1.7299989999999998,1.812487,0.08248800000000012,82.48800000000011
58773,10.4.15.2,10.1.3.2,16266,1.929999,2.012487,0.08248800000000012,82.48800000000011
58774,10.4.15.2,10.1.3.2,16266,2.129999,2.212487,0.08248799999999967,82.48799999999967
58775,10.4.15.2,10.1.3.2,16266,2.279999,2.360491,0.08049200000000001,80.492
58776,10.4.15.2,10.1.3.2,16266,2.31,2.392487,0.08248699999999998,82.48699999999998
58777,10.4.15.2,10.1.3.2,16266,2.359999,2.440487,0.08048799999999989,80.48799999999989
58778,10.4.15.2,10.1.3.2,16266,2.58,2.660487,0.08048699999999975,80.48699999999975
58779,10.4.15.2,10.1.3.2,16266,2.62,2.700487,0.08048699999999975,80.48699999999975
58780,10.4.15.2,10.1.3.2,16266,2.68,2.760486,0.08048600000000006,80.48600000000006
49594,10.1.0.2,10.3.9.2,16266,1.07,1.152489,0.08248900000000003,82.48900000000003
49595,10.1.0.2,10.3.9.2,16266,1.11,1.192488,0.0824879999999999,82.4879999999999
49596,10.1.0.2,10.3.9.2,16266,1.27,1.3524880000000001,0.08248800000000012,82.48800000000011
49597,10.1.0.2,10.3.9.2,16266,1.35,1.432488,0.0824879999999999,82.4879999999999
49598,10.1.0.2,10.3.9.2,16266,1.469999,1.5524879999999999,0.08248899999999981,82.4889999999998
49599,10.1.0.2,10.3.9.2,16266,1.56,1.640488,0.08048799999999989,80.48799999999989
49600,10.1.0.2,10.3.9.2,16266,1.7299989999999998,1.812488,0.08248900000000026,82.48900000000026
