src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
37530,10.1.15.2,10.1.6.2,68906,1.05,1.132488,0.0824879999999999,82.4879999999999
37531,10.1.15.2,10.1.6.2,68906,1.199999,1.284487,0.0844879999999999,84.4879999999999
37532,10.1.15.2,10.1.6.2,68906,1.219999,1.304487,0.0844879999999999,84.4879999999999
37533,10.1.15.2,10.1.6.2,68906,1.389999,1.472487,0.08248800000000012,82.48800000000011
37534,10.1.15.2,10.1.6.2,68906,1.6099999999999999,1.692488,0.08248800000000012,82.48800000000011
37535,10.1.15.2,10.1.6.2,68906,1.7299989999999998,1.812488,0.08248900000000026,82.48900000000026
37536,10.1.15.2,10.1.6.2,68906,2.009999,2.092488,0.08248899999999981,82.4889999999998
37537,10.1.15.2,10.1.6.2,68906,2.08,2.164487,0.08448699999999976,84.48699999999975
37538,10.1.15.2,10.1.6.2,68906,2.16,2.244486,0.08448600000000006,84.48600000000006
37539,10.1.15.2,10.1.6.2,68906,2.209999,2.292488,0.08248900000000026,82.48900000000026
37540,10.1.15.2,10.1.6.2,68906,2.41,2.492486,0.08248599999999984,82.48599999999983
37541,10.1.15.2,10.1.6.2,68906,2.4699999999999998,2.552488,0.08248800000000012,82.48800000000011
37542,10.1.15.2,10.1.6.2,68906,2.52,2.6044869999999998,0.08448699999999976,84.48699999999975
37543,10.1.15.2,10.1.6.2,68906,2.6299989999999998,2.712488,0.08248900000000026,82.48900000000026
37544,10.1.15.2,10.1.6.2,67914,2.77,2.812487,0.04248699999999994,42.48699999999994
52053,10.1.15.2,10.3.6.2,342,2.842022,2.865975,0.023953000000000113,23.953000000000113
39008,10.3.15.2,10.1.6.2,342,2.842022,2.865963,0.023940999999999768,23.940999999999768
49833,10.1.12.2,10.3.13.2,68906,1.05,1.132163,0.08216299999999999,82.16299999999998
49835,10.1.12.2,10.3.13.2,68906,1.219999,1.300163,0.0801639999999999,80.1639999999999
49837,10.1.12.2,10.3.13.2,68906,1.6099999999999999,1.6921629999999999,0.08216299999999999,82.16299999999998
49839,10.1.12.2,10.3.13.2,68906,2.009999,2.092163,0.08216400000000013,82.16400000000013
49841,10.1.12.2,10.3.13.2,68906,2.16,2.240163,0.08016299999999976,80.16299999999976
49843,10.1.12.2,10.3.13.2,68906,2.41,2.492163,0.08216299999999999,82.16299999999998
49845,10.1.12.2,10.3.13.2,68906,2.52,2.6001630000000002,0.0801630000000002,80.16300000000021
49847,10.1.12.2,10.3.13.2,67914,2.77,2.812163,0.04216299999999995,42.162999999999954
46882,10.1.12.2,10.1.13.2,342,2.840694,2.85244,0.011746000000000034,11.746000000000034
37244,10.3.12.2,10.3.13.2,342,2.840694,2.852443,0.01174900000000001,11.74900000000001
35280,10.1.10.2,10.1.1.2,68906,1.05,1.132487,0.08248699999999998,82.48699999999998
35282,10.1.10.2,10.1.1.2,68906,1.219999,1.304487,0.0844879999999999,84.4879999999999
35284,10.1.10.2,10.1.1.2,68906,1.6099999999999999,1.6924869999999999,0.08248699999999998,82.48699999999998
35286,10.1.10.2,10.1.1.2,68906,2.009999,2.092487,0.08248800000000012,82.48800000000011
35288,10.1.10.2,10.1.1.2,68906,2.16,2.244487,0.08448699999999976,84.48699999999975
35290,10.1.10.2,10.1.1.2,68906,2.41,2.492486,0.08248599999999984,82.48599999999983
35292,10.1.10.2,10.1.1.2,68906,2.52,2.6044869999999998,0.08448699999999976,84.48699999999975
35294,10.1.10.2,10.1.1.2,67914,2.77,2.812486,0.0424859999999998,42.485999999999805
59304,10.1.10.2,10.3.1.2,342,2.8420170000000002,2.865911,0.02389399999999986,23.89399999999986
52795,10.3.10.2,10.1.1.2,342,2.8420170000000002,2.865911,0.02389399999999986,23.89399999999986
50779,10.1.8.2,10.3.15.2,68906,1.05,1.132486,0.08248600000000006,82.48600000000006
50781,10.1.8.2,10.3.15.2,68906,1.219999,1.304486,0.08448699999999998,84.48699999999998
50783,10.1.8.2,10.3.15.2,68906,1.6099999999999999,1.6924860000000002,0.08248600000000028,82.48600000000027
50785,10.1.8.2,10.3.15.2,68906,2.009999,2.092486,0.08248699999999998,82.48699999999998
50787,10.1.8.2,10.3.15.2,68906,2.16,2.244486,0.08448600000000006,84.48600000000006
50789,10.1.8.2,10.3.15.2,68906,2.41,2.492488,0.08248799999999967,82.48799999999967
50791,10.1.8.2,10.3.15.2,68906,2.52,2.604486,0.08448600000000006,84.48600000000006
50793,10.1.8.2,10.3.15.2,67914,2.77,2.812487,0.04248699999999994,42.48699999999994
37467,10.1.8.2,10.1.15.2,342,2.842022,2.865976,0.02395399999999981,23.95399999999981
39804,10.3.8.2,10.3.15.2,342,2.842022,2.865976,0.02395399999999981,23.95399999999981
35280,10.1.10.2,10.1.1.2,68906,1.05,1.132487,0.08248699999999998,82.48699999999998
35282,10.1.10.2,10.1.1.2,68906,1.219999,1.304487,0.0844879999999999,84.4879999999999
35284,10.1.10.2,10.1.1.2,68906,1.6099999999999999,1.6924869999999999,0.08248699999999998,82.48699999999998
35286,10.1.10.2,10.1.1.2,68906,2.009999,2.092487,0.08248800000000012,82.48800000000011
35288,10.1.10.2,10.1.1.2,68906,2.16,2.244487,0.08448699999999976,84.48699999999975
35290,10.1.10.2,10.1.1.2,68906,2.41,2.492486,0.08248599999999984,82.48599999999983
35292,10.1.10.2,10.1.1.2,68906,2.52,2.6044869999999998,0.08448699999999976,84.48699999999975
35294,10.1.10.2,10.1.1.2,67914,2.77,2.812486,0.0424859999999998,42.485999999999805
59304,10.1.10.2,10.3.1.2,342,2.8420170000000002,2.865911,0.02389399999999986,23.89399999999986
52795,10.3.10.2,10.1.1.2,342,2.8420170000000002,2.865911,0.02389399999999986,23.89399999999986
57413,10.1.9.2,10.1.3.2,68906,1.05,1.132487,0.08248699999999998,82.48699999999998
57415,10.1.9.2,10.1.3.2,68906,1.219999,1.304487,0.0844879999999999,84.4879999999999
57417,10.1.9.2,10.1.3.2,68906,1.6099999999999999,1.6924869999999999,0.08248699999999998,82.48699999999998
57419,10.1.9.2,10.1.3.2,68906,2.009999,2.092487,0.08248800000000012,82.48800000000011
57421,10.1.9.2,10.1.3.2,68906,2.16,2.244487,0.08448699999999976,84.48699999999975
57423,10.1.9.2,10.1.3.2,68906,2.41,2.492487,0.08248699999999998,82.48699999999998
57425,10.1.9.2,10.1.3.2,68906,2.52,2.6044869999999998,0.08448699999999976,84.48699999999975
57427,10.1.9.2,10.1.3.2,67914,2.77,2.8164860000000003,0.04648600000000025,46.486000000000246
36673,10.3.9.2,10.1.3.2,342,2.842012,2.865894,0.02388199999999996,23.88199999999996
50779,10.1.8.2,10.3.15.2,68906,1.05,1.132486,0.08248600000000006,82.48600000000006
50781,10.1.8.2,10.3.15.2,68906,1.219999,1.304486,0.08448699999999998,84.48699999999998
50783,10.1.8.2,10.3.15.2,68906,1.6099999999999999,1.6924860000000002,0.08248600000000028,82.48600000000027
50785,10.1.8.2,10.3.15.2,68906,2.009999,2.092486,0.08248699999999998,82.48699999999998
50787,10.1.8.2,10.3.15.2,68906,2.16,2.244486,0.08448600000000006,84.48600000000006
50789,10.1.8.2,10.3.15.2,68906,2.41,2.492488,0.08248799999999967,82.48799999999967
50791,10.1.8.2,10.3.15.2,68906,2.52,2.604486,0.08448600000000006,84.48600000000006
50793,10.1.8.2,10.3.15.2,67914,2.77,2.812487,0.04248699999999994,42.48699999999994
37467,10.1.8.2,10.1.15.2,342,2.842022,2.865976,0.02395399999999981,23.95399999999981
39804,10.3.8.2,10.3.15.2,342,2.842022,2.865976,0.02395399999999981,23.95399999999981
46478,10.1.1.2,10.3.14.2,68906,1.05,1.132487,0.08248699999999998,82.48699999999998
46479,10.1.1.2,10.3.14.2,68906,1.199999,1.284487,0.0844879999999999,84.4879999999999
46480,10.1.1.2,10.3.14.2,68906,1.219999,1.304487,0.0844879999999999,84.4879999999999
46481,10.1.1.2,10.3.14.2,68906,1.389999,1.472487,0.08248800000000012,82.48800000000011
46482,10.1.1.2,10.3.14.2,68906,1.6099999999999999,1.6924869999999999,0.08248699999999998,82.48699999999998
46483,10.1.1.2,10.3.14.2,68906,1.7299989999999998,1.812487,0.08248800000000012,82.48800000000011
46484,10.1.1.2,10.3.14.2,68906,2.009999,2.092487,0.08248800000000012,82.48800000000011
46485,10.1.1.2,10.3.14.2,68906,2.08,2.16458,0.08457999999999988,84.57999999999987
46486,10.1.1.2,10.3.14.2,68906,2.16,2.244487,0.08448699999999976,84.48699999999975
46487,10.1.1.2,10.3.14.2,68906,2.209999,2.292487,0.08248800000000012,82.48800000000011
46488,10.1.1.2,10.3.14.2,68906,2.41,2.492486,0.08248599999999984,82.48599999999983
46489,10.1.1.2,10.3.14.2,68906,2.4699999999999998,2.552487,0.08248700000000042,82.48700000000042
46490,10.1.1.2,10.3.14.2,68906,2.52,2.6044869999999998,0.08448699999999976,84.48699999999975
46491,10.1.1.2,10.3.14.2,68906,2.6299989999999998,2.712487,0.08248800000000012,82.48800000000011
46492,10.1.1.2,10.3.14.2,67914,2.77,2.812486,0.0424859999999998,42.485999999999805
57333,10.3.1.2,10.3.14.2,342,2.842012,2.865891,0.023878999999999984,23.878999999999984
46478,10.1.1.2,10.3.14.2,68906,1.05,1.132487,0.08248699999999998,82.48699999999998
46479,10.1.1.2,10.3.14.2,68906,1.199999,1.284487,0.0844879999999999,84.4879999999999
46480,10.1.1.2,10.3.14.2,68906,1.219999,1.304487,0.0844879999999999,84.4879999999999
46481,10.1.1.2,10.3.14.2,68906,1.389999,1.472487,0.08248800000000012,82.48800000000011
46482,10.1.1.2,10.3.14.2,68906,1.6099999999999999,1.6924869999999999,0.08248699999999998,82.48699999999998
46483,10.1.1.2,10.3.14.2,68906,1.7299989999999998,1.812487,0.08248800000000012,82.48800000000011
46484,10.1.1.2,10.3.14.2,68906,2.009999,2.092487,0.08248800000000012,82.48800000000011
46485,10.1.1.2,10.3.14.2,68906,2.08,2.16458,0.08457999999999988,84.57999999999987
46486,10.1.1.2,10.3.14.2,68906,2.16,2.244487,0.08448699999999976,84.48699999999975
46487,10.1.1.2,10.3.14.2,68906,2.209999,2.292487,0.08248800000000012,82.48800000000011
46488,10.1.1.2,10.3.14.2,68906,2.41,2.492486,0.08248599999999984,82.48599999999983
46489,10.1.1.2,10.3.14.2,68906,2.4699999999999998,2.552487,0.08248700000000042,82.48700000000042
46490,10.1.1.2,10.3.14.2,68906,2.52,2.6044869999999998,0.08448699999999976,84.48699999999975
46491,10.1.1.2,10.3.14.2,68906,2.6299989999999998,2.712487,0.08248800000000012,82.48800000000011
46492,10.1.1.2,10.3.14.2,67914,2.77,2.812486,0.0424859999999998,42.485999999999805
57333,10.3.1.2,10.3.14.2,342,2.842012,2.865891,0.023878999999999984,23.878999999999984
37530,10.1.15.2,10.1.6.2,68906,1.05,1.132488,0.0824879999999999,82.4879999999999
37532,10.1.15.2,10.1.6.2,68906,1.219999,1.304487,0.0844879999999999,84.4879999999999
37534,10.1.15.2,10.1.6.2,68906,1.6099999999999999,1.692488,0.08248800000000012,82.48800000000011
37536,10.1.15.2,10.1.6.2,68906,2.009999,2.092488,0.08248899999999981,82.4889999999998
37538,10.1.15.2,10.1.6.2,68906,2.16,2.244486,0.08448600000000006,84.48600000000006
37540,10.1.15.2,10.1.6.2,68906,2.41,2.492486,0.08248599999999984,82.48599999999983
37542,10.1.15.2,10.1.6.2,68906,2.52,2.6044869999999998,0.08448699999999976,84.48699999999975
37544,10.1.15.2,10.1.6.2,67914,2.77,2.812487,0.04248699999999994,42.48699999999994
52053,10.1.15.2,10.3.6.2,342,2.842022,2.865975,0.023953000000000113,23.953000000000113
39008,10.3.15.2,10.1.6.2,342,2.842022,2.865963,0.023940999999999768,23.940999999999768
48913,10.1.5.2,10.3.10.2,68906,1.05,1.132486,0.08248600000000006,82.48600000000006
48914,10.1.5.2,10.3.10.2,68906,1.199999,1.284486,0.08448699999999998,84.48699999999998
48915,10.1.5.2,10.3.10.2,68906,1.219999,1.304486,0.08448699999999998,84.48699999999998
48916,10.1.5.2,10.3.10.2,68906,1.389999,1.472487,0.08248800000000012,82.48800000000011
48917,10.1.5.2,10.3.10.2,68906,1.6099999999999999,1.6924860000000002,0.08248600000000028,82.48600000000027
48918,10.1.5.2,10.3.10.2,68906,1.7299989999999998,1.812486,0.0824870000000002,82.4870000000002
48919,10.1.5.2,10.3.10.2,68906,2.009999,2.092486,0.08248699999999998,82.48699999999998
48920,10.1.5.2,10.3.10.2,68906,2.08,2.164515,0.08451500000000012,84.51500000000011
48921,10.1.5.2,10.3.10.2,68906,2.16,2.244486,0.08448600000000006,84.48600000000006
48922,10.1.5.2,10.3.10.2,68906,2.209999,2.2924860000000002,0.08248700000000042,82.48700000000042
48923,10.1.5.2,10.3.10.2,68906,2.41,2.492487,0.08248699999999998,82.48699999999998
48924,10.1.5.2,10.3.10.2,68906,2.4699999999999998,2.552486,0.08248600000000028,82.48600000000027
48925,10.1.5.2,10.3.10.2,68906,2.52,2.604486,0.08448600000000006,84.48600000000006
48926,10.1.5.2,10.3.10.2,68906,2.6299989999999998,2.712486,0.08248700000000042,82.48700000000042
48927,10.1.5.2,10.3.10.2,67914,2.77,2.812488,0.04248800000000008,42.488000000000085
37865,10.1.5.2,10.1.10.2,342,2.7721489999999998,2.778523,0.006374000000000102,6.374000000000102
34992,10.3.5.2,10.3.10.2,342,2.772053,2.77812,0.0060669999999998225,6.0669999999998225
49514,10.3.5.2,10.3.10.2,342,2.842012,2.8661149999999997,0.024102999999999764,24.102999999999764
41761,10.1.14.2,10.1.7.2,68906,1.05,1.132487,0.08248699999999998,82.48699999999998
41763,10.1.14.2,10.1.7.2,68906,1.219999,1.304486,0.08448699999999998,84.48699999999998
41765,10.1.14.2,10.1.7.2,68906,1.6099999999999999,1.6924869999999999,0.08248699999999998,82.48699999999998
41767,10.1.14.2,10.1.7.2,68906,2.009999,2.092487,0.08248800000000012,82.48800000000011
41769,10.1.14.2,10.1.7.2,68906,2.16,2.244487,0.08448699999999976,84.48699999999975
41771,10.1.14.2,10.1.7.2,68906,2.41,2.492487,0.08248699999999998,82.48699999999998
41773,10.1.14.2,10.1.7.2,68906,2.52,2.604486,0.08448600000000006,84.48600000000006
41775,10.1.14.2,10.1.7.2,67914,2.77,2.812486,0.0424859999999998,42.485999999999805
51347,10.1.14.2,10.3.7.2,342,2.842013,2.865943,0.023930000000000007,23.930000000000007
50159,10.3.14.2,10.1.7.2,342,2.842013,2.865914,0.02390099999999995,23.90099999999995
49833,10.1.12.2,10.3.13.2,68906,1.05,1.132163,0.08216299999999999,82.16299999999998
49835,10.1.12.2,10.3.13.2,68906,1.219999,1.300163,0.0801639999999999,80.1639999999999
49837,10.1.12.2,10.3.13.2,68906,1.6099999999999999,1.6921629999999999,0.08216299999999999,82.16299999999998
49839,10.1.12.2,10.3.13.2,68906,2.009999,2.092163,0.08216400000000013,82.16400000000013
49841,10.1.12.2,10.3.13.2,68906,2.16,2.240163,0.08016299999999976,80.16299999999976
49843,10.1.12.2,10.3.13.2,68906,2.41,2.492163,0.08216299999999999,82.16299999999998
49845,10.1.12.2,10.3.13.2,68906,2.52,2.6001630000000002,0.0801630000000002,80.16300000000021
49847,10.1.12.2,10.3.13.2,67914,2.77,2.812163,0.04216299999999995,42.162999999999954
46882,10.1.12.2,10.1.13.2,342,2.840694,2.85244,0.011746000000000034,11.746000000000034
37244,10.3.12.2,10.3.13.2,342,2.840694,2.852443,0.01174900000000001,11.74900000000001
57413,10.1.9.2,10.1.3.2,68906,1.05,1.132487,0.08248699999999998,82.48699999999998
57415,10.1.9.2,10.1.3.2,68906,1.219999,1.304487,0.0844879999999999,84.4879999999999
57417,10.1.9.2,10.1.3.2,68906,1.6099999999999999,1.6924869999999999,0.08248699999999998,82.48699999999998
