src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
34568,10.1.15.2,10.1.3.2,1090,1.120731,1.20074,0.080009,80.009
34569,10.1.15.2,10.1.3.2,1090,1.160322,1.240777,0.08045499999999994,80.45499999999994
34570,10.1.15.2,10.1.3.2,1090,1.330696,1.412629,0.08193299999999981,81.93299999999981
34571,10.1.15.2,10.1.3.2,1090,1.340209,1.420959,0.0807500000000001,80.7500000000001
34572,10.1.15.2,10.1.3.2,1090,1.450652,1.532531,0.08187900000000004,81.87900000000003
34573,10.1.15.2,10.1.3.2,1090,1.6907619999999999,1.772295,0.08153300000000008,81.53300000000007
34574,10.1.15.2,10.1.3.2,1090,2.24,2.320568,0.08056799999999997,80.56799999999997
34575,10.1.15.2,10.1.3.2,1090,2.350381,2.432102,0.08172099999999993,81.72099999999993
34576,10.1.15.2,10.1.3.2,1090,2.480953,2.560507,0.0795539999999999,79.5539999999999
34577,10.1.15.2,10.1.3.2,1090,2.6408709999999997,2.720084,0.0792130000000002,79.21300000000019
34578,10.1.15.2,10.1.3.2,1090,2.6899990000000003,2.772967,0.08296799999999971,82.9679999999997
34579,10.1.15.2,10.1.3.2,1090,2.790609,2.87262,0.08201100000000006,82.01100000000005
34580,10.1.15.2,10.1.3.2,1090,2.850537,2.9325,0.08196300000000001,81.96300000000001
53190,10.1.9.2,10.4.15.2,1090,1.12021,1.200131,0.07992100000000013,79.92100000000013
53191,10.1.9.2,10.4.15.2,1090,1.160216,1.240879,0.08066300000000015,80.66300000000015
53192,10.1.9.2,10.4.15.2,1090,1.330762,1.412448,0.08168599999999993,81.68599999999992
53194,10.1.9.2,10.4.15.2,1090,1.450933,1.532655,0.08172200000000007,81.72200000000007
53195,10.1.9.2,10.4.15.2,1090,1.690771,1.772135,0.08136399999999999,81.36399999999999
53197,10.1.9.2,10.4.15.2,1090,2.350432,2.432136,0.08170399999999978,81.70399999999978
53199,10.1.9.2,10.4.15.2,1090,2.640009,2.720689,0.08068000000000008,80.68000000000009
53200,10.1.9.2,10.4.15.2,1090,2.69079,2.772851,0.08206100000000038,82.06100000000038
53201,10.1.9.2,10.4.15.2,1090,2.790534,2.868818,0.07828400000000002,78.28400000000002
39220,10.1.2.2,10.1.1.2,1090,1.120306,1.200737,0.08043099999999992,80.43099999999993
39221,10.1.2.2,10.1.1.2,1090,1.160259,1.241199,0.08094000000000001,80.94000000000001
39222,10.1.2.2,10.1.1.2,1090,1.330849,1.412428,0.08157900000000007,81.57900000000006
39223,10.1.2.2,10.1.1.2,1090,1.340927,1.420687,0.07976000000000005,79.76000000000005
39224,10.1.2.2,10.1.1.2,1090,1.450686,1.532299,0.08161300000000016,81.61300000000016
39225,10.1.2.2,10.1.1.2,1090,1.690801,1.76913,0.07832900000000009,78.3290000000001
39227,10.1.2.2,10.1.1.2,1090,2.350376,2.432498,0.08212200000000003,82.12200000000003
39228,10.1.2.2,10.1.1.2,1090,2.480778,2.560658,0.07988000000000017,79.88000000000017
39230,10.1.2.2,10.1.1.2,1090,2.690284,2.76872,0.07843599999999995,78.43599999999995
