src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
58783,10.1.15.2,10.3.10.2,68392,1.04,1.129502,0.08950199999999997,89.50199999999997
52380,10.2.15.2,10.3.10.2,342,1.046056,1.096513,0.050456999999999974,50.45699999999997
57918,10.3.15.2,10.3.10.2,342,1.046057,1.096512,0.05045499999999992,50.45499999999991
34112,10.4.15.2,10.3.10.2,342,1.046058,1.096511,0.05045300000000008,50.45300000000008
45237,10.1.15.2,10.1.10.2,342,1.046058,1.096514,0.050456000000000056,50.45600000000006
48351,10.2.15.2,10.1.10.2,342,1.046059,1.096513,0.050454,50.454
57940,10.3.15.2,10.1.10.2,342,1.046059,1.096511,0.05045199999999994,50.45199999999994
56782,10.4.15.2,10.1.10.2,342,1.04606,1.096509,0.050448999999999966,50.44899999999997
58784,10.1.15.2,10.3.10.2,68392,1.28,1.369502,0.08950199999999997,89.50199999999997
32863,10.2.15.2,10.3.10.2,342,1.2860559999999999,1.336513,0.050457000000000196,50.45700000000019
45883,10.3.15.2,10.3.10.2,342,1.286057,1.336512,0.05045499999999992,50.45499999999991
50348,10.4.15.2,10.3.10.2,342,1.286058,1.336511,0.05045300000000008,50.45300000000008
38761,10.1.15.2,10.1.10.2,342,1.286058,1.336514,0.050456000000000056,50.45600000000006
53105,10.2.15.2,10.1.10.2,342,1.286059,1.336513,0.050454,50.454
46029,10.3.15.2,10.1.10.2,342,1.286059,1.336511,0.05045199999999994,50.45199999999994
47717,10.4.15.2,10.1.10.2,342,1.28606,1.336509,0.050448999999999966,50.44899999999997
58785,10.1.15.2,10.3.10.2,68392,1.29,1.381503,0.09150299999999989,91.50299999999989
53724,10.2.15.2,10.3.10.2,342,1.296056,1.348514,0.052457999999999894,52.45799999999989
36348,10.3.15.2,10.3.10.2,342,1.296057,1.348513,0.05245600000000006,52.45600000000006
41556,10.4.15.2,10.3.10.2,342,1.296058,1.348512,0.052454,52.454
47112,10.1.15.2,10.1.10.2,342,1.296058,1.348514,0.05245600000000006,52.45600000000006
53274,10.2.15.2,10.1.10.2,342,1.296059,1.348512,0.05245299999999986,52.45299999999986
50482,10.3.15.2,10.1.10.2,342,1.296059,1.348511,0.05245199999999994,52.45199999999994
46417,10.4.15.2,10.1.10.2,342,1.29606,1.348509,0.05244899999999997,52.44899999999997
58786,10.1.15.2,10.3.10.2,68392,1.37,1.461503,0.09150299999999989,91.50299999999989
43509,10.2.15.2,10.3.10.2,342,1.376056,1.428522,0.052466000000000124,52.46600000000012
47680,10.3.15.2,10.3.10.2,342,1.3760569999999999,1.428521,0.052464000000000066,52.46400000000007
60940,10.4.15.2,10.3.10.2,342,1.376058,1.428548,0.052489999999999926,52.489999999999924
59143,10.1.15.2,10.1.10.2,342,1.376058,1.428523,0.052464999999999984,52.46499999999998
59549,10.2.15.2,10.1.10.2,342,1.376059,1.428523,0.052464000000000066,52.46400000000007
47076,10.3.15.2,10.1.10.2,342,1.376059,1.428522,0.05246300000000015,52.46300000000015
58904,10.4.15.2,10.1.10.2,342,1.37606,1.428548,0.05248799999999987,52.48799999999987
58787,10.1.15.2,10.3.10.2,68392,1.419999,1.509502,0.08950299999999989,89.50299999999989
53947,10.2.15.2,10.3.10.2,342,1.426056,1.476513,0.050456999999999974,50.45699999999997
35120,10.3.15.2,10.3.10.2,342,1.4260570000000001,1.476512,0.05045499999999992,50.45499999999991
38243,10.4.15.2,10.3.10.2,342,1.426058,1.476511,0.05045299999999986,50.45299999999986
48570,10.1.15.2,10.1.10.2,342,1.426058,1.4765139999999999,0.050455999999999834,50.45599999999983
37592,10.2.15.2,10.1.10.2,342,1.426059,1.476513,0.050454,50.454
38019,10.3.15.2,10.1.10.2,342,1.426059,1.476511,0.05045199999999994,50.45199999999994
49045,10.4.15.2,10.1.10.2,342,1.42606,1.476509,0.050448999999999966,50.44899999999997
58788,10.1.15.2,10.3.10.2,68392,1.51,1.601505,0.09150499999999995,91.50499999999995
35779,10.2.15.2,10.3.10.2,342,1.5160559999999998,1.568514,0.052458000000000116,52.45800000000011
45834,10.3.15.2,10.3.10.2,342,1.516057,1.568513,0.05245600000000006,52.45600000000006
55878,10.4.15.2,10.3.10.2,342,1.5160580000000001,1.5685120000000001,0.052454,52.454
39493,10.1.15.2,10.1.10.2,342,1.5160580000000001,1.568514,0.052455999999999836,52.45599999999983
57470,10.2.15.2,10.1.10.2,342,1.516059,1.5685120000000001,0.05245300000000008,52.45300000000008
58663,10.3.15.2,10.1.10.2,342,1.516059,1.568511,0.05245199999999994,52.45199999999994
52439,10.4.15.2,10.1.10.2,342,1.51606,1.5685090000000002,0.05244900000000019,52.44900000000019
58789,10.1.15.2,10.3.10.2,68392,1.58,1.669503,0.08950299999999989,89.50299999999989
45061,10.2.15.2,10.3.10.2,342,1.5860560000000001,1.6365129999999999,0.05045699999999975,50.45699999999975
51276,10.3.15.2,10.3.10.2,342,1.586057,1.636512,0.05045499999999992,50.45499999999991
45739,10.4.15.2,10.3.10.2,342,1.586058,1.636511,0.05045300000000008,50.45300000000008
51365,10.1.15.2,10.1.10.2,342,1.586058,1.636511,0.05045300000000008,50.45300000000008
37638,10.2.15.2,10.1.10.2,342,1.586059,1.63651,0.0504509999999998,50.4509999999998
35876,10.3.15.2,10.1.10.2,342,1.586059,1.636509,0.050449999999999884,50.44999999999988
39967,10.4.15.2,10.1.10.2,342,1.58606,1.636508,0.05044800000000005,50.44800000000005
58790,10.1.15.2,10.3.10.2,68392,1.6,1.689502,0.08950199999999997,89.50199999999997
51903,10.2.15.2,10.3.10.2,342,1.6060560000000002,1.656513,0.05045699999999975,50.45699999999975
39115,10.3.15.2,10.3.10.2,342,1.6060569999999998,1.656512,0.05045500000000014,50.45500000000014
50662,10.4.15.2,10.3.10.2,342,1.606058,1.656511,0.05045300000000008,50.45300000000008
53859,10.1.15.2,10.1.10.2,342,1.606058,1.656514,0.050456000000000056,50.45600000000006
55603,10.2.15.2,10.1.10.2,342,1.6060590000000001,1.656513,0.05045399999999978,50.45399999999978
47224,10.3.15.2,10.1.10.2,342,1.6060590000000001,1.656511,0.05045199999999994,50.45199999999994
35846,10.4.15.2,10.1.10.2,342,1.60606,1.656509,0.050448999999999966,50.44899999999997
58791,10.1.15.2,10.3.10.2,68392,1.649999,1.741502,0.09150300000000011,91.50300000000011
55539,10.2.15.2,10.3.10.2,342,1.656056,1.708513,0.052456999999999976,52.45699999999998
35401,10.3.15.2,10.3.10.2,342,1.6560570000000001,1.708512,0.05245499999999992,52.45499999999992
49459,10.4.15.2,10.3.10.2,342,1.656058,1.7085110000000001,0.05245300000000008,52.45300000000008
42856,10.1.15.2,10.1.10.2,342,1.656058,1.708514,0.05245600000000006,52.45600000000006
52075,10.2.15.2,10.1.10.2,342,1.656059,1.708513,0.052454,52.454
42514,10.3.15.2,10.1.10.2,342,1.656059,1.7085110000000001,0.052452000000000165,52.45200000000017
43909,10.4.15.2,10.1.10.2,342,1.65606,1.708509,0.05244899999999997,52.44899999999997
58792,10.1.15.2,10.3.10.2,68392,1.81,1.901503,0.09150299999999989,91.50299999999989
51385,10.2.15.2,10.3.10.2,342,1.8160560000000001,1.868514,0.052457999999999894,52.45799999999989
50924,10.3.15.2,10.3.10.2,342,1.816057,1.868513,0.05245600000000006,52.45600000000006
50334,10.4.15.2,10.3.10.2,342,1.816058,1.868512,0.052454,52.454
58347,10.1.15.2,10.1.10.2,342,1.816058,1.868514,0.05245600000000006,52.45600000000006
45159,10.2.15.2,10.1.10.2,342,1.816059,1.868512,0.05245299999999986,52.45299999999986
46989,10.3.15.2,10.1.10.2,342,1.816059,1.868511,0.05245199999999994,52.45199999999994
34023,10.4.15.2,10.1.10.2,342,1.81606,1.868509,0.05244899999999997,52.44899999999997
58793,10.1.15.2,10.3.10.2,68392,1.8199999999999998,1.909503,0.08950300000000011,89.50300000000011
48564,10.2.15.2,10.3.10.2,342,1.826056,1.876513,0.050457000000000196,50.45700000000019
57108,10.3.15.2,10.3.10.2,342,1.826057,1.876512,0.05045499999999992,50.45499999999991
46842,10.4.15.2,10.3.10.2,342,1.826058,1.876511,0.05045300000000008,50.45300000000008
47080,10.1.15.2,10.1.10.2,342,1.826058,1.876514,0.050456000000000056,50.45600000000006
45598,10.2.15.2,10.1.10.2,342,1.8260589999999999,1.876513,0.05045400000000022,50.45400000000022
50926,10.3.15.2,10.1.10.2,342,1.8260589999999999,1.876511,0.05045200000000016,50.45200000000016
47742,10.4.15.2,10.1.10.2,342,1.82606,1.876509,0.050448999999999966,50.44899999999997
58794,10.1.15.2,10.3.10.2,68392,1.919999,2.009502,0.08950299999999989,89.50299999999989
54364,10.2.15.2,10.3.10.2,342,1.926056,1.976513,0.050456999999999974,50.45699999999997
46673,10.3.15.2,10.3.10.2,342,1.9260570000000001,1.976512,0.05045499999999992,50.45499999999991
60738,10.4.15.2,10.3.10.2,342,1.926058,1.976511,0.05045299999999986,50.45299999999986
41127,10.1.15.2,10.1.10.2,342,1.926058,1.9765139999999999,0.050455999999999834,50.45599999999983
47320,10.2.15.2,10.1.10.2,342,1.926059,1.976513,0.050454,50.454
37337,10.3.15.2,10.1.10.2,342,1.926059,1.976511,0.05045199999999994,50.45199999999994
44922,10.4.15.2,10.1.10.2,342,1.92606,1.976509,0.050448999999999966,50.44899999999997
58795,10.1.15.2,10.3.10.2,68392,2.009999,2.101504,0.09150499999999973,91.50499999999973
57093,10.2.15.2,10.3.10.2,342,2.016056,2.068516,0.05245999999999995,52.45999999999995
47935,10.3.15.2,10.3.10.2,342,2.016057,2.068514,0.052456999999999976,52.45699999999998
39097,10.4.15.2,10.3.10.2,342,2.016058,2.068513,0.052454999999999696,52.4549999999997
33260,10.1.15.2,10.1.10.2,342,2.016058,2.068515,0.052456999999999976,52.45699999999998
35217,10.2.15.2,10.1.10.2,342,2.016059,2.068514,0.05245500000000014,52.45500000000014
38980,10.3.15.2,10.1.10.2,342,2.016059,2.068513,0.052454,52.454
42256,10.4.15.2,10.1.10.2,342,2.01606,2.068511,0.052451000000000025,52.45100000000002
58796,10.1.15.2,10.3.10.2,68392,2.22,2.309502,0.08950199999999997,89.50199999999997
59767,10.2.15.2,10.3.10.2,342,2.226056,2.276513,0.050457000000000196,50.45700000000019
56447,10.3.15.2,10.3.10.2,342,2.226057,2.276512,0.05045499999999992,50.45499999999991
51613,10.4.15.2,10.3.10.2,342,2.226058,2.276511,0.05045300000000008,50.45300000000008
