src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
50983,10.1.15.2,10.1.0.2,46130,1.0,1.080066,0.08006599999999997,80.06599999999997
54087,10.2.15.2,10.1.0.2,342,1.000325,1.044195,0.043870000000000076,43.870000000000076
49176,10.3.15.2,10.1.0.2,342,1.000325,1.044193,0.04386800000000002,43.868000000000016
51910,10.4.15.2,10.1.0.2,342,1.000326,1.044192,0.04386599999999996,43.86599999999996
49387,10.1.15.2,10.2.0.2,5096,1.000327,1.080065,0.07973800000000009,79.73800000000008
36464,10.2.15.2,10.2.0.2,1968,1.000327,1.080064,0.07973699999999995,79.73699999999995
57956,10.3.15.2,10.2.0.2,15128,1.000328,1.080066,0.07973799999999986,79.73799999999986
38978,10.4.15.2,10.2.0.2,8726,1.000328,1.080067,0.079739,79.739
45738,10.1.15.2,10.2.5.2,43064,1.08,1.160064,0.08006399999999991,80.06399999999991
32863,10.2.15.2,10.2.5.2,342,1.080337,1.124194,0.04385699999999981,43.856999999999815
45883,10.3.15.2,10.2.5.2,342,1.080338,1.124192,0.04385400000000006,43.854000000000056
50348,10.4.15.2,10.2.5.2,342,1.080339,1.124191,0.043852,43.852000000000004
38761,10.1.15.2,10.1.5.2,404,1.080339,1.124194,0.04385499999999998,43.854999999999976
53105,10.2.15.2,10.1.5.2,14480,1.08034,1.160064,0.0797239999999999,79.7239999999999
46029,10.3.15.2,10.1.5.2,18758,1.08034,1.160063,0.07972299999999999,79.72299999999998
47717,10.4.15.2,10.1.5.2,404,1.080341,1.1241889999999999,0.04384799999999989,43.847999999999885
50985,10.1.15.2,10.1.0.2,55328,1.11,1.188064,0.07806399999999991,78.06399999999991
53724,10.2.15.2,10.1.0.2,342,1.110374,1.1521919999999999,0.04181799999999991,41.81799999999991
36348,10.3.15.2,10.1.0.2,1968,1.110375,1.188064,0.07768900000000012,77.68900000000012
41556,10.4.15.2,10.1.0.2,342,1.110375,1.152191,0.041816000000000075,41.816000000000074
47112,10.1.15.2,10.2.0.2,404,1.110376,1.15219,0.04181400000000002,41.81400000000002
53274,10.2.15.2,10.2.0.2,404,1.110376,1.15219,0.04181400000000002,41.81400000000002
50482,10.3.15.2,10.2.0.2,15128,1.110377,1.188063,0.07768600000000014,77.68600000000015
46417,10.4.15.2,10.2.0.2,4034,1.110378,1.188062,0.07768399999999986,77.68399999999987
46157,10.1.15.2,10.2.4.2,51346,1.129999,1.208064,0.07806500000000005,78.06500000000005
43509,10.2.15.2,10.2.4.2,342,1.13034,1.1721949999999999,0.041854999999999976,41.854999999999976
47680,10.3.15.2,10.2.4.2,8162,1.13034,1.208063,0.07772300000000021,77.72300000000021
60940,10.4.15.2,10.2.4.2,342,1.130341,1.172193,0.041852,41.852000000000004
59143,10.1.15.2,10.1.4.2,342,1.130341,1.172192,0.04185099999999986,41.85099999999986
59549,10.2.15.2,10.1.4.2,342,1.130342,1.172191,0.041849000000000025,41.849000000000025
47076,10.3.15.2,10.1.4.2,16484,1.130342,1.208062,0.07772000000000001,77.72000000000001
58904,10.4.15.2,10.1.4.2,342,1.1303429999999999,1.172189,0.04184600000000005,41.846000000000046
32995,10.1.15.2,10.1.2.2,66676,1.149999,1.228063,0.07806399999999991,78.06399999999991
51424,10.2.15.2,10.1.2.2,342,1.150402,1.192192,0.041789999999999994,41.78999999999999
43478,10.3.15.2,10.1.2.2,342,1.150403,1.192192,0.041788999999999854,41.78899999999985
58186,10.4.15.2,10.1.2.2,342,1.150403,1.192191,0.041787999999999936,41.78799999999994
42013,10.1.15.2,10.2.2.2,342,1.150404,1.19219,0.0417860000000001,41.7860000000001
38713,10.2.15.2,10.2.2.2,342,1.150404,1.19219,0.0417860000000001,41.7860000000001
40861,10.3.15.2,10.2.2.2,8664,1.1504050000000001,1.228063,0.07765799999999978,77.65799999999979
37610,10.4.15.2,10.2.2.2,342,1.150406,1.192189,0.041782999999999904,41.7829999999999
38932,10.1.15.2,10.3.9.2,46130,1.35,1.428064,0.07806399999999991,78.06399999999991
35779,10.2.15.2,10.3.9.2,342,1.350315,1.392193,0.04187800000000008,41.878000000000085
45834,10.3.15.2,10.3.9.2,342,1.350316,1.392193,0.04187699999999994,41.87699999999994
55878,10.4.15.2,10.3.9.2,342,1.350316,1.392192,0.041876000000000024,41.876000000000026
39493,10.1.15.2,10.1.9.2,342,1.350317,1.392192,0.04187500000000011,41.87500000000011
57470,10.2.15.2,10.1.9.2,8162,1.350317,1.428063,0.07774600000000009,77.7460000000001
58663,10.3.15.2,10.1.9.2,21824,1.3503180000000001,1.428063,0.07774499999999995,77.74499999999995
52439,10.4.15.2,10.1.9.2,342,1.350319,1.3921890000000001,0.041870000000000074,41.870000000000076
47487,10.1.15.2,10.4.12.2,66676,1.399999,1.480042,0.08004300000000009,80.04300000000009
41500,10.2.15.2,10.4.12.2,342,1.400295,1.444129,0.04383399999999993,43.83399999999993
33753,10.3.15.2,10.4.12.2,342,1.400296,1.444128,0.04383200000000009,43.83200000000009
60847,10.4.15.2,10.4.12.2,342,1.400296,1.444128,0.04383200000000009,43.83200000000009
41388,10.1.15.2,10.1.12.2,342,1.4002970000000001,1.444127,0.043829999999999814,43.829999999999814
50708,10.2.15.2,10.1.12.2,8664,1.400298,1.480041,0.0797429999999999,79.7429999999999
37452,10.3.15.2,10.1.12.2,342,1.400298,1.444126,0.04382799999999998,43.827999999999975
52567,10.4.15.2,10.1.12.2,342,1.400299,1.444126,0.04382700000000006,43.82700000000006
47943,10.1.15.2,10.2.6.2,66614,1.409999,1.4480629999999999,0.038063999999999876,38.06399999999988
51903,10.2.15.2,10.2.6.2,342,1.410335,1.415281,0.004946000000000117,4.946000000000117
39115,10.3.15.2,10.2.6.2,342,1.410335,1.415434,0.005099000000000187,5.099000000000187
50662,10.4.15.2,10.2.6.2,342,1.410336,1.4156819999999999,0.005345999999999851,5.345999999999851
53859,10.1.15.2,10.1.6.2,342,1.410336,1.41491,0.004573999999999856,4.573999999999856
55603,10.2.15.2,10.1.6.2,342,1.410337,1.414911,0.004574000000000078,4.574000000000078
47224,10.3.15.2,10.1.6.2,8664,1.4103379999999999,1.4480629999999999,0.03772500000000001,37.72500000000001
35846,10.4.15.2,10.1.6.2,342,1.4103379999999999,1.4152339999999999,0.0048960000000000115,4.8960000000000115
38935,10.1.15.2,10.3.9.2,33804,1.6,1.680065,0.08006499999999983,80.06499999999983
55539,10.2.15.2,10.3.9.2,342,1.6003370000000001,1.6441970000000001,0.04386000000000001,43.860000000000014
35401,10.3.15.2,10.3.9.2,342,1.6003370000000001,1.6441949999999999,0.04385799999999973,43.857999999999734
49459,10.4.15.2,10.3.9.2,342,1.600338,1.644193,0.04385499999999998,43.854999999999976
42856,10.1.15.2,10.1.9.2,12854,1.600339,1.680065,0.07972599999999996,79.72599999999997
52075,10.2.15.2,10.1.9.2,6598,1.600339,1.680064,0.07972500000000005,79.72500000000005
42514,10.3.15.2,10.1.9.2,23264,1.60034,1.680063,0.07972299999999999,79.72299999999998
43909,10.4.15.2,10.1.9.2,342,1.60034,1.644191,0.04385099999999986,43.850999999999864
33084,10.1.15.2,10.2.7.2,36932,1.6099999999999999,1.688066,0.07806600000000019,78.06600000000019
51385,10.2.15.2,10.2.7.2,342,1.610325,1.652196,0.04187099999999999,41.870999999999995
50924,10.3.15.2,10.2.7.2,342,1.6103260000000001,1.6521940000000002,0.041868000000000016,41.868000000000016
50334,10.4.15.2,10.2.7.2,342,1.6103260000000001,1.6521919999999999,0.04186599999999974,41.86599999999974
58347,10.1.15.2,10.1.7.2,9788,1.6103269999999998,1.688065,0.07773800000000008,77.73800000000008
45159,10.2.15.2,10.1.7.2,5096,1.610328,1.688064,0.07773600000000003,77.73600000000003
46989,10.3.15.2,10.1.7.2,15128,1.610328,1.688064,0.07773600000000003,77.73600000000003
34023,10.4.15.2,10.1.7.2,10290,1.6103290000000001,1.688063,0.07773399999999997,77.73399999999997
34577,10.1.15.2,10.1.3.2,46130,1.689999,1.768065,0.07806599999999997,78.06599999999997
48564,10.2.15.2,10.1.3.2,342,1.6903169999999998,1.732196,0.04187900000000022,41.87900000000022
57108,10.3.15.2,10.1.3.2,342,1.690318,1.732195,0.04187699999999994,41.87699999999994
46842,10.4.15.2,10.1.3.2,342,1.690318,1.732193,0.04187500000000011,41.87500000000011
47080,10.1.15.2,10.2.3.2,5096,1.6903190000000001,1.7680639999999999,0.07774499999999973,77.74499999999973
45598,10.2.15.2,10.2.3.2,404,1.69032,1.732193,0.04187300000000005,41.87300000000005
50926,10.3.15.2,10.2.3.2,15128,1.69032,1.768065,0.07774499999999995,77.74499999999995
47742,10.4.15.2,10.2.3.2,10290,1.690321,1.7680639999999999,0.0777429999999999,77.7429999999999
34578,10.1.15.2,10.1.3.2,49196,1.939999,2.0200649999999998,0.08006599999999975,80.06599999999975
54364,10.2.15.2,10.1.3.2,342,1.9403169999999998,1.9841959999999998,0.043879,43.879000000000005
46673,10.3.15.2,10.1.3.2,342,1.9403169999999998,1.9841959999999998,0.043879,43.879000000000005
60738,10.4.15.2,10.1.3.2,342,1.940318,1.984194,0.043876000000000026,43.876000000000026
41127,10.1.15.2,10.2.3.2,15066,1.940318,2.0200649999999998,0.07974699999999979,79.74699999999979
47320,10.2.15.2,10.2.3.2,1906,1.9403190000000001,2.020064,0.07974499999999995,79.74499999999995
37337,10.3.15.2,10.2.3.2,1906,1.94032,2.020064,0.07974400000000004,79.74400000000004
44922,10.4.15.2,10.2.3.2,8664,1.94032,2.020063,0.0797429999999999,79.7429999999999
34579,10.1.15.2,10.1.3.2,74812,1.949999,2.028062,0.07806299999999977,78.06299999999978
56310,10.2.15.2,10.1.3.2,342,1.950664,1.992194,0.04153000000000007,41.530000000000065
37221,10.3.15.2,10.1.3.2,342,1.950664,1.9921929999999999,0.04152899999999993,41.528999999999925
49423,10.4.15.2,10.1.3.2,342,1.9506649999999999,1.992192,0.04152700000000009,41.52700000000009
36281,10.1.15.2,10.2.3.2,342,1.950666,1.99219,0.041523999999999894,41.523999999999894
54870,10.2.15.2,10.2.3.2,342,1.950666,1.992189,0.04152299999999998,41.522999999999975
55569,10.3.15.2,10.2.3.2,342,1.9506670000000002,1.992189,0.04152199999999984,41.521999999999835
52341,10.4.15.2,10.2.3.2,342,1.9506670000000002,1.992188,0.04152099999999992,41.520999999999916
38940,10.1.15.2,10.3.9.2,43064,1.969999,2.048064,0.07806500000000005,78.06500000000005
59767,10.2.15.2,10.3.9.2,404,1.970388,2.012192,0.041804000000000174,41.80400000000017
56447,10.3.15.2,10.3.9.2,404,1.970389,2.012192,0.04180300000000026,41.80300000000025
51613,10.4.15.2,10.3.9.2,342,1.970389,2.012191,0.04180200000000012,41.80200000000012
43583,10.1.15.2,10.1.9.2,404,1.97039,2.012191,0.04180099999999998,41.80099999999997
47788,10.2.15.2,10.1.9.2,11352,1.970391,2.048064,0.0776730000000001,77.6730000000001
55322,10.3.15.2,10.1.9.2,15128,1.970391,2.048063,0.07767199999999996,77.67199999999997
50886,10.4.15.2,10.1.9.2,7162,1.970392,2.048063,0.07767100000000005,77.67100000000005
33089,10.1.15.2,10.2.7.2,59482,2.0,2.080063,0.080063,80.06299999999999
59769,10.2.15.2,10.2.7.2,342,2.000413,2.044194,0.04378100000000007,43.78100000000007
42935,10.3.15.2,10.2.7.2,342,2.000413,2.044193,0.04377999999999993,43.77999999999993
59387,10.4.15.2,10.2.7.2,342,2.000414,2.044193,0.04377899999999979,43.77899999999979
54164,10.1.15.2,10.1.7.2,342,2.000415,2.044194,0.043779000000000234,43.77900000000024
41924,10.2.15.2,10.1.7.2,342,2.000415,2.044192,0.043776999999999955,43.77699999999996
49779,10.3.15.2,10.1.7.2,15982,2.000416,2.080063,0.07964700000000002,79.64700000000002
51048,10.4.15.2,10.1.7.2,342,2.000416,2.044189,0.04377299999999984,43.77299999999984
50998,10.1.15.2,10.1.0.2,57478,2.149999,2.188063,0.038063999999999876,38.06399999999988
53483,10.2.15.2,10.1.0.2,342,2.150641,2.155271,0.004630000000000134,4.630000000000134
58181,10.3.15.2,10.1.0.2,342,2.150642,2.15527,0.0046279999999998545,4.6279999999998545
51721,10.4.15.2,10.1.0.2,342,2.150642,2.155737,0.00509499999999985,5.09499999999985
44812,10.1.15.2,10.2.0.2,342,2.150643,2.155158,0.004515000000000047,4.515000000000047
50325,10.2.15.2,10.2.0.2,9726,2.150643,2.188064,0.037420999999999704,37.42099999999971
57257,10.3.15.2,10.2.0.2,8602,2.150644,2.188063,0.03741900000000031,37.41900000000031
53400,10.4.15.2,10.2.0.2,342,2.150645,2.155605,0.0049600000000000755,4.9600000000000755
47952,10.1.15.2,10.2.6.2,39998,2.18,2.260065,0.08006499999999983,80.06499999999983
53359,10.2.15.2,10.2.6.2,342,2.180328,2.224196,0.04386800000000024,43.86800000000024
51263,10.3.15.2,10.2.6.2,342,2.180328,2.224195,0.0438670000000001,43.867000000000104
42423,10.4.15.2,10.2.6.2,342,2.180329,2.224194,0.04386499999999982,43.864999999999824
39024,10.1.15.2,10.1.6.2,404,2.18033,2.224195,0.04386499999999982,43.864999999999824
54360,10.2.15.2,10.1.6.2,12916,2.18033,2.260064,0.07973399999999975,79.73399999999975
56297,10.3.15.2,10.1.6.2,15128,2.180331,2.260064,0.07973300000000005,79.73300000000006
43965,10.4.15.2,10.1.6.2,8726,2.180331,2.260063,0.07973200000000036,79.73200000000035
38944,10.1.15.2,10.3.9.2,63548,2.419999,2.460063,0.0400640000000001,40.0640000000001
40105,10.2.15.2,10.3.9.2,342,2.420304,2.424966,0.004662000000000166,4.662000000000166
49915,10.3.15.2,10.3.9.2,342,2.420304,2.425386,0.005082000000000253,5.082000000000253
50452,10.4.15.2,10.3.9.2,342,2.420305,2.425387,0.005082000000000253,5.082000000000253
59377,10.1.15.2,10.1.9.2,342,2.420306,2.424715,0.004408999999999885,4.408999999999885
54502,10.2.15.2,10.1.9.2,11792,2.420306,2.460064,0.03975799999999996,39.75799999999996
47804,10.3.15.2,10.1.9.2,342,2.420307,2.425272,0.004964999999999886,4.964999999999886
52568,10.4.15.2,10.1.9.2,342,2.420307,2.425273,0.004965999999999582,4.965999999999582
58801,10.1.15.2,10.3.10.2,46068,2.64,2.680062,0.04006199999999982,40.06199999999982
57519,10.2.15.2,10.3.10.2,342,2.640716,2.645682,0.004966000000000026,4.966000000000026
39382,10.3.15.2,10.3.10.2,342,2.640716,2.6456809999999997,0.004964999999999886,4.964999999999886
55766,10.4.15.2,10.3.10.2,342,2.640717,2.6456809999999997,0.004963999999999746,4.963999999999746
33719,10.1.15.2,10.1.10.2,342,2.640718,2.645082,0.0043639999999998125,4.3639999999998125
50608,10.2.15.2,10.1.10.2,5034,2.640718,2.680064,0.03934599999999966,39.34599999999966
47068,10.3.15.2,10.1.10.2,15066,2.640719,2.680064,0.03934499999999996,39.34499999999996
60911,10.4.15.2,10.1.10.2,10228,2.640719,2.680063,0.03934400000000027,39.344000000000264
33094,10.1.15.2,10.2.7.2,46068,2.7199999999999998,2.800064,0.08006400000000014,80.06400000000014
53384,10.2.15.2,10.2.7.2,342,2.720387,2.764196,0.04380899999999999,43.80899999999998
50764,10.3.15.2,10.2.7.2,342,2.720387,2.764195,0.04380799999999985,43.80799999999985
39340,10.4.15.2,10.2.7.2,342,2.720388,2.764195,0.04380700000000015,43.80700000000015
59298,10.1.15.2,10.1.7.2,342,2.720388,2.764194,0.04380600000000001,43.80600000000001
55814,10.2.15.2,10.1.7.2,342,2.720389,2.764193,0.043804000000000176,43.80400000000017
55342,10.3.15.2,10.1.7.2,29520,2.72039,2.8000629999999997,0.07967299999999966,79.67299999999966
33659,10.4.15.2,10.1.7.2,342,2.72039,2.76419,0.04380000000000006,43.80000000000006
46174,10.1.15.2,10.2.4.2,60544,2.81,2.888064,0.07806399999999991,78.06399999999991
44027,10.2.15.2,10.2.4.2,342,2.8103160000000003,2.852195,0.04187899999999978,41.87899999999978
38340,10.3.15.2,10.2.4.2,342,2.810317,2.852194,0.04187699999999994,41.87699999999994
42132,10.4.15.2,10.2.4.2,342,2.810318,2.8521929999999998,0.04187499999999966,41.87499999999966
54303,10.1.15.2,10.1.4.2,342,2.810318,2.8521929999999998,0.04187499999999966,41.87499999999966
58093,10.2.15.2,10.1.4.2,6598,2.810319,2.888063,0.07774400000000004,77.74400000000003
42618,10.3.15.2,10.1.4.2,8664,2.810319,2.888062,0.07774300000000034,77.74300000000034
56874,10.4.15.2,10.1.4.2,342,2.81032,2.852188,0.041868000000000016,41.868000000000016
47502,10.1.15.2,10.4.12.2,74812,2.83,2.908041,0.0780409999999998,78.0409999999998
53977,10.2.15.2,10.4.12.2,342,2.830337,2.872129,0.04179200000000005,41.79200000000005
41908,10.3.15.2,10.4.12.2,342,2.8303380000000002,2.872128,0.04178999999999977,41.78999999999977
60163,10.4.15.2,10.4.12.2,342,2.830339,2.872128,0.041789000000000076,41.78900000000007
53317,10.1.15.2,10.1.12.2,342,2.830339,2.872127,0.041787999999999936,41.78799999999994
38674,10.2.15.2,10.1.12.2,342,2.83034,2.872127,0.041786999999999797,41.78699999999979
58062,10.3.15.2,10.1.12.2,342,2.83034,2.8721259999999997,0.04178599999999966,41.78599999999966
57949,10.4.15.2,10.1.12.2,342,2.8303409999999998,2.8721259999999997,0.04178499999999996,41.78499999999996
46319,10.2.15.2,10.2.5.2,342,2.8703250000000002,2.912194,0.04186899999999971,41.868999999999716
59416,10.3.15.2,10.2.5.2,342,2.8703250000000002,2.912194,0.04186899999999971,41.868999999999716
53989,10.4.15.2,10.2.5.2,342,2.870326,2.912191,0.04186500000000004,41.86500000000004
54383,10.1.15.2,10.1.5.2,342,2.870326,2.91219,0.0418639999999999,41.863999999999905
52356,10.2.15.2,10.1.5.2,342,2.870327,2.912189,0.041862000000000066,41.862000000000066
44696,10.3.15.2,10.1.5.2,342,2.8703279999999998,2.912189,0.04186100000000037,41.861000000000374
33003,10.4.15.2,10.1.5.2,342,2.8703279999999998,2.912188,0.04186000000000023,41.86000000000023
40853,10.1.9.2,10.1.3.2,46068,1.0,1.001954,0.0019540000000000113,1.9540000000000113
59357,10.2.9.2,10.1.3.2,342,1.000316,1.005506,0.005190000000000028,5.190000000000028
46120,10.4.9.2,10.1.3.2,342,1.000317,1.005507,0.005190000000000028,5.190000000000028
58427,10.2.9.2,10.2.3.2,6598,1.000318,1.040063,0.03974499999999992,39.74499999999992
43546,10.4.9.2,10.2.3.2,23326,1.00032,1.040063,0.03974299999999986,39.74299999999986
40838,10.1.9.2,10.3.8.2,74812,1.08,1.16002,0.08001999999999998,80.01999999999998
36549,10.2.9.2,10.3.8.2,342,1.080168,1.124065,0.043897000000000075,43.89700000000008
33388,10.4.9.2,10.3.8.2,342,1.080169,1.124064,0.04389500000000002,43.89500000000002
60494,10.2.9.2,10.1.8.2,342,1.08017,1.124063,0.04389299999999996,43.89299999999996
49986,10.4.9.2,10.1.8.2,342,1.080172,1.124062,0.043889999999999985,43.889999999999986
32794,10.1.9.2,10.4.12.2,46130,1.11,1.148062,0.03806199999999982,38.06199999999982
43298,10.2.9.2,10.4.12.2,342,1.110777,1.115715,0.004938000000000109,4.938000000000109
51986,10.4.9.2,10.4.12.2,342,1.110778,1.115714,0.0049360000000000515,4.9360000000000515
58735,10.2.9.2,10.1.12.2,5096,1.11078,1.148064,0.03728399999999987,37.28399999999987
42897,10.4.9.2,10.1.12.2,23388,1.110781,1.148063,0.03728200000000004,37.28200000000004
55579,10.2.9.2,10.1.0.2,342,1.130316,1.135202,0.004885999999999946,4.885999999999946
45239,10.4.9.2,10.1.0.2,342,1.130317,1.135201,0.004883999999999888,4.883999999999888
49673,10.2.9.2,10.2.0.2,12916,1.130318,1.168064,0.03774600000000006,37.74600000000006
60891,10.4.9.2,10.2.0.2,23326,1.130319,1.168063,0.037744,37.744
50151,10.1.9.2,10.3.10.2,66614,1.149999,1.188042,0.03804300000000005,38.04300000000005
49110,10.2.9.2,10.3.10.2,342,1.150295,1.154894,0.00459900000000002,4.59900000000002
41827,10.4.9.2,10.3.10.2,342,1.150296,1.155143,0.004847000000000046,4.847000000000046
49138,10.2.9.2,10.1.10.2,8664,1.150297,1.188043,0.03774600000000006,37.74600000000006
50982,10.4.9.2,10.1.10.2,342,1.150299,1.154788,0.004488999999999965,4.488999999999965
52397,10.1.9.2,10.2.5.2,74812,1.35,1.428063,0.078063,78.06299999999999
51788,10.2.9.2,10.2.5.2,342,1.350641,1.392195,0.04155400000000009,41.55400000000009
50624,10.4.9.2,10.2.5.2,342,1.3506420000000001,1.392194,0.04155199999999981,41.55199999999981
47162,10.2.9.2,10.1.5.2,342,1.350643,1.392192,0.04154900000000006,41.549000000000056
57246,10.4.9.2,10.1.5.2,342,1.350645,1.3921890000000001,0.041544000000000025,41.544000000000025
58480,10.2.9.2,10.3.10.2,342,1.4003160000000001,1.444128,0.04381199999999996,43.81199999999996
35470,10.4.9.2,10.3.10.2,342,1.400317,1.444127,0.043809999999999905,43.8099999999999
50197,10.2.9.2,10.1.10.2,8664,1.400318,1.480041,0.07972299999999999,79.72299999999998
60247,10.4.9.2,10.1.10.2,342,1.400319,1.444125,0.04380600000000001,43.80600000000001
32799,10.1.9.2,10.4.12.2,49196,1.409999,1.488064,0.07806500000000005,78.06500000000005
49676,10.2.9.2,10.4.12.2,342,1.4104459999999999,1.4521950000000001,0.04174900000000026,41.74900000000026
59066,10.4.9.2,10.4.12.2,342,1.410447,1.452192,0.04174499999999992,41.74499999999992
47339,10.2.9.2,10.1.12.2,342,1.410448,1.452192,0.041744,41.744
53672,10.4.9.2,10.1.12.2,17132,1.41045,1.488063,0.07761299999999993,77.61299999999993
46261,10.2.9.2,10.2.7.2,342,1.600341,1.6441970000000001,0.04385600000000012,43.856000000000115
38898,10.4.9.2,10.2.7.2,342,1.600342,1.644193,0.043851000000000084,43.851000000000084
60107,10.2.9.2,10.1.7.2,17546,1.600343,1.680063,0.07972000000000001,79.72000000000001
47192,10.4.9.2,10.1.7.2,15568,1.600344,1.680062,0.07971799999999996,79.71799999999996
