src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
60955,10.4.15.2,10.3.9.2,74764,1.239999,1.320063,0.08006399999999991,80.06399999999991
39861,10.4.15.2,10.2.7.2,74764,1.389999,1.472063,0.08206399999999991,82.06399999999991
58749,10.4.15.2,10.1.3.2,74764,1.479999,1.560063,0.08006399999999991,80.06399999999991
39863,10.4.15.2,10.2.7.2,76512,1.689999,1.7720630000000002,0.08206400000000014,82.06400000000014
32874,10.4.15.2,10.4.14.2,74764,1.699999,1.780021,0.08002200000000004,80.02200000000003
43725,10.4.15.2,10.3.8.2,74764,1.78,1.860062,0.08006200000000008,80.06200000000008
58753,10.4.15.2,10.1.3.2,74764,1.879999,1.9600629999999999,0.08006399999999991,80.06399999999991
47525,10.4.15.2,10.4.13.2,74764,1.969999,2.048041,0.07804199999999994,78.04199999999994
45412,10.4.15.2,10.2.5.2,74764,2.0,2.080062,0.08006199999999986,80.06199999999986
58756,10.4.15.2,10.1.3.2,74764,2.02,2.100063,0.080063,80.06299999999999
32861,10.4.15.2,10.3.10.2,74764,2.339999,2.420064,0.08006499999999983,80.06499999999983
47529,10.4.15.2,10.4.13.2,74764,2.399999,2.480041,0.08004199999999972,80.04199999999972
56342,10.4.15.2,10.4.12.2,74764,2.41,2.488041,0.0780409999999998,78.0409999999998
60360,10.4.15.2,10.1.0.2,74764,2.419999,2.500062,0.080063,80.06299999999999
57050,10.4.15.2,10.2.4.2,74764,2.45,2.532063,0.08206299999999978,82.06299999999978
37512,10.4.15.2,10.3.11.2,74764,2.54,2.620062,0.08006199999999986,80.06199999999986
60971,10.4.15.2,10.3.9.2,74764,2.759999,2.840063,0.08006399999999969,80.0639999999997
50239,10.3.9.2,10.4.14.2,74764,1.239999,1.320063,0.08006399999999991,80.06399999999991
60276,10.3.9.2,10.4.15.2,74702,1.389999,1.468063,0.07806399999999991,78.06399999999991
58566,10.3.9.2,10.4.13.2,74764,1.479999,1.560063,0.08006399999999991,80.06399999999991
37142,10.3.9.2,10.3.11.2,74764,1.55,1.628041,0.07804100000000003,78.04100000000003
53718,10.3.9.2,10.2.5.2,74764,1.689999,1.7720630000000002,0.08206400000000014,82.06400000000014
60280,10.3.9.2,10.4.15.2,74764,1.699999,1.7800639999999999,0.08006499999999983,80.06499999999983
34647,10.3.9.2,10.3.8.2,74764,1.879999,1.96002,0.08002100000000012,80.02100000000011
39033,10.3.9.2,10.2.4.2,74764,1.969999,2.048062,0.07806299999999977,78.06299999999978
34003,10.3.9.2,10.1.0.2,74764,2.0,2.080062,0.08006199999999986,80.06199999999986
58573,10.3.9.2,10.4.13.2,74764,2.02,2.100063,0.080063,80.06299999999999
58574,10.3.9.2,10.4.13.2,74764,2.339999,2.420067,0.0800679999999998,80.06799999999981
34006,10.3.9.2,10.1.0.2,74764,2.399999,2.480063,0.08006399999999969,80.0639999999997
40092,10.3.9.2,10.3.10.2,74764,2.41,2.488041,0.0780409999999998,78.0409999999998
53727,10.3.9.2,10.2.5.2,74764,2.419999,2.500062,0.080063,80.06299999999999
34009,10.3.9.2,10.1.0.2,74764,2.45,2.532062,0.08206199999999964,82.06199999999964
34656,10.3.9.2,10.3.8.2,74764,2.54,2.6200200000000002,0.0800200000000002,80.02000000000021
48449,10.3.9.2,10.2.6.2,74764,2.759999,2.840063,0.08006399999999969,80.0639999999997
43107,10.1.2.2,10.4.15.2,74764,1.239999,1.320063,0.08006399999999991,80.06399999999991
58966,10.1.2.2,10.1.3.2,74764,1.389999,1.46802,0.07802100000000012,78.02100000000011
46211,10.1.2.2,10.2.6.2,74764,1.479999,1.560063,0.08006399999999991,80.06399999999991
47907,10.1.2.2,10.3.8.2,74764,1.55,1.628062,0.07806199999999985,78.06199999999986
40110,10.1.2.2,10.3.9.2,74764,1.689999,1.7680630000000002,0.07806400000000013,78.06400000000014
46214,10.1.2.2,10.2.6.2,74764,1.78,1.860063,0.080063,80.06299999999999
46952,10.1.2.2,10.3.11.2,74764,1.879999,1.960064,0.08006500000000005,80.06500000000005
54921,10.1.2.2,10.4.14.2,74764,1.969999,2.048062,0.07806299999999977,78.06299999999978
46954,10.1.2.2,10.3.11.2,74764,2.0,2.080064,0.08006400000000014,80.06400000000014
54923,10.1.2.2,10.4.14.2,74764,2.02,2.100063,0.080063,80.06299999999999
46219,10.1.2.2,10.2.6.2,74640,2.339999,2.420066,0.08006699999999967,80.06699999999967
47915,10.1.2.2,10.3.8.2,74764,2.399999,2.480063,0.08006399999999969,80.0639999999997
46958,10.1.2.2,10.3.11.2,74764,2.41,2.488062,0.07806200000000008,78.06200000000007
48720,10.1.2.2,10.4.12.2,74764,2.419999,2.500063,0.08006400000000014,80.06400000000014
52899,10.1.2.2,10.2.7.2,74764,2.45,2.528063,0.07806299999999977,78.06299999999978
39234,10.1.2.2,10.1.1.2,74764,2.54,2.620041,0.08004100000000003,80.04100000000003
43720,10.1.3.2,10.4.13.2,74764,1.239999,1.320064,0.08006499999999983,80.06499999999983
58305,10.1.3.2,10.2.6.2,74764,1.389999,1.468062,0.078063,78.06299999999999
51003,10.1.3.2,10.2.7.2,74764,1.479999,1.560063,0.08006399999999991,80.06399999999991
37613,10.1.3.2,10.3.11.2,74764,1.689999,1.768062,0.078063,78.06299999999999
47767,10.1.3.2,10.3.10.2,74764,1.699999,1.780065,0.08006599999999997,80.06599999999997
37615,10.1.3.2,10.3.11.2,74764,1.78,1.860062,0.08006200000000008,80.06200000000008
58310,10.1.3.2,10.2.6.2,74764,1.879999,1.9600629999999999,0.08006399999999991,80.06399999999991
39242,10.1.3.2,10.4.14.2,74764,2.0,2.080063,0.080063,80.06299999999999
60414,10.1.3.2,10.2.5.2,74764,2.02,2.100062,0.08006199999999986,80.06199999999986
37619,10.1.3.2,10.3.11.2,74764,2.339999,2.420066,0.08006699999999967,80.06699999999967
36577,10.1.3.2,10.4.12.2,74764,2.399999,2.480062,0.080063,80.06299999999999
58315,10.1.3.2,10.2.6.2,79928,2.41,2.452063,0.04206299999999974,42.06299999999974
58316,10.1.3.2,10.2.6.2,74764,2.419999,2.500062,0.080063,80.06299999999999
37623,10.1.3.2,10.3.11.2,74764,2.45,2.532062,0.08206199999999964,82.06199999999964
47777,10.1.3.2,10.3.10.2,74764,2.54,2.620062,0.08006199999999986,80.06199999999986
39250,10.1.3.2,10.4.14.2,74764,2.759999,2.840063,0.08006399999999969,80.0639999999997
56945,10.4.12.2,10.1.3.2,74764,1.239999,1.320064,0.08006499999999983,80.06499999999983
51509,10.4.12.2,10.4.14.2,74764,1.389999,1.468041,0.07804199999999994,78.04199999999994
44244,10.4.12.2,10.1.2.2,74764,1.479999,1.5600619999999998,0.08006299999999977,80.06299999999978
47223,10.4.12.2,10.2.6.2,74764,1.55,1.628063,0.078063,78.06299999999999
45023,10.4.12.2,10.1.0.2,74764,1.689999,1.768062,0.078063,78.06299999999999
45024,10.4.12.2,10.1.0.2,74764,1.699999,1.7800639999999999,0.08006499999999983,80.06499999999983
45025,10.4.12.2,10.1.0.2,74764,1.78,1.860063,0.080063,80.06299999999999
51515,10.4.12.2,10.4.14.2,74764,1.879999,1.960041,0.08004199999999995,80.04199999999994
56028,10.4.12.2,10.3.11.2,74764,1.969999,2.052063,0.08206399999999991,82.06399999999991
59025,10.4.12.2,10.3.8.2,74764,2.0,2.080064,0.08006400000000014,80.06400000000014
46172,10.4.12.2,10.2.4.2,74764,2.02,2.100062,0.08006199999999986,80.06199999999986
44253,10.4.12.2,10.1.2.2,79952,2.339999,2.584062,0.2440629999999997,244.0629999999997
45746,10.4.12.2,10.3.9.2,74764,2.399999,2.480062,0.080063,80.06299999999999
45032,10.4.12.2,10.1.0.2,74764,2.41,2.488062,0.07806200000000008,78.06200000000007
53335,10.4.12.2,10.4.15.2,74764,2.419999,2.500041,0.08004200000000017,80.04200000000017
45749,10.4.12.2,10.3.9.2,74764,2.45,2.532064,0.08206399999999991,82.06399999999991
46178,10.4.12.2,10.2.4.2,74764,2.54,2.620063,0.080063,80.06299999999999
59033,10.4.12.2,10.3.8.2,75036,2.759999,2.840064,0.08006499999999983,80.06499999999983
60421,10.3.8.2,10.2.6.2,74764,1.239999,1.320062,0.080063,80.06299999999999
