src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
47481,10.1.15.2,10.4.12.2,1090,1.09,1.168407,0.0784069999999999,78.4069999999999
48526,10.1.15.2,10.4.13.2,1090,1.26,1.340406,0.08040599999999998,80.40599999999998
47483,10.1.15.2,10.4.12.2,1090,1.29,1.368406,0.07840599999999998,78.40599999999998
34570,10.1.15.2,10.1.3.2,1090,1.31,1.38861,0.07860999999999985,78.60999999999984
33079,10.1.15.2,10.2.7.2,1090,1.76,1.8406099999999999,0.08060999999999985,80.60999999999984
45742,10.1.15.2,10.2.5.2,1090,1.85,1.928608,0.07860800000000001,78.608
33081,10.1.15.2,10.2.7.2,1090,2.08,2.160611,0.08061099999999977,80.61099999999976
33486,10.1.15.2,10.3.8.2,1090,2.1,2.180607,0.0806070000000001,80.6070000000001
42401,10.1.15.2,10.1.1.2,1090,2.14,2.220609,0.08060899999999993,80.60899999999992
48534,10.1.15.2,10.4.13.2,1090,2.16,2.240406,0.08040599999999998,80.40599999999998
47946,10.1.15.2,10.2.6.2,1090,2.259999,2.340612,0.08061300000000005,80.61300000000004
50994,10.1.15.2,10.1.0.2,1090,2.299999,2.380608,0.08060899999999993,80.60899999999992
42405,10.1.15.2,10.1.1.2,1090,2.37,2.44861,0.07860999999999985,78.60999999999984
47494,10.1.15.2,10.4.12.2,1090,2.419999,2.500406,0.08040700000000012,80.40700000000012
33493,10.1.15.2,10.3.8.2,1090,2.45,2.528609,0.0786089999999997,78.60899999999971
42613,10.1.9.2,10.2.7.2,1090,1.06,1.140609,0.08060899999999993,80.60899999999992
52337,10.1.9.2,10.3.11.2,1090,1.09,1.168406,0.07840599999999998,78.40599999999998
40839,10.1.9.2,10.3.8.2,1090,1.26,1.340204,0.08020399999999994,80.20399999999994
40856,10.1.9.2,10.1.3.2,1090,1.29,1.368607,0.07860699999999987,78.60699999999987
44455,10.1.9.2,10.1.1.2,1090,1.31,1.388607,0.07860699999999987,78.60699999999987
49942,10.1.9.2,10.2.4.2,1090,1.5899999999999999,1.668609,0.07860900000000015,78.60900000000015
34109,10.1.9.2,10.2.6.2,1090,1.76,1.840608,0.08060800000000001,80.60800000000002
33193,10.1.9.2,10.1.2.2,1090,1.85,1.928608,0.07860800000000001,78.608
49945,10.1.9.2,10.2.4.2,1090,2.08,2.16061,0.08061000000000007,80.61000000000007
36324,10.1.9.2,10.1.0.2,1090,2.089999,2.168609,0.07860999999999985,78.60999999999984
33196,10.1.9.2,10.1.2.2,1090,2.1,2.180608,0.08060799999999979,80.60799999999979
52347,10.1.9.2,10.3.11.2,1090,2.14,2.220406,0.08040599999999998,80.40599999999998
52348,10.1.9.2,10.3.11.2,1090,2.16,2.240406,0.08040599999999998,80.40599999999998
49950,10.1.9.2,10.2.4.2,1090,2.169999,2.248608,0.07860900000000015,78.60900000000015
50161,10.1.9.2,10.3.10.2,1090,2.259999,2.3404059999999998,0.08040699999999967,80.40699999999967
52407,10.1.9.2,10.2.5.2,1090,2.299999,2.380608,0.08060899999999993,80.60899999999992
53205,10.1.9.2,10.4.15.2,1090,2.37,2.448609,0.0786089999999997,78.60899999999971
52409,10.1.9.2,10.2.5.2,1090,2.419999,2.500609,0.08061000000000007,80.61000000000007
54029,10.1.3.2,10.1.2.2,2254,1.7602039999999999,1.840204,0.08000000000000007,80.00000000000007
50430,10.1.3.2,10.2.4.2,1090,1.06,1.140608,0.08060800000000001,80.60800000000002
47759,10.1.3.2,10.1.1.2,1090,1.09,1.168407,0.0784069999999999,78.4069999999999
36569,10.1.3.2,10.4.12.2,1090,1.26,1.34061,0.08061000000000007,80.61000000000007
57980,10.1.3.2,10.3.8.2,1090,1.29,1.368608,0.07860800000000001,78.608
60410,10.1.3.2,10.2.5.2,1090,1.31,1.388609,0.07860899999999993,78.60899999999992
47768,10.1.3.2,10.3.10.2,2254,1.5899999999999999,2.168406,0.5784060000000002,578.4060000000002
54029,10.1.3.2,10.1.2.2,2254,1.76,1.840204,0.08020399999999994,80.20399999999994
36574,10.1.3.2,10.4.12.2,1090,1.85,1.928607,0.07860699999999987,78.60699999999987
58312,10.1.3.2,10.2.6.2,1090,1.8599999999999999,1.94061,0.08061000000000007,80.61000000000007
53906,10.1.3.2,10.3.9.2,1090,2.08,2.160611,0.08061099999999977,80.61099999999976
47768,10.1.3.2,10.1.1.2,2254,2.089999,2.168406,0.0784069999999999,78.4069999999999
43731,10.1.3.2,10.4.13.2,1090,2.1,2.180607,0.0806070000000001,80.6070000000001
60418,10.1.3.2,10.2.5.2,1090,2.14,2.22061,0.08061000000000007,80.61000000000007
58317,10.1.3.2,10.2.6.2,1090,2.16,2.240609,0.08060899999999993,80.60899999999992
36581,10.1.3.2,10.4.12.2,1090,2.169999,2.248608,0.07860900000000015,78.60900000000015
50445,10.1.3.2,10.2.4.2,1090,2.259999,2.340608,0.08060899999999993,80.60899999999992
36583,10.1.3.2,10.4.12.2,1090,2.299999,2.380608,0.08060899999999993,80.60899999999992
36584,10.1.3.2,10.4.12.2,1090,2.37,2.448607,0.07860699999999987,78.60699999999987
54483,10.1.12.2,10.4.13.2,1090,1.06,1.140204,0.08020399999999994,80.20399999999994
45789,10.1.12.2,10.4.15.2,1090,1.09,1.168406,0.07840599999999998,78.40599999999998
45790,10.1.12.2,10.4.15.2,1090,1.26,1.340406,0.08040599999999998,80.40599999999998
47145,10.1.12.2,10.2.5.2,1090,1.29,1.3686099999999999,0.07860999999999985,78.60999999999984
33658,10.1.12.2,10.1.2.2,1090,1.31,1.388608,0.07860800000000001,78.608
54488,10.1.12.2,10.4.13.2,1090,1.76,1.840204,0.08020399999999994,80.20399999999994
54489,10.1.12.2,10.4.13.2,1090,1.85,1.928204,0.07820399999999994,78.20399999999994
33661,10.1.12.2,10.1.2.2,1090,1.8599999999999999,1.940609,0.08060900000000015,80.60900000000015
34585,10.1.12.2,10.3.10.2,1090,2.08,2.16061,0.08061000000000007,80.61000000000007
37183,10.1.12.2,10.2.7.2,1090,2.089999,2.168608,0.0786089999999997,78.60899999999971
34587,10.1.12.2,10.3.10.2,1090,2.1,2.180608,0.08060799999999979,80.60799999999979
34588,10.1.12.2,10.3.10.2,1090,2.14,2.220608,0.08060799999999979,80.60799999999979
47154,10.1.12.2,10.2.5.2,1090,2.16,2.240608,0.08060799999999979,80.60799999999979
33300,10.1.12.2,10.1.1.2,1090,2.169999,2.24861,0.07861100000000043,78.61100000000043
45862,10.1.12.2,10.3.8.2,1090,2.299999,2.380607,0.08060799999999979,80.60799999999979
54498,10.1.12.2,10.4.13.2,1090,2.37,2.448204,0.07820399999999994,78.20399999999994
54499,10.1.12.2,10.4.13.2,1090,2.419999,2.500204,0.0802050000000003,80.2050000000003
55948,10.1.12.2,10.2.6.2,1090,2.45,2.528608,0.07860800000000001,78.608
44186,10.1.8.2,10.2.5.2,1090,1.06,1.140607,0.08060699999999987,80.60699999999987
44937,10.1.8.2,10.2.6.2,1090,1.09,1.168607,0.07860699999999987,78.60699999999987
48574,10.1.8.2,10.2.7.2,1090,1.26,1.340608,0.08060800000000001,80.60800000000002
52902,10.1.8.2,10.1.0.2,1090,1.29,1.368608,0.07860800000000001,78.608
50903,10.1.8.2,10.3.11.2,1090,1.31,1.388406,0.07840599999999998,78.40599999999998
44191,10.1.8.2,10.2.5.2,1090,1.5899999999999999,1.6686079999999999,0.07860800000000001,78.608
58957,10.1.8.2,10.4.15.2,1090,1.76,1.8406090000000002,0.08060900000000015,80.60900000000015
50906,10.1.8.2,10.3.11.2,1090,1.85,1.9284059999999998,0.07840599999999975,78.40599999999975
50907,10.1.8.2,10.3.11.2,1090,1.8599999999999999,1.9404059999999999,0.08040599999999998,80.40599999999998
41806,10.1.8.2,10.1.2.2,1090,2.08,2.160607,0.0806070000000001,80.6070000000001
48148,10.1.8.2,10.3.10.2,1090,2.089999,2.168406,0.0784069999999999,78.4069999999999
48583,10.1.8.2,10.2.7.2,1090,2.1,2.180609,0.08060899999999993,80.60899999999992
52911,10.1.8.2,10.1.0.2,1090,2.14,2.220608,0.08060799999999979,80.60799999999979
47084,10.1.8.2,10.3.9.2,1090,2.16,2.240204,0.08020399999999972,80.20399999999972
59625,10.1.8.2,10.4.13.2,1090,2.259999,2.340608,0.08060899999999993,80.60899999999992
48153,10.1.8.2,10.3.10.2,1090,2.299999,2.380406,0.08040699999999967,80.40699999999967
44202,10.1.8.2,10.2.5.2,1090,2.37,2.448608,0.07860800000000001,78.608
52916,10.1.8.2,10.1.0.2,1090,2.419999,2.500608,0.08060900000000037,80.60900000000038
59629,10.1.8.2,10.4.13.2,1090,2.45,2.528608,0.07860800000000001,78.608
41153,10.1.0.2,10.3.9.2,1090,1.06,1.140608,0.08060800000000001,80.60800000000002
49922,10.1.0.2,10.2.4.2,1090,1.09,1.168608,0.07860800000000001,78.608
49923,10.1.0.2,10.2.4.2,1090,1.26,1.3406069999999999,0.08060699999999987,80.60699999999987
59904,10.1.0.2,10.3.10.2,1090,1.29,1.368607,0.07860699999999987,78.60699999999987
