src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
58783,10.1.15.2,10.3.10.2,3226,1.149999,1.233506,0.083507,83.507
58784,10.1.15.2,10.3.10.2,3226,1.219999,1.305507,0.08550799999999992,85.50799999999992
58785,10.1.15.2,10.3.10.2,3226,1.53,1.613506,0.08350600000000008,83.50600000000009
58786,10.1.15.2,10.3.10.2,3226,1.669999,1.75351,0.08351099999999989,83.5109999999999
58787,10.1.15.2,10.3.10.2,3226,1.709999,1.793506,0.083507,83.507
58788,10.1.15.2,10.3.10.2,3226,1.969999,2.053506,0.083507,83.507
58789,10.1.15.2,10.3.10.2,3226,2.089999,2.173506,0.083507,83.507
58790,10.1.15.2,10.3.10.2,3226,2.229999,2.31351,0.08351100000000011,83.51100000000011
58791,10.1.15.2,10.3.10.2,3226,2.27,2.35351,0.08350999999999997,83.50999999999998
58792,10.1.15.2,10.3.10.2,3226,2.31,2.393506,0.08350599999999986,83.50599999999986
33439,10.1.9.2,10.4.13.2,3226,1.149999,1.233507,0.08350799999999992,83.50799999999991
33440,10.1.9.2,10.4.13.2,3226,1.219999,1.305507,0.08550799999999992,85.50799999999992
33441,10.1.9.2,10.4.13.2,3226,1.53,1.613507,0.083507,83.507
33442,10.1.9.2,10.4.13.2,3226,1.669999,1.75351,0.08351099999999989,83.5109999999999
33443,10.1.9.2,10.4.13.2,3226,1.709999,1.793507,0.08350799999999992,83.50799999999991
33444,10.1.9.2,10.4.13.2,3226,1.969999,2.053507,0.08350800000000014,83.50800000000014
33445,10.1.9.2,10.4.13.2,3226,2.089999,2.173507,0.0835079999999997,83.5079999999997
33446,10.1.9.2,10.4.13.2,3226,2.229999,2.31351,0.08351100000000011,83.51100000000011
33447,10.1.9.2,10.4.13.2,3226,2.27,2.35351,0.08350999999999997,83.50999999999998
33448,10.1.9.2,10.4.13.2,3226,2.31,2.393507,0.083507,83.507
44985,10.1.2.2,10.1.0.2,3226,1.149999,1.233005,0.08300599999999991,83.00599999999991
44986,10.1.2.2,10.1.0.2,3226,1.219999,1.301005,0.08100599999999991,81.00599999999991
44987,10.1.2.2,10.1.0.2,3226,1.53,1.613005,0.083005,83.005
44988,10.1.2.2,10.1.0.2,3226,1.669999,1.753008,0.08300899999999989,83.00899999999989
44989,10.1.2.2,10.1.0.2,3226,1.709999,1.793005,0.08300599999999991,83.00599999999991
44990,10.1.2.2,10.1.0.2,3226,1.969999,2.053005,0.08300600000000014,83.00600000000014
44991,10.1.2.2,10.1.0.2,3226,2.089999,2.173005,0.08300599999999969,83.00599999999969
44992,10.1.2.2,10.1.0.2,3226,2.229999,2.313008,0.08300900000000011,83.00900000000011
44993,10.1.2.2,10.1.0.2,3226,2.27,2.353008,0.08300799999999997,83.00799999999997
44994,10.1.2.2,10.1.0.2,3226,2.31,2.393005,0.083005,83.005
39235,10.1.3.2,10.4.14.2,3226,1.149999,1.233506,0.083507,83.507
39236,10.1.3.2,10.4.14.2,3226,1.219999,1.305507,0.08550799999999992,85.50799999999992
39237,10.1.3.2,10.4.14.2,3226,1.53,1.613506,0.08350600000000008,83.50600000000009
39238,10.1.3.2,10.4.14.2,3226,1.669999,1.753509,0.08350999999999997,83.50999999999998
39239,10.1.3.2,10.4.14.2,3226,1.709999,1.793506,0.083507,83.507
39240,10.1.3.2,10.4.14.2,3226,1.969999,2.053506,0.083507,83.507
39241,10.1.3.2,10.4.14.2,3226,2.089999,2.173506,0.083507,83.507
39242,10.1.3.2,10.4.14.2,3226,2.229999,2.313509,0.08350999999999997,83.50999999999998
39243,10.1.3.2,10.4.14.2,3226,2.27,2.353509,0.08350899999999983,83.50899999999983
39244,10.1.3.2,10.4.14.2,3226,2.31,2.393506,0.08350599999999986,83.50599999999986
49180,10.1.12.2,10.3.9.2,3226,1.149999,1.233507,0.08350799999999992,83.50799999999991
49181,10.1.12.2,10.3.9.2,3226,1.219999,1.305506,0.085507,85.507
49182,10.1.12.2,10.3.9.2,3226,1.53,1.613507,0.083507,83.507
49183,10.1.12.2,10.3.9.2,3226,1.669999,1.75351,0.08351099999999989,83.5109999999999
49184,10.1.12.2,10.3.9.2,3226,1.709999,1.793507,0.08350799999999992,83.50799999999991
49185,10.1.12.2,10.3.9.2,3226,1.969999,2.053507,0.08350800000000014,83.50800000000014
49186,10.1.12.2,10.3.9.2,3226,2.089999,2.173507,0.0835079999999997,83.5079999999997
49187,10.1.12.2,10.3.9.2,3226,2.229999,2.31351,0.08351100000000011,83.51100000000011
49188,10.1.12.2,10.3.9.2,3226,2.27,2.35351,0.08350999999999997,83.50999999999998
49189,10.1.12.2,10.3.9.2,3226,2.31,2.393507,0.083507,83.507
41797,10.1.8.2,10.1.2.2,3226,1.149999,1.233506,0.083507,83.507
41798,10.1.8.2,10.1.2.2,3226,1.219999,1.305506,0.085507,85.507
41799,10.1.8.2,10.1.2.2,3226,1.53,1.613506,0.08350600000000008,83.50600000000009
41800,10.1.8.2,10.1.2.2,3226,1.669999,1.753509,0.08350999999999997,83.50999999999998
41801,10.1.8.2,10.1.2.2,3226,1.709999,1.793506,0.083507,83.507
41802,10.1.8.2,10.1.2.2,3226,1.969999,2.053506,0.083507,83.507
41803,10.1.8.2,10.1.2.2,3226,2.089999,2.173506,0.083507,83.507
41804,10.1.8.2,10.1.2.2,3226,2.229999,2.313509,0.08350999999999997,83.50999999999998
