src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
43720,10.4.15.2,10.3.8.2,74764,1.01,1.101504,0.09150400000000003,91.50400000000003
36181,10.4.15.2,10.2.6.2,74764,1.08,1.169503,0.08950299999999989,89.50299999999989
47520,10.4.15.2,10.4.13.2,74764,1.26,1.345001,0.08500099999999988,85.00099999999988
43723,10.4.15.2,10.3.8.2,74764,1.29,1.381503,0.09150299999999989,91.50299999999989
32855,10.4.15.2,10.3.10.2,74764,1.35,1.441503,0.09150299999999989,91.50299999999989
32875,10.4.15.2,10.4.14.2,74764,1.379999,1.4605000000000001,0.08050100000000016,80.50100000000016
36367,10.4.15.2,10.1.2.2,74764,1.449999,1.541503,0.09150400000000003,91.50400000000003
56337,10.4.15.2,10.4.12.2,74764,1.56,1.6450010000000002,0.0850010000000001,85.0010000000001
60355,10.4.15.2,10.1.0.2,74764,2.16,2.249502,0.08950199999999997,89.50199999999997
56339,10.4.15.2,10.4.12.2,74764,2.7199999999999998,2.805001,0.0850010000000001,85.0010000000001
58757,10.4.15.2,10.1.3.2,74764,2.839999,2.929504,0.08950499999999995,89.50499999999994
45415,10.4.15.2,10.2.5.2,74764,2.8799989999999998,2.969503,0.08950400000000025,89.50400000000025
53714,10.3.9.2,10.2.5.2,74764,1.01,1.101502,0.09150199999999997,91.50199999999997
44248,10.3.9.2,10.4.12.2,74764,1.26,1.349503,0.08950299999999989,89.50299999999989
58566,10.3.9.2,10.4.13.2,74764,1.29,1.381505,0.09150499999999995,91.50499999999995
48436,10.3.9.2,10.2.6.2,74764,1.35,1.441503,0.09150299999999989,91.50299999999989
55621,10.3.9.2,10.1.1.2,74764,1.379999,1.469503,0.08950400000000003,89.50400000000003
40085,10.3.9.2,10.3.10.2,74764,1.449999,1.537001,0.08700200000000002,87.00200000000002
38088,10.3.9.2,10.1.2.2,74764,1.56,1.649502,0.08950199999999997,89.50199999999997
48440,10.3.9.2,10.2.6.2,74764,2.16,2.249503,0.08950299999999967,89.50299999999967
48441,10.3.9.2,10.2.6.2,74764,2.24,2.329502,0.08950199999999997,89.50199999999997
39035,10.3.9.2,10.2.4.2,74764,2.839999,2.929504,0.08950499999999995,89.50499999999994
37149,10.3.9.2,10.3.11.2,74764,2.8799989999999998,2.965001,0.08500200000000024,85.00200000000024
58965,10.1.2.2,10.1.3.2,74764,1.01,1.0925,0.08250000000000002,82.50000000000001
39220,10.1.2.2,10.1.1.2,74764,1.08,1.165001,0.08500099999999988,85.00099999999988
47180,10.1.2.2,10.2.5.2,74764,1.26,1.349502,0.08950199999999997,89.50199999999997
46212,10.1.2.2,10.2.6.2,74764,1.29,1.381505,0.09150499999999995,91.50499999999995
58969,10.1.2.2,10.1.3.2,74764,1.35,1.4325,0.08250000000000002,82.50000000000001
46951,10.1.2.2,10.3.11.2,74764,1.379999,1.469503,0.08950400000000003,89.50400000000003
44991,10.1.2.2,10.1.0.2,74764,1.449999,1.537001,0.08700200000000002,87.00200000000002
44992,10.1.2.2,10.1.0.2,74764,1.56,1.6450010000000002,0.0850010000000001,85.0010000000001
51311,10.1.2.2,10.4.13.2,74764,2.16,2.249502,0.08950199999999997,89.50199999999997
50610,10.1.2.2,10.2.4.2,74764,2.24,2.329503,0.08950299999999967,89.50299999999967
50611,10.1.2.2,10.2.4.2,74764,2.7199999999999998,2.809503,0.08950300000000011,89.50300000000011
47189,10.1.2.2,10.2.5.2,74764,2.839999,2.929504,0.08950499999999995,89.50499999999994
54926,10.1.2.2,10.4.14.2,74764,2.8799989999999998,2.969502,0.08950300000000011,89.50300000000011
47763,10.1.3.2,10.3.10.2,74764,1.01,1.101503,0.09150299999999989,91.50299999999989
44259,10.1.3.2,10.4.15.2,74764,1.08,1.169502,0.08950199999999997,89.50199999999997
60408,10.1.3.2,10.2.5.2,74764,1.29,1.381504,0.09150400000000003,91.50400000000003
36570,10.1.3.2,10.4.12.2,74764,1.35,1.441502,0.09150199999999997,91.50199999999997
51005,10.1.3.2,10.2.7.2,74764,1.379999,1.4695019999999999,0.08950299999999989,89.50299999999989
51006,10.1.3.2,10.2.7.2,74764,1.56,1.6495030000000002,0.08950300000000011,89.50300000000011
50436,10.1.3.2,10.2.4.2,74764,2.16,2.249503,0.08950299999999967,89.50299999999967
39242,10.1.3.2,10.4.14.2,74764,2.24,2.329503,0.08950299999999967,89.50299999999967
44266,10.1.3.2,10.4.15.2,74764,2.7199999999999998,2.809502,0.08950200000000041,89.50200000000041
56788,10.1.3.2,10.1.0.2,74764,2.839999,2.925001,0.0850019999999998,85.0019999999998
58314,10.1.3.2,10.2.6.2,74764,2.8799989999999998,2.969503,0.08950400000000025,89.50400000000025
47220,10.4.12.2,10.2.6.2,74764,1.01,1.101502,0.09150199999999997,91.50199999999997
44041,10.4.12.2,10.3.10.2,74764,1.26,1.349503,0.08950299999999989,89.50299999999989
44244,10.4.12.2,10.1.2.2,74764,1.29,1.381504,0.09150400000000003,91.50400000000003
52665,10.4.12.2,10.4.13.2,74764,1.35,1.4325,0.08250000000000002,82.50000000000001
53325,10.4.12.2,10.4.15.2,74764,1.379999,1.465001,0.08500200000000002,85.00200000000002
33373,10.4.12.2,10.2.7.2,74764,1.449999,1.541503,0.09150400000000003,91.50400000000003
52668,10.4.12.2,10.4.13.2,74764,1.56,1.6404999999999998,0.0804999999999998,80.4999999999998
37197,10.4.12.2,10.1.1.2,74764,2.24,2.329503,0.08950299999999967,89.50299999999967
51516,10.4.12.2,10.4.14.2,74764,2.7199999999999998,2.805001,0.0850010000000001,85.0010000000001
51517,10.4.12.2,10.4.14.2,74764,2.839999,2.925001,0.0850019999999998,85.0019999999998
44050,10.4.12.2,10.3.10.2,74764,2.8799989999999998,2.969502,0.08950300000000011,89.50300000000011
33779,10.3.8.2,10.3.11.2,74764,1.01,1.0970010000000001,0.0870010000000001,87.0010000000001
39198,10.3.8.2,10.1.2.2,74764,1.08,1.169502,0.08950199999999997,89.50199999999997
39199,10.3.8.2,10.1.2.2,74764,1.26,1.349502,0.08950199999999997,89.50199999999997
57961,10.3.8.2,10.3.10.2,74764,1.29,1.377001,0.08700099999999988,87.00099999999989
60554,10.3.8.2,10.2.7.2,74764,1.35,1.441502,0.09150199999999997,91.50199999999997
33963,10.3.8.2,10.1.3.2,74764,1.379999,1.469503,0.08950400000000003,89.50400000000003
51197,10.3.8.2,10.4.15.2,74764,1.449999,1.541502,0.09150299999999989,91.50299999999989
37237,10.3.8.2,10.1.1.2,74764,1.56,1.6495030000000002,0.08950300000000011,89.50300000000011
60558,10.3.8.2,10.2.7.2,74764,2.16,2.249503,0.08950299999999967,89.50299999999967
57967,10.3.8.2,10.3.10.2,74764,2.24,2.325001,0.08500099999999966,85.00099999999966
60431,10.3.8.2,10.2.6.2,74764,2.7199999999999998,2.809502,0.08950200000000041,89.50200000000041
39208,10.3.8.2,10.1.2.2,74764,2.839999,2.929505,0.08950599999999964,89.50599999999964
37242,10.3.8.2,10.1.1.2,74764,2.8799989999999998,2.969503,0.08950400000000025,89.50400000000025
49921,10.1.0.2,10.2.4.2,74764,1.01,1.101502,0.09150199999999997,91.50199999999997
53157,10.1.0.2,10.1.3.2,74764,1.08,1.165001,0.08500099999999988,85.00099999999988
51528,10.1.0.2,10.1.1.2,74764,1.26,1.340501,0.08050099999999993,80.50099999999993
37421,10.1.0.2,10.3.11.2,74764,1.29,1.381505,0.09150499999999995,91.50499999999995
56191,10.1.0.2,10.1.2.2,74764,1.35,1.437001,0.08700099999999988,87.00099999999989
47835,10.1.0.2,10.2.6.2,74764,1.379999,1.469503,0.08950400000000003,89.50400000000003
51532,10.1.0.2,10.1.1.2,74764,1.449999,1.5325,0.08250099999999994,82.50099999999993
56098,10.1.0.2,10.4.14.2,74764,1.56,1.649502,0.08950199999999997,89.50199999999997
59909,10.1.0.2,10.3.10.2,74764,2.16,2.249503,0.08950299999999967,89.50299999999967
41162,10.1.0.2,10.3.9.2,74764,2.24,2.329502,0.08950199999999997,89.50199999999997
53166,10.1.0.2,10.1.3.2,74764,2.7199999999999998,2.805002,0.08500200000000024,85.00200000000024
