src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
60298,10.4.15.2,10.3.9.2,33762,1.75,1.832487,0.08248699999999998,82.48699999999998
42453,10.4.15.2,10.1.1.2,33762,2.64,2.720487,0.08048699999999975,80.48699999999975
58852,10.4.12.2,10.1.1.2,33762,1.139999,1.2204869999999999,0.08048799999999989,80.48799999999989
48867,10.4.12.2,10.3.11.2,33762,2.299999,2.380486,0.08048699999999975,80.48699999999975
54223,10.3.10.2,10.3.9.2,33762,1.649999,1.732325,0.0823259999999999,82.3259999999999
54225,10.3.10.2,10.3.9.2,33762,2.299999,2.380325,0.0803259999999999,80.3259999999999
42948,10.1.0.2,10.1.1.2,33762,1.649999,1.728163,0.0781639999999999,78.1639999999999
53481,10.1.0.2,10.1.3.2,33762,1.75,1.832325,0.08232499999999998,82.32499999999999
42951,10.1.0.2,10.1.1.2,33762,2.58,2.660163,0.08016299999999976,80.16299999999976
38680,10.1.0.2,10.3.8.2,33762,2.64,2.720486,0.08048600000000006,80.48600000000006
45240,10.3.8.2,10.1.3.2,33762,1.139999,1.220486,0.08048699999999998,80.48699999999998
49594,10.3.8.2,10.1.0.2,33762,1.649999,1.7324869999999999,0.0824879999999999,82.4879999999999
45243,10.3.8.2,10.1.3.2,33762,2.299999,2.380486,0.08048699999999975,80.48699999999975
49597,10.3.8.2,10.1.0.2,33762,2.64,2.720486,0.08048600000000006,80.48600000000006
54223,10.3.10.2,10.3.9.2,33762,1.649999,1.732325,0.0823259999999999,82.3259999999999
54225,10.3.10.2,10.3.9.2,33762,2.299999,2.380325,0.0803259999999999,80.3259999999999
56094,10.3.9.2,10.1.2.2,33762,1.139999,1.2204869999999999,0.08048799999999989,80.48799999999989
48474,10.3.9.2,10.1.1.2,33762,1.75,1.8324859999999998,0.08248599999999984,82.48599999999983
45240,10.3.8.2,10.1.3.2,33762,1.139999,1.220486,0.08048699999999998,80.48699999999998
49594,10.3.8.2,10.1.0.2,33762,1.649999,1.7324869999999999,0.0824879999999999,82.4879999999999
45243,10.3.8.2,10.1.3.2,33762,2.299999,2.380486,0.08048699999999975,80.48699999999975
49597,10.3.8.2,10.1.0.2,33762,2.64,2.720486,0.08048600000000006,80.48600000000006
42218,10.1.1.2,10.3.9.2,33762,1.139999,1.220486,0.08048699999999998,80.48699999999998
51836,10.1.1.2,10.3.11.2,33762,1.34,1.420487,0.08048699999999998,80.48699999999998
56677,10.1.1.2,10.3.10.2,33762,1.649999,1.7324869999999999,0.0824879999999999,82.4879999999999
47097,10.1.1.2,10.1.0.2,33762,1.75,1.828163,0.07816299999999998,78.16299999999998
36723,10.1.1.2,10.1.3.2,33762,2.58,2.6603250000000003,0.0803250000000002,80.3250000000002
42218,10.1.1.2,10.3.9.2,33762,1.139999,1.220486,0.08048699999999998,80.48699999999998
51836,10.1.1.2,10.3.11.2,33762,1.34,1.420487,0.08048699999999998,80.48699999999998
56677,10.1.1.2,10.3.10.2,33762,1.649999,1.7324869999999999,0.0824879999999999,82.4879999999999
47097,10.1.1.2,10.1.0.2,33762,1.75,1.828163,0.07816299999999998,78.16299999999998
36723,10.1.1.2,10.1.3.2,33762,2.58,2.6603250000000003,0.0803250000000002,80.3250000000002
60298,10.4.15.2,10.3.9.2,33762,1.75,1.832487,0.08248699999999998,82.48699999999998
42453,10.4.15.2,10.1.1.2,33762,2.64,2.720487,0.08048699999999975,80.48699999999975
41105,10.2.5.2,10.3.10.2,33762,1.139999,1.220486,0.08048699999999998,80.48699999999998
36431,10.2.5.2,10.1.2.2,33762,2.58,2.660487,0.08048699999999975,80.48699999999975
57520,10.4.14.2,10.3.11.2,33762,1.139999,1.220486,0.08048699999999998,80.48699999999998
44354,10.4.14.2,10.3.8.2,33762,1.649999,1.7324869999999999,0.0824879999999999,82.4879999999999
55985,10.4.14.2,10.1.2.2,33762,2.299999,2.380487,0.08048799999999989,80.48799999999989
57526,10.4.14.2,10.3.11.2,33762,2.64,2.720486,0.08048600000000006,80.48600000000006
58852,10.4.12.2,10.1.1.2,33762,1.139999,1.2204869999999999,0.08048799999999989,80.48799999999989
48867,10.4.12.2,10.3.11.2,33762,2.299999,2.380486,0.08048699999999975,80.48699999999975
56094,10.3.9.2,10.1.2.2,33762,1.139999,1.2204869999999999,0.08048799999999989,80.48799999999989
48474,10.3.9.2,10.1.1.2,33762,1.75,1.8324859999999998,0.08248599999999984,82.48599999999983
42948,10.1.0.2,10.1.1.2,33762,1.649999,1.728163,0.0781639999999999,78.1639999999999
53481,10.1.0.2,10.1.3.2,33762,1.75,1.832325,0.08232499999999998,82.32499999999999
42951,10.1.0.2,10.1.1.2,33762,2.58,2.660163,0.08016299999999976,80.16299999999976
38680,10.1.0.2,10.3.8.2,33762,2.64,2.720486,0.08048600000000006,80.48600000000006
40752,10.1.2.2,10.3.9.2,33762,1.34,1.420486,0.08048599999999984,80.48599999999983
45956,10.1.2.2,10.3.10.2,33762,1.75,1.8324859999999998,0.08248599999999984,82.48599999999983
50050,10.1.2.2,10.1.1.2,33762,2.299999,2.380325,0.0803259999999999,80.3259999999999
57765,10.1.3.2,10.3.8.2,33762,1.139999,1.2204869999999999,0.08048799999999989,80.48799999999989
34783,10.1.3.2,10.1.0.2,33762,2.299999,2.380326,0.08032700000000004,80.32700000000004
34784,10.1.3.2,10.1.0.2,33762,2.58,2.6603250000000003,0.0803250000000002,80.3250000000002
60298,10.4.15.2,10.3.9.2,33762,1.75,1.832487,0.08248699999999998,82.48699999999998
42453,10.4.15.2,10.1.1.2,33762,2.64,2.720487,0.08048699999999975,80.48699999999975
