src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
45676,10.1.15.2,10.1.2.2,53562,1.179999,1.264487,0.0844879999999999,84.4879999999999
42631,10.1.15.2,10.1.0.2,53562,1.189999,1.272487,0.0824879999999999,82.4879999999999
36994,10.1.15.2,10.3.8.2,53562,1.439999,1.524486,0.08448699999999998,84.48699999999998
37181,10.1.15.2,10.2.6.2,53562,1.56,1.640486,0.08048600000000006,80.48600000000006
51934,10.1.15.2,10.2.4.2,53562,1.62,1.7044869999999999,0.08448699999999976,84.48699999999975
42832,10.1.15.2,10.2.7.2,53562,1.709999,1.792487,0.0824879999999999,82.4879999999999
42135,10.1.15.2,10.3.12.2,53562,2.18,2.260325,0.08032499999999976,80.32499999999976
44829,10.1.15.2,10.3.10.2,53562,2.209999,2.292487,0.08248800000000012,82.48800000000011
37186,10.1.15.2,10.2.6.2,53562,2.31,2.392487,0.08248699999999998,82.48699999999998
42138,10.1.15.2,10.3.12.2,53562,2.479999,2.5603249999999997,0.0803259999999999,80.3259999999999
44832,10.1.15.2,10.3.10.2,53562,2.49,2.572488,0.08248799999999967,82.48799999999967
37189,10.1.15.2,10.2.6.2,53562,2.589999,2.672487,0.08248799999999967,82.48799999999967
49833,10.1.12.2,10.3.13.2,53562,1.179999,1.260163,0.0801639999999999,80.1639999999999
57039,10.1.12.2,10.1.0.2,53562,1.439999,1.5244870000000001,0.08448800000000012,84.48800000000011
43318,10.1.12.2,10.1.2.2,53562,1.62,1.7044869999999999,0.08448699999999976,84.48699999999975
43320,10.1.12.2,10.1.2.2,53562,1.81,1.892487,0.08248699999999998,82.48699999999998
43806,10.1.12.2,10.3.15.2,53562,2.209999,2.292325,0.08232600000000012,82.32600000000012
43324,10.1.12.2,10.1.2.2,53562,2.479999,2.5644869999999997,0.0844879999999999,84.4879999999999
57736,10.1.12.2,10.1.3.2,53562,2.589999,2.672488,0.08248899999999981,82.4889999999998
48291,10.1.10.2,10.1.0.2,53562,1.179999,1.264487,0.0844879999999999,84.4879999999999
56523,10.1.10.2,10.1.2.2,53562,1.439999,1.524486,0.08448699999999998,84.48699999999998
45751,10.1.10.2,10.2.6.2,53562,1.62,1.704486,0.08448599999999984,84.48599999999983
39560,10.1.10.2,10.2.7.2,53562,1.81,1.892487,0.08248699999999998,82.48699999999998
46967,10.1.10.2,10.3.11.2,53562,2.18,2.260163,0.08016299999999976,80.16299999999976
46969,10.1.10.2,10.3.11.2,53562,2.31,2.392163,0.08216299999999999,82.16299999999998
56533,10.1.10.2,10.1.2.2,53562,2.49,2.572488,0.08248799999999967,82.48799999999967
49594,10.1.0.2,10.3.9.2,53562,1.179999,1.264486,0.08448699999999998,84.48699999999998
