src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
51715,10.1.0.2,10.2.4.2,16314,1.159999,1.240486,0.08048699999999998,80.48699999999998
51716,10.1.0.2,10.2.4.2,16314,1.34,1.420486,0.08048599999999984,80.48599999999983
51717,10.1.0.2,10.2.4.2,16314,1.37,1.452486,0.08248599999999984,82.48599999999983
51718,10.1.0.2,10.2.4.2,16314,1.389999,1.472486,0.08248699999999998,82.48699999999998
51719,10.1.0.2,10.2.4.2,16314,1.399999,1.480486,0.08048699999999998,80.48699999999998
51720,10.1.0.2,10.2.4.2,16314,1.439999,1.520486,0.08048699999999998,80.48699999999998
51721,10.1.0.2,10.2.4.2,16314,1.479999,1.560486,0.08048699999999998,80.48699999999998
51722,10.1.0.2,10.2.4.2,16314,1.5899999999999999,1.6724860000000001,0.08248600000000028,82.48600000000027
51723,10.1.0.2,10.2.4.2,16314,1.679999,1.760486,0.08048699999999998,80.48699999999998
51724,10.1.0.2,10.2.4.2,16314,1.719999,1.800486,0.08048699999999998,80.48699999999998
51725,10.1.0.2,10.2.4.2,16314,1.989999,2.072486,0.08248699999999998,82.48699999999998
51726,10.1.0.2,10.2.4.2,16314,2.109999,2.192486,0.08248699999999998,82.48699999999998
51727,10.1.0.2,10.2.4.2,16314,2.129999,2.212486,0.08248699999999998,82.48699999999998
51728,10.1.0.2,10.2.4.2,16314,2.14,2.220486,0.08048600000000006,80.48600000000006
51729,10.1.0.2,10.2.4.2,16314,2.22,2.300486,0.08048599999999961,80.48599999999962
51730,10.1.0.2,10.2.4.2,16314,2.419999,2.500486,0.0804870000000002,80.4870000000002
51731,10.1.0.2,10.2.4.2,16314,2.45,2.532486,0.08248599999999984,82.48599999999983
51732,10.1.0.2,10.2.4.2,16314,2.589999,2.672486,0.08248699999999998,82.48699999999998
51733,10.1.0.2,10.2.4.2,16314,2.6,2.680486,0.08048600000000006,80.48600000000006
51734,10.1.0.2,10.2.4.2,16314,2.75,2.832486,0.08248599999999984,82.48599999999983
51715,10.1.0.2,10.2.4.2,16314,1.159999,1.240486,0.08048699999999998,80.48699999999998
51717,10.1.0.2,10.2.4.2,16314,1.37,1.452486,0.08248599999999984,82.48599999999983
51719,10.1.0.2,10.2.4.2,16314,1.399999,1.480486,0.08048699999999998,80.48699999999998
51721,10.1.0.2,10.2.4.2,16314,1.479999,1.560486,0.08048699999999998,80.48699999999998
51723,10.1.0.2,10.2.4.2,16314,1.679999,1.760486,0.08048699999999998,80.48699999999998
51725,10.1.0.2,10.2.4.2,16314,1.989999,2.072486,0.08248699999999998,82.48699999999998
51727,10.1.0.2,10.2.4.2,16314,2.129999,2.212486,0.08248699999999998,82.48699999999998
51729,10.1.0.2,10.2.4.2,16314,2.22,2.300486,0.08048599999999961,80.48599999999962
51731,10.1.0.2,10.2.4.2,16314,2.45,2.532486,0.08248599999999984,82.48599999999983
51733,10.1.0.2,10.2.4.2,16314,2.6,2.680486,0.08048600000000006,80.48600000000006
