src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
53579,10.1.1.2,10.1.3.2,75828,1.2899129999999999,1.814098,0.5241850000000001,524.1850000000002
53580,10.1.1.2,10.1.3.2,75598,1.462804,2.2525180000000002,0.7897140000000002,789.7140000000003
53581,10.1.1.2,10.1.3.2,75610,1.607589,2.356468,0.7488790000000001,748.879
53582,10.1.1.2,10.1.3.2,75578,1.856567,2.340468,0.4839009999999999,483.9009999999999
53583,10.1.1.2,10.1.3.2,76666,1.890304,3.084468,1.1941640000000002,1194.1640000000002
53584,10.1.1.2,10.1.3.2,75578,2.196743,2.620468,0.4237249999999997,423.7249999999997
53585,10.1.1.2,10.1.3.2,75442,2.6152670000000002,3.124468,0.5092009999999996,509.20099999999957
53586,10.1.1.2,10.1.3.2,75442,2.910926,3.348468,0.4375420000000001,437.5420000000001
53579,10.1.1.2,10.1.3.2,75788,1.662877,2.149344,0.4864670000000002,486.4670000000002
53580,10.1.1.2,10.1.3.2,75574,1.794445,2.660468,0.8660229999999998,866.0229999999998
53581,10.1.1.2,10.1.3.2,75578,2.04092,2.520468,0.4795480000000003,479.5480000000003
53582,10.1.1.2,10.1.3.2,75578,2.296854,2.788468,0.4916139999999998,491.61399999999975
53583,10.1.1.2,10.1.3.2,75578,2.348928,2.836468,0.4875400000000001,487.5400000000001
53585,10.1.1.2,10.1.3.2,75442,2.692716,3.156468,0.46375199999999994,463.75199999999995
53579,10.1.1.2,10.1.3.2,75686,1.429767,2.004468,0.5747010000000001,574.7010000000001
53580,10.1.1.2,10.1.3.2,75886,1.676689,2.132468,0.4557789999999997,455.7789999999997
53581,10.1.1.2,10.1.3.2,75442,2.044128,2.424468,0.3803399999999999,380.3399999999999
53582,10.1.1.2,10.1.3.2,75442,2.045389,2.452468,0.40707899999999997,407.07899999999995
53583,10.1.1.2,10.1.3.2,75578,2.285238,2.704468,0.41922999999999977,419.2299999999998
53584,10.1.1.2,10.1.3.2,75442,2.6696590000000002,3.036468,0.36680899999999994,366.80899999999997
53585,10.1.1.2,10.1.3.2,75442,2.864912,3.280468,0.41555600000000004,415.55600000000004
53586,10.1.1.2,10.1.3.2,75442,2.962388,3.372468,0.4100800000000002,410.0800000000002
53579,10.1.1.2,10.1.3.2,75748,1.358873,1.919839,0.5609660000000001,560.9660000000001
53580,10.1.1.2,10.1.3.2,75966,1.593778,2.116468,0.5226899999999999,522.6899999999998
53581,10.1.1.2,10.1.3.2,75574,1.794592,2.636468,0.8418759999999998,841.8759999999999
53582,10.1.1.2,10.1.3.2,75578,1.995539,2.404468,0.4089290000000001,408.9290000000001
53583,10.1.1.2,10.1.3.2,75578,2.113939,2.544468,0.4305290000000004,430.5290000000004
53584,10.1.1.2,10.1.3.2,75578,2.361675,2.804468,0.442793,442.793
53585,10.1.1.2,10.1.3.2,75442,2.810644,3.316468,0.505824,505.82400000000007
53586,10.1.1.2,10.1.3.2,75442,2.883334,3.412468,0.529134,529.134
53587,10.1.1.2,10.1.3.2,75578,2.93386,3.464468,0.530608,530.608
53579,10.1.1.2,10.1.3.2,75396,1.223825,3.008468,1.7846430000000002,1784.6430000000003
53580,10.1.1.2,10.1.3.2,75726,1.632897,2.156488,0.5235909999999999,523.5909999999999
53583,10.1.1.2,10.1.3.2,75578,1.9903870000000001,2.404468,0.4140809999999999,414.0809999999999
53584,10.1.1.2,10.1.3.2,75578,2.5049770000000002,2.896468,0.3914909999999998,391.4909999999998
53585,10.1.1.2,10.1.3.2,75578,2.751512,3.276468,0.524956,524.956
53581,10.1.1.2,10.1.3.2,75846,2.887489,3.560468,0.6729790000000002,672.9790000000003
