src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
53579,10.1.1.2,10.1.3.2,75646,1.3492600000000001,1.916468,0.5672079999999999,567.208
53580,10.1.1.2,10.1.3.2,75726,2.162939,2.660468,0.49752899999999967,497.52899999999966
53581,10.1.1.2,10.1.3.2,75360,2.379821,3.700468,1.3206469999999997,1320.6469999999997
53582,10.1.1.2,10.1.3.2,75442,2.595721,2.972468,0.37674699999999994,376.74699999999996
53583,10.1.1.2,10.1.3.2,75578,2.678073,3.140468,0.4623949999999999,462.39499999999987
53584,10.1.1.2,10.1.3.2,75578,3.001582,3.376468,0.37488600000000005,374.8860000000001
53579,10.1.1.2,10.1.3.2,75622,1.103665,1.6964679999999999,0.592803,592.803
53580,10.1.1.2,10.1.3.2,75442,1.7752919999999999,2.336468,0.5611760000000001,561.1760000000002
53581,10.1.1.2,10.1.3.2,75442,2.25728,2.844468,0.5871879999999998,587.1879999999999
53582,10.1.1.2,10.1.3.2,75442,2.675552,3.352468,0.6769159999999999,676.9159999999998
53583,10.1.1.2,10.1.3.2,75442,2.874217,3.568468,0.6942510000000004,694.2510000000004
53584,10.1.1.2,10.1.3.2,75442,2.912728,3.6084680000000002,0.6957400000000002,695.7400000000002
53579,10.1.1.2,10.1.3.2,75966,1.299526,1.840468,0.540942,540.942
53580,10.1.1.2,10.1.3.2,75926,1.348118,1.9764680000000001,0.6283500000000002,628.3500000000001
53581,10.1.1.2,10.1.3.2,75442,1.793391,2.144468,0.35107699999999986,351.0769999999999
53582,10.1.1.2,10.1.3.2,75442,2.020293,2.404518,0.3842249999999998,384.2249999999998
53583,10.1.1.2,10.1.3.2,75442,2.098991,2.496468,0.3974770000000003,397.4770000000003
53584,10.1.1.2,10.1.3.2,75442,2.5614559999999997,2.984468,0.4230120000000004,423.0120000000004
53585,10.1.1.2,10.1.3.2,75442,2.6119820000000002,3.036468,0.4244859999999999,424.48599999999993
53586,10.1.1.2,10.1.3.2,75442,2.955924,3.332468,0.376544,376.544
53579,10.1.1.2,10.1.3.2,75828,1.400929,1.959551,0.558622,558.622
53580,10.1.1.2,10.1.3.2,75630,1.581762,2.904468,1.3227060000000002,1322.7060000000001
53581,10.1.1.2,10.1.3.2,76022,1.695973,2.324468,0.628495,628.495
53582,10.1.1.2,10.1.3.2,75578,1.948991,2.436468,0.48747700000000016,487.47700000000015
53583,10.1.1.2,10.1.3.2,76666,1.9779870000000002,3.308468,1.3304809999999998,1330.4809999999998
53584,10.1.1.2,10.1.3.2,75850,2.208003,2.936468,0.7284649999999999,728.4649999999999
53585,10.1.1.2,10.1.3.2,75822,2.251789,3.144468,0.8926789999999998,892.6789999999997
53586,10.1.1.2,10.1.3.2,75850,2.259403,2.996468,0.7370650000000003,737.0650000000003
53588,10.1.1.2,10.1.3.2,76122,2.318251,3.264468,0.9462169999999999,946.2169999999999
53590,10.1.1.2,10.1.3.2,76122,2.709756,3.508468,0.7987120000000001,798.7120000000001
53579,10.1.1.2,10.1.3.2,75586,1.327631,2.028468,0.7008370000000002,700.8370000000001
53580,10.1.1.2,10.1.3.2,75846,1.6394389999999999,2.208468,0.569029,569.029
53581,10.1.1.2,10.1.3.2,75810,1.876301,2.584468,0.7081670000000002,708.1670000000003
53582,10.1.1.2,10.1.3.2,75682,1.987663,2.528468,0.5408050000000002,540.8050000000002
53583,10.1.1.2,10.1.3.2,75442,2.7318860000000003,3.216468,0.4845819999999996,484.58199999999965
53584,10.1.1.2,10.1.3.2,75442,3.047299,3.544468,0.49716899999999997,497.169
53579,10.1.1.2,10.1.3.2,75360,1.239446,2.744488,1.505042,1505.042
53580,10.1.1.2,10.1.3.2,75658,1.257529,1.9804680000000001,0.7229390000000002,722.9390000000002
