src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
53579,10.1.1.2,10.1.3.2,1050,1.022075,1.244518,0.22244299999999995,222.44299999999996
53580,10.1.1.2,10.1.3.2,1050,1.082796,1.380518,0.2977219999999998,297.7219999999998
53581,10.1.1.2,10.1.3.2,1050,1.245703,1.548518,0.30281500000000006,302.81500000000005
53582,10.1.1.2,10.1.3.2,1050,1.391055,1.688518,0.29746300000000003,297.463
53583,10.1.1.2,10.1.3.2,1050,1.471622,1.772518,0.30089600000000005,300.8960000000001
53584,10.1.1.2,10.1.3.2,1050,1.542005,1.8405179999999999,0.2985129999999998,298.5129999999998
53585,10.1.1.2,10.1.3.2,1050,1.614743,1.916518,0.3017749999999999,301.7749999999999
53586,10.1.1.2,10.1.3.2,1050,1.7338230000000001,2.032518,0.29869499999999993,298.69499999999994
53587,10.1.1.2,10.1.3.2,1050,1.755511,2.056518,0.301007,301.007
53588,10.1.1.2,10.1.3.2,1050,2.045317,2.348518,0.30320100000000005,303.2010000000001
53589,10.1.1.2,10.1.3.2,1050,2.156506,2.464518,0.3080120000000002,308.01200000000017
53590,10.1.1.2,10.1.3.2,1050,2.386702,2.696518,0.3098160000000001,309.8160000000001
53591,10.1.1.2,10.1.3.2,1050,2.40839,2.7165179999999998,0.30812799999999996,308.12799999999993
53592,10.1.1.2,10.1.3.2,1050,2.588702,2.896518,0.30781599999999987,307.81599999999986
53593,10.1.1.2,10.1.3.2,1050,2.629616,2.940568,0.3109519999999999,310.9519999999999
53594,10.1.1.2,10.1.3.2,1050,2.781139,3.092518,0.3113790000000001,311.3790000000001
53595,10.1.1.2,10.1.3.2,1050,2.800424,3.100518,0.3000940000000001,300.0940000000001
53596,10.1.1.2,10.1.3.2,1050,2.93152,3.184518,0.2529980000000003,252.99800000000027
53579,10.1.1.2,10.1.3.2,1050,1.082155,1.380518,0.29836299999999993,298.36299999999994
53580,10.1.1.2,10.1.3.2,968,1.120665,1.788518,0.667853,667.8530000000001
53581,10.1.1.2,10.1.3.2,1050,1.532028,1.8325179999999999,0.3004899999999999,300.4899999999999
53582,10.1.1.2,10.1.3.2,1050,1.584957,1.884518,0.29956099999999997,299.561
53583,10.1.1.2,10.1.3.2,1050,1.784554,2.084518,0.2999640000000001,299.9640000000001
53584,10.1.1.2,10.1.3.2,1050,1.994373,2.296518,0.3021449999999999,302.14499999999987
53585,10.1.1.2,10.1.3.2,1050,2.106813,2.412518,0.3057050000000001,305.7050000000001
53586,10.1.1.2,10.1.3.2,1050,2.3081709999999998,2.612518,0.30434700000000037,304.3470000000004
53587,10.1.1.2,10.1.3.2,1050,2.808777,3.124518,0.31574100000000005,315.74100000000004
53588,10.1.1.2,10.1.3.2,1050,2.8304650000000002,3.148518,0.3180529999999999,318.05299999999994
53578,10.1.1.2,10.1.3.2,1050,1.0,1.124529,0.12452899999999989,124.52899999999988
