src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
53579,10.1.1.2,10.1.3.2,1050,1.827615,2.136518,0.30890300000000015,308.90300000000013
53580,10.1.1.2,10.1.3.2,1050,1.916592,2.2245179999999998,0.3079259999999997,307.9259999999997
53581,10.1.1.2,10.1.3.2,1050,2.048791,2.356518,0.30772699999999986,307.72699999999986
53582,10.1.1.2,10.1.3.2,1050,2.208142,2.516518,0.308376,308.376
53583,10.1.1.2,10.1.3.2,1050,2.931044,3.248518,0.3174739999999998,317.4739999999998
53579,10.1.1.2,10.1.3.2,1050,1.082155,1.380518,0.29836299999999993,298.36299999999994
53580,10.1.1.2,10.1.3.2,1050,1.794661,2.096518,0.30185700000000004,301.857
53581,10.1.1.2,10.1.3.2,1050,1.886042,2.188518,0.3024760000000002,302.47600000000017
53582,10.1.1.2,10.1.3.2,1050,1.965989,2.268518,0.3025289999999998,302.5289999999998
53583,10.1.1.2,10.1.3.2,1050,2.076026,2.380518,0.30449199999999976,304.49199999999973
53584,10.1.1.2,10.1.3.2,1050,2.127135,2.436518,0.30938299999999996,309.383
53585,10.1.1.2,10.1.3.2,1050,2.177711,2.484518,0.30680700000000005,306.8070000000001
53586,10.1.1.2,10.1.3.2,1050,2.349042,2.656518,0.3074760000000003,307.4760000000003
53587,10.1.1.2,10.1.3.2,1050,2.560062,2.868518,0.30845600000000006,308.4560000000001
53588,10.1.1.2,10.1.3.2,1050,2.82876,3.144518,0.3157580000000002,315.7580000000002
53589,10.1.1.2,10.1.3.2,1050,2.9507630000000002,3.264518,0.31375499999999956,313.75499999999954
53579,10.1.1.2,10.1.3.2,1050,1.0413000000000001,1.732556,0.6912559999999999,691.2559999999999
53580,10.1.1.2,10.1.3.2,1050,1.338004,1.6245180000000001,0.28651400000000016,286.5140000000002
53581,10.1.1.2,10.1.3.2,1050,1.857836,2.164518,0.3066820000000001,306.68200000000013
53582,10.1.1.2,10.1.3.2,1050,2.700848,3.016518,0.3156699999999999,315.6699999999999
53583,10.1.1.2,10.1.3.2,1050,3.013955,3.336518,0.3225629999999997,322.5629999999997
53579,10.1.1.2,10.1.3.2,1050,1.10138,1.408518,0.3071379999999999,307.1379999999999
53580,10.1.1.2,10.1.3.2,1050,1.287068,1.572518,0.28545,285.45
53581,10.1.1.2,10.1.3.2,1050,1.434823,1.732518,0.29769500000000004,297.69500000000005
53582,10.1.1.2,10.1.3.2,1050,1.6530040000000001,1.952518,0.29951399999999984,299.51399999999984
53583,10.1.1.2,10.1.3.2,1050,1.773855,2.072518,0.2986630000000001,298.6630000000001
53584,10.1.1.2,10.1.3.2,1050,2.608505,2.916518,0.30801299999999987,308.01299999999986
53585,10.1.1.2,10.1.3.2,1050,2.860281,3.172518,0.3122370000000001,312.2370000000001
53586,10.1.1.2,10.1.3.2,1050,3.061639,3.376518,0.3148789999999999,314.8789999999999
53579,10.1.1.2,10.1.3.2,1050,1.269604,1.568518,0.2989140000000001,298.9140000000001
53580,10.1.1.2,10.1.3.2,1050,1.847532,2.156518,0.3089860000000002,308.9860000000002
53581,10.1.1.2,10.1.3.2,1050,2.16905,2.476585,0.3075350000000001,307.53500000000014
53582,10.1.1.2,10.1.3.2,1050,2.319891,2.632518,0.312627,312.627
53583,10.1.1.2,10.1.3.2,1050,2.38003,2.6925179999999997,0.31248799999999965,312.48799999999966
53584,10.1.1.2,10.1.3.2,1050,2.690214,3.004518,0.3143039999999999,314.3039999999999
53585,10.1.1.2,10.1.3.2,1050,2.741942,3.060518,0.3185760000000002,318.5760000000002
