src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
34028,10.1.0.2,10.1.2.2,75490,1.469999,1.628468,0.15846899999999997,158.46899999999997
34029,10.1.0.2,10.1.2.2,75490,1.75,1.976518,0.226518,226.518
34030,10.1.0.2,10.1.2.2,75490,1.7690519999999998,2.044518,0.2754660000000002,275.46600000000024
34031,10.1.0.2,10.1.2.2,75490,1.7859340000000001,2.060468,0.27453400000000006,274.53400000000005
34032,10.1.0.2,10.1.2.2,75490,1.8165740000000001,2.084468,0.2678940000000001,267.89400000000006
34033,10.1.0.2,10.1.2.2,75490,2.279999,2.420468,0.14046899999999996,140.46899999999997
34034,10.1.0.2,10.1.2.2,75490,2.399999,2.560468,0.16046899999999997,160.46899999999997
34035,10.1.0.2,10.1.2.2,75490,3.1,3.252468,0.15246799999999983,152.46799999999982
34036,10.1.0.2,10.1.2.2,75490,3.229999,3.408468,0.1784690000000002,178.46900000000022
34037,10.1.0.2,10.1.2.2,75490,3.299999,3.488518,0.18851899999999988,188.5189999999999
34038,10.1.0.2,10.1.2.2,75490,3.363803,3.528468,0.16466500000000028,164.66500000000028
34039,10.1.0.2,10.1.2.2,75490,3.5,3.664468,0.16446799999999984,164.46799999999985
34040,10.1.0.2,10.1.2.2,75490,3.6,3.748468,0.14846799999999982,148.46799999999982
34028,10.1.0.2,10.1.2.2,75490,1.03,1.2124679999999999,0.18246799999999985,182.46799999999985
34029,10.1.0.2,10.1.2.2,75490,1.52,1.6724679999999998,0.15246799999999983,152.46799999999982
34030,10.1.0.2,10.1.2.2,75490,1.679999,1.828468,0.14846899999999996,148.46899999999997
34031,10.1.0.2,10.1.2.2,75490,2.0,2.228518,0.22851800000000022,228.51800000000023
34032,10.1.0.2,10.1.2.2,75490,2.043591,2.288468,0.2448769999999998,244.87699999999978
34033,10.1.0.2,10.1.2.2,75490,2.058838,2.312518,0.2536799999999997,253.6799999999997
34034,10.1.0.2,10.1.2.2,75490,2.18,2.352468,0.17246799999999984,172.46799999999985
34035,10.1.0.2,10.1.2.2,75490,2.439999,2.5804679999999998,0.14046899999999996,140.46899999999997
34036,10.1.0.2,10.1.2.2,75490,3.04,3.180468,0.14046799999999982,140.46799999999982
34037,10.1.0.2,10.1.2.2,75490,3.259999,3.400468,0.14046899999999996,140.46899999999997
34038,10.1.0.2,10.1.2.2,75490,3.419999,3.560468,0.1404690000000004,140.4690000000004
34028,10.1.0.2,10.1.2.2,75490,1.159999,1.332468,0.17246899999999998,172.469
34029,10.1.0.2,10.1.2.2,75490,1.203602,1.376518,0.17291599999999985,172.91599999999985
34030,10.1.0.2,10.1.2.2,75490,1.230203,1.41647,0.18626699999999996,186.26699999999997
34031,10.1.0.2,10.1.2.2,75490,1.409999,1.556468,0.14646899999999996,146.46899999999997
34032,10.1.0.2,10.1.2.2,75490,1.87,2.048518,0.17851799999999995,178.51799999999994
34033,10.1.0.2,10.1.2.2,75490,1.929369,2.104518,0.17514900000000022,175.14900000000023
34034,10.1.0.2,10.1.2.2,75490,1.975835,2.144468,0.1686329999999998,168.6329999999998
34035,10.1.0.2,10.1.2.2,75490,2.189999,2.328468,0.13846900000000018,138.46900000000016
34036,10.1.0.2,10.1.2.2,75490,3.35,3.512518,0.16251799999999994,162.51799999999994
34037,10.1.0.2,10.1.2.2,75490,3.41,3.576518,0.16651799999999994,166.51799999999994
34038,10.1.0.2,10.1.2.2,75490,3.471208,3.6164680000000002,0.1452600000000004,145.2600000000004
34028,10.1.0.2,10.1.2.2,75490,1.149999,1.292468,0.14246899999999996,142.46899999999997
34029,10.1.0.2,10.1.2.2,75490,1.34,1.4844680000000001,0.14446800000000004,144.46800000000005
34030,10.1.0.2,10.1.2.2,75490,1.51,1.6724679999999998,0.16246799999999983,162.46799999999985
34031,10.1.0.2,10.1.2.2,75490,1.75,1.892468,0.14246800000000004,142.46800000000005
34032,10.1.0.2,10.1.2.2,75490,1.909999,2.068518,0.15851900000000008,158.51900000000006
34033,10.1.0.2,10.1.2.2,75490,1.95207,2.136518,0.18444800000000017,184.44800000000018
34034,10.1.0.2,10.1.2.2,75490,2.027503,2.176468,0.14896500000000001,148.965
34035,10.1.0.2,10.1.2.2,75490,2.319999,2.496518,0.17651899999999987,176.51899999999986
34036,10.1.0.2,10.1.2.2,75490,2.37993,2.536468,0.1565380000000003,156.5380000000003
34037,10.1.0.2,10.1.2.2,75490,2.68,2.820468,0.14046799999999982,140.46799999999982
34038,10.1.0.2,10.1.2.2,75490,2.81,2.960468,0.15046800000000005,150.46800000000005
34039,10.1.0.2,10.1.2.2,75490,2.919999,3.068468,0.1484690000000004,148.4690000000004
34028,10.1.0.2,10.1.2.2,75490,1.149999,1.292468,0.14246899999999996,142.46899999999997
34029,10.1.0.2,10.1.2.2,75490,1.399999,1.580518,0.1805190000000001,180.5190000000001
34030,10.1.0.2,10.1.2.2,75490,1.4370180000000001,1.620468,0.1834499999999999,183.4499999999999
