src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms]
34028,10.1.0.2,10.1.2.2,22848,1.32,1.408518,0.08851799999999987,88.51799999999987
34029,10.1.0.2,10.1.2.2,28706,1.459999,1.548468,0.08846899999999991,88.46899999999991
34030,10.1.0.2,10.1.2.2,28706,1.5699999999999998,1.656468,0.08646800000000021,86.46800000000022
34031,10.1.0.2,10.1.2.2,28706,1.889999,1.9804680000000001,0.09046900000000013,90.46900000000014
34032,10.1.0.2,10.1.2.2,28698,2.029999,2.116468,0.08646899999999969,86.46899999999968
34033,10.1.0.2,10.1.2.2,28554,2.1,2.200468,0.10046799999999978,100.46799999999978
34034,10.1.0.2,10.1.2.2,30270,2.12279,2.224468,0.10167799999999971,101.67799999999971
48929,10.1.0.2,10.2.2.2,342,2.146918,2.196472,0.0495540000000001,49.5540000000001
34035,10.1.0.2,10.1.2.2,26616,2.229999,2.316468,0.08646900000000013,86.46900000000014
34688,10.1.0.2,10.2.2.2,342,2.245705,2.281945,0.03623999999999983,36.239999999999824
34036,10.1.0.2,10.1.2.2,27540,2.669999,2.756518,0.08651900000000001,86.519
34037,10.1.0.2,10.1.2.2,28562,2.83,2.916468,0.08646799999999999,86.46799999999999
34038,10.1.0.2,10.1.2.2,26616,3.169999,3.256468,0.08646900000000013,86.46900000000014
34601,10.1.0.2,10.2.2.2,342,3.1856619999999998,3.221965,0.036303000000000196,36.303000000000196
34039,10.1.0.2,10.1.2.2,26624,3.279999,3.368468,0.08846899999999991,88.46899999999991
50613,10.1.0.2,10.2.2.2,342,3.295691,3.337535,0.04184399999999977,41.84399999999977
34040,10.1.0.2,10.1.2.2,28698,3.399999,3.532468,0.13246899999999995,132.46899999999994
34041,10.1.0.2,10.1.2.2,27548,3.43,3.572617,0.142617,142.617
44126,10.1.0.2,10.2.2.2,342,3.44636,3.538579,0.09221900000000005,92.21900000000005
34042,10.1.0.2,10.1.2.2,28698,3.609999,3.696468,0.08646899999999969,86.46899999999968
34043,10.1.0.2,10.1.2.2,30270,3.74,3.824468,0.08446799999999977,84.46799999999976
54558,10.2.0.2,10.1.2.2,342,1.323294,1.372806,0.049512,49.512
55816,10.2.0.2,10.2.2.2,15990,1.323353,1.408568,0.08521500000000004,85.21500000000005
56331,10.2.0.2,10.1.2.2,342,1.4632939999999999,1.513946,0.05065200000000014,50.65200000000014
47538,10.2.0.2,10.2.2.2,15982,1.4633530000000001,1.552568,0.08921499999999982,89.21499999999982
52153,10.2.0.2,10.1.2.2,342,1.574312,1.624038,0.04972600000000016,49.726000000000155
40298,10.2.0.2,10.2.2.2,15982,1.574371,1.656568,0.08219700000000008,82.19700000000007
43807,10.2.0.2,10.1.2.2,342,1.894971,1.945275,0.050304000000000126,50.30400000000013
41144,10.2.0.2,10.2.2.2,15982,1.89503,1.9805679999999999,0.08553799999999989,85.5379999999999
55818,10.2.0.2,10.1.2.2,342,2.034561,2.081993,0.04743200000000014,47.432000000000144
48266,10.2.0.2,10.2.2.2,15990,2.03462,2.128568,0.09394800000000014,93.94800000000015
39455,10.2.0.2,10.1.2.2,342,2.103294,2.158642,0.05534799999999995,55.347999999999956
47712,10.2.0.2,10.2.2.2,15990,2.103353,2.184568,0.08121500000000026,81.21500000000026
52695,10.2.0.2,10.1.2.2,342,2.139644,2.190811,0.05116699999999996,51.16699999999996
36342,10.2.0.2,10.2.2.2,15982,2.139703,2.228568,0.0888650000000002,88.8650000000002
57814,10.2.0.2,10.1.2.2,342,2.234964,2.284117,0.049153,49.153000000000006
43344,10.2.0.2,10.2.2.2,18002,2.235023,2.316468,0.08144499999999999,81.445
56351,10.2.0.2,10.1.2.2,1364,2.673294,2.756468,0.08317400000000008,83.17400000000008
57486,10.2.0.2,10.2.2.2,15990,2.673353,2.756568,0.08321500000000004,83.21500000000003
50878,10.2.0.2,10.1.2.2,342,2.833294,2.880845,0.0475509999999999,47.5509999999999
51288,10.2.0.2,10.2.2.2,15990,2.833353,2.924568,0.09121500000000005,91.21500000000005
58322,10.2.0.2,10.1.2.2,342,3.174984,3.224024,0.049040000000000195,49.04000000000019
33155,10.2.0.2,10.2.2.2,18002,3.175043,3.256468,0.08142499999999986,81.42499999999986
34434,10.2.0.2,10.1.2.2,342,3.285584,3.334799,0.04921499999999979,49.21499999999979
51375,10.2.0.2,10.2.2.2,18002,3.285643,3.368468,0.08282500000000015,82.82500000000014
49107,10.2.0.2,10.1.2.2,342,3.404764,3.493677,0.0889129999999998,88.9129999999998
57612,10.2.0.2,10.2.2.2,15990,3.404823,3.492468,0.0876450000000002,87.6450000000002
55641,10.2.0.2,10.1.2.2,15982,3.435305,3.572568,0.1372629999999999,137.26299999999992
36839,10.2.0.2,10.2.2.2,342,3.435365,3.538529,0.10316400000000003,103.16400000000003
32890,10.2.0.2,10.1.2.2,342,3.6152480000000002,3.663027,0.047778999999999794,47.7789999999998
