src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
59279,10.2.0.2,10.2.2.2,7642,1.229999,1.332468,0.102469,102.469,20.7487182617
59280,10.2.0.2,10.2.2.2,7642,1.27,1.356468,0.086468,86.468,20.7487182617
59281,10.2.0.2,10.2.2.2,7642,1.28,1.368468,0.088468,88.468,20.7487182617
59282,10.2.0.2,10.2.2.2,7642,1.34,1.428468,0.088468,88.468,20.7487182617
59283,10.2.0.2,10.2.2.2,7642,1.35,1.440468,0.090468,90.468,20.7487182617
59284,10.2.0.2,10.2.2.2,7642,1.53,1.616468,0.086468,86.468,18.8812255859
59285,10.2.0.2,10.2.2.2,7642,1.62,1.708468,0.088468,88.468,18.8812255859
59286,10.2.0.2,10.2.2.2,7642,1.649999,1.740468,0.090469,90.469,18.8812255859
59287,10.2.0.2,10.2.2.2,7642,1.679999,1.768468,0.088469,88.469,18.8812255859
59288,10.2.0.2,10.2.2.2,7642,2.12,2.208518,0.088518,88.518,16.6240844727
59289,10.2.0.2,10.2.2.2,7642,2.16,2.248518,0.088518,88.518,16.6240844727
59290,10.2.0.2,10.2.2.2,7642,2.189999,2.276468,0.086469,86.469,16.6240844727
59291,10.2.0.2,10.2.2.2,7642,2.2,2.288468,0.088468,88.468,16.6240844727
59292,10.2.0.2,10.2.2.2,7642,2.529999,2.616468,0.086469,86.469,17.9001464844
59293,10.2.0.2,10.2.2.2,7642,2.87,2.960468,0.090468,90.468,17.9001464844
59294,10.2.0.2,10.2.2.2,7642,3.009999,3.096468,0.086469,86.469,17.0313720703
59295,10.2.0.2,10.2.2.2,7642,3.35,3.440468,0.090468,90.468,17.0313720703
59296,10.2.0.2,10.2.2.2,7642,3.37,3.460468,0.090468,90.468,17.0313720703
59297,10.2.0.2,10.2.2.2,7642,3.399999,3.492468,0.092469,92.469,17.0313720703
59298,10.2.0.2,10.2.2.2,7642,3.509999,3.600468,0.090469,90.469,17.6987915039
59299,10.2.0.2,10.2.2.2,7642,3.6,3.688468,0.088468,88.468,17.6987915039
59300,10.2.0.2,10.2.2.2,7642,3.709999,3.800468,0.090469,90.469,17.6987915039
59279,10.2.0.2,10.2.2.2,7642,1.08,1.168468,0.088468,88.468,20.7487182617
59280,10.2.0.2,10.2.2.2,7642,1.25,1.336468,0.086468,86.468,20.7487182617
