src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
50860,192.168.0.41,192.168.0.42,79220,1.62508297,1.633574009,0.008491038999999923,8.491038999999923,0.0
50861,192.168.0.41,192.168.0.42,79220,1.625159979,1.633690834,0.00853085500000006,8.53085500000006,0.0
50862,192.168.0.41,192.168.0.42,79220,1.625185013,1.639644861,0.014459847999999997,14.459847999999997,0.0
50863,192.168.0.41,192.168.0.42,79220,1.625203848,1.633749008,0.00854515999999994,8.54515999999994,0.0
50864,192.168.0.41,192.168.0.42,79220,1.625217915,1.633821011,0.008603096000000088,8.603096000000088,0.0
50865,192.168.0.41,192.168.0.42,79220,1.625242949,1.633877993,0.008635044000000036,8.635044000000036,0.0
50866,192.168.0.41,192.168.0.42,79220,1.625259876,1.633941889,0.008682012999999822,8.682012999999822,0.0
50867,192.168.0.41,192.168.0.42,79220,1.625273943,1.639437914,0.014163970999999886,14.163970999999886,0.0
50868,192.168.0.41,192.168.0.42,79220,1.633616924,1.639672995,0.006056070999999941,6.056070999999941,0.0
50869,192.168.0.41,192.168.0.42,79220,1.633700848,1.639701843,0.0060009950000001755,6.0009950000001755,0.0
50870,192.168.0.41,192.168.0.42,79220,1.633759975,1.639727831,0.005967856000000049,5.967856000000049,0.0
50871,192.168.0.41,192.168.0.42,79220,1.633831978,1.639754057,0.00592207900000008,5.92207900000008,0.0
50872,192.168.0.41,192.168.0.42,79220,1.633890867,1.639781952,0.005891085000000018,5.891085000000018,0.0
50873,192.168.0.41,192.168.0.42,79220,1.633952856,1.641532898,0.0075800419999998425,7.5800419999998425,0.0
50874,192.168.0.41,192.168.0.42,79220,1.639610052,1.646080971,0.006470918999999853,6.470918999999853,0.0
50875,192.168.0.41,192.168.0.42,79220,1.639649868,1.647167921,0.00751805300000008,7.51805300000008,0.0
50876,192.168.0.41,192.168.0.42,79220,1.639677048,1.647201061,0.007524013000000052,7.524013000000052,0.0
50877,192.168.0.41,192.168.0.42,79220,1.639704943,1.647230864,0.0075259210000000465,7.5259210000000465,0.0
50878,192.168.0.41,192.168.0.42,79220,1.63973093,1.647259951,0.007529020999999858,7.529020999999858,0.0
50879,192.168.0.41,192.168.0.42,79220,1.639757872,1.647285938,0.007528066000000111,7.528066000000111,0.0
50880,192.168.0.41,192.168.0.42,79220,1.639785051,1.648130894,0.008345842999999853,8.345842999999853,0.0
50881,192.168.0.41,192.168.0.42,79220,1.641537905,1.65219593,0.010658024999999904,10.658024999999904,0.0
50882,192.168.0.41,192.168.0.42,79220,1.646085024,1.652995825,0.0069108010000000775,6.9108010000000775,0.0
50883,192.168.0.41,192.168.0.42,79220,1.647172928,1.653028011,0.005855082999999928,5.855082999999928,0.0
50884,192.168.0.41,192.168.0.42,79220,1.64720583,1.653054953,0.005849122999999956,5.849122999999956,0.0
50885,192.168.0.41,192.168.0.42,79220,1.647234917,1.653081894,0.005846977000000031,5.846977000000031,0.0
50886,192.168.0.41,192.168.0.42,79220,1.64726305,1.653108835,0.005845784999999992,5.845784999999992,0.0
50887,192.168.0.41,192.168.0.42,79220,1.647289991,1.653831959,0.006541967999999843,6.541967999999843,0.0
50888,192.168.0.41,192.168.0.42,79220,1.648134947,1.658098936,0.009963989000000062,9.963989000000062,0.0
50889,192.168.0.41,192.168.0.42,79220,1.652201891,1.659041882,0.006839990999999879,6.839990999999879,0.0
50890,192.168.0.41,192.168.0.42,79220,1.652999878,1.659076929,0.006077051000000111,6.077051000000111,0.0
50891,192.168.0.41,192.168.0.42,79220,1.653030872,1.659111977,0.006081105000000031,6.081105000000031,0.0
50892,192.168.0.41,192.168.0.42,79220,1.653058052,1.659147024,0.006088971999999915,6.088971999999915,0.0
50893,192.168.0.41,192.168.0.42,79220,1.653085947,1.659179926,0.006093978999999861,6.093978999999861,0.0
50894,192.168.0.41,192.168.0.42,79220,1.653111935,1.66009903,0.006987094999999943,6.987094999999943,0.0
50895,192.168.0.41,192.168.0.42,79220,1.653836012,1.663845062,0.010009050000000075,10.009050000000075,0.0
50896,192.168.0.41,192.168.0.42,79220,1.65811801,1.664602041,0.006484031000000057,6.484031000000057,0.0
50897,192.168.0.41,192.168.0.42,79220,1.659045935,1.664634943,0.005589008000000062,5.589008000000062,0.0
50898,192.168.0.41,192.168.0.42,79220,1.659081936,1.66466403,0.005582093999999982,5.582093999999982,0.0
50899,192.168.0.41,192.168.0.42,79220,1.65911603,1.664692879,0.005576848999999884,5.576848999999884,0.0
50900,192.168.0.41,192.168.0.42,79220,1.659152985,1.664718866,0.005565881000000106,5.565881000000106,0.0
50901,192.168.0.41,192.168.0.42,79220,1.659183979,1.665550947,0.006366968000000028,6.366968000000028,0.0
50902,192.168.0.41,192.168.0.42,79220,1.660151005,1.670135975,0.009984970000000093,9.984970000000093,0.0
50903,192.168.0.41,192.168.0.42,79220,1.663851023,1.671169043,0.007318019999999814,7.318019999999814,0.0
