"No.","Time","D_Time","Source","Destination","Protocol","Length","Info"
"95","3.000087s","0.998599s","192.168.0.41","192.168.0.42","TCP","74","nimhub > 49203 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=132129219 TSecr=0 WS=128"
"96","3.000158s","0.000071s","192.168.0.42","192.168.0.41","TCP","74","49203 > nimhub [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=129970571 TSecr=132129219 WS=128"
"97","3.000500s","0.000342s","192.168.0.41","192.168.0.42","TCP","66","nimhub > 49203 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=132129219 TSecr=129970571"
"98","3.000568s","0.000068s","192.168.0.41","192.168.0.42","TCP","14546","nimhub > 49203 [ACK] Seq=1 Ack=1 Win=29312 Len=14480 TSval=132129219 TSecr=129970571"
"99","3.000601s","0.000033s","192.168.0.42","192.168.0.41","TCP","66","49203 > nimhub [ACK] Seq=1 Ack=14481 Win=57984 Len=0 TSval=129970571 TSecr=132129219"
"100","3.000707s","0.000106s","192.168.0.42","192.168.0.41","TCP","66","49203 > nimhub [FIN, ACK] Seq=1 Ack=14481 Win=57984 Len=0 TSval=129970571 TSecr=132129219"
"101","3.000736s","0.000029s","192.168.0.41","192.168.0.42","TCP","1514","nimhub > 49203 [ACK] Seq=14481 Ack=1 Win=29312 Len=1448 TSval=132129219 TSecr=129970571"
"102","3.000760s","0.000024s","192.168.0.42","192.168.0.41","TCP","66","49203 > nimhub [ACK] Seq=2 Ack=15929 Win=60928 Len=0 TSval=129970571 TSecr=132129219"
"103","3.000996s","0.000236s","192.168.0.41","192.168.0.42","TCP","13098","nimhub > 49203 [PSH, ACK] Seq=15929 Ack=1 Win=29312 Len=13032 TSval=132129219 TSecr=129970571"
"104","3.001010s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","49203 > nimhub [ACK] Seq=2 Ack=28961 Win=86912 Len=0 TSval=129970572 TSecr=132129219"
"105","3.001038s","0.000028s","192.168.0.41","192.168.0.42","TCP","13098","nimhub > 49203 [ACK] Seq=28961 Ack=1 Win=29312 Len=13032 TSval=132129219 TSecr=129970571"
"106","3.001059s","0.000021s","192.168.0.42","192.168.0.41","TCP","66","49203 > nimhub [ACK] Seq=2 Ack=41993 Win=113024 Len=0 TSval=129970572 TSecr=132129219"
"107","3.001064s","0.000005s","192.168.0.41","192.168.0.42","TCP","66","nimhub > 49203 [ACK] Seq=41993 Ack=2 Win=29312 Len=0 TSval=132129219 TSecr=129970571"
"108","3.001077s","0.000013s","192.168.0.41","192.168.0.42","TCP","1514","nimhub > 49203 [ACK] Seq=41993 Ack=2 Win=29312 Len=1448 TSval=132129219 TSecr=129970571"
"109","3.001093s","0.000016s","192.168.0.42","192.168.0.41","TCP","66","49203 > nimhub [ACK] Seq=2 Ack=43441 Win=115840 Len=0 TSval=129970572 TSecr=132129219"
"110","3.001160s","0.000067s","192.168.0.41","192.168.0.42","TCP","4410","nimhub > 49203 [ACK] Seq=43441 Ack=2 Win=29312 Len=4344 TSval=132129219 TSecr=129970572"
"111","3.001183s","0.000023s","192.168.0.42","192.168.0.41","TCP","66","49203 > nimhub [ACK] Seq=2 Ack=47785 Win=124544 Len=0 TSval=129970572 TSecr=132129219"
"112","3.001201s","0.000018s","192.168.0.41","192.168.0.42","TCP","4410","nimhub > 49203 [ACK] Seq=47785 Ack=2 Win=29312 Len=4344 TSval=132129219 TSecr=129970572"
"113","3.001217s","0.000016s","192.168.0.42","192.168.0.41","TCP","66","49203 > nimhub [ACK] Seq=2 Ack=52129 Win=133248 Len=0 TSval=129970572 TSecr=132129219"
"114","3.001318s","0.000101s","192.168.0.41","192.168.0.42","TCP","4410","nimhub > 49203 [ACK] Seq=52129 Ack=2 Win=29312 Len=4344 TSval=132129219 TSecr=129970572"
"115","3.001338s","0.000020s","192.168.0.42","192.168.0.41","TCP","66","49203 > nimhub [ACK] Seq=2 Ack=56473 Win=141952 Len=0 TSval=129970572 TSecr=132129219"
"116","3.001342s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","nimhub > 49203 [PSH, ACK] Seq=56473 Ack=2 Win=29312 Len=1448 TSval=132129219 TSecr=129970572"
"117","3.001355s","0.000013s","192.168.0.42","192.168.0.41","TCP","66","49203 > nimhub [ACK] Seq=2 Ack=57921 Win=144896 Len=0 TSval=129970572 TSecr=132129219"
"118","3.001375s","0.000020s","192.168.0.41","192.168.0.42","TCP","11650","nimhub > 49203 [ACK] Seq=57921 Ack=2 Win=29312 Len=11584 TSval=132129219 TSecr=129970572"
"119","3.001401s","0.000026s","192.168.0.42","192.168.0.41","TCP","66","49203 > nimhub [ACK] Seq=2 Ack=69505 Win=151296 Len=0 TSval=129970572 TSecr=132129219"
