"No.","Time","D_Time","Source","Destination","Protocol","Length","Info"
"70","1.999966s","0.998703s","192.168.0.41","192.168.0.42","TCP","74","47184 > 49202 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=132128969 TSecr=0 WS=128"
"71","2.000044s","0.000078s","192.168.0.42","192.168.0.41","TCP","74","49202 > 47184 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=129970321 TSecr=132128969 WS=128"
"72","2.000384s","0.000340s","192.168.0.41","192.168.0.42","TCP","66","47184 > 49202 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=132128969 TSecr=129970321"
"73","2.000456s","0.000072s","192.168.0.41","192.168.0.42","TCP","14546","47184 > 49202 [ACK] Seq=1 Ack=1 Win=29312 Len=14480 TSval=132128969 TSecr=129970321"
"74","2.000490s","0.000034s","192.168.0.42","192.168.0.41","TCP","66","49202 > 47184 [ACK] Seq=1 Ack=14481 Win=57984 Len=0 TSval=129970321 TSecr=132128969"
"75","2.000614s","0.000124s","192.168.0.42","192.168.0.41","TCP","66","49202 > 47184 [FIN, ACK] Seq=1 Ack=14481 Win=57984 Len=0 TSval=129970321 TSecr=132128969"
"76","2.000660s","0.000046s","192.168.0.41","192.168.0.42","TCP","5858","47184 > 49202 [ACK] Seq=14481 Ack=1 Win=29312 Len=5792 TSval=132128969 TSecr=129970321"
"77","2.000712s","0.000052s","192.168.0.42","192.168.0.41","TCP","66","49202 > 47184 [ACK] Seq=2 Ack=20273 Win=69504 Len=0 TSval=129970321 TSecr=132128969"
"78","2.000897s","0.000185s","192.168.0.41","192.168.0.42","TCP","8754","47184 > 49202 [PSH, ACK] Seq=20273 Ack=1 Win=29312 Len=8688 TSval=132128969 TSecr=129970321"
"79","2.000939s","0.000042s","192.168.0.42","192.168.0.41","TCP","66","49202 > 47184 [ACK] Seq=2 Ack=28961 Win=86912 Len=0 TSval=129970321 TSecr=132128969"
"80","2.000963s","0.000024s","192.168.0.41","192.168.0.42","TCP","13098","47184 > 49202 [ACK] Seq=28961 Ack=1 Win=29312 Len=13032 TSval=132128969 TSecr=129970321"
"81","2.000988s","0.000025s","192.168.0.42","192.168.0.41","TCP","66","49202 > 47184 [ACK] Seq=2 Ack=41993 Win=113024 Len=0 TSval=129970321 TSecr=132128969"
"82","2.001002s","0.000014s","192.168.0.41","192.168.0.42","TCP","66","47184 > 49202 [ACK] Seq=41993 Ack=2 Win=29312 Len=0 TSval=132128969 TSecr=129970321"
"83","2.001022s","0.000020s","192.168.0.41","192.168.0.42","TCP","1514","47184 > 49202 [ACK] Seq=41993 Ack=2 Win=29312 Len=1448 TSval=132128969 TSecr=129970321"
"84","2.001040s","0.000018s","192.168.0.42","192.168.0.41","TCP","66","49202 > 47184 [ACK] Seq=2 Ack=43441 Win=115840 Len=0 TSval=129970322 TSecr=132128969"
"85","2.001147s","0.000107s","192.168.0.41","192.168.0.42","TCP","10202","47184 > 49202 [ACK] Seq=43441 Ack=2 Win=29312 Len=10136 TSval=132128969 TSecr=129970321"
"86","2.001171s","0.000024s","192.168.0.42","192.168.0.41","TCP","66","49202 > 47184 [ACK] Seq=2 Ack=53577 Win=136192 Len=0 TSval=129970322 TSecr=132128969"
"87","2.001389s","0.000218s","192.168.0.41","192.168.0.42","TCP","2962","47184 > 49202 [ACK] Seq=53577 Ack=2 Win=29312 Len=2896 TSval=132128969 TSecr=129970321"
"88","2.001409s","0.000020s","192.168.0.42","192.168.0.41","TCP","66","49202 > 47184 [ACK] Seq=2 Ack=56473 Win=141952 Len=0 TSval=129970322 TSecr=132128969"
"89","2.001415s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","47184 > 49202 [PSH, ACK] Seq=56473 Ack=2 Win=29312 Len=1448 TSval=132128969 TSecr=129970321"
"90","2.001428s","0.000013s","192.168.0.42","192.168.0.41","TCP","66","49202 > 47184 [ACK] Seq=2 Ack=57921 Win=144896 Len=0 TSval=129970322 TSecr=132128969"
"91","2.001446s","0.000018s","192.168.0.41","192.168.0.42","TCP","11650","47184 > 49202 [ACK] Seq=57921 Ack=2 Win=29312 Len=11584 TSval=132128969 TSecr=129970321"
"92","2.001465s","0.000019s","192.168.0.42","192.168.0.41","TCP","66","49202 > 47184 [ACK] Seq=2 Ack=69505 Win=168064 Len=0 TSval=129970322 TSecr=132128969"
"93","2.001471s","0.000006s","192.168.0.41","192.168.0.42","TCP","2242","47184 > 49202 [FIN, PSH, ACK] Seq=69505 Ack=2 Win=29312 Len=2176 TSval=132128969 TSecr=129970322"
"94","2.001488s","0.000017s","192.168.0.42","192.168.0.41","TCP","66","49202 > 47184 [ACK] Seq=2 Ack=71682 Win=172416 Len=0 TSval=129970322 TSecr=132128969"
