No.,Time,D_Time,Source,Destination,Protocol,Length,Info
20,0.000909s,0.000015s,192.168.0.41,192.168.0.42,TCP,74,40173 > 49201 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=132511819 TSecr=0 WS=128
21,0.000944s,0.000035s,192.168.0.42,192.168.0.41,TCP,74,"49201 > 40173 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=130353170 TSecr=132511819 WS=128"
32,0.001231s,0.000007s,192.168.0.41,192.168.0.42,TCP,66,40173 > 49201 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=132511819 TSecr=130353170
41,0.001382s,0.000007s,192.168.0.42,192.168.0.41,TCP,66,"49201 > 40173 [FIN, ACK] Seq=1 Ack=1 Win=29056 Len=0 TSval=130353170 TSecr=132511819"
42,0.001385s,0.000003s,192.168.0.41,192.168.0.42,TCP,8754,40173 > 49201 [ACK] Seq=1 Ack=1 Win=29312 Len=8688 TSval=132511819 TSecr=130353170
43,0.001413s,0.000028s,192.168.0.42,192.168.0.41,TCP,66,49201 > 40173 [ACK] Seq=2 Ack=8689 Win=46336 Len=0 TSval=130353170 TSecr=132511819
46,0.001713s,0.000016s,192.168.0.41,192.168.0.42,TCP,5858,40173 > 49201 [ACK] Seq=8689 Ack=1 Win=29312 Len=5792 TSval=132511819 TSecr=130353170
47,0.001733s,0.000020s,192.168.0.42,192.168.0.41,TCP,66,49201 > 40173 [ACK] Seq=2 Ack=14481 Win=57984 Len=0 TSval=130353170 TSecr=132511819
48,0.001739s,0.000006s,192.168.0.41,192.168.0.42,TCP,66,40173 > 49201 [ACK] Seq=14481 Ack=2 Win=29312 Len=0 TSval=132511819 TSecr=130353170
51,0.001811s,0.000031s,192.168.0.41,192.168.0.42,TCP,14546,"40173 > 49201 [PSH, ACK] Seq=14481 Ack=2 Win=29312 Len=14480 TSval=132511819 TSecr=130353170"
52,0.001834s,0.000023s,192.168.0.42,192.168.0.41,TCP,66,49201 > 40173 [ACK] Seq=2 Ack=28961 Win=86912 Len=0 TSval=130353170 TSecr=132511819
53,0.001922s,0.000088s,192.168.0.41,192.168.0.42,TCP,8754,40173 > 49201 [ACK] Seq=28961 Ack=2 Win=29312 Len=8688 TSval=132511819 TSecr=130353170
54,0.001947s,0.000025s,192.168.0.42,192.168.0.41,TCP,66,49201 > 40173 [ACK] Seq=2 Ack=37649 Win=104320 Len=0 TSval=130353170 TSecr=132511819
56,0.002196s,0.000034s,192.168.0.41,192.168.0.42,TCP,1514,40173 > 49201 [ACK] Seq=37649 Ack=2 Win=29312 Len=1448 TSval=132511819 TSecr=130353170
57,0.002215s,0.000019s,192.168.0.42,192.168.0.41,TCP,66,49201 > 40173 [ACK] Seq=2 Ack=39097 Win=107264 Len=0 TSval=130353170 TSecr=132511819
58,0.002224s,0.000009s,192.168.0.41,192.168.0.42,TCP,4410,40173 > 49201 [ACK] Seq=39097 Ack=2 Win=29312 Len=4344 TSval=132511819 TSecr=130353170
59,0.002238s,0.000014s,192.168.0.42,192.168.0.41,TCP,66,49201 > 40173 [ACK] Seq=2 Ack=43441 Win=115840 Len=0 TSval=130353170 TSecr=132511819
60,0.002251s,0.000013s,192.168.0.41,192.168.0.42,TCP,10202,40173 > 49201 [ACK] Seq=43441 Ack=2 Win=29312 Len=10136 TSval=132511819 TSecr=130353170
62,0.002273s,0.000005s,192.168.0.41,192.168.0.42,TCP,4410,"40173 > 49201 [PSH, ACK] Seq=53577 Ack=2 Win=29312 Len=4344 TSval=132511819 TSecr=130353170"
63,0.002274s,0.000001s,192.168.0.42,192.168.0.41,TCP,66,49201 > 40173 [ACK] Seq=2 Ack=53577 Win=136192 Len=0 TSval=130353170 TSecr=132511819
64,0.002286s,0.000012s,192.168.0.42,192.168.0.41,TCP,66,49201 > 40173 [ACK] Seq=2 Ack=57921 Win=144896 Len=0 TSval=130353170 TSecr=132511819
65,0.002321s,0.000035s,192.168.0.41,192.168.0.42,TCP,4410,40173 > 49201 [ACK] Seq=57921 Ack=2 Win=29312 Len=4344 TSval=132511819 TSecr=130353170
66,0.002337s,0.000016s,192.168.0.42,192.168.0.41,TCP,66,49201 > 40173 [ACK] Seq=2 Ack=62265 Win=151296 Len=0 TSval=130353170 TSecr=132511819
71,0.002447s,0.000007s,192.168.0.41,192.168.0.42,TCP,1514,40173 > 49201 [ACK] Seq=62265 Ack=2 Win=29312 Len=1448 TSval=132511819 TSecr=130353170
72,0.002459s,0.000012s,192.168.0.42,192.168.0.41,TCP,66,49201 > 40173 [ACK] Seq=2 Ack=63713 Win=150400 Len=0 TSval=130353170 TSecr=132511819
74,0.002479s,0.000013s,192.168.0.41,192.168.0.42,TCP,7306,40173 > 49201 [ACK] Seq=63713 Ack=2 Win=29312 Len=7240 TSval=132511819 TSecr=130353170
75,0.002494s,0.000015s,192.168.0.42,192.168.0.41,TCP,66,49201 > 40173 [ACK] Seq=2 Ack=70953 Win=145536 Len=0 TSval=130353170 TSecr=132511819
76,0.002497s,0.000003s,192.168.0.41,192.168.0.42,TCP,794,"40173 > 49201 [FIN, PSH, ACK] Seq=70953 Ack=2 Win=29312 Len=728 TSval=132511819 TSecr=130353170"
77,0.002509s,0.000012s,192.168.0.42,192.168.0.41,TCP,66,49201 > 40173 [ACK] Seq=2 Ack=71682 Win=144896 Len=0 TSval=130353170 TSecr=132511819
