"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Info"
"1","0.000000s","0.000000s","192.168.0.41","192.168.0.42","TCP","74","0","","","50880 > http [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=372300908 TSecr=0 WS=128"
"2","0.000061s","0.000061s","192.168.0.42","192.168.0.41","TCP","74","0","1","","http > 50880 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=137238360 TSecr=372300908 WS=128"
"3","0.000216s","0.000155s","192.168.0.41","192.168.0.42","TCP","66","1","1","","50880 > http [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=372300908 TSecr=137238360"
"4","0.000353s","0.000137s","192.168.0.41","192.168.0.42","TCP","1514","1","1","1448","[TCP segment of a reassembled PDU]"
"5","0.000406s","0.000053s","192.168.0.42","192.168.0.41","TCP","66","1","1449","","http > 50880 [ACK] Seq=1 Ack=1449 Win=31872 Len=0 TSval=137238360 TSecr=372300909"
"6","0.000420s","0.000014s","192.168.0.41","192.168.0.42","TCP","1514","1449","1","1448","[TCP segment of a reassembled PDU]"
"7","0.000433s","0.000013s","192.168.0.42","192.168.0.41","TCP","66","1","2897","","http > 50880 [ACK] Seq=1 Ack=2897 Win=34816 Len=0 TSval=137238360 TSecr=372300909"
"8","0.000435s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","2897","1","1448","[TCP segment of a reassembled PDU]"
"9","0.000442s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","4345","","http > 50880 [ACK] Seq=1 Ack=4345 Win=37760 Len=0 TSval=137238360 TSecr=372300909"
"10","0.000444s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","4345","1","1448","[TCP segment of a reassembled PDU]"
"11","0.000450s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","1","5793","","http > 50880 [ACK] Seq=1 Ack=5793 Win=40576 Len=0 TSval=137238360 TSecr=372300909"
"12","0.000452s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","5793","1","1448","[TCP segment of a reassembled PDU]"
"13","0.000459s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","7241","","http > 50880 [ACK] Seq=1 Ack=7241 Win=43520 Len=0 TSval=137238360 TSecr=372300909"
"14","0.000461s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","7241","1","1448","[TCP segment of a reassembled PDU]"
"15","0.000467s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","1","8689","","http > 50880 [ACK] Seq=1 Ack=8689 Win=46336 Len=0 TSval=137238360 TSecr=372300909"
"16","0.000469s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","8689","1","1448","[TCP segment of a reassembled PDU]"
"17","0.000476s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","10137","","http > 50880 [ACK] Seq=1 Ack=10137 Win=49280 Len=0 TSval=137238360 TSecr=372300909"
"18","0.000478s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","10137","1","1448","[TCP segment of a reassembled PDU]"
"19","0.000484s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","1","11585","","http > 50880 [ACK] Seq=1 Ack=11585 Win=52224 Len=0 TSval=137238360 TSecr=372300909"
