src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
54832,192.168.0.41,192.168.0.42,74130,0.0,0.001647949,0.001647949,1.6479489999999999,0.0
39973,192.168.0.41,192.168.0.42,73206,0.001088142,0.002722979,0.0016348369999999999,1.6348369999999999,0.0
49630,192.168.0.41,192.168.0.42,73668,0.00518012,0.006500006,0.0013198860000000001,1.3198860000000001,0.0
50448,192.168.0.41,192.168.0.42,73932,0.010322094,0.011616945,0.0012948509999999996,1.2948509999999995,0.0
36450,192.168.0.41,192.168.0.42,74196,0.015130043,0.016320944,0.0011909010000000012,1.190901000000001,0.0
53710,192.168.0.41,192.168.0.42,74328,0.020164967,0.021312952,0.0011479850000000007,1.1479850000000007,0.0
45140,192.168.0.41,192.168.0.42,73800,0.025418043,0.026775122,0.0013570789999999971,1.357078999999997,0.0
59086,192.168.0.41,192.168.0.42,73932,0.030358076,0.031764984,0.0014069080000000019,1.4069080000000018,0.0
43855,192.168.0.41,192.168.0.42,73668,0.035404921,0.036734104,0.0013291829999999977,1.3291829999999978,0.0
44932,192.168.0.41,192.168.0.42,74196,0.04034996,0.041706085,0.0013561249999999997,1.3561249999999996,0.0
47907,192.168.0.41,192.168.0.42,74196,0.045499086,0.046672106,0.0011730199999999968,1.1730199999999968,0.0
36993,192.168.0.41,192.168.0.42,74064,0.05043602,0.051595926,0.0011599060000000022,1.159906000000002,0.0
59295,192.168.0.41,192.168.0.42,74196,0.055491924,0.056728125,0.0012362009999999993,1.2362009999999992,0.0
38459,192.168.0.41,192.168.0.42,73932,0.060640097,0.061918974,0.0012788770000000046,1.2788770000000047,0.0
34041,192.168.0.41,192.168.0.42,73536,0.065736055,0.067167997,0.0014319419999999916,1.4319419999999916,0.0
46128,192.168.0.41,192.168.0.42,74196,0.070868015,0.072109938,0.001241922999999992,1.241922999999992,0.0
32828,192.168.0.41,192.168.0.42,73536,0.075793982,0.077178001,0.0013840190000000002,1.3840190000000003,0.0
41493,192.168.0.41,192.168.0.42,74592,0.080904007,0.08216095,0.0012569429999999965,1.2569429999999966,0.0
49239,192.168.0.41,192.168.0.42,73800,0.085912943,0.087284088,0.0013711449999999903,1.3711449999999903,0.0
44043,192.168.0.41,192.168.0.42,73668,0.09100914,0.092281103,0.001271963000000001,1.2719630000000008,0.0
34627,192.168.0.41,192.168.0.42,73932,0.096067905,0.097445965,0.0013780600000000004,1.3780600000000005,0.0
42042,192.168.0.41,192.168.0.42,74328,0.101135969,0.10235405,0.0012180809999999959,1.2180809999999958,0.0
41835,192.168.0.41,192.168.0.42,73668,0.106130123,0.107527018,0.0013968949999999952,1.3968949999999953,0.0
54168,192.168.0.41,192.168.0.42,74064,0.111176968,0.112401009,0.0012240409999999952,1.2240409999999953,0.0
41774,192.168.0.41,192.168.0.42,74064,0.116172075,0.117437124,0.0012650490000000042,1.2650490000000043,0.0
41088,192.168.0.41,192.168.0.42,74196,0.121223927,0.122506142,0.0012822150000000032,1.2822150000000032,0.0
38959,192.168.0.41,192.168.0.42,73800,0.126399994,0.127682924,0.0012829300000000154,1.2829300000000154,0.0
39243,192.168.0.41,192.168.0.42,74856,0.131232977,0.132271051,0.001038074,1.038074,0.0
35238,192.168.0.41,192.168.0.42,74460,0.136320114,0.137520075,0.0011999609999999994,1.1999609999999994,0.0
51654,192.168.0.41,192.168.0.42,73932,0.14153409,0.142838955,0.0013048649999999884,1.3048649999999884,0.0
47531,192.168.0.41,192.168.0.42,73668,0.146517038,0.147844076,0.0013270380000000026,1.3270380000000026,0.0
53430,192.168.0.41,192.168.0.42,74196,0.151670933,0.152925968,0.0012550349999999877,1.2550349999999877,0.0
