"No.","Time","D_Time","Source","Destination","Protocol","Length","Info"
"312","1.600000","0.059532","10.1.0.2","10.1.2.2","TCP","74","34031 > 50000 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=400 TSecr=0 WS=16"
"313","1.600995","0.000995","10.1.2.2","10.1.0.2","TCP","74","50000 > 34031 [SYN, ACK] Seq=0 Ack=1 Win=28560 Len=0 MSS=1460 SACK_PERM=1 TSval=400 TSecr=400 WS=16"
"314","1.600995","0.000000","10.1.0.2","10.1.2.2","TCP","82","34031 > 50000 [ACK] Seq=1 Ack=1 Win=58400 Len=0 TSval=400 TSecr=400"
"315","1.601060","0.000065","10.1.0.2","10.1.2.2","TCP","594","34031 > 50000 [PSH, ACK] Seq=1 Ack=1 Win=58400 Len=512 TSval=400 TSecr=400"
"316","1.601536","0.000476","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=513 Ack=1 Win=58400 Len=1420 TSval=400 TSecr=400"
"317","1.602737","0.001201","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=1933 Ack=1 Win=58400 Len=1420 TSval=400 TSecr=400"
"318","1.603294","0.000557","10.1.2.2","10.1.0.2","TCP","70","50000 > 34031 [ACK] Seq=1 Ack=513 Win=58192 Len=0 TSval=400 TSecr=400"
"319","1.603939","0.000645","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=3353 Ack=1 Win=58400 Len=1428 TSval=400 TSecr=400"
"320","1.605140","0.001201","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=4781 Ack=1 Win=58400 Len=1428 TSval=400 TSecr=400"
"321","1.605948","0.000808","10.1.2.2","10.1.0.2","TCP","70","50000 > 34031 [ACK] Seq=1 Ack=1933 Win=61120 Len=0 TSval=401 TSecr=400"
"322","1.606342","0.000394","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=6209 Ack=1 Win=58400 Len=1428 TSval=400 TSecr=400"
"323","1.607150","0.000808","10.1.2.2","10.1.0.2","TCP","70","50000 > 34031 [ACK] Seq=1 Ack=3353 Win=64032 Len=0 TSval=401 TSecr=400"
"324","1.607543","0.000393","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=7637 Ack=1 Win=58400 Len=1428 TSval=400 TSecr=400"
"325","1.608332","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=4781 Win=66960 Len=0 TSval=401 TSecr=400"
"326","1.608745","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=9065 Ack=1 Win=58400 Len=1428 TSval=400 TSecr=400"
"327","1.609534","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=6209 Win=69872 Len=0 TSval=402 TSecr=400"
"328","1.609947","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=10493 Ack=1 Win=58400 Len=1428 TSval=400 TSecr=400"
"329","1.610735","0.000788","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=7637 Win=72800 Len=0 TSval=402 TSecr=400"
"330","1.611148","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=11921 Ack=1 Win=58400 Len=1428 TSval=400 TSecr=400"
"331","1.611937","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=9065 Win=75712 Len=0 TSval=402 TSecr=400"
"332","1.612350","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=13349 Ack=1 Win=58400 Len=1428 TSval=400 TSecr=400"
"333","1.613139","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=10493 Win=78640 Len=0 TSval=403 TSecr=400"
"334","1.613551","0.000412","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=14777 Ack=1 Win=58400 Len=1428 TSval=400 TSecr=400"
"335","1.614340","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=11921 Win=81552 Len=0 TSval=403 TSecr=400"
"336","1.614753","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=16205 Ack=1 Win=58400 Len=1428 TSval=401 TSecr=401"
"337","1.615542","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=13349 Win=84480 Len=0 TSval=403 TSecr=400"
"338","1.615955","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=17633 Ack=1 Win=58400 Len=1428 TSval=401 TSecr=401"
"339","1.616743","0.000788","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=14777 Win=87392 Len=0 TSval=404 TSecr=400"
"340","1.617156","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=19061 Ack=1 Win=58400 Len=1428 TSval=401 TSecr=401"
"341","1.617945","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=16205 Win=90320 Len=0 TSval=404 TSecr=400"
"342","1.618358","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=20489 Ack=1 Win=58400 Len=1428 TSval=401 TSecr=401"
"343","1.619147","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=17633 Win=93232 Len=0 TSval=404 TSecr=401"
"344","1.619559","0.000412","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=21917 Ack=1 Win=58400 Len=1428 TSval=402 TSecr=401"
"345","1.620348","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=19061 Win=96160 Len=0 TSval=404 TSecr=401"
"346","1.620761","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=23345 Ack=1 Win=58400 Len=1428 TSval=402 TSecr=401"
"347","1.621550","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=20489 Win=99072 Len=0 TSval=405 TSecr=401"
"348","1.621963","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=24773 Ack=1 Win=58400 Len=1428 TSval=402 TSecr=402"
"349","1.622751","0.000788","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=21917 Win=102000 Len=0 TSval=405 TSecr=401"
"350","1.623164","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=26201 Ack=1 Win=58400 Len=1428 TSval=402 TSecr=402"
"351","1.623953","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=23345 Win=104912 Len=0 TSval=405 TSecr=402"
"352","1.624366","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=27629 Ack=1 Win=58400 Len=1428 TSval=402 TSecr=402"
"353","1.625155","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=24773 Win=107840 Len=0 TSval=406 TSecr=402"
"354","1.625567","0.000412","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=29057 Ack=1 Win=58400 Len=1428 TSval=402 TSecr=402"
"355","1.626356","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=26201 Win=110752 Len=0 TSval=406 TSecr=402"
"356","1.626769","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=30485 Ack=1 Win=58400 Len=1428 TSval=402 TSecr=402"
"357","1.627558","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=27629 Win=113680 Len=0 TSval=406 TSecr=402"
"358","1.627971","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=31913 Ack=1 Win=58400 Len=1428 TSval=402 TSecr=402"
"359","1.628759","0.000788","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=29057 Win=116592 Len=0 TSval=407 TSecr=402"
"360","1.629172","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=33341 Ack=1 Win=58400 Len=1428 TSval=403 TSecr=403"
"361","1.629961","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=30485 Win=119520 Len=0 TSval=407 TSecr=402"
"362","1.630374","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=34769 Ack=1 Win=58400 Len=1428 TSval=403 TSecr=403"
"363","1.631163","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=31913 Win=122432 Len=0 TSval=407 TSecr=402"
"364","1.631575","0.000412","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=36197 Ack=1 Win=58400 Len=1428 TSval=403 TSecr=403"
"365","1.632364","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=33341 Win=125360 Len=0 TSval=407 TSecr=402"
"366","1.632777","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=37625 Ack=1 Win=58400 Len=1428 TSval=403 TSecr=403"
"367","1.633566","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=34769 Win=128272 Len=0 TSval=408 TSecr=403"
"368","1.633979","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=39053 Ack=1 Win=58400 Len=1428 TSval=403 TSecr=403"
"369","1.634767","0.000788","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=36197 Win=131200 Len=0 TSval=408 TSecr=403"
"370","1.635180","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=40481 Ack=1 Win=58400 Len=1428 TSval=403 TSecr=403"
"371","1.635969","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=37625 Win=134112 Len=0 TSval=408 TSecr=403"
"372","1.636382","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=41909 Ack=1 Win=58400 Len=1428 TSval=404 TSecr=404"
"373","1.637171","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=39053 Win=137040 Len=0 TSval=409 TSecr=403"
"374","1.637583","0.000412","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=43337 Ack=1 Win=58400 Len=1428 TSval=404 TSecr=404"
"375","1.638372","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=40481 Win=139952 Len=0 TSval=409 TSecr=403"
"376","1.638785","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=44765 Ack=1 Win=58400 Len=1428 TSval=404 TSecr=404"
"377","1.639574","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=41909 Win=142880 Len=0 TSval=409 TSecr=403"
"378","1.639987","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=46193 Ack=1 Win=58400 Len=1428 TSval=404 TSecr=404"
"379","1.640775","0.000788","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=43337 Win=145792 Len=0 TSval=410 TSecr=404"
"380","1.641188","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=47621 Ack=1 Win=58400 Len=1428 TSval=404 TSecr=404"
"381","1.641977","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=44765 Win=148720 Len=0 TSval=410 TSecr=404"
"382","1.642390","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=49049 Ack=1 Win=58400 Len=1428 TSval=404 TSecr=404"
"383","1.643179","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=46193 Win=151632 Len=0 TSval=410 TSecr=404"
"384","1.643591","0.000412","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=50477 Ack=1 Win=58400 Len=1428 TSval=405 TSecr=404"
"385","1.644380","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=47621 Win=154560 Len=0 TSval=410 TSecr=404"
"386","1.644793","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=51905 Ack=1 Win=58400 Len=1428 TSval=405 TSecr=404"
"387","1.645582","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=49049 Win=157472 Len=0 TSval=411 TSecr=404"
"388","1.645995","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=53333 Ack=1 Win=58400 Len=1428 TSval=405 TSecr=405"
"389","1.646783","0.000788","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=50477 Win=160400 Len=0 TSval=411 TSecr=404"
"390","1.647196","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=54761 Ack=1 Win=58400 Len=1428 TSval=405 TSecr=405"
"391","1.647985","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=51905 Win=163312 Len=0 TSval=411 TSecr=405"
"392","1.648398","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=56189 Ack=1 Win=58400 Len=1428 TSval=405 TSecr=405"
"393","1.649187","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=53333 Win=166240 Len=0 TSval=412 TSecr=405"
"394","1.649599","0.000412","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=57617 Ack=1 Win=58400 Len=1428 TSval=405 TSecr=405"
"395","1.650388","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=54761 Win=169152 Len=0 TSval=412 TSecr=405"
"396","1.650801","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=59045 Ack=1 Win=58400 Len=1428 TSval=405 TSecr=405"
"397","1.651590","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=56189 Win=172080 Len=0 TSval=412 TSecr=405"
"398","1.652003","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=60473 Ack=1 Win=58400 Len=1428 TSval=405 TSecr=405"
"399","1.652791","0.000788","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=57617 Win=174992 Len=0 TSval=413 TSecr=405"
"400","1.653204","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=61901 Ack=1 Win=58400 Len=1428 TSval=406 TSecr=406"
"401","1.653993","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=59045 Win=177920 Len=0 TSval=413 TSecr=405"
"402","1.654406","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=63329 Ack=1 Win=58400 Len=1428 TSval=406 TSecr=406"
"403","1.655195","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=60473 Win=180832 Len=0 TSval=413 TSecr=405"
"404","1.655607","0.000412","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=64757 Ack=1 Win=58400 Len=1428 TSval=406 TSecr=406"
"405","1.656396","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=61901 Win=183760 Len=0 TSval=413 TSecr=405"
"406","1.656809","0.000413","10.1.0.2","10.1.2.2","TCP","1502","34031 > 50000 [PSH, ACK] Seq=66185 Ack=1 Win=58400 Len=1428 TSval=406 TSecr=406"
"407","1.657598","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=63329 Win=186672 Len=0 TSval=414 TSecr=406"
"408","1.658011","0.000413","10.1.0.2","10.1.2.2","TCP","960","34031 > 50000 [PSH, ACK] Seq=67613 Ack=1 Win=58400 Len=886 TSval=406 TSecr=406"
"409","1.658799","0.000788","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=64757 Win=189600 Len=0 TSval=414 TSecr=406"
"410","1.660001","0.001202","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=66185 Win=192512 Len=0 TSval=414 TSecr=406"
"411","1.661203","0.001202","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=67613 Win=195440 Len=0 TSval=415 TSecr=406"
"412","1.700468","0.039265","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=68499 Win=198352 Len=0 TSval=425 TSecr=406"
"413","1.700468","0.000000","10.1.0.2","10.1.2.2","TCP","62","34031 > 50000 [FIN, ACK] Seq=68499 Ack=1 Win=58400 Len=0 TSval=425 TSecr=415"
"414","1.740468","0.040000","10.1.2.2","10.1.0.2","TCP","62","50000 > 34031 [ACK] Seq=1 Ack=68500 Win=198352 Len=0 TSval=435 TSecr=425"
