src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
34028,10.1.0.2,10.1.2.2,75490,1.0,1.176468,0.17646800000000007,176.46800000000007,18.0904541015625
34029,10.1.0.2,10.1.2.2,75490,1.058779,1.304468,0.24568900000000005,245.68900000000005,18.0904541015625
34030,10.1.0.2,10.1.2.2,75490,1.1,1.360468,0.2604679999999999,260.4679999999999,18.0904541015625
34031,10.1.0.2,10.1.2.2,75490,1.169889,1.432468,0.2625790000000001,262.5790000000001,18.0904541015625
34032,10.1.0.2,10.1.2.2,75490,1.227732,1.4884680000000001,0.2607360000000001,260.7360000000001,18.0904541015625
34033,10.1.0.2,10.1.2.2,75490,1.277647,1.560468,0.282821,282.82099999999997,17.895965576171875
34034,10.1.0.2,10.1.2.2,75490,1.321121,1.612468,0.291347,291.34700000000004,17.895965576171875
34035,10.1.0.2,10.1.2.2,75490,1.379013,1.680553,0.3015399999999999,301.5399999999999,17.895965576171875
34036,10.1.0.2,10.1.2.2,75490,1.436906,1.780468,0.3435619999999999,343.5619999999999,17.895965576171875
34037,10.1.0.2,10.1.2.2,75490,1.480991,1.8285179999999999,0.3475269999999999,347.52699999999993,17.895965576171875
34038,10.1.0.2,10.1.2.2,75490,1.52861,1.872468,0.343858,343.858,17.70147705078125
34039,10.1.0.2,10.1.2.2,75490,1.559961,1.892468,0.3325070000000001,332.5070000000001,17.70147705078125
34040,10.1.0.2,10.1.2.2,28562,1.644396,1.908468,0.2640720000000001,264.07200000000006,17.70147705078125
34041,10.1.0.2,10.1.2.2,40060,1.668487,1.880468,0.21198099999999998,211.98099999999997,17.70147705078125
34042,10.1.0.2,10.1.2.2,28562,1.737735,1.936468,0.19873300000000005,198.73300000000006,17.70147705078125
39455,10.1.0.2,10.2.2.2,342,1.7626439999999999,1.8677380000000001,0.10509400000000024,105.09400000000025,0.310302734375
34043,10.1.0.2,10.1.2.2,36016,1.77068,1.980518,0.20983799999999997,209.83799999999997,17.70147705078125
36782,10.1.0.2,10.2.2.2,342,1.7731430000000001,1.826467,0.05332399999999993,53.32399999999993,0.310302734375
34044,10.1.0.2,10.1.2.2,75490,1.8015539999999999,2.060468,0.2589140000000003,258.9140000000003,18.031463623046875
57814,10.1.0.2,10.2.2.2,342,1.824344,1.902042,0.07769800000000004,77.69800000000005,0.310302734375
34045,10.1.0.2,10.1.2.2,75490,1.85,2.128468,0.2784679999999997,278.46799999999973,18.031463623046875
34046,10.1.0.2,10.1.2.2,75490,1.924439,2.200468,0.27602899999999986,276.0289999999999,18.031463623046875
34047,10.1.0.2,10.1.2.2,75490,1.976707,2.256468,0.2797609999999999,279.7609999999999,18.031463623046875
34048,10.1.0.2,10.1.2.2,75490,2.017778,2.324468,0.30669000000000013,306.6900000000001,18.3614501953125
34049,10.1.0.2,10.1.2.2,75490,2.07567,2.408468,0.3327979999999999,332.79799999999994,18.3614501953125
34050,10.1.0.2,10.1.2.2,75490,2.112546,2.448468,0.33592200000000005,335.922,18.3614501953125
34051,10.1.0.2,10.1.2.2,75490,2.167374,2.480518,0.31314399999999987,313.1439999999999,18.3614501953125
34052,10.1.0.2,10.1.2.2,75490,2.234112,2.5804679999999998,0.34635599999999966,346.35599999999965,19.34381103515625
34053,10.1.0.2,10.1.2.2,28562,2.283821,2.504468,0.22064700000000004,220.64700000000005,19.34381103515625
34054,10.1.0.2,10.1.2.2,28562,2.307251,2.5404679999999997,0.23321699999999979,233.21699999999979,19.34381103515625
34055,10.1.0.2,10.1.2.2,75490,2.376549,2.680518,0.3039690000000004,303.9690000000004,19.34381103515625
50943,10.1.0.2,10.2.2.2,342,2.411897,2.486773,0.07487599999999972,74.87599999999972,0.16082763671875
34056,10.1.0.2,10.1.2.2,75490,2.411957,2.720468,0.30851099999999976,308.51099999999974,19.34381103515625
34057,10.1.0.2,10.1.2.2,75490,2.457745,2.780518,0.32277299999999975,322.77299999999974,19.34381103515625
34058,10.1.0.2,10.1.2.2,75490,2.539769,2.876468,0.33669899999999986,336.69899999999984,20.326171875
34059,10.1.0.2,10.1.2.2,75490,2.586256,2.916468,0.33021199999999995,330.21199999999993,20.326171875
34060,10.1.0.2,10.1.2.2,75490,2.620117,2.956468,0.33635100000000007,336.35100000000006,20.326171875
34061,10.1.0.2,10.1.2.2,75490,2.681388,3.028468,0.34708000000000006,347.08000000000004,18.2691650390625
34062,10.1.0.2,10.1.2.2,21284,2.747151,2.976468,0.229317,229.317,20.326171875
34063,10.1.0.2,10.1.2.2,46316,2.780962,3.012468,0.231506,231.506,18.2691650390625
34064,10.1.0.2,10.1.2.2,75490,2.819629,3.160518,0.3408890000000002,340.88900000000024,18.2691650390625
34065,10.1.0.2,10.1.2.2,75490,2.8672,3.220468,0.3532679999999999,353.2679999999999,18.2691650390625
43125,10.1.0.2,10.2.2.2,342,2.881786,2.944144,0.062358000000000136,62.35800000000013,0.1513671875
34066,10.1.0.2,10.1.2.2,75490,2.90376,3.272468,0.3687079999999998,368.7079999999998,18.2691650390625
34067,10.1.0.2,10.1.2.2,75490,2.977146,3.316568,0.33942200000000033,339.4220000000003,18.2691650390625
34068,10.1.0.2,10.1.2.2,75490,3.043627,3.392468,0.3488410000000002,348.8410000000002,16.212158203125
34069,10.1.0.2,10.1.2.2,21284,3.069461,3.316518,0.24705699999999986,247.05699999999985,16.212158203125
34070,10.1.0.2,10.1.2.2,28562,3.122114,3.364468,0.24235400000000018,242.35400000000018,16.212158203125
34071,10.1.0.2,10.1.2.2,75490,3.18241,3.480468,0.29805800000000016,298.05800000000016,16.212158203125
36671,10.1.0.2,10.2.2.2,342,3.196227,3.262657,0.06642999999999999,66.42999999999999,0.24029541015625
34072,10.1.0.2,10.1.2.2,75428,3.221136,3.524468,0.30333200000000016,303.33200000000016,17.55047607421875
52284,10.1.0.2,10.2.2.2,342,3.235016,3.307281,0.07226500000000025,72.26500000000024,0.24029541015625
34073,10.1.0.2,10.1.2.2,28562,3.25,5.644518,2.3945179999999997,2394.5179999999996,18.427042643229168
34074,10.1.0.2,10.1.2.2,74498,3.34575,3.6164680000000002,0.27071800000000046,270.7180000000005,17.55047607421875
40765,10.1.0.2,10.2.2.2,342,3.351384,5.609555,2.2581710000000004,2258.1710000000003,0.22578938802083334
34075,10.1.0.2,10.1.2.2,21284,3.381817,5.6365680000000005,2.2547510000000006,2254.7510000000007,18.427042643229168
34076,10.1.0.2,10.1.2.2,40398,3.399999,5.164518,1.764519,1764.519,18.5789306640625
37306,10.1.0.2,10.2.2.2,342,3.45367,5.601555,2.1478850000000005,2147.8850000000007,0.22578938802083334
34077,10.1.0.2,10.1.2.2,74498,3.478579,3.676468,0.19788899999999998,197.88899999999998,17.55047607421875
40012,10.1.0.2,10.2.2.2,342,3.481041,5.128343,1.6473020000000003,1647.3020000000004,0.2278076171875
34078,10.1.0.2,10.1.2.2,20368,3.509872,5.232518,1.7226459999999997,1722.6459999999997,19.170623779296875
34079,10.1.0.2,10.1.2.2,69674,3.57676,5.232468,1.6557079999999997,1655.7079999999996,19.170623779296875
41357,10.1.0.2,10.2.2.2,342,3.57682,5.202082,1.6252619999999998,1625.2619999999997,0.2246856689453125
34080,10.1.0.2,10.1.2.2,49402,3.600295,4.816468,1.2161730000000004,1216.1730000000005,19.201131184895832
35368,10.1.0.2,10.2.2.2,26938,3.603916,5.236568,1.6326520000000002,1632.6520000000003,0.2246856689453125
60654,10.1.0.2,10.2.2.2,342,3.62688,4.775472,1.1485919999999998,1148.5919999999999,0.22768147786458334
34081,10.1.0.2,10.1.2.2,48024,3.649999,5.266378,1.6163789999999993,1616.3789999999995,19.170623779296875
40524,10.1.0.2,10.2.2.2,342,3.664352,5.269555,1.6052030000000004,1605.2030000000004,0.2246856689453125
34082,10.1.0.2,10.1.2.2,68336,3.7,4.3244679999999995,0.6244679999999994,624.4679999999994,18.43316650390625
56565,10.1.0.2,10.2.2.2,342,3.706822,4.287021,0.5801990000000004,580.1990000000003,0.237457275390625
34083,10.1.0.2,10.1.2.2,40424,3.75,5.388518,1.6385180000000004,1638.5180000000003,19.170623779296875
48870,10.1.0.2,10.2.2.2,342,3.75514,5.353753,1.5986130000000003,1598.6130000000003,0.2246856689453125
34084,10.1.0.2,10.1.2.2,32114,3.799999,4.436468,0.6364689999999995,636.4689999999995,18.43316650390625
48944,10.1.0.2,10.2.2.2,342,3.8060140000000002,4.401555,0.5955409999999999,595.5409999999998,0.237457275390625
34085,10.1.0.2,10.1.2.2,35084,3.85,5.460468,1.6104679999999996,1610.4679999999996,19.170623779296875
33940,10.1.0.2,10.2.2.2,342,3.856115,5.425361,1.5692459999999997,1569.2459999999996,0.2246856689453125
34086,10.1.0.2,10.1.2.2,75612,3.899999,5.064468,1.1644689999999995,1164.4689999999996,19.170623779296875
58681,10.1.0.2,10.2.2.2,342,3.906582,5.041297,1.134715,1134.715,0.2246856689453125
34087,10.1.0.2,10.1.2.2,73036,3.95,4.636468,0.6864679999999996,686.4679999999996,19.201131184895832
52898,10.1.0.2,10.2.2.2,342,3.958329,4.593456,0.6351269999999998,635.1269999999997,0.22768147786458334
34088,10.1.0.2,10.1.2.2,36648,4.0,5.200468,1.2004679999999999,1200.4679999999998,19.264567057291668
49663,10.1.0.2,10.2.2.2,342,4.00514,5.164399,1.1592590000000005,1159.2590000000005,0.21317545572916666
