src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
50338,10.31.0.1,10.3.0.1,20632,0.0,0.079927,0.079927,79.92699999999999,0.0
39313,10.30.0.1,10.3.0.1,66560,1.402,1.483927,0.08192700000000008,81.92700000000008,0.0
59051,10.5.0.1,10.3.0.1,64376,1.591938,1.675927,0.08398899999999987,83.98899999999986,0.0
49685,10.7.0.1,10.3.0.1,19472,1.793938,1.871927,0.07798899999999986,77.98899999999986,0.0
45100,10.31.1.1,10.3.1.1,20632,0.0,0.078927,0.078927,78.92699999999999,0.0
52050,10.30.1.1,10.3.1.1,66560,1.402,1.486927,0.0849270000000002,84.92700000000019,0.0
45879,10.5.1.1,10.3.1.1,64376,1.591938,1.674927,0.08298899999999998,82.98899999999998,0.0
38774,10.7.1.1,10.3.1.1,19472,1.793938,1.874927,0.08098899999999998,80.98899999999998,0.0
60918,10.8.0.1,10.4.0.1,21792,0.397938,0.475927,0.07798899999999998,77.98899999999998,0.0
33676,10.21.0.1,10.4.0.1,22816,0.8,0.879927,0.07992699999999997,79.92699999999996,0.0
37156,10.7.0.1,10.4.0.1,40832,3.396065,3.479927,0.08386199999999988,83.86199999999988,0.0
48752,10.8.1.1,10.4.1.1,21792,0.397938,0.478927,0.08098899999999998,80.98899999999998,0.0
44327,10.21.1.1,10.4.1.1,22816,0.8,0.878927,0.07892699999999997,78.92699999999996,0.0
59477,10.7.1.1,10.4.1.1,40832,3.396085,3.478927,0.0828420000000003,82.8420000000003,0.0
32979,10.5.0.1,10.15.0.1,18448,0.0,0.08007,0.08007,80.07000000000001,0.0
51293,10.15.0.1,10.5.0.1,22816,0.804074,0.896001,0.09192700000000009,91.92700000000009,0.0
59051,10.5.0.1,10.3.0.1,64376,1.400001,1.48401,0.084009,84.009,0.0
37766,10.5.0.1,10.17.0.1,21792,2.0,2.08007,0.08007000000000009,80.07000000000008,0.0
43073,10.5.0.1,10.18.0.1,56528,2.400001,2.48407,0.08406899999999995,84.06899999999995,0.0
53747,10.5.0.1,10.22.0.1,25136,3.0,3.08007,0.08007000000000009,80.07000000000008,0.0
51303,10.15.0.1,10.5.0.1,74408,3.006074,3.124001,0.11792699999999989,117.9269999999999,0.0
56433,10.21.0.1,10.5.0.1,20632,3.610074,3.692001,0.08192699999999986,81.92699999999986,0.0
38847,10.5.1.1,10.15.1.1,18448,0.0,0.07907,0.07907,79.07000000000001,0.0
54853,10.15.1.1,10.5.1.1,22816,0.804074,0.891001,0.08692700000000009,86.92700000000009,0.0
45879,10.5.1.1,10.3.1.1,64376,1.400001,1.48301,0.08300899999999989,83.00899999999989,0.0
53950,10.5.1.1,10.17.1.1,21792,2.000001,2.07907,0.07906900000000006,79.06900000000006,0.0
36962,10.5.1.1,10.18.1.1,56528,2.400001,2.48307,0.08306900000000006,83.06900000000006,0.0
33360,10.5.1.1,10.22.1.1,25136,3.000001,3.083075,0.08307399999999987,83.07399999999987,0.0
54863,10.15.1.1,10.5.1.1,74408,3.006074,3.127001,0.120927,120.927,0.0
34296,10.21.1.1,10.5.1.1,20632,3.610074,3.691001,0.08092699999999997,80.92699999999996,0.0
34414,10.6.0.1,10.2.0.1,77888,0.0,0.084009,0.084009,84.009,0.0
38836,10.6.0.1,10.7.0.1,78912,1.8,1.888069,0.08806899999999995,88.06899999999996,0.0
38838,10.6.0.1,10.7.0.1,66560,1.999999,2.084069,0.08406999999999987,84.06999999999987,0.0
39096,10.6.0.1,10.13.0.1,31696,2.4,2.732069,0.33206900000000017,332.0690000000002,0.0
46748,10.6.0.1,10.19.0.1,25136,2.999999,3.080069,0.08007000000000009,80.07000000000008,0.0
47109,10.13.0.1,10.6.0.1,20632,3.204073,3.308,0.10392699999999966,103.92699999999965,0.0
51287,10.6.1.1,10.2.1.1,77888,0.0,0.08301,0.08301,83.01,0.0
36588,10.6.1.1,10.7.1.1,78912,1.800001,1.887129,0.0871280000000001,87.1280000000001,0.0
36590,10.6.1.1,10.7.1.1,66560,2.0,2.08307,0.0830700000000002,83.07000000000019,0.0
51549,10.6.1.1,10.13.1.1,30122,2.400001,2.73107,0.33106899999999984,331.06899999999985,0.0
57221,10.6.1.1,10.19.1.1,25136,3.0,3.08307,0.0830700000000002,83.07000000000019,0.0
51590,10.13.1.1,10.6.1.1,20632,3.204074,3.307001,0.10292700000000021,102.92700000000022,0.0
52742,10.7.0.1,10.13.0.1,20632,0.0,0.08207,0.08207,82.07000000000001,0.0
50785,10.7.0.1,10.19.0.1,39672,0.398001,0.48207,0.084069,84.069,0.0
55567,10.7.0.1,10.31.0.1,26296,0.598001,0.67807,0.08006899999999995,80.06899999999995,0.0
42273,10.14.0.1,10.7.0.1,28480,0.604115,0.690001,0.08588600000000002,85.88600000000002,0.0
37596,10.22.0.1,10.7.0.1,22816,1.206074,1.286001,0.07992699999999986,79.92699999999986,0.0
37598,10.22.0.1,10.7.0.1,44176,1.208299,1.290001,0.08170199999999994,81.70199999999994,0.0
38836,10.6.0.1,10.7.0.1,78912,1.798076,1.886001,0.08792500000000003,87.92500000000003,0.0
49685,10.7.0.1,10.3.0.1,19472,1.800001,1.87801,0.078009,78.009,0.0
58844,10.30.0.1,10.7.0.1,19472,1.810158,1.890001,0.07984300000000011,79.8430000000001,0.0
38838,10.6.0.1,10.7.0.1,66560,1.998074,2.082001,0.08392700000000008,83.92700000000008,0.0
37363,10.29.0.1,10.7.0.1,20632,2.610074,2.690001,0.07992700000000008,79.92700000000008,0.0
42014,10.7.0.1,10.21.0.1,18448,3.2,3.28207,0.08206999999999987,82.06999999999987,0.0
37156,10.7.0.1,10.4.0.1,40832,3.398001,3.482177,0.08417600000000025,84.17600000000024,0.0
43419,10.7.0.1,10.30.0.1,58712,3.401271,3.490075,0.0888040000000001,88.8040000000001,0.0
53762,10.7.1.1,10.13.1.1,20632,0.0,0.081069,0.081069,81.069,0.0
59551,10.7.1.1,10.19.1.1,39672,0.398,0.481069,0.083069,83.069,0.0
39308,10.7.1.1,10.31.1.1,26296,0.598,0.677069,0.07906900000000006,79.06900000000006,0.0
50226,10.14.1.1,10.7.1.1,28480,0.604114,0.689,0.0848859999999999,84.88599999999991,0.0
38063,10.22.1.1,10.7.1.1,22816,1.206076,1.285,0.078924,78.92399999999999,0.0
38065,10.22.1.1,10.7.1.1,44176,1.208365,1.289,0.08063500000000001,80.63500000000002,0.0
36588,10.6.1.1,10.7.1.1,78912,1.798097,1.885,0.08690299999999995,86.90299999999995,0.0
38774,10.7.1.1,10.3.1.1,19472,1.8,1.881009,0.08100899999999989,81.00899999999989,0.0
51707,10.30.1.1,10.7.1.1,19472,1.810163,1.889,0.07883700000000005,78.83700000000005,0.0
36590,10.6.1.1,10.7.1.1,66560,1.998073,2.081,0.08292699999999997,82.92699999999998,0.0
43558,10.29.1.1,10.7.1.1,20632,2.610073,2.689,0.07892700000000019,78.92700000000019,0.0
