src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
45435,10.14.0.1,10.3.0.1,31056,0.0,0.041927,0.041927,41.927,0.0
39315,10.30.0.1,10.3.0.1,31056,0.01,0.053927,0.043927,43.927,0.0
50404,10.14.1.1,10.3.1.1,31056,0.0,0.040927,0.040927,40.927,0.0
52052,10.30.1.1,10.3.1.1,31056,0.01,0.052927,0.042927,42.927,0.0
33674,10.21.0.1,10.4.0.1,32188,0.0,0.043886,0.043886,43.886,0.0
60916,10.8.0.1,10.4.0.1,26636,0.191897,0.231886,0.039989,39.989,0.0
55113,10.15.0.1,10.4.0.1,38764,0.604113,0.643886,0.03977299999999995,39.772999999999946,0.0
55115,10.15.0.1,10.4.0.1,38764,0.791959,0.831886,0.039927000000000046,39.92700000000005,0.0
54920,10.13.0.1,10.4.0.1,26636,1.195959,1.235886,0.039927000000000046,39.92700000000005,0.0
39429,10.29.0.1,10.4.0.1,55312,1.397959,1.451886,0.05392700000000006,53.927000000000056,0.0
51449,10.14.0.1,10.4.0.1,23348,2.597959,2.639886,0.04192700000000027,41.92700000000027,0.0
44325,10.21.1.1,10.4.1.1,32188,0.0,0.042886,0.042886,42.886,0.0
48750,10.8.1.1,10.4.1.1,26636,0.191897,0.230886,0.038988999999999996,38.989,0.0
55630,10.15.1.1,10.4.1.1,38764,0.604113,0.646886,0.04277299999999995,42.77299999999995,0.0
55632,10.15.1.1,10.4.1.1,38764,0.791959,0.834886,0.04292700000000005,42.92700000000005,0.0
54685,10.13.1.1,10.4.1.1,26636,1.195959,1.234886,0.038926999999999934,38.926999999999936,0.0
41447,10.29.1.1,10.4.1.1,55312,1.397959,1.438886,0.04092700000000016,40.927000000000156,0.0
36255,10.14.1.1,10.4.1.1,23348,2.597959,2.638886,0.040926999999999936,40.926999999999936,0.0
60870,10.5.0.1,10.23.0.1,37488,0.0,0.084069,0.084069,84.069,0.0
40996,10.22.0.1,10.5.0.1,22816,0.404073,0.496,0.09192699999999998,91.92699999999998,0.0
32983,10.5.0.1,10.15.0.1,67720,2.799999,2.892069,0.09206999999999965,92.06999999999965,0.0
54026,10.5.1.1,10.23.1.1,37488,0.0,0.083069,0.083069,83.069,0.0
54880,10.22.1.1,10.5.1.1,22816,0.404073,0.483,0.07892699999999997,78.92699999999996,0.0
38851,10.5.1.1,10.15.1.1,67720,2.8,2.883069,0.08306900000000006,83.06900000000006,0.0
59408,10.8.0.1,10.6.0.1,19472,0.0,0.077919,0.077919,77.919,0.0
48839,10.6.0.1,10.10.0.1,19844,0.199918,0.201676,0.0017579999999999818,1.7579999999999818,0.0
33388,10.21.0.1,10.6.0.1,23976,0.201992,0.281919,0.07992699999999997,79.92699999999996,0.0
51339,10.6.0.1,10.25.0.1,27066,0.997918,1.004837,0.0069190000000000085,6.9190000000000085,0.0
53335,10.6.0.1,10.29.0.1,45398,0.999918,1.521988,0.5220699999999999,522.0699999999999,0.0
49630,10.6.0.1,10.15.0.1,37488,1.797918,1.877988,0.08007000000000009,80.07000000000008,0.0
56614,10.6.0.1,10.30.0.1,18448,2.197919,2.277988,0.08006899999999995,80.06899999999995,0.0
58670,10.29.0.1,10.6.0.1,19472,3.001992,3.081919,0.07992700000000008,79.92700000000008,0.0
53343,10.6.0.1,10.29.0.1,41992,3.197919,3.281988,0.08406899999999995,84.06899999999995,0.0
47103,10.6.0.1,10.14.0.1,23976,3.597919,3.677988,0.08006899999999995,80.06899999999995,0.0
53457,10.8.1.1,10.6.1.1,19472,0.0,0.080919,0.080919,80.91900000000001,0.0
32830,10.6.1.1,10.10.1.1,19790,0.199919,0.201785,0.0018659999999999788,1.8659999999999788,0.0
35238,10.21.1.1,10.6.1.1,23976,0.201992,0.280919,0.07892699999999997,78.92699999999996,0.0
33005,10.6.1.1,10.25.1.1,27552,0.997919,1.000272,0.0023530000000000495,2.3530000000000495,0.0
44004,10.6.1.1,10.29.1.1,45336,1.000196,1.080988,0.08079199999999997,80.79199999999997,0.0
45801,10.6.1.1,10.15.1.1,37488,1.797918,1.880988,0.0830700000000002,83.07000000000019,0.0
53561,10.6.1.1,10.30.1.1,18448,2.197919,2.276988,0.07906899999999961,79.06899999999962,0.0
45365,10.29.1.1,10.6.1.1,19472,3.001992,3.080919,0.07892700000000019,78.92700000000019,0.0
44012,10.6.1.1,10.29.1.1,41992,3.197919,3.280988,0.08306899999999962,83.06899999999962,0.0
57579,10.6.1.1,10.14.1.1,23976,3.597919,3.676988,0.07906900000000006,79.06900000000006,0.0
41709,10.21.0.1,10.7.0.1,76728,0.0,0.083927,0.083927,83.927,0.0
55563,10.7.0.1,10.31.0.1,19472,0.599926,0.691996,0.0920700000000001,92.07000000000009,0.0
51648,10.7.0.1,10.10.0.1,18334,0.995926,1.005552,0.009626000000000023,9.626000000000023,0.0
37357,10.29.0.1,10.7.0.1,20632,1.404,1.495927,0.09192700000000009,91.92700000000009,0.0
41246,10.7.0.1,10.18.0.1,27120,1.795927,1.798578,0.002650999999999959,2.650999999999959,0.0
54122,10.7.0.1,10.15.0.1,61032,2.595927,2.695996,0.10006899999999996,100.06899999999996,0.0
41601,10.7.0.1,10.25.0.1,81074,2.795927,2.833065,0.037138000000000115,37.13800000000012,0.0
