src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
57219,10.1.0.1,10.2.0.1,94066,0.0,0.092049,0.092049,92.049,0.0
57220,10.1.0.1,10.2.0.1,94066,0.199999,0.292049,0.09204999999999999,92.05,0.0
57221,10.1.0.1,10.2.0.1,94066,0.4,0.492049,0.09204899999999999,92.04899999999999,0.0
57222,10.1.0.1,10.2.0.1,94066,0.6,0.692049,0.09204900000000005,92.04900000000005,0.0
57223,10.1.0.1,10.2.0.1,94066,0.8,0.892049,0.09204899999999994,92.04899999999994,0.0
57224,10.1.0.1,10.2.0.1,94066,0.999999,1.092049,0.09205000000000008,92.05000000000008,0.0
57225,10.1.0.1,10.2.0.1,94066,1.199999,1.292049,0.09204999999999997,92.04999999999997,0.0
57226,10.1.0.1,10.2.0.1,94066,1.4,1.492049,0.09204900000000005,92.04900000000005,0.0
57227,10.1.0.1,10.2.0.1,94066,1.6,1.692049,0.09204899999999983,92.04899999999982,0.0
57228,10.1.0.1,10.2.0.1,94066,1.8,1.892049,0.09204900000000005,92.04900000000005,0.0
57229,10.1.0.1,10.2.0.1,94066,1.999999,2.092049,0.09204999999999974,92.04999999999974,0.0
57219,10.1.0.1,10.2.0.1,76042,0.0,0.091958,0.091958,91.958,0.0
57220,10.1.0.1,10.2.0.1,76042,0.2,0.291958,0.09195799999999998,91.95799999999998,0.0
57221,10.1.0.1,10.2.0.1,76042,0.4,0.491958,0.09195799999999998,91.95799999999998,0.0
57222,10.1.0.1,10.2.0.1,76042,0.6,0.691958,0.09195799999999998,91.95799999999998,0.0
57223,10.1.0.1,10.2.0.1,76042,0.8,0.891958,0.09195799999999998,91.95799999999998,0.0
57224,10.1.0.1,10.2.0.1,76042,1.0,1.091958,0.09195799999999998,91.95799999999998,0.0
57225,10.1.0.1,10.2.0.1,76042,1.2,1.291958,0.09195799999999998,91.95799999999998,0.0
57226,10.1.0.1,10.2.0.1,76042,1.4,1.491958,0.09195799999999998,91.95799999999998,0.0
57227,10.1.0.1,10.2.0.1,76042,1.6,1.691958,0.09195799999999998,91.95799999999998,0.0
57228,10.1.0.1,10.2.0.1,76042,1.8,1.891958,0.09195799999999998,91.95799999999998,0.0
57229,10.1.0.1,10.2.0.1,76042,2.0,2.091958,0.09195799999999998,91.95799999999998,0.0
