src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
60029,10.5.0.1,10.2.0.1,20730,1.2e-05,0.091958,0.091946,91.946,0.0
60030,10.5.0.1,10.2.0.1,20730,0.057186,0.571958,0.514772,514.772,0.0
60031,10.5.0.1,10.2.0.1,20730,0.106954,0.215958,0.10900400000000002,109.00400000000002,0.0
60032,10.5.0.1,10.2.0.1,20730,0.155507,0.259958,0.10445100000000002,104.45100000000002,0.0
60033,10.5.0.1,10.2.0.1,20730,0.20765,0.303958,0.096308,96.308,0.0
60034,10.5.0.1,10.2.0.1,20730,0.252109,0.335958,0.08384899999999995,83.84899999999995,0.0
60035,10.5.0.1,10.2.0.1,20730,0.3,0.379958,0.07995800000000003,79.95800000000003,0.0
60036,10.5.0.1,10.2.0.1,20730,0.35,0.427958,0.07795800000000003,77.95800000000003,0.0
60037,10.5.0.1,10.2.0.1,20730,0.4,0.479958,0.07995799999999997,79.95799999999997,0.0
60038,10.5.0.1,10.2.0.1,20730,0.45,0.527958,0.07795800000000003,77.95800000000003,0.0
60039,10.5.0.1,10.2.0.1,20730,0.5,0.579958,0.07995799999999997,79.95799999999997,0.0
60040,10.5.0.1,10.2.0.1,20730,0.55,0.627958,0.07795799999999997,77.95799999999997,0.0
60041,10.5.0.1,10.2.0.1,20730,0.6,0.679958,0.07995799999999997,79.95799999999997,0.0
60042,10.5.0.1,10.2.0.1,20730,0.65,0.727958,0.07795799999999997,77.95799999999997,0.0
60043,10.5.0.1,10.2.0.1,20730,0.7,0.779958,0.07995800000000008,79.95800000000008,0.0
60044,10.5.0.1,10.2.0.1,20730,0.75,0.827958,0.07795799999999997,77.95799999999997,0.0
60045,10.5.0.1,10.2.0.1,20730,0.8,0.879958,0.07995799999999997,79.95799999999997,0.0
60046,10.5.0.1,10.2.0.1,20730,0.85,0.927958,0.07795799999999997,77.95799999999997,0.0
60047,10.5.0.1,10.2.0.1,20730,0.9,0.979958,0.07995799999999997,79.95799999999997,0.0
60048,10.5.0.1,10.2.0.1,20730,0.95,1.027958,0.07795799999999997,77.95799999999997,0.0
60049,10.5.0.1,10.2.0.1,20730,1.0,1.079958,0.07995799999999997,79.95799999999997,0.0
60050,10.5.0.1,10.2.0.1,20730,1.05,1.127958,0.07795799999999997,77.95799999999997,0.0
60051,10.5.0.1,10.2.0.1,20730,1.1,1.179958,0.07995799999999997,79.95799999999997,0.0
60052,10.5.0.1,10.2.0.1,20730,1.15,1.227958,0.0779580000000002,77.9580000000002,0.0
60053,10.5.0.1,10.2.0.1,20730,1.2,1.279958,0.07995799999999997,79.95799999999997,0.0
60054,10.5.0.1,10.2.0.1,20730,1.25,1.327958,0.07795799999999997,77.95799999999997,0.0
60055,10.5.0.1,10.2.0.1,20730,1.3,1.379958,0.07995799999999997,79.95799999999997,0.0
60056,10.5.0.1,10.2.0.1,20730,1.35,1.427958,0.07795799999999997,77.95799999999997,0.0
60057,10.5.0.1,10.2.0.1,20730,1.4,1.479958,0.0799580000000002,79.9580000000002,0.0
60058,10.5.0.1,10.2.0.1,20730,1.45,1.527958,0.07795799999999997,77.95799999999997,0.0
60059,10.5.0.1,10.2.0.1,20730,1.5,1.579958,0.07995799999999997,79.95799999999997,0.0
60060,10.5.0.1,10.2.0.1,20730,1.55,1.627958,0.07795799999999997,77.95799999999997,0.0
60061,10.5.0.1,10.2.0.1,20730,1.6,1.679958,0.07995799999999997,79.95799999999997,0.0
60062,10.5.0.1,10.2.0.1,20730,1.65,1.727958,0.0779580000000002,77.9580000000002,0.0
60063,10.5.0.1,10.2.0.1,20730,1.7,1.779958,0.07995799999999997,79.95799999999997,0.0
60064,10.5.0.1,10.2.0.1,20730,1.75,1.827958,0.07795799999999997,77.95799999999997,0.0
60065,10.5.0.1,10.2.0.1,20730,1.8,1.879958,0.07995799999999997,79.95799999999997,0.0
