src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
57887,10.3.0.1,10.2.0.1,20730,6e-06,0.087961,0.08795499999999999,87.955,0.0
57889,10.3.0.1,10.2.0.1,20940,0.059791,0.119961,0.06017,60.17,0.0
57890,10.3.0.1,10.2.0.1,20866,0.108342,0.223961,0.115619,115.619,0.0
57891,10.3.0.1,10.2.0.1,20866,0.1613,0.287961,0.12666100000000002,126.66100000000003,0.0
57893,10.3.0.1,10.2.0.1,20804,0.256797,0.307961,0.05116399999999999,51.16399999999999,0.0
57894,10.3.0.1,10.2.0.1,20866,0.308299,0.423961,0.11566199999999999,115.66199999999999,0.0
57896,10.3.0.1,10.2.0.1,20866,0.360997,0.471961,0.11096400000000001,110.96400000000001,0.0
57898,10.3.0.1,10.2.0.1,20866,0.458032,0.571961,0.11392900000000006,113.92900000000006,0.0
57899,10.3.0.1,10.2.0.1,19460,0.510755,0.631961,0.12120600000000004,121.20600000000003,0.0
57900,10.3.0.1,10.2.0.1,17248,0.559505,0.687961,0.12845600000000001,128.45600000000002,0.0
57901,10.3.0.1,10.2.0.1,20866,0.6108,0.735961,0.12516099999999997,125.16099999999997,0.0
57903,10.3.0.1,10.2.0.1,20866,0.708782,0.823961,0.11517900000000003,115.17900000000003,0.0
57904,10.3.0.1,10.2.0.1,20866,0.762602,0.891961,0.129359,129.359,0.0
57906,10.3.0.1,10.2.0.1,20866,0.864529,0.987961,0.12343199999999999,123.43199999999999,0.0
57907,10.3.0.1,10.2.0.1,20866,0.910472,1.047961,0.13748899999999997,137.48899999999998,0.0
57908,10.3.0.1,10.2.0.1,20866,0.961252,1.087961,0.12670899999999996,126.70899999999996,0.0
57910,10.3.0.1,10.2.0.1,20866,1.061676,1.183961,0.12228499999999998,122.28499999999998,0.0
57911,10.3.0.1,10.2.0.1,20866,1.112185,1.239961,0.1277760000000001,127.77600000000011,0.0
57913,10.3.0.1,10.2.0.1,20866,1.210627,1.331961,0.12133400000000005,121.33400000000006,0.0
57914,10.3.0.1,10.2.0.1,20866,1.261924,1.387961,0.12603699999999995,126.03699999999995,0.0
57916,10.3.0.1,10.2.0.1,20866,1.360701,1.479961,0.11926000000000014,119.26000000000015,0.0
57917,10.3.0.1,10.2.0.1,20866,1.412839,1.543961,0.13112199999999996,131.12199999999996,0.0
57919,10.3.0.1,10.2.0.1,20866,1.513063,1.635961,0.12289799999999995,122.89799999999995,0.0
57920,10.3.0.1,10.2.0.1,20866,1.563839,1.699961,0.13612200000000008,136.12200000000007,0.0
57922,10.3.0.1,10.2.0.1,20866,1.665051,1.799963,0.13491199999999992,134.91199999999992,0.0
57923,10.3.0.1,10.2.0.1,17248,1.715993,1.859961,0.14396799999999987,143.96799999999988,0.0
57924,10.3.0.1,10.2.0.1,20866,1.767053,1.895961,0.12890800000000002,128.90800000000002,0.0
57926,10.3.0.1,10.2.0.1,20940,1.864907,1.939961,0.07505399999999995,75.05399999999996,0.0
57927,10.3.0.1,10.2.0.1,20940,1.910114,1.983961,0.073847,73.847,0.0
57928,10.3.0.1,10.2.0.1,21002,1.961699,2.087961,0.12626199999999987,126.26199999999987,0.0
56415,10.3.1.1,10.2.1.1,342,0.074668,0.09528,0.020612000000000005,20.612000000000005,0.0
51336,10.3.1.1,10.2.1.1,342,0.126346,0.189786,0.06344,63.44,0.0
