src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
52296,10.6.0.1,10.5.0.1,75458,0.0,0.110958,0.110958,110.958,0.0
52297,10.6.0.1,10.5.0.1,75458,0.1,0.210958,0.110958,110.958,0.0
52298,10.6.0.1,10.5.0.1,75458,0.292,0.402958,0.110958,110.958,0.0
52299,10.6.0.1,10.5.0.1,75450,0.635533,0.950958,0.31542499999999996,315.42499999999995,0.0
52300,10.6.0.1,10.5.0.1,75458,1.029,1.142958,0.113958,113.958,0.0
52301,10.6.0.1,10.5.0.1,75458,1.868,1.994958,0.1269579999999999,126.9579999999999,0.0
52302,10.6.0.1,10.5.0.1,75458,1.895359,2.018958,0.12359900000000001,123.59900000000002,0.0
52303,10.6.0.1,10.5.0.1,75458,2.14,2.254958,0.11495799999999967,114.95799999999967,0.0
52296,10.6.0.1,10.5.0.1,75458,0.0,0.111039,0.111039,111.039,0.0
52297,10.6.0.1,10.5.0.1,75458,0.1,0.211039,0.111039,111.039,0.0
52298,10.6.0.1,10.5.0.1,75458,0.291999,0.403039,0.11103999999999997,111.03999999999998,0.0
52299,10.6.0.1,10.5.0.1,89562,0.623999,0.951039,0.32704,327.04,0.0
52300,10.6.0.1,10.5.0.1,75458,1.028999,1.143039,0.11403999999999992,114.03999999999992,0.0
52301,10.6.0.1,10.5.0.1,75458,1.868,1.995049,0.12704899999999997,127.04899999999996,0.0
52302,10.6.0.1,10.5.0.1,75458,1.894083,2.019064,0.12498100000000023,124.98100000000024,0.0
52303,10.6.0.1,10.5.0.1,75458,2.139999,2.255039,0.11504000000000003,115.04000000000003,0.0
37817,10.8.0.1,10.7.0.1,75458,0.0,0.110952,0.110952,110.952,0.0
37818,10.8.0.1,10.7.0.1,75458,0.1,0.210952,0.110952,110.952,0.0
37819,10.8.0.1,10.7.0.1,75458,0.292,0.402952,0.110952,110.952,0.0
37820,10.8.0.1,10.7.0.1,75450,0.635533,0.950952,0.315419,315.419,0.0
37821,10.8.0.1,10.7.0.1,75458,1.029,1.142952,0.11395200000000005,113.95200000000006,0.0
37822,10.8.0.1,10.7.0.1,75458,1.868,1.994952,0.12695199999999995,126.95199999999996,0.0
37823,10.8.0.1,10.7.0.1,75458,1.895089,2.018952,0.12386300000000006,123.86300000000006,0.0
37824,10.8.0.1,10.7.0.1,75458,2.14,2.254952,0.11495199999999972,114.95199999999971,0.0
37817,10.8.0.1,10.7.0.1,75458,0.0,0.111044,0.111044,111.044,0.0
37818,10.8.0.1,10.7.0.1,75458,0.1,0.211044,0.111044,111.044,0.0
37819,10.8.0.1,10.7.0.1,75458,0.291999,0.403044,0.111045,111.045,0.0
37820,10.8.0.1,10.7.0.1,89562,0.623999,0.951044,0.32704500000000003,327.045,0.0
37821,10.8.0.1,10.7.0.1,75458,1.028999,1.143044,0.11404499999999995,114.04499999999996,0.0
37822,10.8.0.1,10.7.0.1,75458,1.868,1.995039,0.1270389999999999,127.0389999999999,0.0
37823,10.8.0.1,10.7.0.1,75458,1.894,2.019039,0.1250389999999999,125.0389999999999,0.0
37824,10.8.0.1,10.7.0.1,75458,2.139999,2.255044,0.11504499999999984,115.04499999999985,0.0
40365,10.10.0.1,10.9.0.1,75458,0.0,0.110946,0.110946,110.946,0.0
40366,10.10.0.1,10.9.0.1,75458,0.1,0.210946,0.11094599999999999,110.94599999999998,0.0
40367,10.10.0.1,10.9.0.1,75458,0.292,0.402946,0.11094600000000004,110.94600000000004,0.0
40368,10.10.0.1,10.9.0.1,75450,0.635533,0.950946,0.31541299999999994,315.41299999999995,0.0
40369,10.10.0.1,10.9.0.1,75458,1.029,1.142946,0.1139460000000001,113.9460000000001,0.0
40370,10.10.0.1,10.9.0.1,75458,1.868,1.994946,0.126946,126.946,0.0
40371,10.10.0.1,10.9.0.1,75458,1.895089,2.018946,0.1238570000000001,123.85700000000011,0.0
40372,10.10.0.1,10.9.0.1,75458,2.14,2.254946,0.11494599999999977,114.94599999999977,0.0
40365,10.10.0.1,10.9.0.1,75458,0.0,0.111049,0.111049,111.04899999999999,0.0
40366,10.10.0.1,10.9.0.1,75458,0.1,0.211049,0.11104899999999998,111.04899999999998,0.0
40367,10.10.0.1,10.9.0.1,75458,0.291999,0.403049,0.11104999999999998,111.04999999999998,0.0
40368,10.10.0.1,10.9.0.1,89562,0.623999,0.951049,0.32705000000000006,327.05000000000007,0.0
40369,10.10.0.1,10.9.0.1,75458,1.028999,1.143049,0.11404999999999998,114.04999999999998,0.0
40370,10.10.0.1,10.9.0.1,75458,1.868,1.995044,0.12704399999999993,127.04399999999994,0.0
40371,10.10.0.1,10.9.0.1,75458,1.894,2.019044,0.12504400000000016,125.04400000000015,0.0
40372,10.10.0.1,10.9.0.1,75458,2.139999,2.255049,0.1150500000000001,115.0500000000001,0.0
44251,10.12.0.1,10.11.0.1,75458,0.0,0.11094,0.11094,110.94,0.0
44252,10.12.0.1,10.11.0.1,75458,0.1,0.21094,0.11093999999999998,110.93999999999998,0.0
44253,10.12.0.1,10.11.0.1,75458,0.292,0.40294,0.11094000000000004,110.94000000000004,0.0
44254,10.12.0.1,10.11.0.1,75458,0.635533,0.78294,0.14740699999999995,147.40699999999995,0.0
44255,10.12.0.1,10.11.0.1,75458,1.029,1.14294,0.11394000000000015,113.94000000000015,0.0
44256,10.12.0.1,10.11.0.1,75458,1.868,1.99494,0.12693999999999983,126.93999999999983,0.0
