src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
39667,10.24.1.1,10.1.1.1,2415442,0.000106,2.010048,2.0099419999999997,2009.9419999999998,0.0
36522,10.18.0.1,10.3.0.1,960064,0.0,2.080839,2.080839,2080.839,0.0
44903,10.18.1.1,10.3.1.1,480054,0.0,2.080116,2.080116,2080.116,0.0
59446,10.18.1.1,10.3.1.1,757396,6e-06,2.080957,2.080951,2080.951,0.0
45407,10.22.1.1,10.3.1.1,441414,0.000105,2.352116,2.352011,2352.011,0.0
60589,10.26.1.1,10.3.1.1,1641838,0.000205,2.01035,2.010145,2010.145,0.0
38087,10.6.0.1,10.5.0.1,75874,0.0,0.072958,0.072958,72.958,0.0
38089,10.6.0.1,10.5.0.1,75626,0.57756,1.212958,0.635398,635.398,0.0
38091,10.6.0.1,10.5.0.1,75718,0.732704,0.908958,0.17625400000000002,176.25400000000002,0.0
38093,10.6.0.1,10.5.0.1,75954,0.752891,0.840958,0.088067,88.06700000000001,0.0
38095,10.6.0.1,10.5.0.1,75778,0.824066,0.992958,0.16889200000000004,168.89200000000005,0.0
38097,10.6.0.1,10.5.0.1,75846,0.908827,1.060958,0.15213100000000002,152.13100000000003,0.0
38099,10.6.0.1,10.5.0.1,75566,0.959935,1.112958,0.1530229999999999,153.0229999999999,0.0
38101,10.6.0.1,10.5.0.1,75614,1.291802,1.476958,0.1851560000000001,185.1560000000001,0.0
38103,10.6.0.1,10.5.0.1,75510,1.323066,1.960958,0.6378919999999999,637.8919999999999,0.0
38105,10.6.0.1,10.5.0.1,75450,1.325121,1.708958,0.383837,383.837,0.0
38107,10.6.0.1,10.5.0.1,75578,1.496791,1.660958,0.16416699999999995,164.16699999999994,0.0
38109,10.6.0.1,10.5.0.1,75450,1.820117,2.216958,0.396841,396.841,0.0
38111,10.6.0.1,10.5.0.1,75614,2.112391,2.296958,0.18456699999999993,184.56699999999992,0.0
38115,10.6.0.1,10.5.0.1,75754,2.281658,2.484958,0.2032999999999996,203.29999999999959,0.0
56695,10.6.1.1,10.5.1.1,75874,0.0,0.072958,0.072958,72.958,0.0
56697,10.6.1.1,10.5.1.1,75770,0.578336,0.752958,0.17462200000000005,174.62200000000004,0.0
56699,10.6.1.1,10.5.1.1,75722,0.735988,0.868958,0.13297000000000003,132.97000000000003,0.0
56701,10.6.1.1,10.5.1.1,75450,0.75275,1.140958,0.3882079999999999,388.2079999999999,0.0
56703,10.6.1.1,10.5.1.1,75782,0.824759,1.080958,0.25619900000000007,256.19900000000007,0.0
56705,10.6.1.1,10.5.1.1,75626,0.913642,1.116958,0.20331599999999994,203.31599999999995,0.0
56707,10.6.1.1,10.5.1.1,75458,0.963899,1.100958,0.13705900000000015,137.05900000000014,0.0
56709,10.6.1.1,10.5.1.1,75674,1.293056,1.736958,0.443902,443.90200000000004,0.0
56711,10.6.1.1,10.5.1.1,75450,1.325361,1.728958,0.403597,403.597,0.0
56713,10.6.1.1,10.5.1.1,75546,1.327679,1.752958,0.42527899999999996,425.27899999999994,0.0
56715,10.6.1.1,10.5.1.1,75670,1.50217,1.720958,0.21878799999999998,218.78799999999998,0.0
56717,10.6.1.1,10.5.1.1,75458,1.819436,1.952958,0.13352199999999992,133.5219999999999,0.0
56719,10.6.1.1,10.5.1.1,75650,2.112864,2.332958,0.220094,220.09400000000002,0.0
56723,10.6.1.1,10.5.1.1,75566,2.282617,2.628958,0.3463409999999998,346.3409999999998,0.0
38087,10.6.0.1,10.5.0.1,93898,0.0,0.073064,0.073064,73.06400000000001,0.0
38089,10.6.0.1,10.5.0.1,89206,0.567,1.213039,0.646039,646.039,0.0
38091,10.6.0.1,10.5.0.1,87734,0.724,0.909044,0.185044,185.04399999999998,0.0
38093,10.6.0.1,10.5.0.1,90974,0.742,0.841039,0.09903899999999999,99.03899999999999,0.0
38095,10.6.0.1,10.5.0.1,86292,0.814999,0.993054,0.17805499999999996,178.05499999999995,0.0
38097,10.6.0.1,10.5.0.1,90866,0.902,1.061044,0.15904400000000007,159.04400000000007,0.0
38099,10.6.0.1,10.5.0.1,84578,0.952,1.113039,0.16103899999999993,161.03899999999993,0.0
38101,10.6.0.1,10.5.0.1,87630,1.282,1.477039,0.19503899999999996,195.03899999999996,0.0
38103,10.6.0.1,10.5.0.1,92626,1.315065,1.961039,0.645974,645.974,0.0
38105,10.6.0.1,10.5.0.1,89562,1.317,1.709042,0.392042,392.04200000000003,0.0
38107,10.6.0.1,10.5.0.1,78582,1.490999,1.661039,0.17003999999999997,170.03999999999996,0.0
38109,10.6.0.1,10.5.0.1,89562,1.809,2.217039,0.40803900000000026,408.03900000000027,0.0
38111,10.6.0.1,10.5.0.1,87630,2.102999,2.297044,0.19404500000000002,194.04500000000002,0.0
38115,10.6.0.1,10.5.0.1,90774,2.272,2.485039,0.2130390000000002,213.03900000000021,0.0
56695,10.6.1.1,10.5.1.1,93898,0.0,0.073064,0.073064,73.06400000000001,0.0
56697,10.6.1.1,10.5.1.1,87786,0.567,0.753039,0.18603900000000007,186.03900000000007,0.0
56699,10.6.1.1,10.5.1.1,77224,0.724,0.869039,0.14503900000000003,145.03900000000002,0.0
56701,10.6.1.1,10.5.1.1,89562,0.742,1.141039,0.3990389999999999,399.03899999999993,0.0
56703,10.6.1.1,10.5.1.1,93806,0.814999,1.081039,0.26604000000000005,266.0400000000001,0.0
