src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
38087,10.6.0.1,10.5.0.1,75874,0.0,0.071958,0.071958,71.958,0.0
38088,10.6.0.1,10.5.0.1,75930,0.172,0.451958,0.27995800000000004,279.958,0.0
38089,10.6.0.1,10.5.0.1,75802,0.188641,0.319958,0.13131700000000002,131.317,0.0
38090,10.6.0.1,10.5.0.1,75646,0.363569,0.967958,0.6043890000000001,604.389,0.0
38091,10.6.0.1,10.5.0.1,75654,0.449554,0.627958,0.178404,178.404,0.0
38092,10.6.0.1,10.5.0.1,75614,0.476866,0.623958,0.147092,147.092,0.0
38093,10.6.0.1,10.5.0.1,75450,0.839461,1.675958,0.836497,836.4970000000001,0.0
38094,10.6.0.1,10.5.0.1,75450,0.845505,1.683958,0.8384530000000001,838.4530000000001,0.0
38095,10.6.0.1,10.5.0.1,75566,0.868785,1.043958,0.1751729999999999,175.17299999999992,0.0
38096,10.6.0.1,10.5.0.1,75614,1.495267,1.643958,0.14869100000000013,148.69100000000012,0.0
38097,10.6.0.1,10.5.0.1,75458,1.610317,1.739958,0.1296409999999999,129.6409999999999,0.0
38098,10.6.0.1,10.5.0.1,75774,1.733799,1.967958,0.234159,234.159,0.0
38099,10.6.0.1,10.5.0.1,75614,1.823653,2.015958,0.19230499999999995,192.30499999999995,0.0
38087,10.6.0.1,10.5.0.1,93898,0.0,0.072064,0.072064,72.06400000000001,0.0
38088,10.6.0.1,10.5.0.1,96958,0.171999,0.452044,0.280045,280.045,0.0
38089,10.6.0.1,10.5.0.1,87818,0.176999,0.320039,0.14304000000000003,143.04000000000002,0.0
38090,10.6.0.1,10.5.0.1,83218,0.357,0.968039,0.611039,611.039,0.0
38091,10.6.0.1,10.5.0.1,84666,0.441,0.628039,0.187039,187.03900000000002,0.0
38092,10.6.0.1,10.5.0.1,83124,0.465,0.624039,0.15903899999999999,159.039,0.0
38093,10.6.0.1,10.5.0.1,90148,0.828999,1.676039,0.84704,847.04,0.0
38094,10.6.0.1,10.5.0.1,90148,0.835,1.684039,0.8490390000000001,849.0390000000001,0.0
38095,10.6.0.1,10.5.0.1,84578,0.860999,1.044039,0.18303999999999998,183.04,0.0
38096,10.6.0.1,10.5.0.1,77116,1.484,1.644039,0.16003900000000004,160.03900000000004,0.0
38097,10.6.0.1,10.5.0.1,75458,1.601999,1.740044,0.13804499999999997,138.04499999999996,0.0
38098,10.6.0.1,10.5.0.1,95300,1.724999,1.968039,0.24304000000000014,243.04000000000013,0.0
38099,10.6.0.1,10.5.0.1,89132,1.811999,2.016039,0.20404000000000022,204.04000000000022,0.0
55740,10.8.0.1,10.7.0.1,75882,0.0,0.071952,0.071952,71.952,0.0
55741,10.8.0.1,10.7.0.1,75922,0.172,0.251952,0.07995200000000002,79.95200000000003,0.0
55742,10.8.0.1,10.7.0.1,75802,0.188641,0.739952,0.5513110000000001,551.3110000000001,0.0
55743,10.8.0.1,10.7.0.1,75626,0.363569,0.515952,0.152383,152.38299999999998,0.0
55744,10.8.0.1,10.7.0.1,75626,0.449554,0.603952,0.15439800000000004,154.39800000000002,0.0
55745,10.8.0.1,10.7.0.1,75802,0.476866,0.615952,0.13908600000000004,139.08600000000004,0.0
55746,10.8.0.1,10.7.0.1,75594,0.839461,1.919952,1.080491,1080.491,0.0
55747,10.8.0.1,10.7.0.1,75630,0.845505,1.943952,1.098447,1098.447,0.0
55748,10.8.0.1,10.7.0.1,75566,0.868785,1.043952,0.17516699999999996,175.16699999999997,0.0
55750,10.8.0.1,10.7.0.1,75566,1.610317,1.779952,0.16963499999999998,169.635,0.0
55751,10.8.0.1,10.7.0.1,75722,1.733798,1.995952,0.262154,262.154,0.0
55752,10.8.0.1,10.7.0.1,75524,1.823761,2.255952,0.4321910000000002,432.1910000000002,0.0
55753,10.8.0.1,10.7.0.1,75614,2.191146,2.363952,0.17280600000000002,172.806,0.0
55740,10.8.0.1,10.7.0.1,92404,0.0,0.072039,0.072039,72.039,0.0
55741,10.8.0.1,10.7.0.1,93946,0.171999,0.252039,0.08004,80.04,0.0
55742,10.8.0.1,10.7.0.1,87880,0.176999,0.740044,0.563045,563.0450000000001,0.0
55743,10.8.0.1,10.7.0.1,83136,0.357,0.516039,0.15903900000000004,159.03900000000004,0.0
55744,10.8.0.1,10.7.0.1,83136,0.441,0.604039,0.163039,163.039,0.0
55745,10.8.0.1,10.7.0.1,83312,0.465,0.616039,0.15103899999999998,151.039,0.0
55746,10.8.0.1,10.7.0.1,100806,0.828999,1.920039,1.09104,1091.04,0.0
55747,10.8.0.1,10.7.0.1,93332,0.835,1.944039,1.109039,1109.0390000000002,0.0
55748,10.8.0.1,10.7.0.1,84578,0.860999,1.044044,0.183045,183.04500000000002,0.0
55750,10.8.0.1,10.7.0.1,83076,1.601999,1.780039,0.17803999999999998,178.03999999999996,0.0
55751,10.8.0.1,10.7.0.1,90742,1.724999,1.996039,0.27103999999999995,271.03999999999996,0.0
55752,10.8.0.1,10.7.0.1,92722,1.811999,2.256039,0.44404,444.03999999999996,0.0
55753,10.8.0.1,10.7.0.1,89132,2.181,2.364044,0.18304399999999976,183.04399999999976,0.0
56036,10.10.0.1,10.9.0.1,75922,0.0,0.071946,0.071946,71.946,0.0
56037,10.10.0.1,10.9.0.1,75922,0.172,0.251946,0.07994600000000002,79.94600000000001,0.0
56038,10.10.0.1,10.9.0.1,75882,0.188641,0.299946,0.11130499999999999,111.30499999999999,0.0
56039,10.10.0.1,10.9.0.1,75638,0.363569,0.543946,0.18037700000000007,180.37700000000007,0.0
56040,10.10.0.1,10.9.0.1,75698,0.449806,0.643946,0.19414000000000003,194.14000000000004,0.0
56042,10.10.0.1,10.9.0.1,75498,0.839461,1.927946,1.088485,1088.485,0.0
56043,10.10.0.1,10.9.0.1,75546,0.845505,1.939946,1.094441,1094.441,0.0
56044,10.10.0.1,10.9.0.1,75566,0.868785,1.043946,0.175161,175.161,0.0
56041,10.10.0.1,10.9.0.1,75702,1.473987,1.687946,0.213959,213.959,0.0
56046,10.10.0.1,10.9.0.1,75566,1.610317,1.779946,0.16962900000000003,169.62900000000002,0.0
56047,10.10.0.1,10.9.0.1,75662,1.733798,1.963946,0.23014800000000002,230.14800000000002,0.0
56048,10.10.0.1,10.9.0.1,75458,1.823653,1.959946,0.136293,136.293,0.0
56049,10.10.0.1,10.9.0.1,75614,2.191146,2.363946,0.17280000000000006,172.80000000000007,0.0
56036,10.10.0.1,10.9.0.1,93946,0.0,0.072044,0.072044,72.044,0.0
56037,10.10.0.1,10.9.0.1,93946,0.171999,0.252044,0.08004499999999998,80.04499999999997,0.0
56038,10.10.0.1,10.9.0.1,84894,0.176999,0.300039,0.12304000000000001,123.04,0.0
56039,10.10.0.1,10.9.0.1,87654,0.357,0.544039,0.18703900000000007,187.03900000000007,0.0
56040,10.10.0.1,10.9.0.1,89216,0.441018,0.644039,0.203021,203.02100000000002,0.0
56041,10.10.0.1,10.9.0.1,92298,0.465,1.688039,1.223039,1223.039,0.0
56042,10.10.0.1,10.9.0.1,91698,0.828999,1.928044,1.099045,1099.045,0.0
56043,10.10.0.1,10.9.0.1,94750,0.835,1.940039,1.105039,1105.0390000000002,0.0
56044,10.10.0.1,10.9.0.1,84578,0.860999,1.044049,0.18305000000000005,183.05000000000004,0.0
56041,10.10.0.1,10.9.0.1,92298,1.464,1.688039,0.2240390000000001,224.0390000000001,0.0
56046,10.10.0.1,10.9.0.1,83076,1.601999,1.780044,0.178045,178.04500000000002,0.0
56047,10.10.0.1,10.9.0.1,89180,1.724999,1.964039,0.23904000000000014,239.04000000000013,0.0
56048,10.10.0.1,10.9.0.1,75458,1.811999,1.960039,0.14804000000000017,148.04000000000016,0.0
56049,10.10.0.1,10.9.0.1,89132,2.181,2.364049,0.18304900000000002,183.049,0.0
49036,10.12.0.1,10.11.0.1,75922,0.0,0.07194,0.07194,71.94,0.0
49037,10.12.0.1,10.11.0.1,75922,0.172,0.25194,0.07994000000000001,79.94000000000001,0.0
49038,10.12.0.1,10.11.0.1,75818,0.18864,0.73994,0.5513,551.3000000000001,0.0
49039,10.12.0.1,10.11.0.1,75714,0.363569,0.51994,0.15637099999999998,156.37099999999998,0.0
49040,10.12.0.1,10.11.0.1,75806,0.449548,0.61994,0.17039200000000004,170.39200000000005,0.0
49042,10.12.0.1,10.11.0.1,75606,0.839461,1.95594,1.116479,1116.479,0.0
49043,10.12.0.1,10.11.0.1,75450,0.845505,2.47194,1.626435,1626.4350000000002,0.0
49044,10.12.0.1,10.11.0.1,75566,0.868785,1.04394,0.17515500000000006,175.15500000000006,0.0
49041,10.12.0.1,10.11.0.1,75662,1.473987,1.69594,0.22195300000000007,221.95300000000006,0.0
49046,10.12.0.1,10.11.0.1,75566,1.610317,1.77994,0.16962300000000008,169.62300000000008,0.0
49047,10.12.0.1,10.11.0.1,75686,1.733798,1.97994,0.24614200000000008,246.14200000000008,0.0
49049,10.12.0.1,10.11.0.1,75614,2.191146,2.36394,0.17279400000000011,172.79400000000012,0.0
49045,10.12.0.1,10.11.0.1,75458,2.483994,2.59194,0.1079460000000001,107.9460000000001,0.0
49036,10.12.0.1,10.11.0.1,93946,0.0,0.072049,0.072049,72.049,0.0
49037,10.12.0.1,10.11.0.1,93946,0.171999,0.252049,0.08005000000000001,80.05000000000001,0.0
49038,10.12.0.1,10.11.0.1,89398,0.176999,0.740049,0.5630499999999999,563.05,0.0
49039,10.12.0.1,10.11.0.1,84726,0.357,0.520039,0.16303900000000004,163.03900000000004,0.0
49040,10.12.0.1,10.11.0.1,89324,0.441,0.620039,0.179039,179.03900000000002,0.0
49041,10.12.0.1,10.11.0.1,89254,0.465,1.696039,1.231039,1231.039,0.0
49042,10.12.0.1,10.11.0.1,94810,0.828999,1.956039,1.12704,1127.04,0.0
49043,10.12.0.1,10.11.0.1,90734,0.835,2.472039,1.6370390000000001,1637.0390000000002,0.0
49044,10.12.0.1,10.11.0.1,84578,0.860999,1.044054,0.18305500000000008,183.0550000000001,0.0
49041,10.12.0.1,10.11.0.1,89254,1.464,1.696039,0.2320390000000001,232.0390000000001,0.0
49045,10.12.0.1,10.11.0.1,75532,1.484,2.592049,1.1080489999999998,1108.0489999999998,0.0
49046,10.12.0.1,10.11.0.1,83076,1.601999,1.780054,0.17805500000000007,178.05500000000006,0.0
49047,10.12.0.1,10.11.0.1,92208,1.724999,1.980039,0.25504000000000016,255.04000000000016,0.0
