src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
38087,10.6.0.1,10.5.0.1,75930,0.0,0.271958,0.271958,271.95799999999997,0.0
38089,10.6.0.1,10.5.0.1,75802,0.016641,0.135958,0.11931699999999999,119.317,0.0
38091,10.6.0.1,10.5.0.1,75614,0.201,0.323958,0.12295800000000001,122.95800000000001,0.0
38093,10.6.0.1,10.5.0.1,75626,0.273,0.391958,0.11895799999999995,118.95799999999996,0.0
38095,10.6.0.1,10.5.0.1,75458,0.29953,0.843958,0.5444279999999999,544.4279999999999,0.0
38097,10.6.0.1,10.5.0.1,75566,0.509928,0.679958,0.1700299999999999,170.02999999999992,0.0
38099,10.6.0.1,10.5.0.1,75650,0.621894,0.827958,0.20606400000000002,206.06400000000002,0.0
38101,10.6.0.1,10.5.0.1,75698,0.65688,0.859958,0.20307799999999998,203.07799999999997,0.0
38103,10.6.0.1,10.5.0.1,75758,0.899627,1.135958,0.23633100000000007,236.33100000000007,0.0
38105,10.6.0.1,10.5.0.1,75710,1.028188,1.251958,0.2237699999999998,223.7699999999998,0.0
38107,10.6.0.1,10.5.0.1,75450,1.108066,1.939958,0.8318920000000001,831.892,0.0
38109,10.6.0.1,10.5.0.1,75588,1.108101,1.247958,0.1398569999999999,139.85699999999989,0.0
38111,10.6.0.1,10.5.0.1,75674,1.165263,1.307958,0.14269500000000002,142.69500000000002,0.0
38113,10.6.0.1,10.5.0.1,75602,1.279498,1.467958,0.18846000000000007,188.46000000000006,0.0
38115,10.6.0.1,10.5.0.1,75450,1.283694,1.679958,0.39626400000000017,396.2640000000002,0.0
38117,10.6.0.1,10.5.0.1,75582,1.315338,1.715958,0.4006200000000002,400.6200000000002,0.0
38119,10.6.0.1,10.5.0.1,75702,1.425069,1.627958,0.2028890000000001,202.8890000000001,0.0
38121,10.6.0.1,10.5.0.1,75630,1.452125,1.647958,0.19583299999999992,195.8329999999999,0.0
38123,10.6.0.1,10.5.0.1,75614,1.503083,1.711958,0.20887500000000014,208.87500000000014,0.0
38125,10.6.0.1,10.5.0.1,75458,1.865963,2.007958,0.14199499999999987,141.99499999999986,0.0
38129,10.6.0.1,10.5.0.1,75758,1.980907,2.467958,0.4870509999999999,487.0509999999999,0.0
38131,10.6.0.1,10.5.0.1,75458,1.994845,2.139958,0.14511300000000005,145.11300000000006,0.0
38133,10.6.0.1,10.5.0.1,75566,2.177683,2.355958,0.17827500000000018,178.27500000000018,0.0
38135,10.6.0.1,10.5.0.1,75566,2.31131,2.467962,0.1566519999999998,156.6519999999998,0.0
56695,10.6.1.1,10.5.1.1,75930,0.0,0.271958,0.271958,271.95799999999997,0.0
56697,10.6.1.1,10.5.1.1,75802,0.016641,0.135958,0.11931699999999999,119.317,0.0
56699,10.6.1.1,10.5.1.1,75614,0.201,0.323958,0.12295800000000001,122.95800000000001,0.0
56701,10.6.1.1,10.5.1.1,75626,0.273,0.391958,0.11895799999999995,118.95799999999996,0.0
56703,10.6.1.1,10.5.1.1,75458,0.29953,0.411958,0.11242799999999997,112.42799999999997,0.0
56705,10.6.1.1,10.5.1.1,75458,0.5,0.607958,0.107958,107.958,0.0
56707,10.6.1.1,10.5.1.1,75458,0.614,0.723958,0.109958,109.958,0.0
56709,10.6.1.1,10.5.1.1,75458,0.648757,0.755958,0.10720099999999999,107.201,0.0
56711,10.6.1.1,10.5.1.1,75458,0.89,0.999958,0.109958,109.958,0.0
56713,10.6.1.1,10.5.1.1,75458,1.017,1.123958,0.10695800000000011,106.95800000000011,0.0
56715,10.6.1.1,10.5.1.1,75626,1.097,1.235962,0.13896200000000003,138.96200000000002,0.0
56717,10.6.1.1,10.5.1.1,75722,1.097036,1.239958,0.142922,142.922,0.0
56719,10.6.1.1,10.5.1.1,75458,1.163804,1.275958,0.11215399999999986,112.15399999999987,0.0
56721,10.6.1.1,10.5.1.1,75690,1.273,1.411962,0.13896200000000003,138.96200000000002,0.0
56723,10.6.1.1,10.5.1.1,75722,1.284474,1.439958,0.15548400000000018,155.48400000000018,0.0
56725,10.6.1.1,10.5.1.1,75614,1.314583,1.451958,0.13737500000000002,137.37500000000003,0.0
56727,10.6.1.1,10.5.1.1,75458,1.416,1.527958,0.111958,111.958,0.0
56729,10.6.1.1,10.5.1.1,75458,1.449188,1.563962,0.11477400000000015,114.77400000000016,0.0
56731,10.6.1.1,10.5.1.1,75458,1.493,1.603958,0.11095799999999989,110.95799999999988,0.0
56733,10.6.1.1,10.5.1.1,75578,1.854,1.999962,0.14596199999999993,145.96199999999993,0.0
56735,10.6.1.1,10.5.1.1,75602,1.854036,1.999958,0.14592199999999989,145.92199999999988,0.0
56737,10.6.1.1,10.5.1.1,75530,1.97,2.055958,0.08595799999999998,85.95799999999998,0.0
56739,10.6.1.1,10.5.1.1,75566,1.992523,2.115958,0.12343499999999996,123.43499999999996,0.0
56741,10.6.1.1,10.5.1.1,75458,2.17,2.279958,0.10995800000000022,109.95800000000023,0.0
38087,10.6.0.1,10.5.0.1,96958,0.0,0.272059,0.272059,272.05899999999997,0.0
38089,10.6.0.1,10.5.0.1,87818,0.005,0.136039,0.131039,131.039,0.0
38091,10.6.0.1,10.5.0.1,77116,0.201,0.324039,0.12303900000000001,123.03900000000002,0.0
38093,10.6.0.1,10.5.0.1,80132,0.272999,0.392044,0.11904500000000001,119.04500000000002,0.0
38095,10.6.0.1,10.5.0.1,75520,0.288999,0.844039,0.55504,555.04,0.0
38097,10.6.0.1,10.5.0.1,81574,0.5,0.680039,0.18003899999999995,180.03899999999996,0.0
38099,10.6.0.1,10.5.0.1,86164,0.614,0.828039,0.21403899999999998,214.039,0.0
38101,10.6.0.1,10.5.0.1,86212,0.646,0.860039,0.21403899999999998,214.039,0.0
38103,10.6.0.1,10.5.0.1,92280,0.889999,1.136044,0.24604500000000007,246.04500000000007,0.0
38105,10.6.0.1,10.5.0.1,90730,1.016999,1.252039,0.23503999999999992,235.0399999999999,0.0
38107,10.6.0.1,10.5.0.1,89624,1.096999,1.940039,0.84304,843.04,0.0
38109,10.6.0.1,10.5.0.1,82272,1.097005,1.248039,0.1510339999999999,151.03399999999988,0.0
38111,10.6.0.1,10.5.0.1,86188,1.157,1.308044,0.15104399999999996,151.04399999999995,0.0
38113,10.6.0.1,10.5.0.1,86116,1.272999,1.468039,0.1950400000000001,195.0400000000001,0.0
38115,10.6.0.1,10.5.0.1,89562,1.277,1.680044,0.4030440000000002,403.04400000000015,0.0
38117,10.6.0.1,10.5.0.1,89100,1.304999,1.716039,0.41104000000000007,411.0400000000001,0.0
38119,10.6.0.1,10.5.0.1,84714,1.415999,1.628039,0.21204,212.04000000000002,0.0
38121,10.6.0.1,10.5.0.1,87646,1.442,1.648049,0.20604900000000015,206.04900000000015,0.0
38123,10.6.0.1,10.5.0.1,89132,1.492999,1.712039,0.21904000000000012,219.04000000000013,0.0
38125,10.6.0.1,10.5.0.1,75458,1.854,2.008039,0.15403900000000004,154.03900000000004,0.0
38129,10.6.0.1,10.5.0.1,96228,1.969999,2.468039,0.49804000000000004,498.04,0.0
38131,10.6.0.1,10.5.0.1,75458,1.984,2.140039,0.15603899999999982,156.03899999999982,0.0
38133,10.6.0.1,10.5.0.1,83076,2.17,2.356039,0.18603900000000007,186.03900000000007,0.0
38135,10.6.0.1,10.5.0.1,86080,2.301999,2.468044,0.166045,166.045,0.0
56695,10.6.1.1,10.5.1.1,96958,0.0,0.272059,0.272059,272.05899999999997,0.0
56697,10.6.1.1,10.5.1.1,87818,0.005,0.136039,0.131039,131.039,0.0
56699,10.6.1.1,10.5.1.1,77116,0.201,0.324039,0.12303900000000001,123.03900000000002,0.0
56701,10.6.1.1,10.5.1.1,80132,0.272999,0.392044,0.11904500000000001,119.04500000000002,0.0
56703,10.6.1.1,10.5.1.1,75458,0.288999,0.412044,0.12304500000000002,123.04500000000002,0.0
56705,10.6.1.1,10.5.1.1,75458,0.5,0.608044,0.10804400000000003,108.04400000000003,0.0
56707,10.6.1.1,10.5.1.1,75458,0.614,0.724039,0.110039,110.039,0.0
56709,10.6.1.1,10.5.1.1,75458,0.646,0.756044,0.11004400000000003,110.04400000000003,0.0
56711,10.6.1.1,10.5.1.1,75458,0.889999,1.000039,0.11003999999999992,110.03999999999992,0.0
56713,10.6.1.1,10.5.1.1,75458,1.016999,1.124044,0.10704500000000006,107.04500000000006,0.0
56715,10.6.1.1,10.5.1.1,80132,1.096999,1.236064,0.139065,139.065,0.0
56717,10.6.1.1,10.5.1.1,86236,1.097005,1.240054,0.14304899999999998,143.04899999999998,0.0
56719,10.6.1.1,10.5.1.1,75458,1.157,1.276044,0.11904399999999993,119.04399999999993,0.0
56721,10.6.1.1,10.5.1.1,78694,1.272999,1.412054,0.13905499999999993,139.05499999999992,0.0
56723,10.6.1.1,10.5.1.1,83232,1.277,1.440039,0.16303900000000016,163.03900000000016,0.0
56725,10.6.1.1,10.5.1.1,81622,1.304999,1.452039,0.14704000000000006,147.04000000000005,0.0
56727,10.6.1.1,10.5.1.1,75458,1.415999,1.528039,0.11203999999999992,112.03999999999992,0.0
56729,10.6.1.1,10.5.1.1,75458,1.442,1.564064,0.12206399999999995,122.06399999999995,0.0
56731,10.6.1.1,10.5.1.1,75458,1.492999,1.604039,0.11104000000000003,111.04000000000002,0.0
56733,10.6.1.1,10.5.1.1,81586,1.854,2.000069,0.14606899999999978,146.0689999999998,0.0
56735,10.6.1.1,10.5.1.1,77104,1.854005,2.000044,0.14603900000000003,146.03900000000004,0.0
56737,10.6.1.1,10.5.1.1,77032,1.969999,2.056054,0.08605499999999999,86.05499999999999,0.0
56739,10.6.1.1,10.5.1.1,81574,1.984,2.116039,0.1320389999999998,132.0389999999998,0.0
56741,10.6.1.1,10.5.1.1,75458,2.17,2.280039,0.110039,110.039,0.0
55740,10.8.0.1,10.7.0.1,75922,0.0,0.079952,0.079952,79.952,0.0
55742,10.8.0.1,10.7.0.1,75802,0.016641,0.135952,0.11931099999999999,119.31099999999999,0.0
55744,10.8.0.1,10.7.0.1,75458,0.201,0.311952,0.110952,110.952,0.0
55746,10.8.0.1,10.7.0.1,75698,0.273,0.851952,0.578952,578.952,0.0
55748,10.8.0.1,10.7.0.1,75458,0.29953,0.847952,0.548422,548.4219999999999,0.0
