src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
52296,10.6.0.1,10.5.0.1,75874,0.0,0.071958,0.071958,71.958,0.0
52297,10.6.0.1,10.5.0.1,75874,0.2,0.271958,0.07195799999999997,71.95799999999997,0.0
52298,10.6.0.1,10.5.0.1,75874,0.4,0.471958,0.07195799999999997,71.95799999999997,0.0
52299,10.6.0.1,10.5.0.1,75866,0.600087,0.695958,0.09587099999999993,95.87099999999992,0.0
52300,10.6.0.1,10.5.0.1,75794,0.806064,0.927958,0.12189399999999995,121.89399999999995,0.0
52301,10.6.0.1,10.5.0.1,75458,1.0,1.111958,0.111958,111.958,0.0
52302,10.6.0.1,10.5.0.1,75458,1.200137,1.319958,0.11982099999999996,119.82099999999996,0.0
52303,10.6.0.1,10.5.0.1,75602,1.401647,1.499958,0.09831099999999982,98.31099999999981,0.0
52304,10.6.0.1,10.5.0.1,75590,1.604599,1.739958,0.13535899999999979,135.35899999999978,0.0
52305,10.6.0.1,10.5.0.1,75614,1.802313,1.895958,0.09364499999999998,93.64499999999998,0.0
52306,10.6.0.1,10.5.0.1,75614,2.000843,2.095958,0.09511499999999984,95.11499999999984,0.0
52307,10.6.0.1,10.5.0.1,75458,2.202042,2.323958,0.12191600000000014,121.91600000000014,0.0
52296,10.6.0.1,10.5.0.1,93898,0.0,0.072064,0.072064,72.06400000000001,0.0
52297,10.6.0.1,10.5.0.1,93898,0.2,0.272064,0.07206399999999996,72.06399999999996,0.0
52298,10.6.0.1,10.5.0.1,93898,0.399999,0.472064,0.07206499999999999,72.06499999999998,0.0
52299,10.6.0.1,10.5.0.1,95392,0.599999,0.696039,0.09604000000000001,96.04000000000002,0.0
52300,10.6.0.1,10.5.0.1,87810,0.799999,0.928044,0.12804499999999996,128.04499999999996,0.0
52301,10.6.0.1,10.5.0.1,75458,1.0,1.112039,0.112039,112.039,0.0
52302,10.6.0.1,10.5.0.1,75458,1.2,1.320039,0.120039,120.039,0.0
52303,10.6.0.1,10.5.0.1,77104,1.4,1.500039,0.10003899999999999,100.03899999999999,0.0
52304,10.6.0.1,10.5.0.1,78594,1.599999,1.740044,0.14004499999999998,140.045,0.0
52305,10.6.0.1,10.5.0.1,77116,1.799999,1.896039,0.09604000000000013,96.04000000000012,0.0
52306,10.6.0.1,10.5.0.1,77116,2.0,2.096044,0.09604400000000002,96.04400000000001,0.0
52307,10.6.0.1,10.5.0.1,75458,2.2,2.324039,0.12403899999999979,124.03899999999979,0.0
37817,10.8.0.1,10.7.0.1,75882,0.0,0.071952,0.071952,71.952,0.0
37818,10.8.0.1,10.7.0.1,75882,0.2,0.271952,0.07195200000000002,71.95200000000001,0.0
37819,10.8.0.1,10.7.0.1,75882,0.4,0.471952,0.07195199999999996,71.95199999999996,0.0
37820,10.8.0.1,10.7.0.1,76050,0.600087,0.703952,0.10386499999999999,103.86499999999998,0.0
37821,10.8.0.1,10.7.0.1,75794,0.806064,0.931952,0.125888,125.888,0.0
37822,10.8.0.1,10.7.0.1,75458,1.0,1.111952,0.11195200000000005,111.95200000000006,0.0
37823,10.8.0.1,10.7.0.1,75458,1.200137,1.319952,0.119815,119.815,0.0
37824,10.8.0.1,10.7.0.1,75614,1.401647,1.543952,0.1423049999999999,142.3049999999999,0.0
