src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
56694,10.6.1.1,10.5.1.1,75874,0.0,0.071958,0.071958,71.958,0.0
56695,10.6.1.1,10.5.1.1,75874,0.2,0.271958,0.07195799999999997,71.95799999999997,0.0
56696,10.6.1.1,10.5.1.1,75994,0.4,0.479958,0.07995799999999997,79.95799999999997,0.0
56697,10.6.1.1,10.5.1.1,75982,0.601496,0.695958,0.09446199999999993,94.46199999999993,0.0
56698,10.6.1.1,10.5.1.1,76034,0.802526,0.895958,0.09343200000000007,93.43200000000007,0.0
56699,10.6.1.1,10.5.1.1,75902,1.002354,1.123958,0.12160400000000005,121.60400000000004,0.0
56700,10.6.1.1,10.5.1.1,75770,1.202662,1.343958,0.1412960000000001,141.29600000000008,0.0
56701,10.6.1.1,10.5.1.1,75662,1.40237,1.547958,0.14558800000000005,145.58800000000005,0.0
56702,10.6.1.1,10.5.1.1,75710,1.602558,1.743958,0.14139999999999997,141.39999999999998,0.0
56703,10.6.1.1,10.5.1.1,75710,1.802386,1.939958,0.13757200000000003,137.57200000000003,0.0
56704,10.6.1.1,10.5.1.1,75710,2.002454,2.139958,0.13750399999999985,137.50399999999985,0.0
56694,10.6.1.1,10.5.1.1,93898,0.0,0.072064,0.072064,72.06400000000001,0.0
56695,10.6.1.1,10.5.1.1,93898,0.199999,0.272064,0.07206499999999996,72.06499999999997,0.0
56696,10.6.1.1,10.5.1.1,98524,0.4,0.480064,0.08006399999999997,80.06399999999996,0.0
56697,10.6.1.1,10.5.1.1,94006,0.6,0.696039,0.09603899999999999,96.03899999999999,0.0
56698,10.6.1.1,10.5.1.1,95560,0.8,0.896049,0.09604899999999994,96.04899999999994,0.0
56699,10.6.1.1,10.5.1.1,93926,0.999999,1.124044,0.12404500000000007,124.04500000000007,0.0
56700,10.6.1.1,10.5.1.1,90790,1.199999,1.344039,0.14403999999999995,144.03999999999994,0.0
56701,10.6.1.1,10.5.1.1,89180,1.4,1.548039,0.14803900000000003,148.03900000000004,0.0
56702,10.6.1.1,10.5.1.1,84722,1.6,1.744039,0.1440389999999998,144.03899999999982,0.0
56703,10.6.1.1,10.5.1.1,84722,1.8,1.940039,0.14003900000000002,140.03900000000002,0.0
56704,10.6.1.1,10.5.1.1,84722,1.999999,2.140039,0.14003999999999972,140.0399999999997,0.0
50472,10.8.1.1,10.7.1.1,75882,0.0,0.071952,0.071952,71.952,0.0
