src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
38087,10.6.0.1,10.5.0.1,75874,0,0.071958,0.071958,71.958,0
38088,10.6.0.1,10.5.0.1,75874,0.2,0.271958,0.071958,71.958,0
38089,10.6.0.1,10.5.0.1,76042,0.4,0.491958,0.091958,91.958,0
38090,10.6.0.1,10.5.0.1,75626,0.610615,0.803958,0.193343,193.343,0
38091,10.6.0.1,10.5.0.1,75614,0.810788,1.019958,0.20917,209.17,0
38092,10.6.0.1,10.5.0.1,75674,1.006288,1.175958,0.16967,169.67,0
38093,10.6.0.1,10.5.0.1,75566,1.207092,1.375958,0.168866,168.866,0
38094,10.6.0.1,10.5.0.1,75566,1.408482,1.587958,0.179476,179.476,0
38095,10.6.0.1,10.5.0.1,75566,1.60867,1.779958,0.171288,171.288,0
38096,10.6.0.1,10.5.0.1,75566,1.807777,1.975958,0.168181,168.181,0
38097,10.6.0.1,10.5.0.1,75566,2.008446,2.179958,0.171512,171.512,0
38087,10.6.0.1,10.5.0.1,93898,0,0.072064,0.072064,72.064,0
38088,10.6.0.1,10.5.0.1,93898,0.199999,0.272064,0.072065,72.065,0
38089,10.6.0.1,10.5.0.1,94066,0.4,0.492049,0.092049,92.049,0
38090,10.6.0.1,10.5.0.1,89144,0.6,0.804039,0.204039,204.039,0
38091,10.6.0.1,10.5.0.1,89132,0.8,1.020039,0.220039,220.039,0
38092,10.6.0.1,10.5.0.1,83184,0.999999,1.176039,0.17604,176.04,0
38093,10.6.0.1,10.5.0.1,81574,1.199999,1.376039,0.17604,176.04,0
38094,10.6.0.1,10.5.0.1,84578,1.4,1.588039,0.188039,188.039,0
38095,10.6.0.1,10.5.0.1,84578,1.6,1.780039,0.180039,180.039,0
38096,10.6.0.1,10.5.0.1,83076,1.8,1.976039,0.176039,176.039,0
38097,10.6.0.1,10.5.0.1,84578,1.999999,2.180039,0.18004,180.04,0
55740,10.8.0.1,10.7.0.1,75882,0,0.071952,0.071952,71.952,0
55741,10.8.0.1,10.7.0.1,75882,0.2,0.271952,0.071952,71.952,0
55742,10.8.0.1,10.7.0.1,76042,0.4,0.491952,0.091952,91.952,0
55743,10.8.0.1,10.7.0.1,75626,0.610615,0.803952,0.193337,193.337,0
55744,10.8.0.1,10.7.0.1,75614,0.810788,1.019952,0.209164,209.164,0
55745,10.8.0.1,10.7.0.1,75566,1.006288,1.163952,0.157664,157.664,0
55746,10.8.0.1,10.7.0.1,75566,1.207092,1.375952,0.16886,168.86,0
55747,10.8.0.1,10.7.0.1,75566,1.408482,1.587952,0.17947,179.47,0
55748,10.8.0.1,10.7.0.1,75566,1.60867,1.779952,0.171282,171.282,0
55749,10.8.0.1,10.7.0.1,75566,1.807777,1.975952,0.168175,168.175,0
55750,10.8.0.1,10.7.0.1,75566,2.008446,2.179952,0.171506,171.506,0
55740,10.8.0.1,10.7.0.1,92404,0,0.072039,0.072039,72.039,0
55741,10.8.0.1,10.7.0.1,92404,0.199999,0.272039,0.07204,72.04,0
55742,10.8.0.1,10.7.0.1,94066,0.4,0.492054,0.092054,92.054,0
55743,10.8.0.1,10.7.0.1,89144,0.6,0.804044,0.204044,204.044,0
55744,10.8.0.1,10.7.0.1,89132,0.8,1.020044,0.220044,220.044,0
55745,10.8.0.1,10.7.0.1,80072,0.999999,1.164039,0.16404,164.04,0
55746,10.8.0.1,10.7.0.1,81574,1.199999,1.376044,0.176045,176.045,0
55747,10.8.0.1,10.7.0.1,84578,1.4,1.588044,0.188044,188.044,0
55748,10.8.0.1,10.7.0.1,84578,1.6,1.780044,0.180044,180.044,0
55749,10.8.0.1,10.7.0.1,83076,1.8,1.976044,0.176044,176.044,0
55750,10.8.0.1,10.7.0.1,84578,1.999999,2.180044,0.180045,180.045,0
56036,10.10.0.1,10.9.0.1,75922,0,0.071946,0.071946,71.946,0
56037,10.10.0.1,10.9.0.1,75922,0.2,0.271946,0.071946,71.946,0
56038,10.10.0.1,10.9.0.1,76042,0.4,0.491946,0.091946,91.946,0
56039,10.10.0.1,10.9.0.1,75626,0.610615,0.803946,0.193331,193.331,0
56040,10.10.0.1,10.9.0.1,75710,0.810788,1.031946,0.221158,221.158,0
56041,10.10.0.1,10.9.0.1,75566,1.006288,1.163946,0.157658,157.658,0
56042,10.10.0.1,10.9.0.1,75566,1.207092,1.375946,0.168854,168.854,0
56043,10.10.0.1,10.9.0.1,75566,1.408482,1.587946,0.179464,179.464,0
56044,10.10.0.1,10.9.0.1,75566,1.60867,1.779946,0.171276,171.276,0
56045,10.10.0.1,10.9.0.1,75566,1.807777,1.983946,0.176169,176.169,0
56046,10.10.0.1,10.9.0.1,75566,2.008446,2.179946,0.1715,171.5,0
56036,10.10.0.1,10.9.0.1,93946,0,0.072044,0.072044,72.044,0
56037,10.10.0.1,10.9.0.1,93946,0.199999,0.272044,0.072045,72.045,0
56038,10.10.0.1,10.9.0.1,94066,0.4,0.492059,0.092059,92.059,0
56039,10.10.0.1,10.9.0.1,89144,0.6,0.804049,0.204049,204.049,0
56040,10.10.0.1,10.9.0.1,90730,0.8,1.032039,0.232039,232.039,0
56041,10.10.0.1,10.9.0.1,80072,0.999999,1.164044,0.164045,164.045,0
56042,10.10.0.1,10.9.0.1,81574,1.199999,1.376049,0.17605,176.05,0
56043,10.10.0.1,10.9.0.1,84578,1.4,1.588049,0.188049,188.049,0
56044,10.10.0.1,10.9.0.1,86080,1.6,1.780049,0.180049,180.049,0
56045,10.10.0.1,10.9.0.1,84578,1.8,1.984039,0.184039,184.039,0
56046,10.10.0.1,10.9.0.1,84578,1.999999,2.180049,0.18005,180.05,0
49036,10.12.0.1,10.11.0.1,75922,0,0.07194,0.07194,71.94,0
49037,10.12.0.1,10.11.0.1,75922,0.2,0.27194,0.07194,71.94,0
49038,10.12.0.1,10.11.0.1,76042,0.4,0.49194,0.09194,91.94,0
49039,10.12.0.1,10.11.0.1,75450,0.610615,1.00794,0.397325,397.325,0
49040,10.12.0.1,10.11.0.1,75450,0.810787,1.18394,0.373153,373.153,0
49041,10.12.0.1,10.11.0.1,75650,1.006288,1.14394,0.137652,137.652,0
49042,10.12.0.1,10.11.0.1,75566,1.207092,1.37594,0.168848,168.848,0
49043,10.12.0.1,10.11.0.1,75566,1.408482,1.58794,0.179458,179.458,0
49044,10.12.0.1,10.11.0.1,75566,1.60867,1.77994,0.17127,171.27,0
49045,10.12.0.1,10.11.0.1,75566,1.807777,1.98394,0.176163,176.163,0
49046,10.12.0.1,10.11.0.1,75566,2.008446,2.17994,0.171494,171.494,0
49036,10.12.0.1,10.11.0.1,93946,0,0.072049,0.072049,72.049,0
49037,10.12.0.1,10.11.0.1,93946,0.199999,0.272049,0.07205,72.05,0
49038,10.12.0.1,10.11.0.1,94066,0.4,0.492064,0.092064,92.064,0
49039,10.12.0.1,10.11.0.1,89562,0.6,1.008039,0.408039,408.039,0
49040,10.12.0.1,10.11.0.1,89562,0.8,1.184039,0.384039,384.039,0
49041,10.12.0.1,10.11.0.1,80156,0.999999,1.144039,0.14404,144.04,0
49042,10.12.0.1,10.11.0.1,81574,1.199999,1.376054,0.176055,176.055,0
49043,10.12.0.1,10.11.0.1,84578,1.4,1.588054,0.188054,188.054,0
49044,10.12.0.1,10.11.0.1,86080,1.6,1.780054,0.180054,180.054,0
49045,10.12.0.1,10.11.0.1,84578,1.8,1.984044,0.184044,184.044,0
49046,10.12.0.1,10.11.0.1,84578,1.999999,2.180054,0.180055,180.055,0
48386,10.14.0.1,10.13.0.1,75922,0,0.071934,0.071934,71.934,0
48387,10.14.0.1,10.13.0.1,75922,0.2,0.271934,0.071934,71.934,0
48388,10.14.0.1,10.13.0.1,76022,0.4,0.535934,0.135934,135.934,0
48389,10.14.0.1,10.13.0.1,75922,0.610615,0.699934,0.089319,89.319,0
48390,10.14.0.1,10.13.0.1,75710,0.810787,0.903934,0.093147,93.147,0
48391,10.14.0.1,10.13.0.1,75922,1.006288,1.131934,0.125646,125.646,0
48392,10.14.0.1,10.13.0.1,75458,1.207092,1.335934,0.128842,128.842,0
48393,10.14.0.1,10.13.0.1,75458,1.408482,1.543934,0.135452,135.452,0
48394,10.14.0.1,10.13.0.1,75458,1.60867,1.735934,0.127264,127.264,0
48395,10.14.0.1,10.13.0.1,75458,1.807777,1.939934,0.132157,132.157,0
48396,10.14.0.1,10.13.0.1,75458,2.008446,2.135934,0.127488,127.488,0
48386,10.14.0.1,10.13.0.1,92444,0,0.072054,0.072054,72.054,0
48387,10.14.0.1,10.13.0.1,92444,0.199999,0.272054,0.072055,72.055,0
48388,10.14.0.1,10.13.0.1,94046,0.4,0.536039,0.136039,136.039,0
48389,10.14.0.1,10.13.0.1,80428,0.6,0.700039,0.100039,100.039,0
48390,10.14.0.1,10.13.0.1,78714,0.8,0.904039,0.104039,104.039,0
48391,10.14.0.1,10.13.0.1,83432,0.999999,1.132044,0.132045,132.045,0
48392,10.14.0.1,10.13.0.1,75458,1.199999,1.336039,0.13604,136.04,0
48393,10.14.0.1,10.13.0.1,75458,1.4,1.544039,0.144039,144.039,0
48394,10.14.0.1,10.13.0.1,75458,1.6,1.736054,0.136054,136.054,0
48395,10.14.0.1,10.13.0.1,75458,1.8,1.940049,0.140049,140.049,0
48396,10.14.0.1,10.13.0.1,75458,1.999999,2.136064,0.136065,136.065,0
46451,10.16.0.1,10.15.0.1,75922,0,0.071928,0.071928,71.928,0
46452,10.16.0.1,10.15.0.1,75922,0.2,0.271928,0.071928,71.928,0
46453,10.16.0.1,10.15.0.1,76022,0.4,0.535928,0.135928,135.928,0
46454,10.16.0.1,10.15.0.1,75450,0.610615,1.007928,0.397313,397.313,0
46455,10.16.0.1,10.15.0.1,75450,0.810787,1.183928,0.373141,373.141,0
46456,10.16.0.1,10.15.0.1,75802,1.006288,1.155928,0.14964,149.64,0
46457,10.16.0.1,10.15.0.1,75566,1.207092,1.375928,0.168836,168.836,0
46458,10.16.0.1,10.15.0.1,75566,1.408481,1.587928,0.179447,179.447,0
46459,10.16.0.1,10.15.0.1,75566,1.60867,1.779928,0.171258,171.258,0
46460,10.16.0.1,10.15.0.1,75566,1.807777,1.983928,0.176151,176.151,0
46461,10.16.0.1,10.15.0.1,75566,2.008446,2.179928,0.171482,171.482,0
46451,10.16.0.1,10.15.0.1,93946,0,0.072059,0.072059,72.059,0
46452,10.16.0.1,10.15.0.1,93946,0.199999,0.272059,0.07206,72.06,0
46453,10.16.0.1,10.15.0.1,94046,0.4,0.536044,0.136044,136.044,0
46454,10.16.0.1,10.15.0.1,89562,0.6,1.008044,0.408044,408.044,0
46455,10.16.0.1,10.15.0.1,89562,0.8,1.184044,0.384044,384.044,0
46456,10.16.0.1,10.15.0.1,87818,0.999999,1.156039,0.15604,156.04,0
46457,10.16.0.1,10.15.0.1,83076,1.199999,1.376059,0.17606,176.06,0
46458,10.16.0.1,10.15.0.1,84578,1.4,1.588059,0.188059,188.059,0
46459,10.16.0.1,10.15.0.1,86080,1.6,1.780059,0.180059,180.059,0
46460,10.16.0.1,10.15.0.1,84578,1.8,1.984049,0.184049,184.049,0
46461,10.16.0.1,10.15.0.1,84578,1.999999,2.180059,0.18006,180.06,0
38087,10.6.0.1,10.5.0.1,75874,0,0.071968,0.071968,71.968,0
38088,10.6.0.1,10.5.0.1,75874,0.2,0.271968,0.071968,71.968,0
38089,10.6.0.1,10.5.0.1,76042,0.4,0.491968,0.091968,91.968,0
38090,10.6.0.1,10.5.0.1,75626,0.610615,0.803968,0.193353,193.353,0
38091,10.6.0.1,10.5.0.1,75614,0.810788,1.019968,0.20918,209.18,0
38092,10.6.0.1,10.5.0.1,75674,1.006289,1.175968,0.169679,169.679,0
38093,10.6.0.1,10.5.0.1,75566,1.207092,1.375968,0.168876,168.876,0
38094,10.6.0.1,10.5.0.1,75566,1.408482,1.587968,0.179486,179.486,0
38095,10.6.0.1,10.5.0.1,75566,1.60867,1.779968,0.171298,171.298,0
38096,10.6.0.1,10.5.0.1,75566,1.807777,1.975968,0.168191,168.191,0
38097,10.6.0.1,10.5.0.1,75566,2.008446,2.179968,0.171522,171.522,0
55740,10.8.0.1,10.7.0.1,75882,0,0.071962,0.071962,71.962,0
55741,10.8.0.1,10.7.0.1,75882,0.2,0.271962,0.071962,71.962,0
55742,10.8.0.1,10.7.0.1,76042,0.4,0.491962,0.091962,91.962,0
55743,10.8.0.1,10.7.0.1,75626,0.610615,0.803962,0.193347,193.347,0
55744,10.8.0.1,10.7.0.1,75614,0.810788,1.019962,0.209174,209.174,0
55745,10.8.0.1,10.7.0.1,75566,1.006288,1.163962,0.157674,157.674,0
55746,10.8.0.1,10.7.0.1,75566,1.207092,1.375962,0.16887,168.87,0
55747,10.8.0.1,10.7.0.1,75566,1.408482,1.587962,0.17948,179.48,0
55748,10.8.0.1,10.7.0.1,75566,1.60867,1.779962,0.171292,171.292,0
55749,10.8.0.1,10.7.0.1,75566,1.807777,1.975962,0.168185,168.185,0
55750,10.8.0.1,10.7.0.1,75566,2.008446,2.179962,0.171516,171.516,0
