Time,Source,Destination,Length,data len
0.000000s,fe80::200:ff:fe00:1,ff02::2,58,
0.000004s,fe80::200:ff:fe00:2,ff02::2,58,
4.000000s,10.1.0.1,10.2.0.1,62,
4.000004s,fe80::200:ff:fe00:2,ff02::2,58,
4.000004s,fe80::200:ff:fe00:1,ff02::2,58,
4.000074s,10.2.0.1,10.1.0.1,62,
4.000074s,10.1.0.1,10.2.0.1,54,
4.000079s,10.1.0.1,10.2.0.1,566,512
4.000124s,10.1.0.1,10.2.0.1,1502,1448
4.000244s,10.1.0.1,10.2.0.1,1502,1448
4.000253s,10.2.0.1,10.1.0.1,54,
4.000364s,10.1.0.1,10.2.0.1,1502,1448
4.000484s,10.1.0.1,10.2.0.1,1502,1448
4.000485s,10.2.0.1,10.1.0.1,54,
4.000605s,10.1.0.1,10.2.0.1,1502,1448
4.000605s,10.2.0.1,10.1.0.1,54,
4.000725s,10.1.0.1,10.2.0.1,1502,1448
4.000725s,10.2.0.1,10.1.0.1,54,
4.000845s,10.1.0.1,10.2.0.1,1502,1448
4.000846s,10.2.0.1,10.1.0.1,54,
4.000965s,10.1.0.1,10.2.0.1,1502,1448
4.000966s,10.2.0.1,10.1.0.1,54,
4.001085s,10.1.0.1,10.2.0.1,1502,1448
4.001086s,10.2.0.1,10.1.0.1,54,
4.001205s,10.1.0.1,10.2.0.1,1502,1448
4.001206s,10.2.0.1,10.1.0.1,54,
4.001325s,10.1.0.1,10.2.0.1,1502,1448
4.001326s,10.2.0.1,10.1.0.1,54,
4.001446s,10.1.0.1,10.2.0.1,1502,1448
4.001446s,10.2.0.1,10.1.0.1,54,
4.001566s,10.1.0.1,10.2.0.1,1502,1448
4.001567s,10.2.0.1,10.1.0.1,54,
4.001686s,10.1.0.1,10.2.0.1,1502,1448
4.001687s,10.2.0.1,10.1.0.1,54,
4.001806s,10.1.0.1,10.2.0.1,1502,1448
4.001807s,10.2.0.1,10.1.0.1,54,
4.001926s,10.1.0.1,10.2.0.1,1502,1448
4.001927s,10.2.0.1,10.1.0.1,54,
4.002046s,10.1.0.1,10.2.0.1,1502,1448
4.002047s,10.2.0.1,10.1.0.1,54,
4.002167s,10.1.0.1,10.2.0.1,1502,1448
4.002167s,10.2.0.1,10.1.0.1,54,
4.002287s,10.1.0.1,10.2.0.1,1502,1448
4.002288s,10.2.0.1,10.1.0.1,54,
4.002407s,10.1.0.1,10.2.0.1,1502,1448
4.002408s,10.2.0.1,10.1.0.1,54,
4.002527s,10.1.0.1,10.2.0.1,1502,1448
4.002528s,10.2.0.1,10.1.0.1,54,
4.002647s,10.1.0.1,10.2.0.1,1502,1448
4.002648s,10.2.0.1,10.1.0.1,54,
4.002767s,10.1.0.1,10.2.0.1,1502,1448
4.002768s,10.2.0.1,10.1.0.1,54,
4.002888s,10.1.0.1,10.2.0.1,1502,1448
4.002888s,10.2.0.1,10.1.0.1,54,
4.003008s,10.1.0.1,10.2.0.1,1502,1448
4.003008s,10.2.0.1,10.1.0.1,54,
4.003128s,10.1.0.1,10.2.0.1,1502,1448
4.003129s,10.2.0.1,10.1.0.1,54,
4.003248s,10.1.0.1,10.2.0.1,1502,1448
4.003249s,10.2.0.1,10.1.0.1,54,
4.003368s,10.1.0.1,10.2.0.1,1502,1448
4.003369s,10.2.0.1,10.1.0.1,54,
4.003488s,10.1.0.1,10.2.0.1,1502,1448
4.003489s,10.2.0.1,10.1.0.1,54,
4.003609s,10.1.0.1,10.2.0.1,1502,1448
4.003609s,10.2.0.1,10.1.0.1,54,
4.003729s,10.1.0.1,10.2.0.1,1502,1448
4.003729s,10.2.0.1,10.1.0.1,54,
4.003849s,10.1.0.1,10.2.0.1,1502,1448
