Time,Source,Destination,Length,data len
0.000000s,fe80::200:ff:fe00:f,ff02::2,58,
0.000004s,fe80::200:ff:fe00:10,ff02::2,58,
4.000000s,fe80::200:ff:fe00:f,ff02::2,58,
4.000004s,fe80::200:ff:fe00:10,ff02::2,58,
4.000268s,10.1.1.1,10.2.1.1,74,
4.000274s,10.1.1.1,10.2.1.1,74,
4.000349s,10.2.1.1,10.1.1.1,78,
4.000349s,10.1.1.1,10.2.1.1,78,
4.000355s,10.2.1.1,10.1.1.1,78,
4.000355s,10.1.1.1,10.2.1.1,78,
4.000428s,10.2.1.1,10.1.1.1,70,
4.000428s,10.1.1.1,10.2.1.1,1502,1428
4.000435s,10.2.1.1,10.1.1.1,70,
4.000549s,10.1.1.1,10.2.1.1,1502,1428
4.000669s,10.1.1.1,10.2.1.1,1502,1428
4.000789s,10.1.1.1,10.2.1.1,1502,1428
4.000791s,10.2.1.1,10.1.1.1,62,
4.000909s,10.1.1.1,10.2.1.1,1502,1428
4.000911s,10.2.1.1,10.1.1.1,62,
4.001029s,10.1.1.1,10.2.1.1,1502,1428
4.001032s,10.2.1.1,10.1.1.1,62,
4.001149s,10.1.1.1,10.2.1.1,1502,1428
4.001152s,10.2.1.1,10.1.1.1,62,
4.001270s,10.1.1.1,10.2.1.1,1502,1428
4.001272s,10.2.1.1,10.1.1.1,62,
4.001390s,10.1.1.1,10.2.1.1,1502,1428
4.001392s,10.2.1.1,10.1.1.1,62,
4.001510s,10.1.1.1,10.2.1.1,1502,1428
4.001512s,10.2.1.1,10.1.1.1,62,
4.001630s,10.1.1.1,10.2.1.1,1502,1428
4.001632s,10.2.1.1,10.1.1.1,62,
4.001750s,10.1.1.1,10.2.1.1,1502,1428
4.001753s,10.2.1.1,10.1.1.1,62,
4.001870s,10.1.1.1,10.2.1.1,1502,1428
4.001873s,10.2.1.1,10.1.1.1,62,
4.001991s,10.1.1.1,10.2.1.1,1502,1428
4.001993s,10.2.1.1,10.1.1.1,62,
4.002111s,10.1.1.1,10.2.1.1,1502,1428
4.002113s,10.2.1.1,10.1.1.1,62,
4.002231s,10.1.1.1,10.2.1.1,1502,1428
4.002233s,10.2.1.1,10.1.1.1,62,
4.002351s,10.1.1.1,10.2.1.1,1502,1428
4.002353s,10.2.1.1,10.1.1.1,62,
4.002471s,10.1.1.1,10.2.1.1,1502,1428
4.002474s,10.2.1.1,10.1.1.1,62,
4.002591s,10.1.1.1,10.2.1.1,1502,1428
4.002594s,10.2.1.1,10.1.1.1,62,
4.002712s,10.1.1.1,10.2.1.1,1502,1428
4.002714s,10.2.1.1,10.1.1.1,62,
4.002832s,10.1.1.1,10.2.1.1,1502,1428
4.002834s,10.2.1.1,10.1.1.1,62,
4.002952s,10.1.1.1,10.2.1.1,1502,1428
4.002954s,10.2.1.1,10.1.1.1,62,
4.003072s,10.1.1.1,10.2.1.1,1502,1428
4.003074s,10.2.1.1,10.1.1.1,62,
4.003192s,10.1.1.1,10.2.1.1,1502,1428
4.003194s,10.2.1.1,10.1.1.1,62,
4.003312s,10.1.1.1,10.2.1.1,1502,1428
4.003315s,10.2.1.1,10.1.1.1,62,
4.003432s,10.1.1.1,10.2.1.1,1502,1428
4.003435s,10.2.1.1,10.1.1.1,62,
4.003553s,10.1.1.1,10.2.1.1,1502,1428
4.003555s,10.2.1.1,10.1.1.1,62,
4.003673s,10.1.1.1,10.2.1.1,1502,1428
4.003675s,10.2.1.1,10.1.1.1,62,
4.003793s,10.1.1.1,10.2.1.1,1502,1428
4.003795s,10.2.1.1,10.1.1.1,62,
4.003913s,10.1.1.1,10.2.1.1,1502,1428
4.003915s,10.2.1.1,10.1.1.1,62,
4.004033s,10.1.1.1,10.2.1.1,1502,1428
4.004036s,10.2.1.1,10.1.1.1,62,
4.004153s,10.1.1.1,10.2.1.1,1502,1428
4.004156s,10.2.1.1,10.1.1.1,62,
4.004274s,10.1.1.1,10.2.1.1,1502,1428
4.004276s,10.2.1.1,10.1.1.1,62,
4.004394s,10.1.1.1,10.2.1.1,1502,1428
4.004396s,10.2.1.1,10.1.1.1,62,
4.004514s,10.1.1.1,10.2.1.1,1502,1428
4.004516s,10.2.1.1,10.1.1.1,62,
4.004634s,10.1.1.1,10.2.1.1,1502,1428
4.004636s,10.2.1.1,10.1.1.1,62,
4.004754s,10.1.1.1,10.2.1.1,1502,1428
4.004757s,10.2.1.1,10.1.1.1,62,
4.004874s,10.1.1.1,10.2.1.1,1502,1428
4.004877s,10.2.1.1,10.1.1.1,62,
4.004995s,10.1.1.1,10.2.1.1,1502,1428
4.004997s,10.2.1.1,10.1.1.1,62,
4.005115s,10.1.1.1,10.2.1.1,1502,1428
4.005117s,10.2.1.1,10.1.1.1,62,
4.005235s,10.1.1.1,10.2.1.1,1502,1428
4.005237s,10.2.1.1,10.1.1.1,62,
4.005355s,10.1.1.1,10.2.1.1,1502,1428
4.005357s,10.2.1.1,10.1.1.1,62,
4.005475s,10.1.1.1,10.2.1.1,1502,1428
4.005478s,10.2.1.1,10.1.1.1,62,
4.005595s,10.1.1.1,10.2.1.1,1502,1428
4.005598s,10.2.1.1,10.1.1.1,62,
4.005716s,10.1.1.1,10.2.1.1,1502,1428
4.005718s,10.2.1.1,10.1.1.1,62,
4.005836s,10.1.1.1,10.2.1.1,1502,1428
4.005838s,10.2.1.1,10.1.1.1,62,
4.005956s,10.1.1.1,10.2.1.1,1502,1428
4.005958s,10.2.1.1,10.1.1.1,62,
4.006076s,10.1.1.1,10.2.1.1,1502,1428
4.006078s,10.2.1.1,10.1.1.1,62,
4.006196s,10.1.1.1,10.2.1.1,1502,1428
4.006198s,10.2.1.1,10.1.1.1,62,
4.006316s,10.1.1.1,10.2.1.1,1502,1428
4.006319s,10.2.1.1,10.1.1.1,62,
4.006436s,10.1.1.1,10.2.1.1,1502,1428
4.006439s,10.2.1.1,10.1.1.1,62,
4.006557s,10.1.1.1,10.2.1.1,1502,1428
4.006559s,10.2.1.1,10.1.1.1,62,
4.006677s,10.1.1.1,10.2.1.1,1502,1428
4.006679s,10.2.1.1,10.1.1.1,62,
4.006797s,10.1.1.1,10.2.1.1,1502,1428
4.006799s,10.2.1.1,10.1.1.1,62,
4.006917s,10.1.1.1,10.2.1.1,1502,1428
4.006919s,10.2.1.1,10.1.1.1,62,
4.007037s,10.1.1.1,10.2.1.1,1502,1428
4.007040s,10.2.1.1,10.1.1.1,62,
4.007157s,10.1.1.1,10.2.1.1,1502,1428
4.007160s,10.2.1.1,10.1.1.1,62,
4.007278s,10.1.1.1,10.2.1.1,1502,1428
4.007280s,10.2.1.1,10.1.1.1,62,
4.007398s,10.1.1.1,10.2.1.1,1502,1428
4.007400s,10.2.1.1,10.1.1.1,62,
4.007518s,10.1.1.1,10.2.1.1,1502,1428
4.007520s,10.2.1.1,10.1.1.1,62,
4.007638s,10.1.1.1,10.2.1.1,1502,1428
4.007640s,10.2.1.1,10.1.1.1,62,
4.007758s,10.1.1.1,10.2.1.1,1502,1428
4.007761s,10.2.1.1,10.1.1.1,62,
4.007878s,10.1.1.1,10.2.1.1,1502,1428
4.007881s,10.2.1.1,10.1.1.1,62,
