Time,Source,Destination,Length,data len
0.000000s,fe80::200:ff:fe00:f,ff02::2,58,
0.000004s,fe80::200:ff:fe00:10,ff02::2,58,
4.000000s,fe80::200:ff:fe00:f,ff02::2,58,
4.000004s,fe80::200:ff:fe00:10,ff02::2,58,
4.000268s,10.1.1.1,10.2.1.1,74,
4.000349s,10.2.1.1,10.1.1.1,78,
4.000349s,10.1.1.1,10.2.1.1,78,
4.000428s,10.2.1.1,10.1.1.1,70,
4.000428s,10.1.1.1,10.2.1.1,1502,1428
4.000791s,10.2.1.1,10.1.1.1,62,
4.000791s,10.1.1.1,10.2.1.1,1502,1428
4.001154s,10.2.1.1,10.1.1.1,62,
4.001154s,10.1.1.1,10.2.1.1,1502,1428
4.001517s,10.2.1.1,10.1.1.1,62,
4.001517s,10.1.1.1,10.2.1.1,1502,1428
4.001880s,10.2.1.1,10.1.1.1,62,
4.001880s,10.1.1.1,10.2.1.1,1502,1428
4.002242s,10.2.1.1,10.1.1.1,62,
4.002242s,10.1.1.1,10.2.1.1,1502,1428
4.002605s,10.2.1.1,10.1.1.1,62,
4.002605s,10.1.1.1,10.2.1.1,1502,1428
4.002968s,10.2.1.1,10.1.1.1,62,
4.002968s,10.1.1.1,10.2.1.1,1502,1428
4.003331s,10.2.1.1,10.1.1.1,62,
4.003331s,10.1.1.1,10.2.1.1,1502,1428
4.003694s,10.2.1.1,10.1.1.1,62,
4.003694s,10.1.1.1,10.2.1.1,1502,1428
4.004056s,10.2.1.1,10.1.1.1,62,
4.004056s,10.1.1.1,10.2.1.1,1502,1428
4.004419s,10.2.1.1,10.1.1.1,62,
4.004419s,10.1.1.1,10.2.1.1,1502,1428
4.004782s,10.2.1.1,10.1.1.1,62,
4.004782s,10.1.1.1,10.2.1.1,1502,1428
4.005145s,10.2.1.1,10.1.1.1,62,
4.005145s,10.1.1.1,10.2.1.1,1502,1428
4.005508s,10.2.1.1,10.1.1.1,62,
4.005508s,10.1.1.1,10.2.1.1,1502,1428
4.005870s,10.2.1.1,10.1.1.1,62,
4.005870s,10.1.1.1,10.2.1.1,1502,1428
4.006233s,10.2.1.1,10.1.1.1,62,
4.006233s,10.1.1.1,10.2.1.1,1502,1428
4.006596s,10.2.1.1,10.1.1.1,62,
4.006596s,10.1.1.1,10.2.1.1,1502,1428
4.006959s,10.2.1.1,10.1.1.1,62,
4.006959s,10.1.1.1,10.2.1.1,1502,1428
4.007322s,10.2.1.1,10.1.1.1,62,
4.007322s,10.1.1.1,10.2.1.1,1502,1428
4.007685s,10.2.1.1,10.1.1.1,62,
4.007685s,10.1.1.1,10.2.1.1,1502,1428
4.008047s,10.2.1.1,10.1.1.1,62,
4.008047s,10.1.1.1,10.2.1.1,1502,1428
4.008410s,10.2.1.1,10.1.1.1,62,
4.008410s,10.1.1.1,10.2.1.1,1502,1428
4.008773s,10.2.1.1,10.1.1.1,62,
4.008773s,10.1.1.1,10.2.1.1,1502,1428
4.009136s,10.2.1.1,10.1.1.1,62,
4.009136s,10.1.1.1,10.2.1.1,1502,1428
4.009499s,10.2.1.1,10.1.1.1,62,
4.009499s,10.1.1.1,10.2.1.1,1502,1428
4.009861s,10.2.1.1,10.1.1.1,62,
4.009861s,10.1.1.1,10.2.1.1,1502,1428
4.010224s,10.2.1.1,10.1.1.1,62,
4.010224s,10.1.1.1,10.2.1.1,1502,1428
4.010587s,10.2.1.1,10.1.1.1,62,
4.010587s,10.1.1.1,10.2.1.1,1502,1428
4.010950s,10.2.1.1,10.1.1.1,62,
4.010950s,10.1.1.1,10.2.1.1,1502,1428
4.011313s,10.2.1.1,10.1.1.1,62,
4.011313s,10.1.1.1,10.2.1.1,1502,1428
4.011675s,10.2.1.1,10.1.1.1,62,
4.011675s,10.1.1.1,10.2.1.1,1502,1428
4.012038s,10.2.1.1,10.1.1.1,62,
4.012038s,10.1.1.1,10.2.1.1,1502,1428
4.012401s,10.2.1.1,10.1.1.1,62,
4.012401s,10.1.1.1,10.2.1.1,1502,1428
4.012764s,10.2.1.1,10.1.1.1,62,
4.012764s,10.1.1.1,10.2.1.1,1502,1428
4.013127s,10.2.1.1,10.1.1.1,62,
4.013127s,10.1.1.1,10.2.1.1,1502,1428
4.013489s,10.2.1.1,10.1.1.1,62,
4.013489s,10.1.1.1,10.2.1.1,1502,1428
4.013852s,10.2.1.1,10.1.1.1,62,
4.013852s,10.1.1.1,10.2.1.1,1502,1428
4.014215s,10.2.1.1,10.1.1.1,62,
4.014215s,10.1.1.1,10.2.1.1,1502,1428
4.014578s,10.2.1.1,10.1.1.1,62,
4.014578s,10.1.1.1,10.2.1.1,1502,1428
4.014941s,10.2.1.1,10.1.1.1,62,
4.014941s,10.1.1.1,10.2.1.1,1502,1428
4.015303s,10.2.1.1,10.1.1.1,62,
4.015303s,10.1.1.1,10.2.1.1,1502,1428
4.015666s,10.2.1.1,10.1.1.1,62,
4.015666s,10.1.1.1,10.2.1.1,1502,1428
4.016029s,10.2.1.1,10.1.1.1,62,
4.016029s,10.1.1.1,10.2.1.1,1502,1428
4.016392s,10.2.1.1,10.1.1.1,62,
4.016392s,10.1.1.1,10.2.1.1,1502,1428
4.016755s,10.2.1.1,10.1.1.1,62,
4.021884s,10.1.1.1,10.2.1.1,1502,1428
4.022247s,10.2.1.1,10.1.1.1,62,
4.022247s,10.1.1.1,10.2.1.1,1502,1428
4.022610s,10.2.1.1,10.1.1.1,62,
4.035827s,10.1.1.1,10.2.1.1,1502,1428
4.036190s,10.2.1.1,10.1.1.1,62,
4.036190s,10.1.1.1,10.2.1.1,1502,1428
4.036553s,10.2.1.1,10.1.1.1,62,
4.036553s,10.1.1.1,10.2.1.1,1502,1428
4.036915s,10.2.1.1,10.1.1.1,62,
4.036915s,10.1.1.1,10.2.1.1,1502,1428
4.037278s,10.2.1.1,10.1.1.1,62,
4.037278s,10.1.1.1,10.2.1.1,1502,1428
4.037641s,10.2.1.1,10.1.1.1,62,
4.037641s,10.1.1.1,10.2.1.1,1502,1428
4.038004s,10.2.1.1,10.1.1.1,62,
4.038471s,10.1.1.1,10.2.1.1,1502,1428
4.038833s,10.2.1.1,10.1.1.1,62,
4.038833s,10.1.1.1,10.2.1.1,1502,1428
4.039196s,10.2.1.1,10.1.1.1,62,
4.039196s,10.1.1.1,10.2.1.1,1502,1428
4.039559s,10.2.1.1,10.1.1.1,62,
4.039559s,10.1.1.1,10.2.1.1,1502,1428
4.039922s,10.2.1.1,10.1.1.1,62,
4.039922s,10.1.1.1,10.2.1.1,1502,1428
4.040285s,10.2.1.1,10.1.1.1,62,
4.040285s,10.1.1.1,10.2.1.1,1502,1428
4.040647s,10.2.1.1,10.1.1.1,62,
4.040647s,10.1.1.1,10.2.1.1,1502,1428
4.041010s,10.2.1.1,10.1.1.1,62,
4.041010s,10.1.1.1,10.2.1.1,1502,1428
4.041373s,10.2.1.1,10.1.1.1,62,
4.041373s,10.1.1.1,10.2.1.1,1502,1428
4.041736s,10.2.1.1,10.1.1.1,62,
4.041736s,10.1.1.1,10.2.1.1,1502,1428
4.042099s,10.2.1.1,10.1.1.1,62,
4.042099s,10.1.1.1,10.2.1.1,1502,1428
