Time,Source,Destination,Length,data len
0.000000s,fe80::200:ff:fe00:2b,ff02::2,58,
0.000004s,fe80::200:ff:fe00:2c,ff02::2,58,
4.000000s,fe80::200:ff:fe00:2b,ff02::2,58,
4.000004s,fe80::200:ff:fe00:2c,ff02::2,58,
4.000498s,10.1.3.1,10.2.3.1,74,
4.000578s,10.2.3.1,10.1.3.1,78,
4.000578s,10.1.3.1,10.2.3.1,78,
4.000656s,10.2.3.1,10.1.3.1,62,
4.000656s,10.1.3.1,10.2.3.1,1502,1428
4.001019s,10.2.3.1,10.1.3.1,62,
4.001019s,10.1.3.1,10.2.3.1,1502,1428
4.001382s,10.2.3.1,10.1.3.1,62,
4.001382s,10.1.3.1,10.2.3.1,1502,1428
4.001744s,10.2.3.1,10.1.3.1,62,
4.001744s,10.1.3.1,10.2.3.1,1502,1428
4.002107s,10.2.3.1,10.1.3.1,62,
4.002107s,10.1.3.1,10.2.3.1,1502,1428
4.002470s,10.2.3.1,10.1.3.1,62,
4.002470s,10.1.3.1,10.2.3.1,1502,1428
4.002833s,10.2.3.1,10.1.3.1,62,
4.002833s,10.1.3.1,10.2.3.1,1502,1428
4.003196s,10.2.3.1,10.1.3.1,62,
4.003196s,10.1.3.1,10.2.3.1,1502,1428
4.003558s,10.2.3.1,10.1.3.1,62,
4.003558s,10.1.3.1,10.2.3.1,1502,1428
4.003921s,10.2.3.1,10.1.3.1,62,
4.003921s,10.1.3.1,10.2.3.1,1502,1428
4.004284s,10.2.3.1,10.1.3.1,62,
4.004284s,10.1.3.1,10.2.3.1,1502,1428
4.004647s,10.2.3.1,10.1.3.1,62,
4.004647s,10.1.3.1,10.2.3.1,1502,1428
4.005010s,10.2.3.1,10.1.3.1,62,
4.005010s,10.1.3.1,10.2.3.1,1502,1428
4.005372s,10.2.3.1,10.1.3.1,62,
4.005372s,10.1.3.1,10.2.3.1,1502,1428
4.005735s,10.2.3.1,10.1.3.1,62,
4.005735s,10.1.3.1,10.2.3.1,1502,1428
4.006098s,10.2.3.1,10.1.3.1,62,
4.006098s,10.1.3.1,10.2.3.1,1502,1428
4.006461s,10.2.3.1,10.1.3.1,62,
4.006461s,10.1.3.1,10.2.3.1,1502,1428
4.006824s,10.2.3.1,10.1.3.1,62,
4.006824s,10.1.3.1,10.2.3.1,1502,1428
4.007186s,10.2.3.1,10.1.3.1,62,
4.007186s,10.1.3.1,10.2.3.1,1502,1428
4.007549s,10.2.3.1,10.1.3.1,62,
4.007549s,10.1.3.1,10.2.3.1,1502,1428
4.007912s,10.2.3.1,10.1.3.1,62,
4.007912s,10.1.3.1,10.2.3.1,1502,1428
4.008275s,10.2.3.1,10.1.3.1,62,
4.008275s,10.1.3.1,10.2.3.1,1502,1428
4.008638s,10.2.3.1,10.1.3.1,62,
4.008638s,10.1.3.1,10.2.3.1,1502,1428
4.009000s,10.2.3.1,10.1.3.1,62,
4.009000s,10.1.3.1,10.2.3.1,1502,1428
4.009363s,10.2.3.1,10.1.3.1,62,
4.009363s,10.1.3.1,10.2.3.1,1502,1428
4.009726s,10.2.3.1,10.1.3.1,62,
4.013407s,10.1.3.1,10.2.3.1,586,512
4.013454s,10.1.3.1,10.2.3.1,1502,1428
4.013587s,10.2.3.1,10.1.3.1,62,
4.013587s,10.1.3.1,10.2.3.1,1502,1428
4.013707s,10.1.3.1,10.2.3.1,1502,1428
4.013817s,10.2.3.1,10.1.3.1,62,
4.013827s,10.1.3.1,10.2.3.1,1502,1428
4.013948s,10.1.3.1,10.2.3.1,1502,1428
4.013950s,10.2.3.1,10.1.3.1,62,
4.014068s,10.1.3.1,10.2.3.1,1502,1428
4.014070s,10.2.3.1,10.1.3.1,62,
4.014188s,10.1.3.1,10.2.3.1,1502,1428
4.014190s,10.2.3.1,10.1.3.1,62,
4.014308s,10.1.3.1,10.2.3.1,1502,1428
4.014310s,10.2.3.1,10.1.3.1,62,
4.014428s,10.1.3.1,10.2.3.1,1502,1428
4.014430s,10.2.3.1,10.1.3.1,62,
4.014548s,10.1.3.1,10.2.3.1,1502,1428
4.014551s,10.2.3.1,10.1.3.1,62,
4.014668s,10.1.3.1,10.2.3.1,1502,1428
