src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
54812,10.19.0.1,10.3.0.1,19472,0.0,0.079927,0.079927,79.92699999999999,0.0
53800,10.6.0.1,10.4.0.1,59872,0.0,0.083989,0.083989,83.98899999999999,0.0
57454,10.20.1.1,10.4.1.1,21792,0.0,0.078927,0.078927,78.92699999999999,0.0
39016,10.19.0.1,10.6.0.1,22816,0.0,0.079927,0.079927,79.92699999999999,0.0
45199,10.11.1.1,10.6.1.1,19472,0.0,0.079927,0.079927,79.92699999999999,0.0
51303,10.11.1.1,10.20.1.1,35168,0.0,0.084069,0.084069,84.069,0.0
43698,10.20.1.1,10.11.1.1,70040,0.800073,0.888,0.08792699999999998,87.92699999999998,0.0
37681,10.13.1.1,10.20.1.1,29640,0.0,0.08307,0.08307,83.07000000000001,0.0
50592,10.14.0.1,10.3.0.1,30800,0.0,0.08407,0.08407,84.07000000000001,0.0
37781,10.4.1.1,10.14.1.1,359392,0.0,0.143927,0.143927,143.927,0.0
35138,10.23.1.1,10.14.1.1,28480,1.001,1.083927,0.0829270000000002,82.92700000000019,0.0
34871,10.15.1.1,10.30.1.1,28480,0.399001,0.47907,0.080069,80.069,0.0
54812,10.19.0.1,10.3.0.1,19472,0.0,0.080069,0.080069,80.069,0.0
39016,10.19.0.1,10.6.0.1,22816,0.6,0.680069,0.08006900000000006,80.06900000000006,0.0
43688,10.31.0.1,10.19.0.1,75568,2.801073,2.892,0.09092699999999976,90.92699999999977,0.0
37681,10.13.1.1,10.20.1.1,29640,0.0,0.082927,0.082927,82.927,0.0
51303,10.11.1.1,10.20.1.1,35168,0.399,0.482927,0.08392699999999997,83.92699999999998,0.0
43698,10.20.1.1,10.11.1.1,70040,1.198926,1.286996,0.08807000000000009,88.07000000000009,0.0
53230,10.15.0.1,10.21.0.1,36328,0.0,0.083927,0.083927,83.927,0.0
40695,10.28.0.1,10.21.0.1,106960,1.0,1.095927,0.0959270000000001,95.92700000000009,0.0
45052,10.27.0.1,10.22.0.1,45336,0.0,0.086927,0.086927,86.927,0.0
36465,10.23.1.1,10.15.1.1,22816,0.0,0.079069,0.079069,79.069,0.0
45052,10.27.0.1,10.22.0.1,45336,0.0,0.087069,0.087069,87.06899999999999,0.0
40695,10.28.0.1,10.21.0.1,106960,0.0,0.09607,0.09607,96.07000000000001,0.0
52764,10.12.1.1,10.28.1.1,138352,0.0,0.103927,0.103927,103.927,0.0
34871,10.15.1.1,10.30.1.1,28480,0.0,0.079927,0.079927,79.92699999999999,0.0
48794,10.30.1.1,10.31.1.1,18448,2.000927,2.079996,0.07906900000000006,79.06900000000006,0.0
37086,10.14.1.1,10.30.1.1,147360,2.6,2.703927,0.1039270000000001,103.9270000000001,0.0
46600,10.31.1.1,10.29.1.1,40832,0.0,0.083009,0.083009,83.009,0.0
48794,10.30.1.1,10.31.1.1,18448,1.800073,1.879,0.07892699999999997,78.92699999999996,0.0
50196,10.3.0.1,10.11.0.1,119312,0.0,0.10007,0.10007,100.07000000000001,0.0
54262,10.4.0.1,10.28.0.1,20632,0.0,0.08007,0.08007,80.07000000000001,0.0
59510,10.6.1.1,10.4.1.1,21792,0.0,0.079989,0.079989,79.989,0.0
34706,10.4.1.1,10.22.1.1,20632,2.399989,2.480058,0.08006899999999995,80.06899999999995,0.0
44838,10.15.1.1,10.5.1.1,26296,0.0,0.082927,0.082927,82.927,0.0
34840,10.11.1.1,10.5.1.1,29640,0.399,0.482927,0.08392699999999997,83.92699999999998,0.0
39921,10.5.1.1,10.23.1.1,20632,0.799926,0.878996,0.07906999999999997,79.06999999999998,0.0
60331,10.5.1.1,10.21.1.1,123816,1.999927,2.098996,0.09906900000000007,99.06900000000007,0.0
53066,10.6.1.1,10.13.1.1,72224,0.0,0.092069,0.092069,92.069,0.0
33637,10.12.0.1,10.11.0.1,22816,0.0,0.078927,0.078927,78.92699999999999,0.0
