src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
38976,10.1.0.1,10.25.0.1,2653834,0.0,0.209033,0.209033,209.033,0.0
35226,10.26.0.1,10.1.0.1,5726076,0.003069,0.690219,0.68715,687.1500000000001,0.0
38977,10.1.0.1,10.25.0.1,14533186,0.999999,2.140518,1.1405190000000003,1140.5190000000002,0.0
35227,10.26.0.1,10.1.0.1,2417100,1.003069,2.732,1.7289310000000002,1728.9310000000003,0.0
35755,10.9.0.1,10.17.0.1,9490508,0.0,0.754147,0.754147,754.147,0.0
35756,10.9.0.1,10.17.0.1,5507852,1.0,1.431257,0.431257,431.257,0.0
35757,10.9.0.1,10.17.0.1,3779916,2.0,2.29553,0.29552999999999985,295.52999999999986,0.0
35755,10.9.0.1,10.17.0.1,9492776,0.0,0.802931,0.802931,802.9309999999999,0.0
35756,10.9.0.1,10.17.0.1,5509094,1.0,1.474931,0.474931,474.931,0.0
35757,10.9.0.1,10.17.0.1,3781212,2.000076,2.338931,0.33885500000000013,338.85500000000013,0.0
43335,10.18.1.1,10.25.1.1,10594344,0.0,0.83054,0.83054,830.54,0.0
43336,10.18.1.1,10.25.1.1,2457528,1.0,1.19168,0.19168000000000007,191.68000000000006,0.0
43337,10.18.1.1,10.25.1.1,53748,2.0,2.004401,0.004401000000000099,4.401000000000099,0.0
43338,10.18.1.1,10.25.1.1,1302,3.0,3.000443,0.00044300000000019324,0.44300000000019324,0.0
38976,10.1.0.1,10.25.0.1,2654860,0.0,0.251931,0.251931,251.931,0.0
38977,10.1.0.1,10.25.0.1,14535832,1.0,2.191931,1.1919309999999999,1191.9309999999998,0.0
43335,10.18.1.1,10.25.1.1,10596558,0.0,0.840152,0.840152,840.152,0.0
43336,10.18.1.1,10.25.1.1,2457690,1.0,1.229931,0.2299310000000001,229.9310000000001,0.0
43337,10.18.1.1,10.25.1.1,54180,2.000033,2.041931,0.04189799999999977,41.89799999999977,0.0
43338,10.18.1.1,10.25.1.1,1356,3.0,3.037931,0.03793099999999994,37.93099999999994,0.0
35226,10.26.0.1,10.1.0.1,5724402,0.0,0.679864,0.679864,679.864,0.0
35227,10.26.0.1,10.1.0.1,2466072,0.999999,2.688885,1.688886,1688.8860000000002,0.0
43985,10.1.1.1,10.9.1.1,2203776,0.0,0.173422,0.173422,173.422,0.0
43986,10.1.1.1,10.9.1.1,12455054,0.999999,3.415806,2.415807,2415.8070000000002,0.0
