src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
58815,10.1.1.1,10.17.1.1,5803556,0.999999,2.14509,1.1450910000000003,1145.0910000000003,0.0
58816,10.1.1.1,10.17.1.1,2450940,2.000017,2.544069,0.5440519999999998,544.0519999999998,0.0
58817,10.1.1.1,10.17.1.1,2840696,2.999999,3.435239,0.4352400000000003,435.2400000000003,0.0
58818,10.1.1.1,10.17.1.1,2297812,3.999999,4.352069,0.3520700000000003,352.07000000000033,0.0
44086,10.17.1.1,10.2.1.1,2157150,0.0,0.309931,0.309931,309.93100000000004,0.0
44087,10.17.1.1,10.2.1.1,2118260,1.0,1.341927,0.3419270000000001,341.9270000000001,0.0
44088,10.17.1.1,10.2.1.1,3670306,2.0,2.385927,0.38592700000000013,385.92700000000013,0.0
44089,10.17.1.1,10.2.1.1,4568370,3.0,3.509927,0.5099269999999998,509.9269999999998,0.0
33994,10.9.1.1,10.26.1.1,1218046,0.0,0.29507,0.29507,295.07,0.0
33995,10.9.1.1,10.26.1.1,1968604,1.0,1.23907,0.2390699999999999,239.06999999999988,0.0
33996,10.9.1.1,10.26.1.1,1974070,2.0,2.27507,0.2750699999999999,275.06999999999994,0.0
44086,10.17.1.1,10.2.1.1,2157150,0.001926,0.312001,0.310075,310.075,0.0
58815,10.1.1.1,10.17.1.1,5803556,1.0,2.144822,1.144822,1144.8220000000001,0.0
44087,10.17.1.1,10.2.1.1,2118260,1.001926,1.344105,0.342179,342.17900000000003,0.0
58816,10.1.1.1,10.17.1.1,2450940,2.00036,2.543927,0.5435669999999999,543.5669999999999,0.0
44088,10.17.1.1,10.2.1.1,3670306,2.001926,2.388208,0.386282,386.28200000000004,0.0
58817,10.1.1.1,10.17.1.1,2840696,3.0,3.431927,0.43192699999999995,431.92699999999996,0.0
44089,10.17.1.1,10.2.1.1,4568370,3.001926,3.511996,0.5100699999999998,510.0699999999998,0.0
58818,10.1.1.1,10.17.1.1,2297812,4.0,4.351927,0.3519269999999999,351.9269999999999,0.0
44090,10.17.1.1,10.2.1.1,2453368,4.001926,4.283996,0.28207000000000004,282.07000000000005,0.0
36135,10.25.0.1,10.26.0.1,1231414,0.0,1.025069,1.025069,1025.069,0.0
36136,10.25.0.1,10.26.0.1,2554272,0.999999,1.237069,0.23707,237.07,0.0
36137,10.25.0.1,10.26.0.1,3709826,1.999999,2.373069,0.37307,373.07,0.0
36138,10.25.0.1,10.26.0.1,2717188,2.999999,3.257069,0.25707000000000013,257.0700000000001,0.0
36135,10.25.0.1,10.26.0.1,1231414,0.001533,1.02646,1.024927,1024.927,0.0
36136,10.25.0.1,10.26.0.1,2554272,1.001533,1.23846,0.2369269999999999,236.92699999999988,0.0
36137,10.25.0.1,10.26.0.1,3709826,2.001533,2.37446,0.37292700000000023,372.92700000000025,0.0
36138,10.25.0.1,10.26.0.1,2717188,3.001533,3.25846,0.2569270000000001,256.92700000000013,0.0
33994,10.9.1.1,10.26.1.1,1191010,0.0,0.294927,0.294927,294.927,0.0
57285,10.25.1.1,10.26.1.1,10959676,0.002731,1.014927,1.0121959999999999,1012.1959999999999,0.0
33995,10.9.1.1,10.26.1.1,1968604,1.0,1.238927,0.2389269999999999,238.92699999999988,0.0
33996,10.9.1.1,10.26.1.1,1974070,2.0,2.274927,0.2749269999999999,274.9269999999999,0.0
45846,10.17.0.1,10.1.0.1,609368,0.001793,1.071534,1.069741,1069.741,0.0
45847,10.17.0.1,10.1.0.1,2917518,1.001607,1.711534,0.7099270000000002,709.9270000000002,0.0
